exercise_id	error_family	unit_id	page	owner_or_namespace	correct_surface_sequence	correct_atom_sequence	red_ink_corrupted_atom_sequence	wrong_readback_consequence_de	detection_channel	master_repair_de	correct_working_reading_de	new_surface_invented
EX-11	Y_CLOSE_CONFUSION	H2-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	ycheor cthy chor cthaiin qoctholy chy chey aiin dy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Y+CHEO+OR | CTH+CLOSE | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	laufender Posten wird zum Schrittabschluss	LOCAL_CARD_READBACK	Prüfen, ob der Posten weiterläuft oder der Schritt wirklich schließt.	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	NO_RED_INK_ATOM_DRILL_ONLY
EX-12	Y_CLOSE_CONFUSION	H2-S003	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	oykchor or chor y kaiiin chy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	Y+KCH+OR | OR | OR | CLOSE | IIN | Y | HO+AIIN	laufender Posten wird zum Schrittabschluss	LOCAL_CARD_READBACK	Prüfen, ob der Posten weiterläuft oder der Schritt wirklich schließt.	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	NO_RED_INK_ATOM_DRILL_ONLY
EX-13	Y_CLOSE_CONFUSION	H3-S001	f11r	der ganzen dicht blau bekrönten Bildpflanze	tshol schoal cfhy shfydaiin cphy cheey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	HO+L | HO+AL | CFH+CLOSE | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	laufender Posten wird zum Schrittabschluss	LOCAL_CARD_READBACK	Prüfen, ob der Posten weiterläuft oder der Schritt wirklich schließt.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	NO_RED_INK_ATOM_DRILL_ONLY
EX-14	Y_CLOSE_CONFUSION	H3-S003	f11r	der ganzen dicht blau bekrönten Bildpflanze	dchol chy kchy y daiin	PREV+OL | Y | KCH+Y | Y | AIIN	PREV+OL | CLOSE | KCH+Y | Y | AIIN	laufender Posten wird zum Schrittabschluss	LOCAL_CARD_READBACK	Prüfen, ob der Posten weiterläuft oder der Schritt wirklich schließt.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	NO_RED_INK_ATOM_DRILL_ONLY
EX-15	Y_CLOSE_CONFUSION	H3-S004	f11r	der ganzen dicht blau bekrönten Bildpflanze	otchey okchol checthy y	OT+Y | OK+OL | CTH+Y | Y	OT+CLOSE | OK+OL | CTH+Y | Y	laufender Posten wird zum Schrittabschluss	LOCAL_CARD_READBACK	Prüfen, ob der Posten weiterläuft oder der Schritt wirklich schließt.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	NO_RED_INK_ATOM_DRILL_ONLY
EX-16	Y_CLOSE_CONFUSION	H4-S002	f55v	der ganzen breitblättrigen rispigen Bildpflanze	daiin chedchy talam	AIIN | CHD+Y | AL+AM	AIIN | CHD+CLOSE | AL+AM	laufender Posten wird zum Schrittabschluss	LOCAL_CARD_READBACK	Prüfen, ob der Posten weiterläuft oder der Schritt wirklich schließt.	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	NO_RED_INK_ATOM_DRILL_ONLY
EX-17	AL_AR_SWAP	H1-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	dchey cthoor char chty os kair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	DCHE+Y | CTH+OR | AL | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Quelle wird Ziel	READBACK_PLUS_VISIBLE_OWNER	Quelle und Ziel laut benennen und an der sichtbaren Station zeigen.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-18	AL_AR_SWAP	H2-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	otchor or otol cheol cholor rol chaiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AL	Quelle wird Ziel	READBACK_PLUS_VISIBLE_OWNER	Quelle und Ziel laut benennen und an der sichtbaren Station zeigen.	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-19	AL_AR_SWAP	H3-S001	f11r	der ganzen dicht blau bekrönten Bildpflanze	tshol schoal cfhy shfydaiin cphy cheey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	HO+L | HO+AR | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Ziel wird Quelle	READBACK_PLUS_VISIBLE_OWNER	Quelle und Ziel laut benennen und an der sichtbaren Station zeigen.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	NO_RED_INK_ATOM_DRILL_ONLY
EX-20	AL_AR_SWAP	H4-S002	f55v	der ganzen breitblättrigen rispigen Bildpflanze	daiin chedchy talam	AIIN | CHD+Y | AL+AM	AIIN | CHD+Y | AR+AM	Ziel wird Quelle	READBACK_PLUS_VISIBLE_OWNER	Quelle und Ziel laut benennen und an der sichtbaren Station zeigen.	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	NO_RED_INK_ATOM_DRILL_ONLY
EX-21	AL_AR_SWAP	H4-S003	f55v	der ganzen breitblättrigen rispigen Bildpflanze	ykaiin cheoar chkeey oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Y+AIIN | CHEO+AL | CHK+EE+Y | OL+CLOSE	Quelle wird Ziel	READBACK_PLUS_VISIBLE_OWNER	Quelle und Ziel laut benennen und an der sichtbaren Station zeigen.	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	NO_RED_INK_ATOM_DRILL_ONLY
EX-22	AL_AR_SWAP	H4-S004	f55v	der ganzen breitblättrigen rispigen Bildpflanze	daiin okal oltchy or dy orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	AIIN | OK+AR | OL+CTH+Y | OR | Y | OR+AIN	Ziel wird Quelle	READBACK_PLUS_VISIBLE_OWNER	Quelle und Ziel laut benennen und an der sichtbaren Station zeigen.	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	NO_RED_INK_ATOM_DRILL_ONLY
EX-23	AL_AR_SWAP	H5-S001	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	chochor cho chodaly aiin cho kchol otchor oky ral	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	HO+OR | HO | HO+AR+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Ziel wird Quelle	READBACK_PLUS_VISIBLE_OWNER	Quelle und Ziel laut benennen und an der sichtbaren Station zeigen.	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	NO_RED_INK_ATOM_DRILL_ONLY
EX-24	AL_AR_SWAP	H5-S004	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	choky chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	OK+Y | OK+CHEO | KCH+AR	Ziel wird Quelle	READBACK_PLUS_VISIBLE_OWNER	Quelle und Ziel laut benennen und an der sichtbaren Station zeigen.	Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	NO_RED_INK_ATOM_DRILL_ONLY
EX-25	DROP_DUPLICATE_REORDER	H1-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	dchey cthoor char chty os kair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	CTH+OR | DCHE+Y | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	die ersten beiden Arbeitsschritte tauschen ihre Reihenfolge	MASTER_EXEMPLAR_COMPARISON	Kartenanzahl und Reihenfolge gegen die Vorlage zurückzählen.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-26	DROP_DUPLICATE_REORDER	H1-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	choky otol chol cthy	OK+Y | OT+OL | OL | CTH+Y	OT+OL | OK+Y | OL | CTH+Y	die ersten beiden Arbeitsschritte tauschen ihre Reihenfolge	MASTER_EXEMPLAR_COMPARISON	Kartenanzahl und Reihenfolge gegen die Vorlage zurückzählen.	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	NO_RED_INK_ATOM_DRILL_ONLY
EX-27	DROP_DUPLICATE_REORDER	H2-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	ycheor cthy chor cthaiin qoctholy chy chey aiin dy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	CTH+Y | Y+CHEO+OR | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	die ersten beiden Arbeitsschritte tauschen ihre Reihenfolge	MASTER_EXEMPLAR_COMPARISON	Kartenanzahl und Reihenfolge gegen die Vorlage zurückzählen.	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	NO_RED_INK_ATOM_DRILL_ONLY
EX-28	DROP_DUPLICATE_REORDER	H2-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	otchor or otol cheol cholor rol chaiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	OR | OT+OR | OT+OL | OL | OL+OR | OL | AIIN | AR	die ersten beiden Arbeitsschritte tauschen ihre Reihenfolge	MASTER_EXEMPLAR_COMPARISON	Kartenanzahl und Reihenfolge gegen die Vorlage zurückzählen.	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-29	DROP_DUPLICATE_REORDER	H2-S003	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	oykchor or chor y kaiiin chy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	OR | Y+KCH+OR | OR | Y | IIN | Y | HO+AIIN	die ersten beiden Arbeitsschritte tauschen ihre Reihenfolge	MASTER_EXEMPLAR_COMPARISON	Kartenanzahl und Reihenfolge gegen die Vorlage zurückzählen.	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	NO_RED_INK_ATOM_DRILL_ONLY
EX-30	DROP_DUPLICATE_REORDER	H3-S001	f11r	der ganzen dicht blau bekrönten Bildpflanze	tshol schoal cfhy shfydaiin cphy cheey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	HO+AL | HO+L | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	die ersten beiden Arbeitsschritte tauschen ihre Reihenfolge	MASTER_EXEMPLAR_COMPARISON	Kartenanzahl und Reihenfolge gegen die Vorlage zurückzählen.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	NO_RED_INK_ATOM_DRILL_ONLY
EX-31	DROP_DUPLICATE_REORDER	H3-S003	f11r	der ganzen dicht blau bekrönten Bildpflanze	dchol chy kchy y daiin	PREV+OL | Y | KCH+Y | Y | AIIN	Y | PREV+OL | KCH+Y | Y | AIIN	die ersten beiden Arbeitsschritte tauschen ihre Reihenfolge	MASTER_EXEMPLAR_COMPARISON	Kartenanzahl und Reihenfolge gegen die Vorlage zurückzählen.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	NO_RED_INK_ATOM_DRILL_ONLY
EX-32	DROP_DUPLICATE_REORDER	H3-S004	f11r	der ganzen dicht blau bekrönten Bildpflanze	otchey okchol checthy y	OT+Y | OK+OL | CTH+Y | Y	OK+OL | OT+Y | CTH+Y | Y	die ersten beiden Arbeitsschritte tauschen ihre Reihenfolge	MASTER_EXEMPLAR_COMPARISON	Kartenanzahl und Reihenfolge gegen die Vorlage zurückzählen.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	NO_RED_INK_ATOM_DRILL_ONLY
