exercise_id	surface	component_recipe	abstract_core_de	workshop_scene_prompt_de	workshop_reading_de	diagram_scene_prompt_de	diagram_reading_de	apprentice_decision_de
P934-X11	chol	OL	FORTSETZUNG	Die Karte steht in einem laufenden Arbeitsfeld.	im selben Arbeitsgang fortfahren	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	dieselbe Reihe fortführen	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X12	ar	AR	QUELLE	Die Karte steht in einem laufenden Arbeitsfeld.	Entnahmestelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Quell- oder Bezugsstelle	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X13	dar	D_ADDR+AR	UNTERADRESSE → QUELLE	Die Karte steht in einem laufenden Arbeitsfeld.	bezeichneter Teil; Entnahmestelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Unterplatz; Quell- oder Bezugsstelle	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X14	cheey	SH+EE+Y	HALTEN → GRAD_2 → REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bezug festhalten; zweiter Grad; dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X15	chy	Y	REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X16	otar	OT+AR	NAECHSTER → QUELLE	Die Karte steht in einem laufenden Arbeitsfeld.	danach oder nächster Posten; Entnahmestelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	nächster Bildplatz; Quell- oder Bezugsstelle	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X17	okar	OK+AR	AKTIVIEREN → QUELLE	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgang ansetzen; Entnahmestelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildplatz aktivieren; Quell- oder Bezugsstelle	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X18	sar	S+AR	AUSWAHL → QUELLE	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsvariante auswählen; Entnahmestelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildklasse auswählen; Quell- oder Bezugsstelle	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X19	al	AL	ZIEL	Die Karte steht in einem laufenden Arbeitsfeld.	Ziel- oder Anschlussstelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Zielplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X20	am	AM_ADDR	INNENADRESSE	Die Karte steht in einem laufenden Arbeitsfeld.	Innenstelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Innenplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X21	okal	OK+AL	AKTIVIEREN → ZIEL	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildplatz aktivieren; Zielplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X22	oky	OK+Y	AKTIVIEREN → REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildplatz aktivieren; dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X23	saiin	S+AIIN	AUSWAHL → SOLLWERT	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsvariante auswählen; Sollmaß	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildklasse auswählen; verzeichneter Sollwert	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X24	chdy	CHD+Y	WECHSEL → REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X25	o	O	LAUF	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgang ausführen	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Reihe aufrufen	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X26	okeey	OK+EE+Y	AKTIVIEREN → GRAD_2 → REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgang ansetzen; länger oder gehalten; dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X27	d	D_ADDR	UNTERADRESSE	Die Karte steht in einem laufenden Arbeitsfeld.	bezeichneter Teil	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Unterplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X28	okedy	OK+E+DY	AKTIVIEREN → GRAD_1 → ABSCHLUSS	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsschritt schließen	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X29	okeedy	OK+EE+DY	AKTIVIEREN → GRAD_2 → ABSCHLUSS	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X30	oteey	OT+EE+Y	NAECHSTER → GRAD_2 → REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	nächster Bildplatz; zweiter Grad; dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
