pair_support_id	target_matrix_cell_id	target_frame	target_action_recipe	target_register	ordered_action_pair	ordered_reading_de	pair_status	pair_exact_recipe_type_count	pair_event_count	pair_clean_recipe_type_count	pair_register_count	pair_registers	pair_attested_in_target_register	licensed_grades	licensed_arguments	endpoint_license	guard
G501-P011	G498-M276	@ACTION+CHD+Y	CH+CHD+Y	SOURCE_SECTION_T	CH+CHD	NEHMEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P012	G498-M294	@ACTION+CHD+Y	S+CHD+Y	CELESTIAL	S+CHD	WÄHLEN → BEARBEITEN	PAIR_ATTESTED	2	4	2	1	BIOLOGICAL	NO	NONE	Y	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P013	G498-M295	@ACTION+CHD+Y	S+CHD+Y	PHARMA	S+CHD	WÄHLEN → BEARBEITEN	PAIR_ATTESTED	2	4	2	1	BIOLOGICAL	NO	NONE	Y	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P014	G498-M291	@ACTION+CHD+Y	S+CHD+Y	SOURCE_SECTION_T	S+CHD	WÄHLEN → BEARBEITEN	PAIR_ATTESTED	2	4	2	1	BIOLOGICAL	NO	NONE	Y	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P015	G498-M284	@ACTION+CHD+Y	SH+CHD+Y	CELESTIAL	SH+CHD	HALTEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P016	G498-M285	@ACTION+CHD+Y	SH+CHD+Y	PHARMA	SH+CHD	HALTEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P017	G498-M281	@ACTION+CHD+Y	SH+CHD+Y	SOURCE_SECTION_T	SH+CHD	HALTEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P018	G498-M254	@ACTION+CH+E+Y	CHD+CH+E+Y	CELESTIAL	CHD+CH	BEARBEITEN → NEHMEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P019	G498-M255	@ACTION+CH+E+Y	CHD+CH+E+Y	PHARMA	CHD+CH	BEARBEITEN → NEHMEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P020	G498-M269	@ACTION+CH+E+Y	P+CH+E+Y	CELESTIAL	P+CH	EINSETZEN → NEHMEN	PAIR_ATTESTED	16	16	15	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	YES	E|EE	Y|AIIN|OR	CLOSE_SLOT_ATTESTED	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P021	G498-M270	@ACTION+CH+E+Y	P+CH+E+Y	PHARMA	P+CH	EINSETZEN → NEHMEN	PAIR_ATTESTED	16	16	15	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	YES	E|EE	Y|AIIN|OR	CLOSE_SLOT_ATTESTED	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P022	G498-M239	@ACTION+CH+E+Y	SH+CH+E+Y	CELESTIAL	SH+CH	HALTEN → NEHMEN	PAIR_ATTESTED	2	2	2	2	BIOLOGICAL|PHARMA	NO	E	Y|OR	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P023	G498-M240	@ACTION+CH+E+Y	SH+CH+E+Y	PHARMA	SH+CH	HALTEN → NEHMEN	PAIR_ATTESTED	2	2	2	2	BIOLOGICAL|PHARMA	YES	E	Y|OR	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P024	G498-M460	CH+@ACTION	CH+CH	PHARMA	CH+CH	NEHMEN → NEHMEN	PAIR_ATTESTED	5	7	3	3	HERBAL|BIOLOGICAL|CELESTIAL	NO	E	Y|OR	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P025	G498-M456	CH+@ACTION	CH+CH	SOURCE_SECTION_T	CH+CH	NEHMEN → NEHMEN	PAIR_ATTESTED	5	7	3	3	HERBAL|BIOLOGICAL|CELESTIAL	NO	E	Y|OR	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P026	G498-M299	@ACTION+CHD+Y	CHD+CHD+Y	CELESTIAL	CHD+CHD	BEARBEITEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P027	G498-M300	@ACTION+CHD+Y	CHD+CHD+Y	PHARMA	CHD+CHD	BEARBEITEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P028	G498-M296	@ACTION+CHD+Y	CHD+CHD+Y	SOURCE_SECTION_T	CHD+CHD	BEARBEITEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P029	G498-M234	@ACTION+CH+E+Y	CH+CH+E+Y	CELESTIAL	CH+CH	NEHMEN → NEHMEN	PAIR_ATTESTED	5	7	3	3	HERBAL|BIOLOGICAL|CELESTIAL	YES	E	Y|OR	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P030	G498-M235	@ACTION+CH+E+Y	CH+CH+E+Y	PHARMA	CH+CH	NEHMEN → NEHMEN	PAIR_ATTESTED	5	7	3	3	HERBAL|BIOLOGICAL|CELESTIAL	NO	E	Y|OR	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
