frontier_priority_rank	frontier_tier_rank	frontier_support_tier	frontier_support_reason	source_matrix_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_component_trace_de	current_default_phrase_de	gdt500_editorial_status	component_count	partial_candidate_count	exact_partial_witness_count	same_register_action_partial_count	same_register_action_partial_recipes	same_register_action_partial_event_count	same_register_near_deletion_count	same_register_near_deletion_recipes	same_register_near_deletion_event_count	longest_same_register_action_partial_length	same_register_frame_backbone_count	same_register_frame_backbone_recipes	same_register_frame_backbone_event_count	cross_register_action_partial_count	cross_register_action_partial_event_count	cross_register_near_deletion_count	cross_register_near_deletion_event_count	longest_cross_register_action_partial_length	ordered_action_pair	ordered_pair_attested	ordered_pair_attested_in_target_register	ordered_pair_event_count	ordered_pair_register_count	all_component_value_cells_old	evidence_status_retained	working_root_meaning_changed	current_phrase_changed	surface_prediction_made	occurrence_prediction_made	guard
11	11	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M299	@ACTION+CHD+Y	CHD	CHD+CHD+Y	CELESTIAL	BEARBEITEN · BEARBEITEN · POSTEN	EINTRAG BEARBEITEN · EINTRAG BEARBEITEN · POSITIONSPOSTEN	Bearbeite den Positionsposten zweimal.	REPEATED_ACTION_COMPRESSED	3	2	5	1	CHD+Y	2	1	CHD+Y	2	2	0	NONE	0	1	105	1	105	2	CHD+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
12	12	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M390	@ACTION+OR+Y	CHD	CHD+OR+Y	PHARMA	BEARBEITEN · EINHEIT · POSTEN	ANSATZ BEARBEITEN · ANSATZEINHEIT · DROGENPOSTEN	Bearbeite die Ansatzeinheit und den Drogenposten.	UNCHANGED	3	3	8	1	CHD+Y	1	1	CHD+Y	1	2	1	OR+Y	1	2	107	2	107	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
13	13	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M206	@ACTION+AL+Y	CHD	CHD+AL+Y	SOURCE_SECTION_T	BEARBEITEN · ZIELORT · POSTEN	EINTRAG BEARBEITEN · ZIELSPALTE · LAUFENDER EINTRAG	Bearbeite den laufenden Eintrag; zur Zielspalte.	UNCHANGED	3	3	10	1	CHD+Y	1	1	CHD+Y	1	2	0	NONE	0	2	108	2	108	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
14	14	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M300	@ACTION+CHD+Y	CHD	CHD+CHD+Y	PHARMA	BEARBEITEN · BEARBEITEN · POSTEN	ANSATZ BEARBEITEN · ANSATZ BEARBEITEN · DROGENPOSTEN	Bearbeite den Drogenposten zweimal.	REPEATED_ACTION_COMPRESSED	3	2	5	1	CHD+Y	1	1	CHD+Y	1	2	0	NONE	0	1	106	1	106	2	CHD+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
15	15	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M296	@ACTION+CHD+Y	CHD	CHD+CHD+Y	SOURCE_SECTION_T	BEARBEITEN · BEARBEITEN · POSTEN	EINTRAG BEARBEITEN · EINTRAG BEARBEITEN · LAUFENDER EINTRAG	Bearbeite den laufenden Eintrag zweimal.	REPEATED_ACTION_COMPRESSED	3	2	5	1	CHD+Y	1	1	CHD+Y	1	2	0	NONE	0	1	106	1	106	2	CHD+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
16	16	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M196	@ACTION+AL+Y	K	K+AL+Y	SOURCE_SECTION_T	GEBEN · ZIELORT · POSTEN	ZUORDNEN · ZIELSPALTE · LAUFENDER EINTRAG	Ordne den laufenden Eintrag zu; zur Zielspalte.	UNCHANGED	3	3	10	1	K+Y	1	1	K+Y	1	2	0	NONE	0	2	11	2	11	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
17	1	B_SAME_REGISTER_ACTION_PARTIAL	EXACT_ACTION_RETAINING_SHORTER_RECIPE_SAME_REGISTER	G498-M254	@ACTION+CH+E+Y	CHD	CHD+CH+E+Y	CELESTIAL	BEARBEITEN · NEHMEN · GRAD I · POSTEN	EINTRAG BEARBEITEN · POSITION AUFNEHMEN · GRAD I · POSITIONSPOSTEN	Bearbeite den Positionsposten und nimm den Positionsposten auf; auf Grad I.	UNCHANGED	4	10	12	1	CHD+Y	2	0	NONE	0	2	1	CH+E	1	1	105	0	0	2	CHD+CH	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
18	2	B_SAME_REGISTER_ACTION_PARTIAL	EXACT_ACTION_RETAINING_SHORTER_RECIPE_SAME_REGISTER	G498-M255	@ACTION+CH+E+Y	CHD	CHD+CH+E+Y	PHARMA	BEARBEITEN · NEHMEN · GRAD I · POSTEN	ANSATZ BEARBEITEN · DROGENPOSTEN NEHMEN · GRAD I · DROGENPOSTEN	Bearbeite den Drogenposten und nimm den Drogenposten; auf Grad I.	UNCHANGED	4	10	12	1	CHD+Y	1	0	NONE	0	2	2	E+Y|CH+E+Y	2	1	106	0	0	2	CHD+CH	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
19	3	B_SAME_REGISTER_ACTION_PARTIAL	EXACT_ACTION_RETAINING_SHORTER_RECIPE_SAME_REGISTER	G498-M234	@ACTION+CH+E+Y	CH	CH+CH+E+Y	CELESTIAL	NEHMEN · NEHMEN · GRAD I · POSTEN	POSITION AUFNEHMEN · POSITION AUFNEHMEN · GRAD I · POSITIONSPOSTEN	Nimm den Positionsposten zweimal auf; auf Grad I.	REPEATED_ACTION_COMPRESSED	4	7	7	1	CH+E	1	0	NONE	0	2	0	NONE	0	1	5	1	5	3	CH+CH	YES	YES	7	3	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
20	1	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M284	@ACTION+CHD+Y	SH	SH+CHD+Y	CELESTIAL	HALTEN · BEARBEITEN · POSTEN	POSITION HALTEN · EINTRAG BEARBEITEN · POSITIONSPOSTEN	Halte den Positionsposten und bearbeite den Positionsposten.	UNCHANGED	3	3	6	0	NONE	0	0	NONE	0	0	1	CHD+Y	2	1	1	1	1	2	SH+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
21	2	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M270	@ACTION+CH+E+Y	P	P+CH+E+Y	PHARMA	EINSETZEN · NEHMEN · GRAD I · POSTEN	ZUTAT EINSETZEN · DROGENPOSTEN NEHMEN · GRAD I · DROGENPOSTEN	Setze den Drogenposten ein und nimm den Drogenposten; auf Grad I.	UNCHANGED	4	10	8	0	NONE	0	0	NONE	0	0	2	E+Y|CH+E+Y	2	1	1	0	0	2	P+CH	YES	YES	16	4	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
22	3	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M294	@ACTION+CHD+Y	S	S+CHD+Y	CELESTIAL	WÄHLEN · BEARBEITEN · POSTEN	POSITION WÄHLEN · EINTRAG BEARBEITEN · POSITIONSPOSTEN	Wähle den Positionsposten und bearbeite den Positionsposten.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	1	CHD+Y	2	0	0	0	0	0	S+CHD	YES	NO	4	1	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
23	4	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M279	@ACTION+CHD+Y	CH	CH+CHD+Y	CELESTIAL	NEHMEN · BEARBEITEN · POSTEN	POSITION AUFNEHMEN · EINTRAG BEARBEITEN · POSITIONSPOSTEN	Nimm den Positionsposten auf und bearbeite den Positionsposten.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	1	CHD+Y	2	0	0	0	0	0	CH+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
24	5	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M405	@ACTION+OR+Y	P	P+OR+Y	PHARMA	EINSETZEN · EINHEIT · POSTEN	ZUTAT EINSETZEN · ANSATZEINHEIT · DROGENPOSTEN	Setze die Ansatzeinheit und den Drogenposten ein.	UNCHANGED	3	3	3	0	NONE	0	0	NONE	0	0	1	OR+Y	1	1	1	1	1	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
25	6	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M285	@ACTION+CHD+Y	SH	SH+CHD+Y	PHARMA	HALTEN · BEARBEITEN · POSTEN	ANSATZ HALTEN · ANSATZ BEARBEITEN · DROGENPOSTEN	Halte den Drogenposten und bearbeite den Drogenposten.	UNCHANGED	3	3	6	0	NONE	0	0	NONE	0	0	1	CHD+Y	1	1	1	1	1	2	SH+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
26	7	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M281	@ACTION+CHD+Y	SH	SH+CHD+Y	SOURCE_SECTION_T	HALTEN · BEARBEITEN · POSTEN	FESTHALTEN · EINTRAG BEARBEITEN · LAUFENDER EINTRAG	Halte den laufenden Eintrag fest und bearbeite den laufenden Eintrag.	UNCHANGED	3	3	6	0	NONE	0	0	NONE	0	0	1	CHD+Y	1	1	1	1	1	2	SH+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
27	8	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M269	@ACTION+CH+E+Y	P	P+CH+E+Y	CELESTIAL	EINSETZEN · NEHMEN · GRAD I · POSTEN	EINTRAG EINSETZEN · POSITION AUFNEHMEN · GRAD I · POSITIONSPOSTEN	Setze den Positionsposten ein und nimm den Positionsposten auf; auf Grad I.	UNCHANGED	4	10	8	0	NONE	0	0	NONE	0	0	1	CH+E	1	1	1	0	0	2	P+CH	YES	YES	16	4	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
28	9	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M295	@ACTION+CHD+Y	S	S+CHD+Y	PHARMA	WÄHLEN · BEARBEITEN · POSTEN	DROGENPOSTEN WÄHLEN · ANSATZ BEARBEITEN · DROGENPOSTEN	Wähle den Drogenposten und bearbeite den Drogenposten.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	1	CHD+Y	1	0	0	0	0	0	S+CHD	YES	NO	4	1	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
29	10	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M291	@ACTION+CHD+Y	S	S+CHD+Y	SOURCE_SECTION_T	WÄHLEN · BEARBEITEN · POSTEN	AUSWÄHLEN · EINTRAG BEARBEITEN · LAUFENDER EINTRAG	Wähle den laufenden Eintrag und bearbeite den laufenden Eintrag.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	1	CHD+Y	1	0	0	0	0	0	S+CHD	YES	NO	4	1	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
30	11	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M280	@ACTION+CHD+Y	CH	CH+CHD+Y	PHARMA	NEHMEN · BEARBEITEN · POSTEN	DROGENPOSTEN NEHMEN · ANSATZ BEARBEITEN · DROGENPOSTEN	Nimm den Drogenposten und bearbeite den Drogenposten.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	1	CHD+Y	1	0	0	0	0	0	CH+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
31	12	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M276	@ACTION+CHD+Y	CH	CH+CHD+Y	SOURCE_SECTION_T	NEHMEN · BEARBEITEN · POSTEN	ENTNEHMEN · EINTRAG BEARBEITEN · LAUFENDER EINTRAG	Entnimm den laufenden Eintrag und bearbeite den laufenden Eintrag.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	1	CHD+Y	1	0	0	0	0	0	CH+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
32	13	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M369	@ACTION+OR+Y	CH	CH+OR+Y	CELESTIAL	NEHMEN · EINHEIT · POSTEN	POSITION AUFNEHMEN · POSITIONSEINHEIT · POSITIONSPOSTEN	Nimm die Positionseinheit und den Positionsposten auf.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	0	NONE	0	1	23	1	23	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
33	14	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M379	@ACTION+OR+Y	K	K+OR+Y	CELESTIAL	GEBEN · EINHEIT · POSTEN	WERT ZUORDNEN · POSITIONSEINHEIT · POSITIONSPOSTEN	Ordne die Positionseinheit und den Positionsposten zu.	UNCHANGED	3	3	9	0	NONE	0	0	NONE	0	0	0	NONE	0	2	11	2	11	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
34	15	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M202	@ACTION+AL+Y	S	S+AL+Y	HERBAL	WÄHLEN · ZIELORT · POSTEN	PFLANZENTEIL WÄHLEN · ZIELSTELLE · PFLANZENPOSTEN	Wähle den Pflanzenposten; zur Zielstelle.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	0	NONE	0	1	10	1	10	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
35	16	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M201	@ACTION+AL+Y	S	S+AL+Y	SOURCE_SECTION_T	WÄHLEN · ZIELORT · POSTEN	AUSWÄHLEN · ZIELSPALTE · LAUFENDER EINTRAG	Wähle den laufenden Eintrag; zur Zielspalte.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	0	NONE	0	1	10	1	10	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
36	17	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M192	@ACTION+AL+Y	SH	SH+AL+Y	HERBAL	HALTEN · ZIELORT · POSTEN	MATERIAL HALTEN · ZIELSTELLE · PFLANZENPOSTEN	Halte den Pflanzenposten; zur Zielstelle.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	0	NONE	0	2	2	2	2	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
