master_card_id	master_form	registered_surfaces	concrete_default_de	curriculum_layer	occurrence_count	event_ids	records	pages	value_invariant	learning_rule
MC055	char	char|dar	davon	COMMON_BIOLOGICAL_HERBAL_CORE	2	E003|E031	H1|H2	f10r	YES	reuse known card and keep the same short value
MC062	shoyty	shoyty	Zugabeteil	HERBAL_LOCAL_NOUN_SIGN	1	E046	H3	f11r	YES	learn one new pictured-material/container/preparation sign
MC068	sotodan	sotodan	Folgeanwendung	HERBAL_LOCAL_OPERATION_SIGN	1	E097	H5	f56r	YES	learn or decompose one Herbal-specific work operation
MC069	otytchol	otytchol	Folgeteil	HERBAL_LOCAL_NOUN_SIGN	1	E007	H1	f10r	YES	learn one new pictured-material/container/preparation sign
MC071	dchey	dchey	Wurzel	HERBAL_LOCAL_NOUN_SIGN	1	E001	H1	f10r	YES	learn one new pictured-material/container/preparation sign
MC072	orain	orain	Bereitungsanteil	HERBAL_LOCAL_NOUN_SIGN	1	E073	H4	f55v	YES	learn one new pictured-material/container/preparation sign
MC074	chdy	chedy	überführen	COMMON_BIOLOGICAL_HERBAL_CORE	1	E062	H4	f55v	YES	reuse known card and keep the same short value
MC075	ycheor	ycheor	Auszugsansatz	HERBAL_LOCAL_NOUN_SIGN	1	E015	H2	f10r	YES	learn one new pictured-material/container/preparation sign
MC077	kchal	kchal	Zielbearbeitung	HERBAL_LOCAL_OPERATION_SIGN	1	E093	H5	f56r	YES	learn or decompose one Herbal-specific work operation
MC080	chor	chor|shor|or	Ansatz	COMMON_BIOLOGICAL_HERBAL_CORE	5	E017|E025|E033|E034|E071	H2|H4	f10r|f55v	YES	reuse known card and keep the same short value
MC085	cheoar	cheoar	Quellauszug	HERBAL_LOCAL_NOUN_SIGN	1	E065	H4	f55v	YES	learn one new pictured-material/container/preparation sign
MC086	chety	chty	Teil	COMMON_BIOLOGICAL_HERBAL_CORE	1	E004	H1	f10r	YES	reuse known card and keep the same short value
MC087	chodaiin	chodaiin	Zugabemaß	HERBAL_LOCAL_NOUN_SIGN	1	E038	H2	f10r	YES	learn one new pictured-material/container/preparation sign
MC090	kchol	kchol	weiter bearbeiten	HERBAL_LOCAL_OPERATION_SIGN	1	E079	H5	f56r	YES	learn or decompose one Herbal-specific work operation
MC098	tshol	tshol	Kochgut	HERBAL_LOCAL_NOUN_SIGN	1	E039	H3	f11r	YES	learn one new pictured-material/container/preparation sign
MC099	cheeckhody	cheeckhody	auftragen; Schluss	HERBAL_LOCAL_OPERATION_SIGN	1	E086	H5	f56r	YES	learn or decompose one Herbal-specific work operation
MC100	ody	ody	abkühlen; Schluss	HERBAL_LOCAL_OPERATION_SIGN	1	E060	H4	f55v	YES	learn or decompose one Herbal-specific work operation
MC103	qokchy	qokchy|okchy|chokchy	weiterbearbeiten	HERBAL_LOCAL_OPERATION_SIGN	3	E011|E091|E095	H1|H5	f10r|f56r	YES	learn or decompose one Herbal-specific work operation
MC104	keol	keol	kurz weiterbearbeiten	HERBAL_LOCAL_OPERATION_SIGN	1	E099	H5	f56r	YES	learn or decompose one Herbal-specific work operation
MC107	qotchy	qotchy	nächster Posten	HERBAL_LOCAL_OPERATION_SIGN	1	E052	H3	f11r	YES	learn or decompose one Herbal-specific work operation
MC108	etyd	etyd	kleiner Rest	HERBAL_LOCAL_NOUN_SIGN	1	E010	H1	f10r	YES	learn one new pictured-material/container/preparation sign
MC111	shfydaiin	shfydaiin	Stehzeit	HERBAL_LOCAL_OPERATION_SIGN	1	E042	H3	f11r	YES	learn or decompose one Herbal-specific work operation
MC114	sh	sh	Stängel	HERBAL_LOCAL_NOUN_SIGN	1	E087	H5	f56r	YES	learn one new pictured-material/container/preparation sign
MC115	qoctholy	qoctholy	bereiter Folgeposten	HERBAL_LOCAL_OPERATION_SIGN	1	E019	H2	f10r	YES	learn or decompose one Herbal-specific work operation
MC117	kchy	kchy	Bearbeiten	HERBAL_LOCAL_OPERATION_SIGN	1	E049	H3	f11r	YES	learn or decompose one Herbal-specific work operation
MC119	cheey	shey	Klarlauf	COMMON_BIOLOGICAL_HERBAL_CORE	1	E044	H3	f11r	YES	reuse known card and keep the same short value
MC120	okaiin	qokaiin	bemessen	COMMON_BIOLOGICAL_HERBAL_CORE	1	E056	H4	f55v	YES	reuse known card and keep the same short value
MC122	kchey	kchey	Kurzbearbeitung	HERBAL_LOCAL_OPERATION_SIGN	1	E089	H5	f56r	YES	learn or decompose one Herbal-specific work operation
MC123	chey	dy|chy|shy|y	dies	COMMON_BIOLOGICAL_HERBAL_CORE	9	E020|E021|E023|E035|E037|E048|E050|E055|E072	H2|H3|H4	f10r|f11r|f55v	YES	reuse known card and keep the same short value
MC125	chochor	chochor	Zugabeansatz	HERBAL_LOCAL_NOUN_SIGN	1	E074	H5	f56r	YES	learn one new pictured-material/container/preparation sign
MC129	cfhy	cfhy	auswringen	HERBAL_LOCAL_OPERATION_SIGN	1	E041	H3	f11r	YES	learn or decompose one Herbal-specific work operation
MC131	choy	choy	Zugabeposten	HERBAL_LOCAL_NOUN_SIGN	1	E084	H5	f56r	YES	learn one new pictured-material/container/preparation sign
MC136	kchoar	kchoar	bearbeiteter Quellauszug	HERBAL_LOCAL_NOUN_SIGN	1	E096	H5	f56r	YES	learn one new pictured-material/container/preparation sign
MC142	dchol	dchol|schol	vom vorigen	HERBAL_LOCAL_OPERATION_SIGN	2	E047|E083	H3|H5	f11r|f56r	YES	learn or decompose one Herbal-specific work operation
MC148	ykan	ykan	zweite Portion	HERBAL_LOCAL_NOUN_SIGN	1	E059	H4	f55v	YES	learn one new pictured-material/container/preparation sign
MC153	cheol	chol	weiter	COMMON_BIOLOGICAL_HERBAL_CORE	3	E013|E027|E029	H1|H2	f10r	YES	reuse known card and keep the same short value
MC154	al	dal	dorthin	COMMON_BIOLOGICAL_HERBAL_CORE	1	E082	H5	f56r	YES	reuse known card and keep the same short value
MC156	cphy	cphy	nachseihen	HERBAL_LOCAL_OPERATION_SIGN	1	E043	H3	f11r	YES	learn or decompose one Herbal-specific work operation
MC157	cholor	cholor	derselbe Ansatz	COMMON_BIOLOGICAL_HERBAL_CORE	1	E028	H2	f10r	YES	reuse known card and keep the same short value
MC158	cthoor	cthoor	Vorbereitung	HERBAL_LOCAL_OPERATION_SIGN	1	E002	H1	f10r	YES	learn or decompose one Herbal-specific work operation
MC159	os	os	Aufnahmegefäß	HERBAL_LOCAL_NOUN_SIGN	1	E005	H1	f10r	YES	learn one new pictured-material/container/preparation sign
MC160	talam	talam	Verwahrort	HERBAL_LOCAL_NOUN_SIGN	1	E063	H4	f55v	YES	learn one new pictured-material/container/preparation sign
MC161	checthy	cthy	bereit	COMMON_BIOLOGICAL_HERBAL_CORE	3	E014|E016|E054	H1|H2|H3	f10r|f11r	YES	reuse known card and keep the same short value
MC163	qotchol	qotchol	Folgegang	HERBAL_LOCAL_OPERATION_SIGN	1	E012	H1	f10r	YES	learn or decompose one Herbal-specific work operation
MC169	cthaiin	cthaiin	Sollvorbereitung	HERBAL_LOCAL_OPERATION_SIGN	1	E018	H2	f10r	YES	learn or decompose one Herbal-specific work operation
MC170	ykaiin	ykaiin	Sollportion	HERBAL_LOCAL_NOUN_SIGN	1	E064	H4	f55v	YES	learn one new pictured-material/container/preparation sign
MC171	otchey	otchey	das nächste	COMMON_BIOLOGICAL_HERBAL_CORE	1	E098	H5	f56r	YES	reuse known card and keep the same short value
