statement_id	record_unit_id	page	visible_surface_sequence	revised_literal_chain_de	shared_skeleton_de	formula_expansion_de	spoken_clause_de	previous_clause_de
B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	bemessen | Flüssigkeitslauf | dorthin einsetzen | davon | weiter | Anteil | weiter · Anteil | dorthin | weiter | weiter | Zusatz | derselbe Ansatz | weiter | Durchgang · kurz · Zielstelle | Sollmaß | einsetzen · länger · Zielstelle | Sollmaß | durchleiten | überführen; Schluss	bemessen | dorthin einsetzen | davon | weiter | dorthin | weiter | derselbe Ansatz | weiter | Sollmaß | Sollmaß	Fortsetzung mit demselben Ansatz	bemessen; Flüssigkeitslauf; dorthin einsetzen; davon; weiter; Anteil; weiter · Anteil; dorthin; weiter; weiter; Zusatz; derselbe Ansatz; weiter; Durchgang · kurz · Zielstelle; Sollmaß; einsetzen · länger · Zielstelle; Sollmaß; durchleiten; überführen; Schluss.	bemessen; Flüssigkeitslauf; dorthin einsetzen; davon; weiter; Anteil; weiter · Anteil; dorthin; weiter; weiter; Zusatz; damit weiter; weiter; Durchgang · kurz · Zielstelle; Sollmaß; einsetzen · länger · Zielstelle; Sollmaß; durchleiten; überführen; Schluss.
B1-S003	B1	f81v	qol sshkchdy	weiter | halten · bearbeiten · übertragen; schließen	weiter	KEINE KLAMMERFORMEL	weiter; halten · bearbeiten · übertragen; schließen.	weiter; halten · bearbeiten · übertragen; schließen.
B1-S004	B1	f81v	chedy ol shedy	überführen | weiter | kurz absetzen; Schluss	überführen | weiter	KEINE KLAMMERFORMEL	überführen; weiter; kurz absetzen; Schluss.	überführen; weiter; kurz absetzen; Schluss.
B1-S005	B1	f81v	qolchedy	weiterführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	weiterführen; Schluss.	weiterführen; Schluss.
B1-S006	B1	f81v	qokain shckhy dl ral	Anteil zugeben | durchleiten | Zusatz | Zielstelle	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	Anteil zugeben; durchleiten; Zusatz; Zielstelle.	Anteil zugeben; durchleiten; Zusatz; Zielstelle.
B1-S007	B1	f81v	qokchdy	einführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	einführen; Schluss.	einführen; Schluss.
B1-S008	B1	f81v	chey ol cheky ol shedy	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	dies | weiter | weiter	KEINE KLAMMERFORMEL	dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss.	dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss.
B1-S009	B1	f81v	qokedy	kurz einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	kurz einwirken; Schluss.	kurz einwirken; Schluss.
B1-S010	B1	f81v	qokedy	kurz einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	kurz einwirken; Schluss.	kurz einwirken; Schluss.
B1-S011	B1	f81v	chckhy qoky	durchleiten | einsetzen	einsetzen	KEINE KLAMMERFORMEL	durchleiten; einsetzen.	durchleiten; einsetzen.
B1-S012	B1	f81v	lsho qokey lshedy	waschen | kurz einwirken | waschen; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	waschen; kurz einwirken; waschen; schließen.	waschen; kurz einwirken; waschen; schließen.
B1-S013	B1	f81v	lshedy	waschen; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	waschen; schließen.	waschen; schließen.
B1-S014	B1	f81v	chedy qolky lchedal qol otar	überführen | weiter | abführen · übertragen · Zielstelle | weiter | danach · Ausgang	überführen | weiter	KEINE KLAMMERFORMEL	überführen; weiter; abführen · übertragen · Zielstelle; weiter; danach · Ausgang.	überführen; weiter; abführen · übertragen · Zielstelle; weiter; danach · Ausgang.
B1-S015	B1	f81v	ytey okchedy	Posten · kurz · Teil | einführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	Posten · kurz · Teil; einführen; Schluss.	Posten · kurz · Teil; einführen; Schluss.
B1-S016	B1	f81v	qokal okeey qol cheedy	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	dorthin einsetzen | weiter	KEINE KLAMMERFORMEL	dorthin einsetzen; lange einwirken; weiter; kurz absetzen; Schluss.	dorthin einsetzen; lange einwirken; weiter; kurz absetzen; Schluss.
B1-S017	B1	f81v	sal teol dchdy	dorthin | kurz · weiter | übertragen; schließen	dorthin	KEINE KLAMMERFORMEL	dorthin; kurz · weiter; übertragen; schließen.	dorthin; kurz · weiter; übertragen; schließen.
B1-S018	B1	f81v	ly dsheol oiiin olkeedy	abführen · Posten | halten · kurz · weiter | Arbeitsstufe | lange sammeln; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen · Posten; halten · kurz · weiter; Arbeitsstufe; lange sammeln; Schluss.	abführen · Posten; halten · kurz · weiter; Arbeitsstufe; lange sammeln; Schluss.
B1-S019	B1	f81v	tedy	kurz absetzen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	kurz absetzen; Schluss.	kurz absetzen; Schluss.
B1-S020	B1	f81v	cheky shckhedy	kurz wärmen | seihen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	kurz wärmen; seihen; Schluss.	kurz wärmen; seihen; Schluss.
B1-S021	B1	f81v	chal	dorthin	dorthin	KEINE KLAMMERFORMEL	dorthin.	dorthin.
B2-S001	B2	f82r	dchedy	überführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	überführen; Schluss.	überführen; Schluss.
B2-S002	B2	f82r	qolchedy	weiterführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	weiterführen; Schluss.	weiterführen; Schluss.
B2-S003	B2	f82r	qokain dy qokeedy	Anteil zugeben | dies | lange einwirken; Schluss	dies	KEINE KLAMMERFORMEL	Anteil zugeben; dies; lange einwirken; Schluss.	Anteil zugeben; dies; lange einwirken; Schluss.
B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	dorthin einsetzen | abführen · Durchgang · Posten | abführen · übertragen | lange einwirken | abführen · trennen; schließen	dorthin einsetzen	KEINE KLAMMERFORMEL	dorthin einsetzen; abführen · Durchgang · Posten; abführen · übertragen; lange einwirken; abführen · trennen; schließen.	dorthin einsetzen; abführen · Durchgang · Posten; abführen · übertragen; lange einwirken; abführen · trennen; schließen.
B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	einsetzen · Zielstelle · Posten | auffangen · Sollmaß | durchleiten | bemessen | bemessen | bereitstellen · weiter | wärmen · länger · Posten | abziehen; Schluss	bemessen | bemessen	KEINE KLAMMERFORMEL	einsetzen · Zielstelle · Posten; auffangen · Sollmaß; durchleiten; bemessen; bemessen; bereitstellen · weiter; wärmen · länger · Posten; abziehen; Schluss.	einsetzen · Zielstelle · Posten; auffangen · Sollmaß; durchleiten; bemessen; bemessen; bereitstellen · weiter; wärmen · länger · Posten; abziehen; Schluss.
B2-S006	B2	f82r	oteey qokal sheckhy qoky	danach · länger · Posten | dorthin einsetzen | Durchgang · kurz · Posten | einsetzen	dorthin einsetzen | einsetzen	KEINE KLAMMERFORMEL	danach · länger · Posten; dorthin einsetzen; Durchgang · kurz · Posten; einsetzen.	danach · länger · Posten; dorthin einsetzen; Durchgang · kurz · Posten; einsetzen.
B2-S007	B2	f82r	dshedy	absetzen · kurz; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	absetzen · kurz; schließen.	absetzen · kurz; schließen.
B2-S008	B2	f82r	sotaiin qokar shedy	Folgemaß | einsetzen · Ausgang | kurz absetzen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	Folgemaß; einsetzen · Ausgang; kurz absetzen; Schluss.	Folgemaß; einsetzen · Ausgang; kurz absetzen; Schluss.
B2-S009	B2	f82r	solshedy	weiter · absetzen; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	weiter · absetzen; schließen.	weiter · absetzen; schließen.
B2-S010	B2	f82r	qokeey qoky ls cheey	lange einwirken | einsetzen | abführen | Klarauszug	einsetzen | Klarauszug	KEINE KLAMMERFORMEL	lange einwirken; einsetzen; abführen; Klarauszug.	lange einwirken; einsetzen; abführen; Klarauszug.
B2-S011	B2	f82r	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	davon	KEINE KLAMMERFORMEL	Anteil zugeben; davon; Anteil zugeben; lange einwirken; Schluss.	Anteil zugeben; davon; Anteil zugeben; lange einwirken; Schluss.
B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	abführen · Posten | Klarauszug | bereitstellen · kurz · Posten | lange einwirken | abführen · Klarlauf | Sollmaß | dies | einsetzen · vollständig; schließen	Klarauszug | Sollmaß | dies	KEINE KLAMMERFORMEL	abführen · Posten; Klarauszug; bereitstellen · kurz · Posten; lange einwirken; abführen · Klarlauf; Sollmaß; dies; einsetzen · vollständig; schließen.	abführen · Posten; Klarauszug; bereitstellen · kurz · Posten; lange einwirken; abführen · Klarlauf; Sollmaß; dies; einsetzen · vollständig; schließen.
B2-S013	B2	f82r	lchedy	abführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen; Schluss.	abführen; Schluss.
B2-S014	B2	f82r	lar	abführen · Ausgang	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen · Ausgang.	abführen · Ausgang.
B2-S015	B2	f82r	tshey qokeedy	Klarlauf | lange einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	Klarlauf; lange einwirken; Schluss.	Klarlauf; lange einwirken; Schluss.
B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin | abführen · übertragen · Ausgang | teilen | Sollmaß | danach · länger · Posten | bemessen | kurz einwirken | zuführen · übertragen; schließen	dorthin | Sollmaß | bemessen	KEINE KLAMMERFORMEL	dorthin; abführen · übertragen · Ausgang; teilen; Sollmaß; danach · länger · Posten; bemessen; kurz einwirken; zuführen · übertragen; schließen.	dorthin; abführen · übertragen · Ausgang; teilen; Sollmaß; danach · länger · Posten; bemessen; kurz einwirken; zuführen · übertragen; schließen.
B2-S017	B2	f82r	rsheal daldy	halten · kurz · Zielstelle | Zielstelle; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	halten · kurz · Zielstelle; Zielstelle; schließen.	halten · kurz · Zielstelle; Zielstelle; schließen.
B2-S018	B2	f82r	qokeedy	lange einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	lange einwirken; Schluss.	lange einwirken; Schluss.
B2-S019	B2	f82r	rshedy	waschen; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	waschen; schließen.	waschen; schließen.
B2-S020	B2	f82r	qoteedy	danach · länger; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	danach · länger; schließen.	danach · länger; schließen.
B2-S021	B2	f82r	qokeedy	lange einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	lange einwirken; Schluss.	lange einwirken; Schluss.
B2-S022	B2	f82r	lochedy	abführen · übertragen; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen · übertragen; schließen.	abführen · übertragen; schließen.
B3-S001	B3	f83r	olkeedy	lange sammeln; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	lange sammeln; Schluss.	lange sammeln; Schluss.
B3-S002	B3	f83r	qotal chkeedy	danach dorthin | wärmen · länger; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	danach dorthin; wärmen · länger; schließen.	danach dorthin; wärmen · länger; schließen.
B3-S003	B3	f83r	chey daiin chey lchedy	dies | Sollmaß | dies | abführen; Schluss	dies | Sollmaß | dies	zwei Posten unter demselben Sollmaß	dies; Sollmaß; dies; abführen; Schluss.	dies; Sollmaß; dies; abführen; Schluss.
B3-S004	B3	f83r	qokaiin qotal dar	bemessen | danach dorthin | davon	bemessen | davon	KEINE KLAMMERFORMEL	bemessen; danach dorthin; davon.	bemessen; danach dorthin; davon.
B3-S005	B3	f83r	schedy	überführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	überführen; Schluss.	überführen; Schluss.
B3-S006	B3	f83r	chedchy qokal olchedy	übertragen · Posten | dorthin einsetzen | weiterführen; Schluss	dorthin einsetzen	KEINE KLAMMERFORMEL	übertragen · Posten; dorthin einsetzen; weiterführen; Schluss.	übertragen · Posten; dorthin einsetzen; weiterführen; Schluss.
B3-S007	B3	f83r	qokaiin chedy qokeedy	bemessen | überführen | lange einwirken; Schluss	bemessen | überführen	KEINE KLAMMERFORMEL	bemessen; überführen; lange einwirken; Schluss.	bemessen; überführen; lange einwirken; Schluss.
B3-S008	B3	f83r	lchedy	abführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen; Schluss.	abführen; Schluss.
B3-S009	B3	f83r	qoky	einsetzen	einsetzen	KEINE KLAMMERFORMEL	einsetzen.	einsetzen.
B3-S010	B3	f83r	pchedal otedy	zuführen · übertragen · Zielstelle | danach · kurz; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	zuführen · übertragen · Zielstelle; danach · kurz; schließen.	zuführen · übertragen · Zielstelle; danach · kurz; schließen.
B3-S011	B3	f83r	shecthedchy qoky chedy chary	bereitstellen · übertragen · Posten | einsetzen | überführen | Ausgang · Posten	einsetzen | überführen	KEINE KLAMMERFORMEL	bereitstellen · übertragen · Posten; einsetzen; überführen; Ausgang · Posten.	bereitstellen · übertragen · Posten; einsetzen; überführen; Ausgang · Posten.
B3-S012	B3	f83r	sor shedy	Ansatz | kurz absetzen; Schluss	Ansatz	KEINE KLAMMERFORMEL	Ansatz; kurz absetzen; Schluss.	Ansatz; kurz absetzen; Schluss.
B3-S013	B3	f83r	qokaiin chkain shcthey qokedy	bemessen | Anteil | bereitstellen · kurz · Posten | kurz einwirken; Schluss	bemessen	KEINE KLAMMERFORMEL	bemessen; Anteil; bereitstellen · kurz · Posten; kurz einwirken; Schluss.	bemessen; Anteil; bereitstellen · kurz · Posten; kurz einwirken; Schluss.
B3-S014	B3	f83r	okair sheedy	einsetzen · Flüssigkeitslauf | absetzen · länger; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	einsetzen · Flüssigkeitslauf; absetzen · länger; schließen.	einsetzen · Flüssigkeitslauf; absetzen · länger; schließen.
B3-S015	B3	f83r	lchedy	abführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen; Schluss.	abführen; Schluss.
B3-S016	B3	f83r	lo qokchedy	abführen | einführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen; einführen; Schluss.	abführen; einführen; Schluss.
B3-S017	B3	f83r	qokeedy	lange einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	lange einwirken; Schluss.	lange einwirken; Schluss.
B3-S018	B3	f83r	shedy	kurz absetzen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	kurz absetzen; Schluss.	kurz absetzen; Schluss.
B3-S019	B3	f83r	qokshedy	einsetzen · absetzen; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	einsetzen · absetzen; schließen.	einsetzen · absetzen; schließen.
B3-S020	B3	f83r	dal lchedy	dorthin | abführen; Schluss	dorthin	KEINE KLAMMERFORMEL	dorthin; abführen; Schluss.	dorthin; abführen; Schluss.
B3-S021	B3	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	bemessen | bereit | dorthin | dies | Sollmaß | absetzen · Zielstelle | bereitstellen · kurz · Posten | dies | dorthin | bereit | Zielstelle · übertragen; schließen	bemessen | bereit | dorthin | dies | Sollmaß | dies | dorthin | bereit	zwei Posten unter demselben Sollmaß	bemessen; bereit; dorthin; dies; Sollmaß; absetzen · Zielstelle; bereitstellen · kurz · Posten; dies; dorthin; bereit; Zielstelle · übertragen; schließen.	bemessen; bereit; dorthin; dies; Sollmaß; absetzen · Zielstelle; bereitstellen · kurz · Posten; dies; dorthin; bereit; Zielstelle · übertragen; schließen.
B3-S022	B3	f83r	qotchedy	danach · übertragen; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	danach · übertragen; schließen.	danach · übertragen; schließen.
B3-S023	B3	f83r	lchedy	abführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen; Schluss.	abführen; Schluss.
B3-S024	B3	f83r	tchedy	überführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	überführen; Schluss.	überführen; Schluss.
B3-S025	B3	f83r	qokchdy	einführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	einführen; Schluss.	einführen; Schluss.
B3-S026	B3	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	übertragen · Ausgang | absetzen · Sollmaß | überführen | Anteil zugeben | bereit | Zielstelle · Ansatz | lange sammeln; Schluss	überführen | bereit	KEINE KLAMMERFORMEL	übertragen · Ausgang; absetzen · Sollmaß; überführen; Anteil zugeben; bereit; Zielstelle · Ansatz; lange sammeln; Schluss.	übertragen · Ausgang; absetzen · Sollmaß; überführen; Anteil zugeben; bereit; Zielstelle · Ansatz; lange sammeln; Schluss.
B3-S027	B3	f83r	qoteedy	danach · länger; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	danach · länger; schließen.	danach · länger; schließen.
B3-S028	B3	f83r	qokeey qokedy	lange einwirken | kurz einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	lange einwirken; kurz einwirken; Schluss.	lange einwirken; kurz einwirken; Schluss.
B3-S029	B3	f83r	sol cheeety qokedy	weiter | vollständig · Teil | kurz einwirken; Schluss	weiter	KEINE KLAMMERFORMEL	weiter; vollständig · Teil; kurz einwirken; Schluss.	weiter; vollständig · Teil; kurz einwirken; Schluss.
B3-S030	B3	f83r	qoky saiin schedair otchedy	einsetzen | Sollmaß | Flüssigkeitslauf | danach · übertragen; schließen	einsetzen | Sollmaß	KEINE KLAMMERFORMEL	einsetzen; Sollmaß; Flüssigkeitslauf; danach · übertragen; schließen.	einsetzen; Sollmaß; Flüssigkeitslauf; danach · übertragen; schließen.
B3-S031	B3	f83r	qokeedy	lange einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	lange einwirken; Schluss.	lange einwirken; Schluss.
B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	übertragen · Anteil | überführen | danach · kurz · Sollmaß | Folgemaß | danach · kurz; schließen	überführen	KEINE KLAMMERFORMEL	übertragen · Anteil; überführen; danach · kurz · Sollmaß; Folgemaß; danach · kurz; schließen.	übertragen · Anteil; überführen; danach · kurz · Sollmaß; Folgemaß; danach · kurz; schließen.
B3-S033	B3	f83r	ldy	abziehen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abziehen; Schluss.	abziehen; Schluss.
B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly shedy	Arbeitsstufe | bereit | Anteil | Folgemaß | Zielstelle · Posten | kurz absetzen; Schluss	bereit | Anteil	KEINE KLAMMERFORMEL	Arbeitsstufe; bereit; Anteil; Folgemaß; Zielstelle · Posten; kurz absetzen; Schluss.	Arbeitsstufe; bereit; Anteil; Folgemaß; Zielstelle · Posten; kurz absetzen; Schluss.
B4-S001	B4	f83r	qokeedy	lange einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	lange einwirken; Schluss.	lange einwirken; Schluss.
