surface	target_occurrences	allowed_occurrences	pages	loci	ordinal_surface_all_readers_exact_occurrences	zl_surface_split_normalized_all_readers_occurrences	section_counts	language_counts	structural_parse	working_default_de	basis	confidence
saiin	1	109	64	108	89	96	B:27|C:1|H:31|P:5|S:37|T:8	A:27|B:82	s+a+III	Salz, Menge III	SAL_HEAD_HYPOTHESIS	LOW
shcthy	2	29	17	29	26	26	B:8|H:7|S:9|T:5	A:5|B:24	sh+cth+y	feuchtes CTH-Drogenmaterial	INHERITED_CTH	MEDIUM
she	1	22	21	22	17	17	H:18|P:1|S:3	A:12|B:10	sh+e	feucht, attributiv gebunden	INHERITED_E_SHELL	MEDIUM
shecthy	2	18	10	18	17	17	B:11|H:1|S:3|T:3	A:1|B:17	sh+e+cth+y	feuchtes CTH-Drogenmaterial	INHERITED_CTH	MEDIUM
sheecthey	1	1	1	1	1	1	B:1	B:1	sh+ee+cth+ey	feuchtes Drogengut, Form I, Bindungsstufe II	INHERITED_CTH	MEDIUM
sheey	2	127	64	124	105	105	B:27|C:2|H:23|P:11|S:53|T:11	A:33|B:94	sh+ee+y	feucht, Bindungsstufe II	PRODUCTIVE_QUALITY	MEDIUM
sheol	2	90	52	87	71	72	B:25|H:16|P:12|S:27|T:10	A:26|B:64	sh+e+ol	feuchtes Material	OL_QUALITY_TRANSFER	MEDIUM
shey	1	232	76	209	179	181	B:78|H:39|P:7|S:85|T:23	A:40|B:192	sh+e+y	feucht, attributiv gebunden	PRODUCTIVE_QUALITY	MEDIUM
sho	1	106	65	103	93	93	H:88|P:4|S:14	A:92|B:14	sh+o	feuchter Ansatz	INHERITED_PREPARATION_SHELL	MEDIUM
shokaiin	1	4	4	4	1	3	B:1|H:2|S:1	A:2|B:2	sh+o+k+a+III	feucht-heißer Ansatz, Grad III	COMPOSED_PREPARATION_VALUE	LOW_MEDIUM
sol	1	57	37	57	49	51	B:33|H:12|P:5|S:6|T:1	A:16|B:41	s+ol	Salzsubstanz	SAL_HEAD_HYPOTHESIS	LOW
