edition_id	line_id	page	locus	position	token_index	surface	structural_parse	working_default_de	basis	confidence	live_rival_de	allowed_occurrences	allowed_pages	ordinal_surface_all_readers_exact	zl_surface_split_normalized_all_readers
G634-T014	G634-L02	f82v	f82v.36	5	5	sheecthey	sh+ee+cth+ey	feuchtes Drogengut, Form I, Bindungsstufe II	INHERITED_CTH	MEDIUM	feuchte CTH-Form mit zweifachem e	1	1	1	1
G634-T015	G634-L02	f82v	f82v.36	6	6	qokaiin	qo+k+a+III	heiß, Grad III	INHERITED_VALUE	MEDIUM	qo-Rahmen, Hitze III	261	67	1	1
G634-T016	G634-L02	f82v	f82v.36	7	7	daltedy	d+al+t+e+d+y	abgekühltes Material	L_CARRIER_STATE_TRANSFER	LOW	kalte gebundene dal-Form	1	1	1	1
G634-T017	G634-L02	f82v	f82v.36	8	8	rcheald	r+ch+e+al+d; IT2a/RF1b rcheold	getrockneter Wurzelstoff	RADIX_HEAD_PLUS_L_CARRIER	LOW	getrockneter Pflanzenteil	1	1	0	0
G634-T018	G634-L03	f80r	f80r.18	1	1	paiin	p+a+III	Pulver, Menge III	PULVIS_HEAD_HYPOTHESIS	LOW	p-Drogengut, Stufe III	7	7	0	0
G634-T019	G634-L03	f80r	f80r.18	2	2	sheol	sh+e+ol	feuchtes Material	OL_QUALITY_TRANSFER	MEDIUM	feucht gebundene OL-Form	90	52	1	1
G634-T020	G634-L03	f80r	f80r.18	3	3	qokain	qo+k+a+II	heiß, Grad II	INHERITED_VALUE	MEDIUM	qo-Rahmen, Hitze II	273	45	1	1
G634-T021	G634-L03	f80r	f80r.18	4	4	chety	ch+e+t+y	trocken-kalte gebundene Form	REVERSED_QUALITY_CORE	LOW_MEDIUM	gelerntes Ganzwort	18	17	0	0
G634-T022	G634-L03	f80r	f80r.18	5	5	qokeedy	qo+k+ee+d+y	heißer Zustand, Bindungsstufe II	PRODUCTIVE_QUALITY	MEDIUM	heiße Grad-II-Form	292	52	0	0
G634-T023	G634-L03	f80r	f80r.18	6	6	qokar	qo+k+a+r	heiße Portion	A_R_PART_POLARITY	LOW_MEDIUM	heißer Teil; heiße R-Form	153	62	0	0
G634-T024	G634-L03	f80r	f80r.18	7	7	shcthy	sh+cth+y	feuchtes CTH-Drogenmaterial	INHERITED_CTH	MEDIUM	im Herbal feuchtes Blatt-/Krautgut	29	17	1	1
G634-T025	G634-L03	f80r	f80r.18	8	8	qotol	qo+t+ol	kaltes Material	INHERITED_OL	MEDIUM	kalte Zustandsform	43	31	1	1
G634-T026	G634-L03	f80r	f80r.18	9	9	shecthy	sh+e+cth+y	feuchtes CTH-Drogenmaterial	INHERITED_CTH	MEDIUM	im Herbal feuchtes Blatt-/Krautgut	18	10	1	1
G634-T027	G634-L03	f80r	f80r.18	10	10	qokain	qo+k+a+II	heiß, Grad II	INHERITED_VALUE	MEDIUM	qo-Rahmen, Hitze II	273	45	1	1
G634-T028	G634-L03	f80r	f80r.18	11	11	olkam	ol+k+a+m	heißes Material [terminal-M]	OL_K_PLUS_TERMINAL_M	LOW_MEDIUM	OL-Kopf mit positionalem M unbekannter Funktion	11	9	1	1
G634-T029	G634-L04	f80v	f80v.10	1	1	sol	s+ol	Salzsubstanz	SAL_HEAD_HYPOTHESIS	LOW	Samenmaterial	57	37	1	1
G634-T030	G634-L04	f80v	f80v.10	2	2	sheey	sh+ee+y	feucht, Bindungsstufe II	PRODUCTIVE_QUALITY	MEDIUM	Feuchtegrad II	127	64	1	1
G634-T031	G634-L04	f80v	f80v.10	3	3	qokaiin	qo+k+a+III	heiß, Grad III	INHERITED_VALUE	MEDIUM	qo-Rahmen, Hitze III	261	67	1	1
G634-T032	G634-L04	f80v	f80v.10	4	4	shcthy	sh+cth+y	feuchtes CTH-Drogenmaterial	INHERITED_CTH	MEDIUM	im Herbal feuchtes Blatt-/Krautgut	29	17	1	1
G634-T033	G634-L04	f80v	f80v.10	5	5	dolshedy	d+ol+sh+e+d+y	eingeweichtes Material	L_CARRIER_STATE_TRANSFER	LOW	befeuchtetes Material	2	2	1	1
G634-T034	G634-L04	f80v	f80v.10	6	6	qokal	qo+k+a+l	heiße Substanz	A_L_MATERIAL_POLARITY	LOW_MEDIUM	heiße L-Form	180	54	1	1
G634-T035	G634-L04	f80v	f80v.10	7	7	shecthy	sh+e+cth+y	feuchtes CTH-Drogenmaterial	INHERITED_CTH	MEDIUM	im Herbal feuchtes Blatt-/Krautgut	18	10	1	1
G634-T036	G634-L04	f80v	f80v.10	8	8	qotainol	qotain+ol; IT2a/RF1b qotain | ol	kaltes Material, Grad II	TWO_READER_BOUNDARY_NORMALIZATION	MEDIUM	fusioniertes Ganzwort	1	1	0	1
G634-T037	G634-L05	f20v	f20v.10	1	1	shokaiin	sh+o+k+a+III	feucht-heißer Ansatz, Grad III	COMPOSED_PREPARATION_VALUE	LOW_MEDIUM	shoka-Gut, Stufe III	4	4	1	1
G634-T038	G634-L05	f20v	f20v.10	2	2	chocthy	ch+o+cth+y	trockene Blatt-/Krautzubereitung	HERBAL_SECTION_SPECIALIZATION	MEDIUM	global trockene CTH-Drogenzubereitung	17	15	1	1
G634-T039	G634-L05	f20v	f20v.10	3	3	chol	ch+ol	trockenes Material	INHERITED_OL	MEDIUM	Trockenheitsangabe ohne Nomen	343	125	1	1
G634-T040	G634-L05	f20v	f20v.10	4	4	daiin	d+a+III	Grad III	INHERITED_VALUE	MEDIUM	Maß oder Klasse III	721	169	1	1
G634-T041	G634-L05	f20v	f20v.10	5	5	chy	ch+y	trocken, Grundform	PRODUCTIVE_QUALITY	MEDIUM	trockene Grundstufe	162	96	1	1
G634-T042	G634-L05	f20v	f20v.10	6	6	chor	ch+or	Pflanzenteil	INHERITED_OR	LOW_MEDIUM	Reproduktionsteil; trockene r-Trägerform	190	97	1	1
G634-T043	G634-L05	f20v	f20v.10	7	7	ety	e+t+y	gekühlt	LEADING_E_COLD_HYPOTHESIS	LOW	kalt gebundene Form; gelerntes Ganzwort	6	6	1	1
G634-T044	G634-L06	f22v	f22v.15	1	1	sho	sh+o	feuchter Ansatz	INHERITED_PREPARATION_SHELL	MEDIUM	feuchte o-Rahmenform	106	65	1	1
G634-T045	G634-L06	f22v	f22v.15	2	2	cthy	cth+y	Blatt-/Krautgut	HERBAL_SECTION_SPECIALIZATION	MEDIUM	global CTH-Drogenmaterial	92	50	1	1
G634-T046	G634-L06	f22v	f22v.15	3	3	chocthy	ch+o+cth+y	trockene Blatt-/Krautzubereitung	HERBAL_SECTION_SPECIALIZATION	MEDIUM	global trockene CTH-Drogenzubereitung	17	15	1	1
G634-T047	G634-L06	f22v	f22v.15	4	4	qokchy	qo+k+ch+y	heiß-trocken	PRODUCTIVE_QUALITY	MEDIUM	qo-Rahmen, heiß-trocken	64	50	1	1
G634-T048	G634-L06	f22v	f22v.15	5	5	dory	d+or+y	abgemessene Portion	R_CARRIER_STATE_TRANSFER	LOW	unmarkierter Teilwert	4	4	1	1
G634-T049	G634-L07	f114v	f114v.33	1	1	kaiin	k+a+III	heiß, Grad III	INHERITED_VALUE	MEDIUM	Hitze-Klasse III	74	42	1	1
G634-T050	G634-L07	f114v	f114v.33	2	2	sheey	sh+ee+y	feucht, Bindungsstufe II	PRODUCTIVE_QUALITY	MEDIUM	Feuchtegrad II	127	64	1	1
G634-T051	G634-L07	f114v	f114v.33	3	3	oaiin	o+a+III	Ansatzmenge III	O_VALUE_TRANSFER	LOW_MEDIUM	Zubereitung, Menge III	22	19	1	1
G634-T052	G634-L07	f114v	f114v.33	4	4	sheol	sh+e+ol	feuchtes Material	OL_QUALITY_TRANSFER	MEDIUM	feucht gebundene OL-Form	90	52	0	0
G634-T053	G634-L07	f114v	f114v.33	5	5	qoteey	qo+t+ee+y	kalt, Bindungsstufe II	PRODUCTIVE_QUALITY	MEDIUM	kalte Grad-II-Form	40	28	1	1
G634-T054	G634-L07	f114v	f114v.33	6	6	qokeeedy	qo+k+eee+d+y	heißer Zustand, Bindungsstufe III	PRODUCTIVE_QUALITY	LOW_MEDIUM	heiße Grad-III-Form	4	4	0	0
G634-T055	G634-L07	f114v	f114v.33	7	7	cheo	ch+e+o	trocken angesetzte Zubereitung	BOUNDARY_CTH_SHELL	MEDIUM	trockene o-Rahmenform	54	30	0	0
G634-T056	G634-L07	f114v	f114v.33	8	8	ctheey	cth+eey	CTH-Drogenmaterial, Form II	INHERITED_CTH	MEDIUM	im Herbal Blatt-/Krautdroge, Form II	10	9	0	0
G634-T057	G634-L07	f114v	f114v.33	9	9	qokeeo	qo+k+ee+o	heißer Ansatz, Bindungsstufe II	TERMINAL_O_E_LADDER	LOW_MEDIUM	heiße terminale o-Form	17	11	0	0
G634-T058	G634-L07	f114v	f114v.33	10	10	lkealy	l+k+e+al+y	erwärmte Flüssigkeit	LIQUOR_HEAD_HYPOTHESIS	LOW	heiße l-Rahmenform	1	1	1	1
G634-T059	G634-L08	f85r1	f85r1.21	1	1	daiir	d+a+III; IT2a/RF1b daiin	Maß III	TWO_READER_TARGET_LOCUS_NORMALIZATION	MEDIUM	ZL3b AIR-Form; keine globale daiir-Normalisierung	14	14	0	0
G634-T060	G634-L08	f85r1	f85r1.21	2	2	cheody	ch+e+o+d+y	getrockneter Ansatz	O_STATE_TRANSFER	LOW_MEDIUM	trockene innere-o-Zustandsform	69	42	0	0
G634-T061	G634-L08	f85r1	f85r1.21	3	3	oraiin	o+r+a+III	Portion III	DIRECT_OR_VALUE	LOW_MEDIUM	Nominalträger, Stufe III	26	22	1	1
G634-T062	G634-L08	f85r1	f85r1.21	4	4	ol	o+l	Material	INHERITED_OL	LOW_MEDIUM	Mischung; nicht ausgesprochener Eigenschaftsträger	463	108	1	1
G634-T063	G634-L08	f85r1	f85r1.21	5	5	okaiin	o+k+a+III	heiß, Grad III, im Ansatzrahmen	INHERITED_VALUE	MEDIUM	o-Rahmen, Hitze III	200	84	1	1
G634-T064	G634-L08	f85r1	f85r1.21	6	6	cheocthey	ch+e+o+cth+ey	trockene Drogenzubereitung, Form I	INHERITED_CTH	MEDIUM	trockenes CTH-Gut im o-Rahmen	1	1	1	1
G634-T065	G634-L08	f85r1	f85r1.21	7	7	olor	o+l+o+r	Zutat	DIRECT_OL_OR_COMPOUND	LOW_MEDIUM	Materialportion; gelerntes Ganzwort	26	17	1	1
G634-T066	G634-L08	f85r1	f85r1.21	8	8	otedy	o+t+e+d+y	gekühlter Ansatz	O_STATE_TRANSFER	LOW_MEDIUM	kalte o-Rahmen-Zustandsform	131	49	1	1
G634-T067	G634-L08	f85r1	f85r1.21	9	9	qotaiin	qo+t+a+III	kalt, Grad III	INHERITED_VALUE	MEDIUM	Kälte-Klasse III	79	40	1	1
G634-T068	G634-L08	f85r1	f85r1.21	10	10	chor	ch+or	Pflanzenteil	INHERITED_OR	LOW_MEDIUM	Reproduktionsteil; trockene r-Trägerform	190	97	1	1
G634-T069	G634-L08	f85r1	f85r1.21	11	11	chedy	ch+e+d+y	getrockneter Zustand	PRODUCTIVE_QUALITY	MEDIUM	trocken gebundene Form	470	74	0	0
