locus	default_reading
f81v.27	the course is complete; let the liquor return through the side conduit; close the outlet when the basin is full; let the preparation settle until ready; rinse the local part; end this course after one immersion; continue the same prescription.
f82r.2	finish with the ordinary warm bath; finish with the ordinary warm bath; the preparation is ready; the current prescribed portion; use the tempered circulating liquor; continue the same prescription; open the upper outlet; transfer to the next basin.
f82r.3	warm it gently; end this course after one immersion; seat the patient in the lower basin; seat the patient in the lower basin; warm it gently; take the next entry.
f82r.4	take the next entry; close the lower outlet; open the upper outlet; hold the usual measure until ready; retain the same proportion; continue the same prescription; transfer to the next basin; bind this addition to the current preparation.
f82r.7	hold the usual measure until ready; apply before sleep; open the upper outlet; let the preparation settle until ready; seal the vessel after straining; warm it gently; bind this addition to the current preparation; open the upper outlet; use the usual prescribed measure.
f82r.19	the preparation is ready; bind this addition to the current preparation; the preparation is ready; use the tempered circulating liquor; the preparation is ready.
f82r.23	use the usual prescribed measure; immerse the limbs; warm it gently; apply before sleep; in the stated or usual measure; the current prescribed portion; retain the prepared liquor for the next washing; pour the liquor over the local part; keep the body below the marked level.
f82r.26	let the liquor return through the side conduit; use the tempered circulating liquor; continue the same prescription; seat the patient in the lower basin; retain the same proportion; in the stated or usual measure; retain the same proportion; take the next entry; immerse the limbs.
f82r.27	close the outlet when the basin is full; close the lower outlet; close the outlet when the basin is full; use the tempered circulating liquor; complete the local rinsing; end this course after one immersion; use the tempered circulating liquor; seal the vessel after straining.
f83r.3	close the outlet when the basin is full; admit warm water through the upper channel; complete the local rinsing; the current prescribed portion; in the stated or usual measure; the current prescribed portion; pour the liquor over the local part; take the next entry; admit warm water through the upper channel; bind this addition to the current preparation.
f83r.6	finish with the ordinary warm bath; let the liquor return through the side conduit; continue the same prescription; finish with the ordinary warm bath; take the next entry; bind this addition to the current preparation; use the tempered circulating liquor; pour the liquor over the local part; bind this addition to the current preparation.
f83r.8	close the lower outlet; finish with the ordinary warm bath; close the lower outlet; bind this addition to the current preparation; bind this addition to the current preparation; do not let the liquor boil.
f83r.11	use the usual prescribed measure; let the preparation settle until ready; take the next entry; the preparation is ready; immerse the limbs; use the standard bath configuration; rinse the local part; retain the prepared liquor for the next washing; pour the liquor over the local part; admit warm water through the upper channel.
f83r.14	end this course after one immersion; use the tempered circulating liquor; let the preparation settle until ready; retain the prepared liquor for the next washing; continue the same prescription; pour the liquor over the local part; take the next entry; prepared and ready for use; continue the same prescription; the current prescribed portion.
f83r.15	in the stated or usual measure; take the prepared bath; the course is complete; the current prescribed portion; continue the same prescription; prepared and ready for use; complete the local rinsing; seal the vessel after straining; pour the liquor over the local part.
f83r.16	finish with the ordinary warm bath; seal the vessel after straining; retain the same proportion; seat the patient in the lower basin; bind this addition to the current preparation; the preparation is ready; prepared and ready for use; pour the herbal liquor over the affected part.
f83r.20	close the outlet when the basin is full; end this course after one immersion; warm it gently; use the standard bath configuration; with it; likewise under the same heading; keep the body below the marked level; use the standard bath configuration; bind this addition to the current preparation; in the stated or usual measure.
f83r.22	apply before sleep; seal the vessel after straining; use the tempered circulating liquor; immerse the limbs; bind this addition to the current preparation; use for the person shown; apply before sleep; finish with the ordinary warm bath; hold the usual measure until ready.
f83r.24	let the liquor return through the side conduit; prepared and ready for use; continue the same prescription; apply before sleep; immerse the limbs; let the preparation settle until ready.
f83r.25	use the tempered circulating liquor; use the usual measure; warm it gently; use the standard bath configuration; bind this addition to the current preparation; admit warm water through the upper channel.
f83r.26	continue the same prescription; warm it gently; bind this addition to the current preparation; with it; likewise under the same heading; let the preparation settle until ready; seal the vessel after straining.
f83r.27	keep the body below the marked level; bind this addition to the current preparation; use the tempered circulating liquor; end this course after one immersion; end this course after one immersion.
f83r.28	in the stated or usual measure; repeat the preceding direction; seat the patient in the lower basin; use the standard bath configuration; let the preparation settle until ready; use the usual prescribed measure.
f83r.35	in the stated or usual measure; rinse the local part; seat the patient in the lower basin; the preparation is ready; bind this addition to the current preparation.
f83r.37	with it; likewise under the same heading; hold the usual measure until ready; pour the liquor over the local part; allow it to cool; let the preparation settle until ready.
f83r.38	use the usual prescribed measure; the current prescribed portion; close the lower outlet; close the outlet when the basin is full.
f83r.39	the preparation is ready; use the usual prescribed measure; the preparation is ready; allow it to cool.
f83r.41	mix with clean spring water; pour the liquor over the local part; hold until the skin is warmed; continue the same prescription.
f83r.44	repeat the washing; let the preparation settle until ready.
f83r.47	end this course after one immersion; seal the vessel after straining; take the prepared bath.
f83r.48	continue the same prescription; with it; likewise under the same heading; add the strained herbal liquor; use for the person shown; in the stated or usual measure.
f83r.49	with it; likewise under the same heading; the preparation is ready; bind this addition to the current preparation.
f83r.52	allow it to cool; repeat the washing; apply before sleep; with it; likewise under the same heading.
f83r.54	in the stated or usual measure; with it; likewise under the same heading; keep the body below the marked level; the current prescribed portion; apply before sleep.
