component	shelf	atomic_pocket_value_de	workshop_expansion_de	image_expansion_de	total_atom_occurrences	teaching_rule_de
AM_ADDR	FORMAL_ADDRESS_SIGN	INNEN	Innenstelle	Innenplatz	47	Merke nur INNEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CHEO	PRODUCTIVE_CONTRAST_CORE	AUSZUG	Auszug	lokaler Eintrag	45	Merke nur AUSZUG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
DA	PRODUCTIVE_CONTRAST_CORE	ZWEIT	zweite Arbeitsstufe	zweite Bildstufe	38	Merke nur ZWEIT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CARRIER_Q	LOCAL_WRITING_SIGN	EINTRITT	neuen Kartenblock beginnen	Eintrittsform einer Bildkarte	36	Merke nur EINTRITT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
A_ADDR	FORMAL_ADDRESS_SIGN	ADRESSE	lokale Arbeitsstelle	lokale Bildadresse	35	Merke nur ADRESSE; die konkrete Formulierung kommt aus Register und Nachbarkarten.
AIR	PRODUCTIVE_CONTRAST_CORE	LAUFWEG	Flüssigkeits- oder Stationslauf	Ringlauf	33	Merke nur LAUFWEG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CHK	PRODUCTIVE_CONTRAST_CORE	BEHANDLUNG	Arbeitsgegenstand behandeln	Behandlungsklasse	30	Merke nur BEHANDLUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
IIN	PRODUCTIVE_CONTRAST_CORE	STUFE	Arbeitsstufe	Wertstufe	26	Merke nur STUFE; die konkrete Formulierung kommt aus Register und Nachbarkarten.
S_ADDR	FORMAL_ADDRESS_SIGN	STERNORT	bezeichnete s-Stelle	Stern- oder s-Stelle	24	Merke nur STERNORT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
SOLK	LEARNED_WORKSHOP_ROOT	SAMMELN	auffangen	Sammelstelle	22	Merke nur SAMMELN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
EEE	PRODUCTIVE_CONTRAST_CORE	VOLL	vollständig	dritter oder voller Grad	18	Merke nur VOLL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LSH	LEARNED_WORKSHOP_ROOT	SPUELEN	spülen	Spülklasse	17	Merke nur SPUELEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_F	LOCAL_WRITING_SIGN	NEBENPFAD	über einen Nebenpfad	Nebenreihe oder Seitenzweig	13	Merke NEBENPFAD; der Ort erweitert zu „über einen Nebenpfad“ oder „Nebenreihe oder Seitenzweig“.
CPH	LEARNED_WORKSHOP_ROOT	GEGENLAUF	umleiten	Gegenplatz	12	Merke nur GEGENLAUF; die konkrete Formulierung kommt aus Register und Nachbarkarten.
HO	LEARNED_WORKSHOP_ROOT	TEIL	Teil des sichtbaren Gegenstands	Teil oder Mitglied der Bildklasse	11	Merke nur TEIL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
AN	LEARNED_WORKSHOP_ROOT	ZUSATZ	weiteren Posten zugeben	zusätzlicher Eintrag	9	Merke nur ZUSATZ; die konkrete Formulierung kommt aus Register und Nachbarkarten.
G_LABEL	LOCAL_WRITING_SIGN	PRUEFMARKE	Prüfmarke setzen	Prüfmarke am Eintrag	7	Merke PRUEFMARKE; der Ort erweitert zu „Prüfmarke setzen“ oder „Prüfmarke am Eintrag“.
CFH	LEARNED_WORKSHOP_ROOT	TRENNEN	trennen	Trennklasse	5	Merke nur TRENNEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_G	LOCAL_WRITING_SIGN	EINMAL	einmal ausführen	Einzelmarke	5	Merke EINMAL; der Ort erweitert zu „einmal ausführen“ oder „Einzelmarke“.
LOCAL_CHAR_I	LOCAL_WRITING_SIGN	UNTERINDEX	auf der Unterstufe	Unterindex	5	Merke UNTERINDEX; der Ort erweitert zu „auf der Unterstufe“ oder „Unterindex“.
OS	LEARNED_WORKSHOP_ROOT	DAZU	dazu oder außerdem	zusätzlicher Bildposten	4	Merke nur DAZU; die konkrete Formulierung kommt aus Register und Nachbarkarten.
D_LABEL	LOCAL_WRITING_SIGN	RAND	am Rand abschließen	Randmarke	3	Merke RAND; der Ort erweitert zu „am Rand abschließen“ oder „Randmarke“.
S_LABEL	LOCAL_WRITING_SIGN	RAHMEN	im markierten Rahmen	Rahmengrenze	3	Merke RAHMEN; der Ort erweitert zu „im markierten Rahmen“ oder „Rahmengrenze“.
LOCAL_CHAR_B	LOCAL_WRITING_SIGN	PAAR	paarweise entnehmen	Paarmarke	2	Merke PAAR; der Ort erweitert zu „paarweise entnehmen“ oder „Paarmarke“.
M_LOCAL	LOCAL_WRITING_SIGN	MITTE	im Mittelgang ausführen	Mittelplatz	2	Merke MITTE; der Ort erweitert zu „im Mittelgang ausführen“ oder „Mittelplatz“.
Z_ADDR	FORMAL_ADDRESS_SIGN	AUSSEN	am Außenplatz	Außenplatz	2	Merke AUSSEN; der Ort erweitert zu „am Außenplatz“ oder „Außenplatz“.
LD	LEARNED_WORKSHOP_ROOT	BEFESTIGEN	befestigen	Befestigungsstelle	1	Merke nur BEFESTIGEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_J	LOCAL_WRITING_SIGN	VERBUND	im verbundenen Gang	Verbundstelle	1	Merke VERBUND; der Ort erweitert zu „im verbundenen Gang“ oder „Verbundstelle“.
LOCAL_CHAR_Z	LOCAL_WRITING_SIGN	ZWISCHEN	zwischen zwei Stellen	Zwischenadresse	1	Merke ZWISCHEN; der Ort erweitert zu „zwischen zwei Stellen“ oder „Zwischenadresse“.
RESUME_CARD	LEARNED_WORKSHOP_ROOT	WIEDER	vorigen Posten wieder aufnehmen	vorigen Bildbezug wieder aufnehmen	1	Merke nur WIEDER; die konkrete Formulierung kommt aus Register und Nachbarkarten.
