combined_order	source_record	page	event_serial	statement_id	visible_surface	master_card_id	unchanged_atomic_value_de	recipe_phase	concrete_recipe_expansion_de	silent_supply_ids	dictionary_change
17	H3	f11r	55	H3-S004	dy	MC123	dies	READY_BATCH	Dies ist der bereitgestellte Auszug fuer die Stationsarbeit.	A08	NO
18	B4	f83r	326	B4-S004	qokylddy	MC164	Festsetzen; Schluss	PREPARE_STATION	Fixiere die Waschstation fuer die betroffene Stelle.	A09|A10|A11	NO
19	B4	f83r	327	B4-S005	dain	MC059	Einlage	CHARGE_INSERT	Setze die Leineneinlage ein, traenke sie mit dem vorbereiteten Auszug und lasse die Charge laenger darin einwirken.	A08|A09	NO
20	B4	f83r	328	B4-S005	chedy	MC074	überführen	CHARGE_INSERT	Setze die Leineneinlage ein, traenke sie mit dem vorbereiteten Auszug und lasse die Charge laenger darin einwirken.	A08|A09	NO
21	B4	f83r	329	B4-S005	qokeedy	MC082	lange einwirken; Schluss	CHARGE_INSERT	Setze die Leineneinlage ein, traenke sie mit dem vorbereiteten Auszug und lasse die Charge laenger darin einwirken.	A08|A09	NO
22	B4	f83r	330	B4-S006	shckhedy	MC143	durchlassen; Schluss	FIRST_PASS	Lasse den Auszug einmal durch die Einlage in das Aufnahmebecken laufen.	A09|A10	NO
23	B4	f83r	331	B4-S007	shckhedy	MC143	durchlassen; Schluss	SECOND_PASS	Fuehre denselben Auszug ein zweites Mal durch dieselbe Einlage.	A09|A10	NO
24	B4	f83r	332	B4-S008	saiin	MC039	Sollmaß	HOLD_MEASURED_CHARGE	Bemiss den doppelt durchgelassenen Auszug, halte ihn in der Arbeitsstation und lasse ihn kurz auf die Einlage einwirken.	A08|A09	NO
25	B4	f83r	333	B4-S008	cheeky	MC032	länger bearbeiten	HOLD_MEASURED_CHARGE	Bemiss den doppelt durchgelassenen Auszug, halte ihn in der Arbeitsstation und lasse ihn kurz auf die Einlage einwirken.	A08|A09	NO
26	B4	f83r	334	B4-S008	sheey	MC095	Langhalt	HOLD_MEASURED_CHARGE	Bemiss den doppelt durchgelassenen Auszug, halte ihn in der Arbeitsstation und lasse ihn kurz auf die Einlage einwirken.	A08|A09	NO
27	B4	f83r	335	B4-S008	qokedy	MC083	kurz einwirken; Schluss	HOLD_MEASURED_CHARGE	Bemiss den doppelt durchgelassenen Auszug, halte ihn in der Arbeitsstation und lasse ihn kurz auf die Einlage einwirken.	A08|A09	NO
28	B4	f83r	336	B4-S009	shedy	MC128	kurz absetzen; Schluss	SETTLE	Lass den behandelten Auszug kurz im Becken absetzen.	A05	NO
29	B4	f83r	337	B4-S010	oldy	MC019	fertig	MARK_READY	Markiere die geklaerte Waschcharge als fertig.	A08	NO
30	B4	f83r	338	B4-S011	saiin	MC039	Sollmaß	WARM_AND_DRAW_LEFT	Bemiss an der linken Unterlaufstation eine Teilmenge, waerme sie kurz, gib den reservierten Zusatz bei und ziehe eine kleine Fraktion in das untere Gefaess ab.	A07|A10	NO
31	B4	f83r	339	B4-S011	cheky	MC147	kurz wärmen	WARM_AND_DRAW_LEFT	Bemiss an der linken Unterlaufstation eine Teilmenge, waerme sie kurz, gib den reservierten Zusatz bei und ziehe eine kleine Fraktion in das untere Gefaess ab.	A07|A10	NO
32	B4	f83r	340	B4-S011	okeeol	MC150	Langfortsetzung	WARM_AND_DRAW_LEFT	Bemiss an der linken Unterlaufstation eine Teilmenge, waerme sie kurz, gib den reservierten Zusatz bei und ziehe eine kleine Fraktion in das untere Gefaess ab.	A07|A10	NO
33	B4	f83r	341	B4-S011	okain	MC017	Anteil zugeben	WARM_AND_DRAW_LEFT	Bemiss an der linken Unterlaufstation eine Teilmenge, waerme sie kurz, gib den reservierten Zusatz bei und ziehe eine kleine Fraktion in das untere Gefaess ab.	A07|A10	NO
34	B4	f83r	342	B4-S011	chdy	MC074	überführen	WARM_AND_DRAW_LEFT	Bemiss an der linken Unterlaufstation eine Teilmenge, waerme sie kurz, gib den reservierten Zusatz bei und ziehe eine kleine Fraktion in das untere Gefaess ab.	A07|A10	NO
35	B4	f83r	343	B4-S011	sol	MC153	weiter	WARM_AND_DRAW_LEFT	Bemiss an der linken Unterlaufstation eine Teilmenge, waerme sie kurz, gib den reservierten Zusatz bei und ziehe eine kleine Fraktion in das untere Gefaess ab.	A07|A10	NO
36	B4	f83r	344	B4-S011	lkedy	MC124	Kurzabzug; Schluss	WARM_AND_DRAW_LEFT	Bemiss an der linken Unterlaufstation eine Teilmenge, waerme sie kurz, gib den reservierten Zusatz bei und ziehe eine kleine Fraktion in das untere Gefaess ab.	A07|A10	NO
37	B4	f83r	345	B4-S012	lchedy	MC155	abführen; Schluss	DRAIN_LEFT	Fuehre den verbleibenden Posten am linken Unterlauf ab.	A10	NO
38	B4	f83r	346	B4-S013	qokol	MC024	Weiter einsetzen	SETTLE_CONTINUATION	Setze die Weiterfraktion in das naechste Becken und lass sie kurz absetzen.	A05|A10	NO
39	B4	f83r	347	B4-S013	shedy	MC128	kurz absetzen; Schluss	SETTLE_CONTINUATION	Setze die Weiterfraktion in das naechste Becken und lass sie kurz absetzen.	A05|A10	NO
40	B4	f83r	348	B4-S014	or	MC080	Ansatz	SHORT_RUN	Fuehre diesen Ansatz durch den kurzen Lauf bis in den naechsten Empfaenger.	A10	NO
41	B4	f83r	349	B4-S014	chey	MC123	dies	SHORT_RUN	Fuehre diesen Ansatz durch den kurzen Lauf bis in den naechsten Empfaenger.	A10	NO
42	B4	f83r	350	B4-S014	qockhey	MC165	Kurzdurchgang	SHORT_RUN	Fuehre diesen Ansatz durch den kurzen Lauf bis in den naechsten Empfaenger.	A10	NO
43	B4	f83r	351	B4-S014	dairydy	MC091	Laufschluss	SHORT_RUN	Fuehre diesen Ansatz durch den kurzen Lauf bis in den naechsten Empfaenger.	A10	NO
44	B4	f83r	352	B4-S015	qokain	MC017	Anteil zugeben	APPLY_CLEAR_WASH	Gib an der rechten Station eine Portion Klarauszug zu, fuehre sie zur bezeichneten Koerperstelle, wasche die gereizte Stelle und lass die gebrauchte Fluessigkeit ablaufen.	A08|A10|A11|A12	NO
45	B4	f83r	353	B4-S015	shey	MC119	Klarauszug	APPLY_CLEAR_WASH	Gib an der rechten Station eine Portion Klarauszug zu, fuehre sie zur bezeichneten Koerperstelle, wasche die gereizte Stelle und lass die gebrauchte Fluessigkeit ablaufen.	A08|A10|A11|A12	NO
46	B4	f83r	354	B4-S015	kain	MC105	Anteil	APPLY_CLEAR_WASH	Gib an der rechten Station eine Portion Klarauszug zu, fuehre sie zur bezeichneten Koerperstelle, wasche die gereizte Stelle und lass die gebrauchte Fluessigkeit ablaufen.	A08|A10|A11|A12	NO
47	B4	f83r	355	B4-S015	chckhal	MC022	Zielpassage	APPLY_CLEAR_WASH	Gib an der rechten Station eine Portion Klarauszug zu, fuehre sie zur bezeichneten Koerperstelle, wasche die gereizte Stelle und lass die gebrauchte Fluessigkeit ablaufen.	A08|A10|A11|A12	NO
48	B4	f83r	356	B4-S015	solkey	MC050	Kurzsammlung	APPLY_CLEAR_WASH	Gib an der rechten Station eine Portion Klarauszug zu, fuehre sie zur bezeichneten Koerperstelle, wasche die gereizte Stelle und lass die gebrauchte Fluessigkeit ablaufen.	A08|A10|A11|A12	NO
49	B4	f83r	357	B4-S015	lchedy	MC155	abführen; Schluss	APPLY_CLEAR_WASH	Gib an der rechten Station eine Portion Klarauszug zu, fuehre sie zur bezeichneten Koerperstelle, wasche die gereizte Stelle und lass die gebrauchte Fluessigkeit ablaufen.	A08|A10|A11|A12	NO
50	B4	f83r	358	B4-S016	qolkain	MC097	weiterer Anteil	FINAL_RINSE	Bringe einen weiteren Anteil an dieselbe Zielstelle, spuele mit frischem Wasser nach und lass den Ablauf kurz im letzten Becken stehen.	A02|A10|A11|A12	NO
51	B4	f83r	359	B4-S016	dal	MC154	dorthin	FINAL_RINSE	Bringe einen weiteren Anteil an dieselbe Zielstelle, spuele mit frischem Wasser nach und lass den Ablauf kurz im letzten Becken stehen.	A02|A10|A11|A12	NO
52	B4	f83r	360	B4-S016	skar	MC089	Quellausguss	FINAL_RINSE	Bringe einen weiteren Anteil an dieselbe Zielstelle, spuele mit frischem Wasser nach und lass den Ablauf kurz im letzten Becken stehen.	A02|A10|A11|A12	NO
53	B4	f83r	361	B4-S016	shedy	MC128	kurz absetzen; Schluss	FINAL_RINSE	Bringe einen weiteren Anteil an dieselbe Zielstelle, spuele mit frischem Wasser nach und lass den Ablauf kurz im letzten Becken stehen.	A02|A10|A11|A12	NO
