candidate_recipe	candidate_current_status	context_count	green_context_count	amber_context_count	stop_context_count	rescued_context_count	rescued_under_all_18_contexts	remaining_stop_contexts	conditional_literal_reading_de
OL+EE+DY	ABSENT	18	17	1	0	18	YES	NONE	FORTSETZEN · GRAD II · SCHLUSS
OL+EE+O+DY	ABSENT	18	17	1	0	18	YES	NONE	FORTSETZEN · GRAD II · AUSFÜHRUNG · SCHLUSS
OL+EEE+DY	ABSENT	18	15	1	2	16	NO	CHD@STATEMENT_SCOPE_INHERITED__SAME_HEAD:FOCUS:CHD<-EEE|R@STATEMENT_SCOPE_INHERITED__SAME_HEAD:FOCUS:R<-EEE	FORTSETZEN · GRAD III · SCHLUSS
OL+O+DY	OBSERVED	18	18	0	0	18	YES	NONE	FORTSETZEN · AUSFÜHRUNG · SCHLUSS
OR+DY	ABSENT	18	18	0	0	18	YES	NONE	EINHEIT · SCHLUSS
OR+DY+D_LABEL	ABSENT	18	18	0	0	18	YES	NONE	EINHEIT · SCHLUSS · HIER
OR+O+DY	ABSENT	18	18	0	0	18	YES	NONE	EINHEIT · AUSFÜHRUNG · SCHLUSS
OT+AIR+DY	ABSENT	18	8	10	0	18	YES	NONE	DANACH · BAHN · SCHLUSS
OT+AL+DY	OBSERVED	18	18	0	0	18	YES	NONE	DANACH · ZIELORT · SCHLUSS
OT+AR+DY	OBSERVED	18	18	0	0	18	YES	NONE	DANACH · AUSGANG · SCHLUSS
OT+DY	ABSENT	18	18	0	0	18	YES	NONE	DANACH · SCHLUSS
OT+E+DY+AIR	ABSENT	18	8	10	0	18	YES	NONE	DANACH · GRAD I · SCHLUSS · BAHN
OT+E+DY+AL	ABSENT	18	18	0	0	18	YES	NONE	DANACH · GRAD I · SCHLUSS · ZIELORT
OT+E+DY+AR	ABSENT	18	18	0	0	18	YES	NONE	DANACH · GRAD I · SCHLUSS · AUSGANG
OT+L+DY	ABSENT	18	18	0	0	18	YES	NONE	DANACH · VERBINDUNG · SCHLUSS
OT+O+DY	OBSERVED	18	18	0	0	18	YES	NONE	DANACH · AUSFÜHRUNG · SCHLUSS
