passage_id	page	locus	section	language	focal_surfaces	zl3b_line	gdt740_target_renders_de	gdt741_target_renders_de	grammar_tiers	id_free_render_match	cellwise_audit_display_de	reader_note
G739-R11	f76r	f76r.52	T	B	lsheedy	olsheed qokedy qokeedy qokedy lkedy lsheedy okar shedy otain	lsheedy → Zustandsstufe II; Zustandsachse offen; Träger offen	lsheedy → Zustandsstufe II; Zustandsachse offen; Träger offen	lsheedy=MODE_DOWNGRADED_OPEN	1	[olsheed:?]; [qokedy:?]; [qokeedy:?]; [qokedy:?]; [lkedy:?]; Zustandsstufe II; Zustandsachse offen; Träger offen; [okar:?]; [shedy:?]; [otain:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R12	f83r	f83r.7	B	B	lsheedy	solshed lsheedy qeeedy qoky o qol rsheedy qokedy qoteedy qoteedy	lsheedy → Zustandsstufe II; Zustandsachse offen; Träger offen	lsheedy → Zustandsstufe II; Zustandsachse offen; Träger offen	lsheedy=NO_SELECTED_HOST	1	[solshed:?]; Zustandsstufe II; Zustandsachse offen; Träger offen; [qeeedy:?]; leicht erhitzt; [o:?]; [qol:?]; [rsheedy:?]; [qokedy:?]; vollständig abgekühlt, abgeschlossen; vollständig abgekühlt, abgeschlossen	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R13	f100r	f100r.12	P	A	pcheol	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol → Status-Eintrag; Zustandsachse offen; Träger offen	pcheol → Status-Eintrag; Zustandsachse offen; Träger offen	pcheol=NO_SELECTED_HOST	1	Status-Eintrag; Zustandsachse offen; Träger offen; [sheod:?]; [qocpheeckhy:?]; [shodol:?]; [da:?]; [oto:?]; [choos:?]; [sheey:?]; Trockenansatz; [s:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R14	f82v	f82v.11	B	B	pcheol	pcheol dar qokeey cheeky qokal dal shedy pchdy rol qotedy rol	pcheol → Status-Eintrag; Zustandsachse offen; Träger offen	pcheol → Status-Eintrag; Zustandsachse offen; Träger offen	pcheol=NO_SELECTED_HOST	1	Status-Eintrag; Zustandsachse offen; Träger offen; [dar:?]; vollständig erhitzt; vollständig getrocknet, dann leicht erhitzt; [qokal:?]; [dal:?]; [shedy:?]; [pchdy:?]; [rol:?]; bis zur Mittelstufe abgekühlt, abgeschlossen; [rol:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R15	f116r	f116r.36	S	B	rain|lkain	qokeey rain shey okeey lkain l dain chey sheckhy qy qokl ain	rain → Heißgrad II; interner Rückbezug || lkain → Skalarstufe II; Dimension offen	rain → Heißgrad II; interner Rückbezug || lkain → Skalarstufe II; Dimension offen	rain=ATTACHED_SUPPORTED || lkain=NO_SELECTED_HOST	1	vollständig erhitzt; Heißgrad II; interner Rückbezug; [shey:?]; [okeey:?]; Skalarstufe II; Dimension offen; [l:?]; [dain:?]; [chey:?]; [sheckhy:?]; [qy:?]; [qokl:?]; [ain:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R16	f77v	f77v.8	B	B	rsheedy	qokeeey shedy qokeedy qodykey qokedy rsheedy taiiin sheol teedy yry	rsheedy → Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen	rsheedy → Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen	rsheedy=NEAR_ONLY_HOLD	1	[qokeeey:?]; [shedy:?]; [qokeedy:?]; [qodykey:?]; [qokedy:?]; Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen; [taiiin:?]; feuchtes Material; vollständig abgekühlt, abgeschlossen; [yry:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R17	f82r	f82r.31	B	B	rsheedy	cheol ol rsheedy lchedy qoty lcheeor qokain cheedy lched	rsheedy → Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen	rsheedy → Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen	rsheedy=NO_SELECTED_HOST	1	[cheol:?]; [ol:?]; Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen; [lchedy:?]; [qoty:?]; [lcheeor:?]; [qokain:?]; vollständig getrocknet, abgeschlossen; [lched:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R18	f10v	f10v.1	H	A	sain	paiin daiin sheo pcheey qoty daiin cthor otydy sain	sain → Skalarstufe II; Dimension offen	sain → Skalarstufe II; Dimension offen	sain=DIRECT_BOUNDARY_HOLD	1	[paiin:?]; [daiin:?]; Feuchtzubereitung; [pcheey:?]; [qoty:?]; [daiin:?]; eine Portion Pflanzendroge; kalter Ansatz in Grundform, fertig; Skalarstufe II; Dimension offen	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R19	f58r	f58r.36	S	A	skaiin	skaiin shokal chockhy qoky chcthy ykeeshy shoekar	skaiin → Qualitätsstufe III im heiß/feucht-Feld des Zubereitungsmaterials; Eintrag	skaiin → Qualitätsstufe III im heiß/feucht-Feld des Zubereitungsmaterials; Eintrag	skaiin=ATTACHED_SUPPORTED	1	Qualitätsstufe III im heiß/feucht-Feld des Zubereitungsmaterials; Eintrag; Feuchtansatz aus heißem Rohstoff Klasse I, Anfangsstufe; [chockhy:?]; leicht erhitzt; [chcthy:?]; [ykeeshy:?]; [shoekar:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
G739-R20	f111v	f111v.48	S	B	skaiin	psalar cheey qekal cheykaiin tain chal al skaiin okchedy opchdal opchy	skaiin → Skalarstufe III; Dimension offen	skaiin → Skalarstufe III; Dimension offen	skaiin=NO_SELECTED_HOST	1	[psalar:?]; [cheey:?]; [qekal:?]; [cheykaiin:?]; [tain:?]; [chal:?]; [al:?]; Skalarstufe III; Dimension offen; [okchedy:?]; [opchdal:?]; [opchy:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target
