type_template_ordinal	ordered_type_signature	event_count	recipe_count	physical_page_count	register_count	slot_count	typed_slot_template_de	example_recipes	example_default_phrases_de	composition_rule	historical_status
11	STATE_CONTROL+ACTION_HEAD+GRADE+STATE_CONTROL	31	8	11	4	4	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	OL+CH+EE+DY | OL+K+E+DY | OL+K+E+OL | OL+K+EE+DY | OL+SH+E+DY | OL+SH+EE+DY	weiter; halten; auf Grad II; abschließen | weiter; halten; auf Grad I; abschließen | weiter; geben; auf Grad I; abschließen | weiter; einstellen; auf Grad I; abschließen | weiter; geben; auf Grad II; abschließen | weiter; geben; auf Grad I; weiter | weiter; einstellen; auf Grad II; abschließen | weiter; nehmen; auf Grad II; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
12	STATE_CONTROL+STATE_CONTROL	31	3	19	5	2	ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	OL+DY | OL+OL | OT+OL	danach; weiter | weiter; abschließen | weiter; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
13	RELATION+STATE_CONTROL	30	5	15	5	2	RELATION → ZUSTANDSSTEUERUNG	AL+DY | AL+OL | AR+OL | L+DY | L+OL	zum Zielort; abschließen | über die Verbindung; weiter | vom Ausgang; weiter | über die Verbindung; abschließen | zum Zielort; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
14	STATE_CONTROL+ACTION_HEAD+ARGUMENT	27	10	15	3	3	ZUSTANDSSTEUERUNG → HANDLUNG → ARGUMENT	OL+CH+Y | OL+K+AIIN | OL+K+AIN | OL+K+Y | OL+OK+Y | OL+S+AIN	danach; nehmen; die Einheit | danach; nehmen; den Posten | weiter; einstellen; den Posten | weiter; geben; den Posten | weiter; nehmen; den Posten | weiter; geben; den Anteil | weiter; setzen; den Posten | weiter; geben; den Wert | weiter; wählen; den Anteil | danach; bearbeiten; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
15	ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	20	11	10	5	4	HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	CH+K+E+OL | CH+K+EE+DY | CH+P+E+DY | CH+T+E+OL | K+SH+E+DY | OK+SH+E+DY	nehmen; geben; auf Grad I; weiter | wählen; halten; auf Grad I; weiter | nehmen; geben; auf Grad II; abschließen | setzen; halten; auf Grad I; abschließen | markieren; halten; auf Grad I; abschließen | wählen; setzen; auf Grad II; abschließen | wählen; halten; auf Grad I; abschließen | einsetzen; halten; auf Grad I; abschließen | nehmen; einsetzen; auf Grad I; abschließen | nehmen; einstellen; auf Grad I; weiter | geben; halten; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
16	RELATION+ACTION_HEAD+GRADE+STATE_CONTROL	19	5	6	2	4	RELATION → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	AL+SH+E+DY | L+K+E+DY | L+K+E+OL | L+SH+E+DY | L+T+E+DY	über die Verbindung; halten; auf Grad I; abschließen | über die Verbindung; einstellen; auf Grad I; abschließen | über die Verbindung; geben; auf Grad I; abschließen | zum Zielort; halten; auf Grad I; abschließen | über die Verbindung; geben; auf Grad I; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
17	LOCAL_OR_CLASS_SIGN+STATE_CONTROL	16	2	11	4	2	LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	D_ADDR+OL | M_LOCAL+OL	hier; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
18	STATE_CONTROL+ACTION_HEAD+GRADE+ARGUMENT	13	4	9	3	4	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → ARGUMENT	OL+K+E+Y | OL+K+EE+Y | OL+SH+E+OR | OL+SH+E+Y	weiter; geben; auf Grad II; den Posten | weiter; halten; auf Grad I; den Posten | weiter; geben; auf Grad I; den Posten | weiter; halten; auf Grad I; die Einheit	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
19	ACTION_HEAD+STATE_CONTROL+ARGUMENT	10	5	8	4	3	HANDLUNG → ZUSTANDSSTEUERUNG → ARGUMENT	CH+OT+Y | K+OL+Y | R+OT+AIIN | S+OT+AIIN | S+OT+Y	nehmen; danach; den Posten | wählen; danach; den Posten | wählen; danach; den Wert | geben; weiter; den Posten | markieren; danach; den Wert	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
20	ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	9	3	6	4	3	HANDLUNG → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	K+O+DY | OK+O+DY | SH+O+DY	halten; zur Ausführung; abschließen | setzen; zur Ausführung; abschließen | geben; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
21	ARGUMENT+ACTION_HEAD+GRADE+STATE_CONTROL	9	4	4	3	4	ARGUMENT → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	Y+K+E+DY | Y+OK+EE+OL | Y+SH+E+DY | Y+T+E+DY	den Posten; halten; auf Grad I; abschließen | den Posten; einstellen; auf Grad I; abschließen | den Posten; geben; auf Grad I; abschließen | den Posten; setzen; auf Grad II; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
22	STATE_CONTROL+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	9	3	5	3	4	ZUSTANDSSTEUERUNG → GRAD → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN	OT+E+O+S_ADDR | OT+EE+O+D_ADDR | OT+EE+O+S_ADDR	danach; auf Grad I; zur Ausführung; hier | danach; auf Grad II; zur Ausführung; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
23	STATE_CONTROL+LOCAL_OR_CLASS_SIGN	9	3	7	5	2	ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN	OL+AM_ADDR | OT+AM_ADDR | OT+AN	danach; hier | danach; als Klasse | weiter; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
24	ACTION_HEAD+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	8	5	5	2	5	HANDLUNG → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	CH+CH+K+E+DY | CH+CH+P+E+DY | CH+CH+T+E+DY | CH+P+SH+EE+DY | SH+CH+K+E+DY	nehmen; nehmen; einstellen; auf Grad I; abschließen | nehmen; nehmen; einsetzen; auf Grad I; abschließen | nehmen; einsetzen; halten; auf Grad II; abschließen | halten; nehmen; geben; auf Grad I; abschließen | nehmen; nehmen; geben; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
25	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+ARGUMENT	8	5	7	2	4	HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG → ARGUMENT	K+OL+CHD+Y | K+OL+P+Y | P+OL+SH+Y | S+OL+CHD+Y | T+OL+SH+Y	einsetzen; weiter; halten; den Posten | wählen; weiter; bearbeiten; den Posten | geben; weiter; einsetzen; den Posten | geben; weiter; bearbeiten; den Posten | einstellen; weiter; halten; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
26	ACTION_HEAD+RELATION+STATE_CONTROL	7	7	4	4	3	HANDLUNG → RELATION → ZUSTANDSSTEUERUNG	K+AL+OL | K+AR+DY | OK+AL+DY | OK+AR+DY | S+AL+DY | S+AR+OL	halten; über die Verbindung; abschließen | setzen; vom Ausgang; abschließen | setzen; zum Zielort; abschließen | geben; zum Zielort; weiter | wählen; vom Ausgang; weiter | wählen; zum Zielort; abschließen | geben; vom Ausgang; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
27	FORMAL_CONTROL+STATE_CONTROL	7	2	6	4	2	FORMSTEUERUNG → ZUSTANDSSTEUERUNG	O+DY | O+OL	zur Ausführung; weiter | zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
28	GRADE+STATE_CONTROL	7	3	4	3	2	GRAD → ZUSTANDSSTEUERUNG	E+OL | EE+DY | EEE+DY	auf Grad I; weiter | auf Grad III; abschließen | auf Grad II; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
29	STATE_CONTROL+RELATION+ARGUMENT	7	5	7	4	3	ZUSTANDSSTEUERUNG → RELATION → ARGUMENT	OL+AL+Y | OT+AL+AIN | OT+AL+OR | OT+AL+Y | OT+AR+Y	danach; zum Zielort; den Posten | danach; vom Ausgang; den Posten | weiter; zum Zielort; den Posten | danach; zum Zielort; den Anteil | danach; zum Zielort; die Einheit	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
30	ACTION_HEAD+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT	6	3	6	4	4	HANDLUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → ARGUMENT	P+OL+D_ADDR+Y | S+OL+D_ADDR+Y | SH+OL+D_ADDR+Y	halten; weiter; hier; den Posten | wählen; weiter; hier; den Posten | einsetzen; weiter; hier; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
31	FORMAL_CONTROL+FORMAL_CONTROL+STATE_CONTROL	6	3	6	3	3	FORMSTEUERUNG → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	CARRIER_Q+O+DY | CARRIER_Q+O+OL | DA+IIN+DY	am Beginn; zur Ausführung; abschließen | am Beginn; zur Ausführung; weiter | auf der zweiten Stufe; auf der Stufe; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
32	ACTION_HEAD+GRADE+ACTION_HEAD+STATE_CONTROL	5	4	4	2	4	HANDLUNG → GRAD → HANDLUNG → ZUSTANDSSTEUERUNG	CH+E+P+OL | OK+E+CHD+DY | OK+E+S+DY | SH+E+K+OL	setzen; auf Grad I; bearbeiten; abschließen | setzen; auf Grad I; wählen; abschließen | nehmen; auf Grad I; einsetzen; weiter | halten; auf Grad I; geben; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
33	ACTION_HEAD+STATE_CONTROL+STATE_CONTROL	5	3	4	3	3	HANDLUNG → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	CH+OT+OL | K+OL+DY | OK+OL+DY	nehmen; danach; weiter | geben; weiter; abschließen | setzen; weiter; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
34	ARGUMENT+ACTION_HEAD+STATE_CONTROL	5	2	3	3	3	ARGUMENT → HANDLUNG → ZUSTANDSSTEUERUNG	Y+K+OL | Y+T+OL	den Posten; geben; weiter | den Posten; einstellen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
35	STATE_CONTROL+ACTION_HEAD+RELATION	5	3	4	3	3	ZUSTANDSSTEUERUNG → HANDLUNG → RELATION	OL+K+AL | OL+K+AR | OT+CH+L	danach; nehmen; über die Verbindung | weiter; geben; vom Ausgang | weiter; geben; zum Zielort	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
36	STATE_CONTROL+FORMAL_CONTROL+STATE_CONTROL	5	2	4	3	3	ZUSTANDSSTEUERUNG → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	OL+O+DY | OT+O+DY	weiter; zur Ausführung; abschließen | danach; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
37	STATE_CONTROL+GRADE+FORMAL_CONTROL	5	2	2	2	3	ZUSTANDSSTEUERUNG → GRAD → FORMSTEUERUNG	OT+E+O | OT+EE+O	danach; auf Grad II; zur Ausführung | danach; auf Grad I; zur Ausführung	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
38	STATE_CONTROL+GRADE+FORMAL_CONTROL+ARGUMENT	5	1	3	3	4	ZUSTANDSSTEUERUNG → GRAD → FORMSTEUERUNG → ARGUMENT	OT+E+O+Y	danach; auf Grad I; zur Ausführung; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
39	ACTION_HEAD+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	4	4	4	3	4	HANDLUNG → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG	CH+CH+T+OL | OK+CHD+S+DY | S+K+CHD+DY | SH+K+CHD+DY	setzen; bearbeiten; wählen; abschließen | halten; geben; bearbeiten; abschließen | nehmen; nehmen; einstellen; weiter | wählen; geben; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
40	ACTION_HEAD+ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	4	2	3	1	4	HANDLUNG → HANDLUNG → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	CH+K+O+DY | T+CH+O+DY	einstellen; nehmen; zur Ausführung; abschließen | nehmen; geben; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
41	ACTION_HEAD+GRADE+STATE_CONTROL+ARGUMENT	4	4	2	2	4	HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → ARGUMENT	OK+E+OL+AIIN | SH+E+OL+AIIN | SH+E+OL+Y | T+EE+OL+AIN	halten; auf Grad I; weiter; den Wert | setzen; auf Grad I; weiter; den Wert | halten; auf Grad I; weiter; den Posten | einstellen; auf Grad II; weiter; den Anteil	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
42	ACTION_HEAD+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	4	3	2	1	3	HANDLUNG → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	CH+A_ADDR+DY | CH+LOCAL_CHAR_F+OL | SH+D_ADDR+DY	nehmen; hier; weiter | halten; hier; abschließen | nehmen; hier; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
43	ACTION_HEAD+STATE_CONTROL+GRADE+ARGUMENT	4	3	3	2	4	HANDLUNG → ZUSTANDSSTEUERUNG → GRAD → ARGUMENT	CH+OT+E+Y | CH+OT+EE+Y | SH+OT+EE+Y	nehmen; danach; auf Grad I; den Posten | nehmen; danach; auf Grad II; den Posten | halten; danach; auf Grad II; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
44	ARGUMENT+ACTION_HEAD+GRADE+FORMAL_CONTROL+STATE_CONTROL	4	3	3	3	5	ARGUMENT → HANDLUNG → GRAD → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	Y+K+E+O+DY | Y+K+EE+O+DY | Y+T+E+O+DY	den Posten; einstellen; auf Grad I; zur Ausführung; abschließen | den Posten; geben; auf Grad I; zur Ausführung; abschließen | den Posten; geben; auf Grad II; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
45	FORMAL_CONTROL+FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	4	2	4	2	5	FORMSTEUERUNG → FORMSTEUERUNG → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG	CARRIER_Q+O+CH+K+OL | CARRIER_Q+O+P+CH+OL	am Beginn; zur Ausführung; einsetzen; nehmen; weiter | am Beginn; zur Ausführung; nehmen; geben; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
46	RELATION+STATE_CONTROL+ARGUMENT	4	2	3	2	3	RELATION → ZUSTANDSSTEUERUNG → ARGUMENT	AR+OL+Y | L+OL+Y	vom Ausgang; weiter; den Posten | über die Verbindung; weiter; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
47	STATE_CONTROL+GRADE+ACTION_HEAD	4	2	2	2	3	ZUSTANDSSTEUERUNG → GRAD → HANDLUNG	OT+E+S | OT+EE+S	danach; auf Grad II; wählen | danach; auf Grad I; wählen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
48	ACTION_HEAD+GRADE+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	3	2	3	1	6	HANDLUNG → GRAD → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	CH+E+CH+P+E+DY | SH+E+CH+K+E+DY	halten; auf Grad I; nehmen; geben; auf Grad I; abschließen | nehmen; auf Grad I; nehmen; einsetzen; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
49	ARGUMENT+ACTION_HEAD+STATE_CONTROL+ARGUMENT	3	1	2	2	4	ARGUMENT → HANDLUNG → ZUSTANDSSTEUERUNG → ARGUMENT	Y+K+OL+Y	den Posten; geben; weiter; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
50	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	3	3	3	3	5	FORMSTEUERUNG → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	O+CH+T+E+OL | O+P+CH+E+OL | O+P+CH+EE+OL	zur Ausführung; einsetzen; nehmen; auf Grad II; weiter | zur Ausführung; nehmen; einstellen; auf Grad I; weiter | zur Ausführung; einsetzen; nehmen; auf Grad I; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
51	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	3	1	3	2	4	FORMSTEUERUNG → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG	O+P+CHD+DY	zur Ausführung; einsetzen; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
