carrier_link_ordinal	layer	source_assignment_ordinal	source_artifact	cohort	event_id	statement_id	physical_page	register	surface	recipe	atom	atom_value_de	atom_position	carrier_envelope	specialized_default_reading_de	specialized_detail	unified_atom_category	unified_atom_value_de	position_and_value_match_unified_card	guard
11	GRADE	11	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1033	G407-S052	f68r1	CELESTIAL	opcheeol	O+P+CH+EE+OL	EE	GRAD II	4	START>G<OL	einsetzen und nehmen auf Grad II; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
12	GRADE	12	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1061	G407-S055	f71v	CELESTIAL	oteeodaiin	OT+EE+O+D_ADDR+AIIN	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
13	GRADE	13	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1065	G407-S055	f71v	CELESTIAL	oteokeey	OT+E+O+K+EE+Y	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
14	GRADE	14	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1065	G407-S055	f71v	CELESTIAL	oteokeey	OT+E+O+K+EE+Y	EE	GRAD II	5	OT>G<END	danach geben auf Grad II	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
15	GRADE	15	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1068	G407-S055	f71v	CELESTIAL	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
16	GRADE	16	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1076	G407-S055	f71v	CELESTIAL	otcheodal	OT+CH+E+O+D_ADDR+AL	E	GRAD I	3	OT>G<END	danach nehmen auf Grad I	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
17	GRADE	17	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1081	G407-S056	f71v	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
18	GRADE	18	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1086	G407-S056	f71v	CELESTIAL	oteoshar	OT+E+O+SH+AR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
19	GRADE	19	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1088	G407-S056	f71v	CELESTIAL	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
20	GRADE	20	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1090	G407-S056	f71v	CELESTIAL	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
21	GRADE	21	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1097	G407-S057	f71v	CELESTIAL	oteeos	OT+EE+O+S_ADDR	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
22	GRADE	22	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1112	G407-S057	f71v	CELESTIAL	shepchol	SH+E+P+CH+OL	E	GRAD I	2	START>G<OL	halten auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
23	GRADE	23	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1135	G407-S059	f71v	CELESTIAL	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
24	GRADE	24	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1137	G407-S060	f72r	CELESTIAL	oteeo	OT+EE+O	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
25	GRADE	25	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1141	G407-S060	f72r	CELESTIAL	olcheor	OL+CH+E+O+DY	E	GRAD I	3	OL>G<DY	weiter mit nehmen auf Grad I; den Schritt abschließen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
26	GRADE	26	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1143	G407-S061	f72r	CELESTIAL	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
27	GRADE	27	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1145	G407-S061	f72r	CELESTIAL	oteedy	OT+EE+DY	EE	GRAD II	2	OT>G<DY	danach Träger auf Grad II; den Schritt abschließen	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
28	GRADE	28	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1148	G407-S062	f72r	CELESTIAL	chokeol	OK+E+OL	E	GRAD I	2	START>G<OL	setzen auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
29	GRADE	29	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	E	GRAD I	2	START>G<OL	halten auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
30	GRADE	30	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	E	GRAD I	5	OL>G<END	weiter mit einstellen auf Grad I	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
31	GRADE	31	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1161	G407-S063	f72r	CELESTIAL	chekeol	CH+K+E+OL	E	GRAD I	3	START>G<OL	nehmen und geben auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
32	GRADE	32	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1177	G407-S063	f72r	CELESTIAL	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
33	GRADE	33	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1179	G407-S064	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
34	GRADE	34	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1181	G407-S064	f72r	CELESTIAL	otey	OT+E+Y	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
35	GRADE	35	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1186	G407-S064	f72r	CELESTIAL	sheolaiin	SH+E+OL+AIIN	E	GRAD I	2	START>G<OL	halten auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
36	GRADE	36	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1189	G407-S064	f72r	CELESTIAL	cheolor	OL+E+OR	E	GRAD I	2	OL>G<END	weiter mit Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
37	GRADE	37	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1190	G407-S064	f72r	CELESTIAL	oteo	OT+E+O	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
38	GRADE	38	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1198	G407-S065	f72r	CELESTIAL	otear	OT+E+AR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
39	GRADE	39	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1206	G407-S066	f72r	CELESTIAL	okeeols	OK+EE+OL+S	EE	GRAD II	2	START>G<OL	setzen auf Grad II; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
40	GRADE	40	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1213	G407-S066	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
41	GRADE	41	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1219	G407-S067	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
42	GRADE	42	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1227	G407-S067	f72r	CELESTIAL	okeol	OK+E+OL	E	GRAD I	2	START>G<OL	setzen auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
43	GRADE	43	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1229	G407-S067	f72r	CELESTIAL	oteeykeey	OT+E+O+K+EE+Y	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
44	GRADE	44	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1229	G407-S067	f72r	CELESTIAL	oteeykeey	OT+E+O+K+EE+Y	EE	GRAD II	5	OT>G<END	danach geben auf Grad II	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
45	GRADE	45	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1259	G407-S067	f72r	CELESTIAL	otees	OT+EE+S	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
46	GRADE	46	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1260	G407-S068	f72r	CELESTIAL	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
47	GRADE	47	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1268	G407-S068	f72r	CELESTIAL	oteo	OT+E+O	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
48	GRADE	48	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1271	G407-S068	f72r	CELESTIAL	otey	OT+E+Y	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
49	GRADE	49	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1280	G407-S069	f72r	CELESTIAL	qoteeody	OT+EE+O+DY	EE	GRAD II	2	OT>G<DY	danach Träger auf Grad II; den Schritt abschließen	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
50	GRADE	50	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1284	G407-S070	f72r	CELESTIAL	otoees	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
51	GRADE	51	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1290	G407-S071	f72r	CELESTIAL	otees	OT+EE+S	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
52	GRADE	52	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1303	G407-S072	f72r	CELESTIAL	oteo	OT+E+O	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
53	GRADE	53	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1306	G407-S072	f72r	CELESTIAL	okeeol	OK+EE+OL	EE	GRAD II	2	START>G<OL	setzen auf Grad II; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
54	GRADE	54	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1310	G407-S072	f72r	CELESTIAL	oteody	OT+E+O+Y	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
55	GRADE	55	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1311	G407-S072	f72r	CELESTIAL	oteedy	OT+EE+DY	EE	GRAD II	2	OT>G<DY	danach Träger auf Grad II; den Schritt abschließen	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
56	GRADE	56	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1312	G407-S073	f72r	CELESTIAL	okeolaiin	OK+E+OL+AIIN	E	GRAD I	2	START>G<OL	setzen auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
57	GRADE	57	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1313	G407-S073	f72r	CELESTIAL	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
58	GRADE	58	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1316	G407-S073	f72r	CELESTIAL	sheol	SH+E+OL	E	GRAD I	2	START>G<OL	halten auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
59	GRADE	59	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1330	G407-S073	f72r	CELESTIAL	oteedy	OT+EE+DY	EE	GRAD II	2	OT>G<DY	danach Träger auf Grad II; den Schritt abschließen	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
60	GRADE	60	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1343	G407-S074	f72r	CELESTIAL	choteey	CH+OT+EE+Y	EE	GRAD II	3	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
61	GRADE	61	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1344	G407-S074	f72r	CELESTIAL	sheoly	SH+E+OL+Y	E	GRAD I	2	START>G<OL	halten auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
62	GRADE	62	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1345	G407-S074	f72r	CELESTIAL	eol	E+OL	E	GRAD I	1	START>G<OL	Träger auf Grad I; den Träger weiterführen	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
63	GRADE	63	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1349	G407-S076	f72r	CELESTIAL	otey	OT+E+Y	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
64	GRADE	64	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1353	G407-S077	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
65	GRADE	65	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1354	G407-S077	f72r	CELESTIAL	ykeolol	Y+K+E+OL+OL	E	GRAD I	3	START>G<OL	geben auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
66	GRADE	66	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1357	G407-S077	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
67	GRADE	67	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1369	G407-S077	f72r	CELESTIAL	oteody	OT+E+O+Y	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
68	GRADE	68	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1371	G407-S077	f72r	CELESTIAL	otees	OT+EE+S	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
