integration_ordinal	event_id	statement_id	physical_page	register	surface	recipe	grade_link_count	argument_link_count	relation_link_count	total_specialized_link_count	specialized_layers	ordered_all_atom_reading_de	all_atom_default_phrase_de	specialized_readings_de	integration_status
16	G407-E0277	G407-S009	f10r	HERBAL	qotchor	OT+CH+OR	0	1	0	1	ARGUMENT	DANACH → NEHMEN → EINHEIT	danach; nehmen; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
17	G407-E0281	G407-S009	f10r	HERBAL	cholor	OL+OR	0	1	0	1	ARGUMENT	FORTSETZEN → EINHEIT	weiter; die Einheit	ARGUMENT:weiter mit der Einheit als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
18	G407-E0292	G407-S009	f10r	HERBAL	oqotor	O+OT+OR	0	1	0	1	ARGUMENT	AUSFÜHRUNG → DANACH → EINHEIT	zur Ausführung; danach; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
19	G407-E0293	G407-S009	f10r	HERBAL	otor	OT+OR	0	1	0	1	ARGUMENT	DANACH → EINHEIT	danach; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
20	G407-E0298	G407-S009	f10r	HERBAL	otchoshor	OT+CH+O+SH+OR	0	1	0	1	ARGUMENT	DANACH → NEHMEN → AUSFÜHRUNG → HALTEN → EINHEIT	danach; nehmen; zur Ausführung; halten; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
21	G407-E0299	G407-S009	f10r	HERBAL	qoty	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
22	G407-E0300	G407-S009	f10r	HERBAL	qotor	OT+OR	0	1	0	1	ARGUMENT	DANACH → EINHEIT	danach; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
23	G407-E0302	G407-S009	f10r	HERBAL	otar	OT+AR	0	0	1	1	RELATION	DANACH → AUSGANG	danach; vom Ausgang	RELATION:DANACH · AUSGANG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
24	G407-E0305	G407-S009	f10r	HERBAL	qotchy	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
25	G407-E0306	G407-S009	f10r	HERBAL	qotor	OT+OR	0	1	0	1	ARGUMENT	DANACH → EINHEIT	danach; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
26	G407-E0324	G407-S011	f11r	HERBAL	qoty	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
27	G407-E0329	G407-S011	f11r	HERBAL	choty	CH+OT+Y	0	1	0	1	ARGUMENT	NEHMEN → DANACH → POSTEN	nehmen; danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
28	G407-E0362	G407-S011	f11r	HERBAL	qotchy	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
29	G407-E0382	G407-S012	f13r	HERBAL	qoty	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
30	G407-E0399	G407-S012	f13r	HERBAL	otchor	OT+CH+OR	0	1	0	1	ARGUMENT	DANACH → NEHMEN → EINHEIT	danach; nehmen; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
31	G407-E0437	G407-S015	f13r	HERBAL	ykoly	Y+K+OL+Y	0	2	0	2	ARGUMENT	POSTEN → GEBEN → FORTSETZEN → POSTEN	den Posten; geben; weiter; den Posten	ARGUMENT:den Posten weiterführen || ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
32	G407-E0439	G407-S015	f13r	HERBAL	daldy	AL+DY	0	0	1	1	RELATION	ZIELORT → ABSCHLIESSEN	zum Zielort; abschließen	RELATION:ZIELORT · ABSCHLIESSEN	EXACT_EVENT_AND_ATOM_POSITION_JOIN
33	G407-E0440	G407-S016	f13r	HERBAL	sotchy	S+OT+Y	0	1	0	1	ARGUMENT	WÄHLEN → DANACH → POSTEN	wählen; danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
34	G407-E0447	G407-S018	f17r	HERBAL	opydy	O+P+Y+DY	0	1	0	1	ARGUMENT	AUSFÜHRUNG → EINSETZEN → POSTEN → ABSCHLIESSEN	zur Ausführung; einsetzen; den Posten; abschließen	ARGUMENT:den Posten führen und den Schritt abschließen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
35	G407-E0450	G407-S019	f17r	HERBAL	otchy	OT+CH+Y	0	1	0	1	ARGUMENT	DANACH → NEHMEN → POSTEN	danach; nehmen; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
36	G407-E0452	G407-S020	f17r	HERBAL	oldckhy	OL+D_ADDR+CH+K+Y	0	1	0	1	ARGUMENT	FORTSETZEN → HIER → NEHMEN → GEBEN → POSTEN	weiter; hier; nehmen; geben; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
37	G407-E0473	G407-S021	f17r	HERBAL	olaiin	OL+AIIN	0	1	0	1	ARGUMENT	FORTSETZEN → WERT	weiter; den Wert	ARGUMENT:weiter mit dem Wert als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
38	G407-E0483	G407-S021	f17r	HERBAL	cphaldy	CH+P+AL+DY	0	0	1	1	RELATION	NEHMEN → EINSETZEN → ZIELORT → ABSCHLIESSEN	nehmen; einsetzen; zum Zielort; abschließen	RELATION:ZIELORT · ABSCHLIESSEN	EXACT_EVENT_AND_ATOM_POSITION_JOIN
39	G407-E0494	G407-S023	f17r	HERBAL	choldshy	CH+OL+D_ADDR+SH+Y	0	1	0	1	ARGUMENT	NEHMEN → FORTSETZEN → HIER → HALTEN → POSTEN	nehmen; weiter; hier; halten; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
40	G407-E0497	G407-S023	f17r	HERBAL	opchordy	O+P+CH+OR+DY	0	1	0	1	ARGUMENT	AUSFÜHRUNG → EINSETZEN → NEHMEN → EINHEIT → ABSCHLIESSEN	zur Ausführung; einsetzen; nehmen; die Einheit; abschließen	ARGUMENT:die Einheit führen und den Schritt abschließen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
41	G407-E0521	G407-S025	f18r	HERBAL	pdrairdy	P+D_ADDR+R+AIR+DY	0	0	1	1	RELATION	EINSETZEN → HIER → MARKIEREN → BAHN → ABSCHLIESSEN	einsetzen; hier; markieren; entlang der Bahn; abschließen	RELATION:BAHN · ABSCHLIESSEN	EXACT_EVENT_AND_ATOM_POSITION_JOIN
42	G407-E0524	G407-S026	f18r	HERBAL	ykchol	Y+K+OL	0	1	0	1	ARGUMENT	POSTEN → GEBEN → FORTSETZEN	den Posten; geben; weiter	ARGUMENT:den Posten weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
43	G407-E0549	G407-S026	f18r	HERBAL	ykchol	Y+K+OL	0	1	0	1	ARGUMENT	POSTEN → GEBEN → FORTSETZEN	den Posten; geben; weiter	ARGUMENT:den Posten weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
44	G407-E0555	G407-S027	f18r	HERBAL	chlol	L+OL	0	0	1	1	RELATION	VERBINDUNG → FORTSETZEN	über die Verbindung; weiter	RELATION:VERBINDUNG · FORTSETZEN	EXACT_EVENT_AND_ATOM_POSITION_JOIN
45	G407-E0560	G407-S027	f18r	HERBAL	ytol	Y+T+OL	0	1	0	1	ARGUMENT	POSTEN → EINSTELLEN → FORTSETZEN	den Posten; einstellen; weiter	ARGUMENT:den Posten weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
46	G407-E0568	G407-S027	f18r	HERBAL	sholdy	SH+OL+D_ADDR+Y	0	1	0	1	ARGUMENT	HALTEN → FORTSETZEN → HIER → POSTEN	halten; weiter; hier; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
47	G407-E0570	G407-S028	f18r	HERBAL	doldaiin	OL+AIIN	0	1	0	1	ARGUMENT	FORTSETZEN → WERT	weiter; den Wert	ARGUMENT:weiter mit dem Wert als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
48	G407-E0586	G407-S029	f18r	HERBAL	sotchaiin	S+OT+AIIN	0	1	0	1	ARGUMENT	WÄHLEN → DANACH → WERT	wählen; danach; den Wert	ARGUMENT:danach den Wert als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
49	G407-E0653	G407-S032	f24v	HERBAL	ychol	Y+OL	0	1	0	1	ARGUMENT	POSTEN → FORTSETZEN	den Posten; weiter	ARGUMENT:den Posten weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
50	G407-E0661	G407-S032	f24v	HERBAL	keol	K+E+OL	1	0	0	1	GRADE	GEBEN → GRAD I → FORTSETZEN	geben; auf Grad I; weiter	GRADE:geben auf Grad I; den Träger weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
51	G407-E0679	G407-S032	f24v	HERBAL	otolodal	OT+OL+O+D_ADDR+AL	0	0	1	1	RELATION	DANACH → FORTSETZEN → AUSFÜHRUNG → HIER → ZIELORT	danach; weiter; zur Ausführung; hier; zum Zielort	RELATION:FORTSETZEN · ZIELORT	EXACT_EVENT_AND_ATOM_POSITION_JOIN
52	G407-E0694	G407-S033	f55v	HERBAL	otoldaiin	OT+OL+D_ADDR+AIIN	0	1	0	1	ARGUMENT	DANACH → FORTSETZEN → HIER → WERT	danach; weiter; hier; den Wert	ARGUMENT:weiter mit dem Wert als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
53	G407-E0750	G407-S036	f55v	HERBAL	otar	OT+AR	0	0	1	1	RELATION	DANACH → AUSGANG	danach; vom Ausgang	RELATION:DANACH · AUSGANG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
54	G407-E0765	G407-S036	f55v	HERBAL	otaky	OT+A_ADDR+K+Y	0	1	0	1	ARGUMENT	DANACH → HIER → GEBEN → POSTEN	danach; hier; geben; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
55	G407-E0773	G407-S036	f55v	HERBAL	otar	OT+AR	0	0	1	1	RELATION	DANACH → AUSGANG	danach; vom Ausgang	RELATION:DANACH · AUSGANG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
56	G407-E0784	G407-S037	f55v	HERBAL	oltchy	OL+T+Y	0	1	0	1	ARGUMENT	FORTSETZEN → EINSTELLEN → POSTEN	weiter; einstellen; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
57	G407-E0791	G407-S037	f55v	HERBAL	olkeechy	OL+K+EE+CH+Y	1	1	0	2	ARGUMENT|GRADE	FORTSETZEN → GEBEN → GRAD II → NEHMEN → POSTEN	weiter; geben; auf Grad II; nehmen; den Posten	GRADE:weiter mit geben auf Grad II || ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
58	G407-E0801	G407-S038	f56r	HERBAL	oty	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
59	G407-E0809	G407-S039	f56r	HERBAL	choly	OL+Y	0	1	0	1	ARGUMENT	FORTSETZEN → POSTEN	weiter; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
60	G407-E0812	G407-S039	f56r	HERBAL	choty	CH+OT+Y	0	1	0	1	ARGUMENT	NEHMEN → DANACH → POSTEN	nehmen; danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
61	G407-E0814	G407-S039	f56r	HERBAL	olchey	OL+Y	0	1	0	1	ARGUMENT	FORTSETZEN → POSTEN	weiter; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
62	G407-E0841	G407-S039	f56r	HERBAL	otchor	OT+CH+OR	0	1	0	1	ARGUMENT	DANACH → NEHMEN → EINHEIT	danach; nehmen; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
63	G407-E0851	G407-S040	f56r	HERBAL	chotchey	CH+OT+CH+E+Y	1	1	0	2	ARGUMENT|GRADE	NEHMEN → DANACH → NEHMEN → GRAD I → POSTEN	nehmen; danach; nehmen; auf Grad I; den Posten	GRADE:danach nehmen auf Grad I || ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
64	G407-E0855	G407-S040	f56r	HERBAL	otchy	OT+CH+Y	0	1	0	1	ARGUMENT	DANACH → NEHMEN → POSTEN	danach; nehmen; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
65	G407-E0878	G407-S040	f56r	HERBAL	qotchy	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
66	G407-E0883	G407-S040	f56r	HERBAL	qotchy	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
67	G407-E0899	G407-S040	f56r	HERBAL	otchey	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
68	G407-E0900	G407-S040	f56r	HERBAL	keol	K+E+OL	1	0	0	1	GRADE	GEBEN → GRAD I → FORTSETZEN	geben; auf Grad I; weiter	GRADE:geben auf Grad I; den Träger weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
69	G407-E0913	G407-S042	f67r2	CELESTIAL	otchey	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
70	G407-E0941	G407-S044	f67r2	CELESTIAL	ytody	Y+T+O+DY	0	1	0	1	ARGUMENT	POSTEN → EINSTELLEN → AUSFÜHRUNG → ABSCHLIESSEN	den Posten; einstellen; zur Ausführung; abschließen	ARGUMENT:den Posten führen und den Schritt abschließen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
71	G407-E0959	G407-S048	f67r2	CELESTIAL	octhole	O+CH+T+OL+E	1	0	0	1	GRADE	AUSFÜHRUNG → NEHMEN → EINSTELLEN → FORTSETZEN → GRAD I	zur Ausführung; nehmen; einstellen; weiter; auf Grad I	GRADE:weiter mit Träger auf Grad I	EXACT_EVENT_AND_ATOM_POSITION_JOIN
72	G407-E0975	G407-S048	f67r2	CELESTIAL	ofydy	O+LOCAL_CHAR_F+Y+DY	0	1	0	1	ARGUMENT	AUSFÜHRUNG → HIER → POSTEN → ABSCHLIESSEN	zur Ausführung; hier; den Posten; abschließen	ARGUMENT:den Posten führen und den Schritt abschließen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
73	G407-E1000	G407-S051	f67r2	CELESTIAL	ydoly	Y+D_ADDR+OL+Y	0	2	0	2	ARGUMENT	POSTEN → HIER → FORTSETZEN → POSTEN	den Posten; hier; weiter; den Posten	ARGUMENT:den Posten weiterführen || ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
74	G407-E1002	G407-S051	f67r2	CELESTIAL	oly	OL+Y	0	1	0	1	ARGUMENT	FORTSETZEN → POSTEN	weiter; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
75	G407-E1014	G407-S051	f67r2	CELESTIAL	olar	OL+AR	0	0	1	1	RELATION	FORTSETZEN → AUSGANG	weiter; vom Ausgang	RELATION:FORTSETZEN · AUSGANG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
76	G407-E1030	G407-S052	f68r1	CELESTIAL	choteey	CH+OT+EE+Y	1	1	0	2	ARGUMENT|GRADE	NEHMEN → DANACH → GRAD II → POSTEN	nehmen; danach; auf Grad II; den Posten	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
77	G407-E1033	G407-S052	f68r1	CELESTIAL	opcheeol	O+P+CH+EE+OL	1	0	0	1	GRADE	AUSFÜHRUNG → EINSETZEN → NEHMEN → GRAD II → FORTSETZEN	zur Ausführung; einsetzen; nehmen; auf Grad II; weiter	GRADE:einsetzen und nehmen auf Grad II; den Träger weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
78	G407-E1034	G407-S052	f68r1	CELESTIAL	otor	OT+OR	0	1	0	1	ARGUMENT	DANACH → EINHEIT	danach; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
79	G407-E1038	G407-S052	f68r1	CELESTIAL	otchl	OT+CH+L	0	0	1	1	RELATION	DANACH → NEHMEN → VERBINDUNG	danach; nehmen; über die Verbindung	RELATION:DANACH · VERBINDUNG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
80	G407-E1042	G407-S053	f68r1	CELESTIAL	yteody	Y+T+E+O+DY	0	1	0	1	ARGUMENT	POSTEN → EINSTELLEN → GRAD I → AUSFÜHRUNG → ABSCHLIESSEN	den Posten; einstellen; auf Grad I; zur Ausführung; abschließen	ARGUMENT:den Posten führen und den Schritt abschließen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
81	G407-E1058	G407-S054	f68r1	CELESTIAL	chkchykoly	CH+K+CH+Y+K+OL+Y	0	2	0	2	ARGUMENT	NEHMEN → GEBEN → NEHMEN → POSTEN → GEBEN → FORTSETZEN → POSTEN	nehmen; geben; nehmen; den Posten; geben; weiter; den Posten	ARGUMENT:den Posten weiterführen || ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
82	G407-E1061	G407-S055	f71v	CELESTIAL	oteeodaiin	OT+EE+O+D_ADDR+AIIN	1	1	0	2	ARGUMENT|GRADE	DANACH → GRAD II → AUSFÜHRUNG → HIER → WERT	danach; auf Grad II; zur Ausführung; hier; den Wert	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Wert als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
83	G407-E1065	G407-S055	f71v	CELESTIAL	oteokeey	OT+E+O+K+EE+Y	2	1	0	3	ARGUMENT|GRADE	DANACH → GRAD I → AUSFÜHRUNG → GEBEN → GRAD II → POSTEN	danach; auf Grad I; zur Ausführung; geben; auf Grad II; den Posten	GRADE:danach Träger auf Grad I || GRADE:danach geben auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
84	G407-E1068	G407-S055	f71v	CELESTIAL	oteey	OT+EE+Y	1	1	0	2	ARGUMENT|GRADE	DANACH → GRAD II → POSTEN	danach; auf Grad II; den Posten	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
85	G407-E1071	G407-S055	f71v	CELESTIAL	otchy	OT+CH+Y	0	1	0	1	ARGUMENT	DANACH → NEHMEN → POSTEN	danach; nehmen; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
86	G407-E1076	G407-S055	f71v	CELESTIAL	otcheodal	OT+CH+E+O+D_ADDR+AL	1	0	1	2	GRADE|RELATION	DANACH → NEHMEN → GRAD I → AUSFÜHRUNG → HIER → ZIELORT	danach; nehmen; auf Grad I; zur Ausführung; hier; zum Zielort	GRADE:danach nehmen auf Grad I || RELATION:DANACH · ZIELORT	EXACT_EVENT_AND_ATOM_POSITION_JOIN
87	G407-E1077	G407-S055	f71v	CELESTIAL	sheealody	SH+EE+AL+O+DY	0	0	1	1	RELATION	HALTEN → GRAD II → ZIELORT → AUSFÜHRUNG → ABSCHLIESSEN	halten; auf Grad II; zum Zielort; zur Ausführung; abschließen	RELATION:ZIELORT · ABSCHLIESSEN	EXACT_EVENT_AND_ATOM_POSITION_JOIN
88	G407-E1079	G407-S056	f71v	CELESTIAL	otar	OT+AR	0	0	1	1	RELATION	DANACH → AUSGANG	danach; vom Ausgang	RELATION:DANACH · AUSGANG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
89	G407-E1081	G407-S056	f71v	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	1	0	1	2	GRADE|RELATION	DANACH → GRAD I → AUSFÜHRUNG → HIER → AUSGANG	danach; auf Grad I; zur Ausführung; hier; vom Ausgang	GRADE:danach Träger auf Grad I || RELATION:DANACH · AUSGANG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
90	G407-E1086	G407-S056	f71v	CELESTIAL	oteoshar	OT+E+O+SH+AR	1	0	1	2	GRADE|RELATION	DANACH → GRAD I → AUSFÜHRUNG → HALTEN → AUSGANG	danach; auf Grad I; zur Ausführung; halten; vom Ausgang	GRADE:danach Träger auf Grad I || RELATION:DANACH · AUSGANG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
