state_card_ordinal	cohort	event_id	source_event_id	statement_id	physical_page	register	card_ordinal_in_statement	statement_event_count	statement_position	statement_final	surface	recipe	recipe_atom_count	ordered_type_signature	state_marker_sequence	ordered_typed_atom_trace	ordered_all_atom_reading_de	all_atom_default_phrase_de	state_scope_reading_de	source_context_layer	context_template	contextual_clause_de	explicit_action_roots	inherited_action_root	explicit_argument_roots	inherited_argument_root	action_atom_count	grade_atom_count	argument_atom_count	relation_atom_count	state_control_atom_count	formal_control_atom_count	local_or_class_sign_count	specialized_carrier_layers	specialized_carrier_link_count	specialized_carrier_readings_de	every_atom_mapped	written_order_preserved	sequence_default_status	guard
11	OLD26_GDT407	G407-E0071	G404-E0071	G407-S004	f1r	SOURCE_SECTION_T	3	3	STATEMENT_FINAL	YES	teody	T+E+O+DY	4	ACTION_HEAD+GRADE+FORMAL_CONTROL+STATE_CONTROL	DY	T{HANDLUNG=EINSTELLEN} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	EINSTELLEN → GRAD I → AUSFÜHRUNG → ABSCHLIESSEN	einstellen; auf Grad I; zur Ausführung; abschließen	EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS	GDT416_OLD26_IMPERATIVE	GRADED_ACTION	Lege den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung; schließe den Schritt.	T	NONE	NONE	AIN	1	1	0	0	1	1	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
12	OLD26_GDT407	G407-E0074	G404-E0074	G407-S005	f1r	SOURCE_SECTION_T	3	88	STATEMENT_INTERNAL	NO	ols	OL+S	2	STATE_CONTROL+ACTION_HEAD	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > S{HANDLUNG=WÄHLEN}	FORTSETZEN → WÄHLEN	weiter; wählen	FORTSETZEN · WÄHLEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter wähle den Kennwert [wie zuvor].	S	NONE	NONE	AIIN	1	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
13	OLD26_GDT407	G407-E0082	G404-E0082	G407-S005	f1r	SOURCE_SECTION_T	11	88	STATEMENT_INTERNAL	NO	otairin	OT+AIR+IIN	3	STATE_CONTROL+RELATION+FORMAL_CONTROL	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > AIR{RELATION=BAHN} > IIN{FORMSTEUERUNG=STUFE}	DANACH → BAHN → STUFE	danach; entlang der Bahn; auf der Stufe	DANACH · LAUF · STUFE	GDT416_OLD26_IMPERATIVE	INHERITED_RELATION	Danach im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; entlang der Lesebahn; auf der bezeichneten Stufe.	NONE	SH	NONE	Y	0	0	0	1	1	1	0	RELATION	1	RELATION:DANACH · BAHN	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
14	OLD26_GDT407	G407-E0083	G404-E0083	G407-S005	f1r	SOURCE_SECTION_T	12	88	STATEMENT_INTERNAL	NO	oteol	OT+E+OL	3	STATE_CONTROL+GRADE+STATE_CONTROL	OT+OL	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	DANACH → GRAD I → FORTSETZEN	danach; auf Grad I; weiter	DANACH · GRAD I · FORTSETZEN	GDT416_OLD26_IMPERATIVE	INHERITED_GRADE	Danach und weiter im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	NONE	SH	NONE	Y	0	1	0	0	2	0	0	GRADE	1	GRADE:danach Träger auf Grad I; den Träger weiterführen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
15	OLD26_GDT407	G407-E0095	G404-E0095	G407-S005	f1r	SOURCE_SECTION_T	24	88	STATEMENT_INTERNAL	NO	oldain	OL+AIN	2	STATE_CONTROL+ARGUMENT	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > AIN{ARGUMENT=ANTEIL}	FORTSETZEN → ANTEIL	weiter; den Anteil	FORTSETZEN · ANTEIL	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang halte den Teilwert fest.	NONE	SH	AIN	NONE	0	0	1	0	1	0	0	ARGUMENT	1	ARGUMENT:weiter mit dem Anteil als aktuellem Träger	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
16	OLD26_GDT407	G407-E0099	G404-E0099	G407-S005	f1r	SOURCE_SECTION_T	28	88	STATEMENT_INTERNAL	NO	chol	OL	1	STATE_CONTROL	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	FORTSETZEN	weiter	FORTSETZEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang halte den Teilwert [wie zuvor] fest.	NONE	SH	NONE	AIN	0	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
17	OLD26_GDT407	G407-E0113	G404-E0113	G407-S005	f1r	SOURCE_SECTION_T	42	88	STATEMENT_INTERNAL	NO	kol	K+OL	2	ACTION_HEAD+STATE_CONTROL	OL	K{HANDLUNG=GEBEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	GEBEN → FORTSETZEN	geben; weiter	GEBEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter ordne den laufenden Eintrag [wie zuvor] zu.	K	NONE	NONE	Y	1	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
18	OLD26_GDT407	G407-E0114	G404-E0114	G407-S005	f1r	SOURCE_SECTION_T	43	88	STATEMENT_INTERNAL	NO	chol	OL	1	STATE_CONTROL	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	FORTSETZEN	weiter	FORTSETZEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	NONE	K	NONE	Y	0	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
19	OLD26_GDT407	G407-E0115	G404-E0115	G407-S005	f1r	SOURCE_SECTION_T	44	88	STATEMENT_INTERNAL	NO	chol	OL	1	STATE_CONTROL	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	FORTSETZEN	weiter	FORTSETZEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	NONE	K	NONE	Y	0	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
20	OLD26_GDT407	G407-E0119	G404-E0119	G407-S005	f1r	SOURCE_SECTION_T	48	88	STATEMENT_INTERNAL	NO	chol	OL	1	STATE_CONTROL	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	FORTSETZEN	weiter	FORTSETZEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang halte die Eintragseinheit [wie zuvor] fest.	NONE	SH	NONE	OR	0	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
21	OLD26_GDT407	G407-E0132	G404-E0132	G407-S005	f1r	SOURCE_SECTION_T	61	88	STATEMENT_INTERNAL	NO	pshol	P+SH+OL	3	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	OL	P{HANDLUNG=EINSETZEN} > SH{HANDLUNG=HALTEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	EINSETZEN → HALTEN → FORTSETZEN	einsetzen; halten; weiter	EINSETZEN · HALTEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	MULTI_ACTION	Weiter setze den Teilwert [wie zuvor] ein und halte den Teilwert [wie zuvor] fest.	P|SH	NONE	NONE	AIN	2	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
22	OLD26_GDT407	G407-E0133	G404-E0133	G407-S005	f1r	SOURCE_SECTION_T	62	88	STATEMENT_INTERNAL	NO	dydyd	Y+DY+D_LABEL	3	ARGUMENT+STATE_CONTROL+LOCAL_OR_CLASS_SIGN	DY	Y{ARGUMENT=POSTEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN} > D_LABEL{LOKAL-/KLASSENZEICHEN=HIER}	POSTEN → ABSCHLIESSEN → HIER	den Posten; abschließen; hier	AKTIVER POSTEN · SCHLUSS · HIER	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Im laufenden Gang halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	NONE	SH	Y	NONE	0	0	1	0	1	0	1	ARGUMENT	1	ARGUMENT:den Posten führen und den Schritt abschließen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
23	OLD26_GDT407	G407-E0137	G404-E0137	G407-S005	f1r	SOURCE_SECTION_T	66	88	STATEMENT_INTERNAL	NO	shol	SH+OL	2	ACTION_HEAD+STATE_CONTROL	OL	SH{HANDLUNG=HALTEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	HALTEN → FORTSETZEN	halten; weiter	HALTEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter halte den laufenden Eintrag [wie zuvor] fest.	SH	NONE	NONE	Y	1	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
24	OLD26_GDT407	G407-E0150	G404-E0150	G407-S005	f1r	SOURCE_SECTION_T	79	88	STATEMENT_INTERNAL	NO	tol	T+OL	2	ACTION_HEAD+STATE_CONTROL	OL	T{HANDLUNG=EINSTELLEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	EINSTELLEN → FORTSETZEN	einstellen; weiter	EINSTELLEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter lege den laufenden Eintrag [wie zuvor] fest.	T	NONE	NONE	Y	1	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
25	OLD26_GDT407	G407-E0151	G404-E0151	G407-S005	f1r	SOURCE_SECTION_T	80	88	STATEMENT_INTERNAL	NO	cthols	CH+T+OL+S	4	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+ACTION_HEAD	OL	CH{HANDLUNG=NEHMEN} > T{HANDLUNG=EINSTELLEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > S{HANDLUNG=WÄHLEN}	NEHMEN → EINSTELLEN → FORTSETZEN → WÄHLEN	nehmen; einstellen; weiter; wählen	NEHMEN · EINSTELLEN · FORTSETZEN · WÄHLEN	GDT416_OLD26_IMPERATIVE	MULTI_ACTION	Weiter entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor].	CH|T|S	NONE	NONE	Y	3	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
26	OLD26_GDT407	G407-E0158	G404-E0158	G407-S005	f1r	SOURCE_SECTION_T	87	88	STATEMENT_INTERNAL	NO	otol	OT+OL	2	STATE_CONTROL+STATE_CONTROL	OT+OL	OT{ZUSTANDSSTEUERUNG=DANACH} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	DANACH → FORTSETZEN	danach; weiter	DANACH · FORTSETZEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Danach und weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	NONE	K	NONE	Y	0	0	0	0	2	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
27	OLD26_GDT407	G407-E0163	G404-E0163	G407-S006	f1r	SOURCE_SECTION_T	4	41	STATEMENT_INTERNAL	NO	chol	OL	1	STATE_CONTROL	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	FORTSETZEN	weiter	FORTSETZEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang entnimm den laufenden Eintrag [wie zuvor].	NONE	CH	NONE	Y	0	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
28	OLD26_GDT407	G407-E0171	G404-E0171	G407-S006	f1r	SOURCE_SECTION_T	12	41	STATEMENT_INTERNAL	NO	chol	OL	1	STATE_CONTROL	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	FORTSETZEN	weiter	FORTSETZEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang kennzeichne den laufenden Eintrag [wie zuvor].	NONE	R	NONE	Y	0	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
29	OLD26_GDT407	G407-E0184	G404-E0184	G407-S006	f1r	SOURCE_SECTION_T	25	41	STATEMENT_INTERNAL	NO	okol	OK+OL	2	ACTION_HEAD+STATE_CONTROL	OL	OK{HANDLUNG=SETZEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	SETZEN → FORTSETZEN	setzen; weiter	SETZEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter trage den Kennwert [wie zuvor] ein.	OK	NONE	NONE	AIIN	1	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
30	OLD26_GDT407	G407-E0187	G404-E0187	G407-S006	f1r	SOURCE_SECTION_T	28	41	STATEMENT_INTERNAL	NO	cthol	CH+T+OL	3	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	OL	CH{HANDLUNG=NEHMEN} > T{HANDLUNG=EINSTELLEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	NEHMEN → EINSTELLEN → FORTSETZEN	nehmen; einstellen; weiter	NEHMEN · EINSTELLEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	MULTI_ACTION	Weiter entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest.	CH|T	NONE	NONE	AIIN	2	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
