recipe_default_ordinal	recipe	event_count	physical_page_count	statement_count	surface_count	cohorts	registers	example_surfaces	example_event_ids	recipe_atom_count	atom_multiset	ordered_type_signature	ordered_typed_atom_trace	ordered_all_atom_reading_de	all_atom_default_phrase_de	specialized_carrier_layers	every_atom_mapped	written_order_preserved	default_scope
11	SH+OL	27	15	23	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	shol	G407-E0005|G407-E0048|G407-E0137|G407-E0368|G407-E0371|G407-E0470|G407-E0651|G407-E0850	2	OL+SH	ACTION_HEAD+STATE_CONTROL	SH{HANDLUNG=HALTEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	HALTEN → FORTSETZEN	halten; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
12	OT+AR	24	12	22	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	otar|qotar	G407-E0302|G407-E0750|G407-E0773|G407-E1079|G407-E1192|G407-E1202|G407-E1238|G407-E1430	2	AR+OT	STATE_CONTROL+RELATION	OT{ZUSTANDSSTEUERUNG=DANACH} > AR{RELATION=AUSGANG}	DANACH → AUSGANG	danach; vom Ausgang	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
13	OT+EE+Y	23	9	21	3	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|SOURCE_SECTION_T	oteey	G407-E0032|G407-E1068|G407-E1088|G407-E1090|G407-E1135|G407-E1143|G407-E1177|G407-E1260	3	EE+OT+Y	STATE_CONTROL+GRADE+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > EE{GRAD=GRAD II} > Y{ARGUMENT=POSTEN}	DANACH → GRAD II → POSTEN	danach; auf Grad II; den Posten	ARGUMENT|GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
14	SH+E+OL	23	12	23	3	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	dsheol|sheol|yksheol	G407-E1316|G407-E1413|G407-E1648|G407-E1826|G407-E2182|G407-E2205|G407-E3170|G407-E3333	3	E+OL+SH	ACTION_HEAD+GRADE+STATE_CONTROL	SH{HANDLUNG=HALTEN} > E{GRAD=GRAD I} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	HALTEN → GRAD I → FORTSETZEN	halten; auf Grad I; weiter	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
15	OT+AIIN	22	7	20	3	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL	chotaiin|otaiin	G407-E1128|G407-E1185|G407-E1187|G407-E1216|G407-E1240|G407-E1246|G407-E1272|G407-E1362	2	AIIN+OT	STATE_CONTROL+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > AIIN{ARGUMENT=WERT}	DANACH → WERT	danach; den Wert	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
16	OT+E+Y	19	8	19	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	otey|qotey	G407-E1181|G407-E1271|G407-E1349|G407-E1510|G407-E1773|G407-E1876|G407-E1957|G407-E1984	3	E+OT+Y	STATE_CONTROL+GRADE+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > Y{ARGUMENT=POSTEN}	DANACH → GRAD I → POSTEN	danach; auf Grad I; den Posten	ARGUMENT|GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
17	OL+DY	18	10	18	4	OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	doldy|oldy|qoldy	G407-E0423|G407-E0433|G407-E0569|G407-E0781|G407-E0908|G407-E1436|G407-E1748|G407-E1797	2	DY+OL	STATE_CONTROL+STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	FORTSETZEN → ABSCHLIESSEN	weiter; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
18	SH+EE+DY	18	10	18	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|PHARMA|SOURCE_SECTION_T	sheedy	G407-E1352|G407-E1565|G407-E1582|G407-E1673|G407-E2034|G407-E2049|G407-E2431|G407-E2608	3	DY+EE+SH	ACTION_HEAD+GRADE+STATE_CONTROL	SH{HANDLUNG=HALTEN} > EE{GRAD=GRAD II} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	HALTEN → GRAD II → ABSCHLIESSEN	halten; auf Grad II; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
19	OT+AIN	17	7	17	3	OLD26_GDT407	BIOLOGICAL|HERBAL	otain|otarain|qotain	G407-E1586|G407-E1985|G407-E2016|G407-E2267|G407-E2293|G407-E2354|G407-E2494|G407-E2614	2	AIN+OT	STATE_CONTROL+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > AIN{ARGUMENT=ANTEIL}	DANACH → ANTEIL	danach; den Anteil	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
20	OT+AL	17	9	17	3	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	chotal|otal|qotal	G407-E1120|G407-E1282|G407-E2244|G407-E2333|G407-E2565|G407-E2655|G407-E2846|G407-E3240	2	AL+OT	STATE_CONTROL+RELATION	OT{ZUSTANDSSTEUERUNG=DANACH} > AL{RELATION=ZIELORT}	DANACH → ZIELORT	danach; zum Zielort	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
21	OK+E+OL	16	7	13	4	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	chokeol|okeol|okeolor|qokeol	G407-E1148|G407-E1227|G407-E2173|G407-E3169|G407-E3178|G407-E3827|G407-E3871|G407-E4080	3	E+OK+OL	ACTION_HEAD+GRADE+STATE_CONTROL	OK{HANDLUNG=SETZEN} > E{GRAD=GRAD I} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	SETZEN → GRAD I → FORTSETZEN	setzen; auf Grad I; weiter	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
22	D_ADDR+OL	15	10	14	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	dchol|dol	G407-E0334|G407-E0375|G407-E0377|G407-E2329|G407-E2529|G407-E2791|G407-E2887|G407-E3103	2	D_ADDR+OL	LOCAL_OR_CLASS_SIGN+STATE_CONTROL	D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	HIER → FORTSETZEN	hier; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
23	OL+AIIN	13	9	13	3	OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	doldaiin|olaiin	G407-E0473|G407-E0570|G407-E1299|G407-E1402|G407-E1418|G407-E1810|G407-E2044|G407-E2316	2	AIIN+OL	STATE_CONTROL+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > AIIN{ARGUMENT=WERT}	FORTSETZEN → WERT	weiter; den Wert	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
24	OL+CHD+DY	13	6	13	3	OLD26_GDT407	BIOLOGICAL	olchdy|olchedy|qolchedy	G407-E1501|G407-E2008|G407-E2076|G407-E2219|G407-E2371|G407-E2373|G407-E2599|G407-E3080	3	CHD+DY+OL	STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > CHD{HANDLUNG=BEARBEITEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	FORTSETZEN → BEARBEITEN → ABSCHLIESSEN	weiter; bearbeiten; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
25	L+OL	12	7	12	2	OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL	chlol|lol	G407-E0555|G407-E1139|G407-E1483|G407-E1762|G407-E2151|G407-E2257|G407-E2456|G407-E2464	2	L+OL	RELATION+STATE_CONTROL	L{RELATION=VERBINDUNG} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	VERBINDUNG → FORTSETZEN	über die Verbindung; weiter	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
26	OT+CH+OL	11	8	10	2	CURRENT4_GDT539|OLD26_GDT407	HERBAL|PHARMA|SOURCE_SECTION_T	otchol|qotchol	G407-E0058|G407-E0255|G407-E0406|G407-E0411|G407-E0459|G407-E0513|G407-E0689|G407-E3847	3	CH+OL+OT	STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	OT{ZUSTANDSSTEUERUNG=DANACH} > CH{HANDLUNG=NEHMEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	DANACH → NEHMEN → FORTSETZEN	danach; nehmen; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
27	OT+OL	11	10	11	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	otol|qotol	G407-E0158|G407-E0279|G407-E0354|G407-E0621|G407-E1830|G407-E2449|G407-E3995|G407-E4177	2	OL+OT	STATE_CONTROL+STATE_CONTROL	OT{ZUSTANDSSTEUERUNG=DANACH} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	DANACH → FORTSETZEN	danach; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
28	P+CHD+DY	11	7	11	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|SOURCE_SECTION_T	pchedy	G407-E1477|G407-E1534|G407-E1666|G407-E2147|G407-E2327|G407-E2613|G407-E2765|G407-E2876	3	CHD+DY+P	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	P{HANDLUNG=EINSETZEN} > CHD{HANDLUNG=BEARBEITEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	EINSETZEN → BEARBEITEN → ABSCHLIESSEN	einsetzen; bearbeiten; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
29	K+OL	9	8	9	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	kchol|kol	G407-E0113|G407-E0322|G407-E0403|G407-E0840|G407-E0849|G407-E1162|G407-E1578|G515-E0087	2	K+OL	ACTION_HEAD+STATE_CONTROL	K{HANDLUNG=GEBEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	GEBEN → FORTSETZEN	geben; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
30	L+SH+E+DY	9	6	9	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|SOURCE_SECTION_T	lshedy	G407-E1492|G407-E2007|G407-E3072|G407-E3115|G407-E3116|G407-E3428|G407-E3734|G515-E0508	4	DY+E+L+SH	RELATION+ACTION_HEAD+GRADE+STATE_CONTROL	L{RELATION=VERBINDUNG} > SH{HANDLUNG=HALTEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	VERBINDUNG → HALTEN → GRAD I → ABSCHLIESSEN	über die Verbindung; halten; auf Grad I; abschließen	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
31	OK+CHD+DY	9	5	9	3	OLD26_GDT407	BIOLOGICAL|HERBAL	okchdy|okchedy|qokchdy	G407-E1494|G407-E1561|G407-E1880|G407-E3085|G407-E3140|G407-E3531|G407-E3598|G407-E3770	3	CHD+DY+OK	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	OK{HANDLUNG=SETZEN} > CHD{HANDLUNG=BEARBEITEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	SETZEN → BEARBEITEN → ABSCHLIESSEN	setzen; bearbeiten; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
32	OT+OR	9	5	7	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL	otor|qotor	G407-E0233|G407-E0293|G407-E0300|G407-E0306|G407-E1034|G407-E1113|G407-E3613|G407-E3666	2	OR+OT	STATE_CONTROL+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > OR{ARGUMENT=EINHEIT}	DANACH → EINHEIT	danach; die Einheit	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
33	CH+T+OL	8	6	8	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	cthol	G407-E0187|G407-E0554|G407-E0592|G407-E0865|G407-E3211|G407-E3885|G515-E0013|G515-E0040	3	CH+OL+T	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	CH{HANDLUNG=NEHMEN} > T{HANDLUNG=EINSTELLEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	NEHMEN → EINSTELLEN → FORTSETZEN	nehmen; einstellen; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
34	L+DY	8	6	8	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	ldy	G407-E1720|G407-E1768|G407-E3202|G407-E3658|G407-E3710|G407-E4453|G515-E0203|G515-E0561	2	DY+L	RELATION+STATE_CONTROL	L{RELATION=VERBINDUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	VERBINDUNG → ABSCHLIESSEN	über die Verbindung; abschließen	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
35	OL+K+EE+Y	8	7	8	2	OLD26_GDT407	BIOLOGICAL|PHARMA	olkeey|solkeey	G407-E1632|G407-E1916|G407-E2604|G407-E2841|G407-E3095|G407-E3536|G407-E3780|G407-E3884	4	EE+K+OL+Y	STATE_CONTROL+ACTION_HEAD+GRADE+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > EE{GRAD=GRAD II} > Y{ARGUMENT=POSTEN}	FORTSETZEN → GEBEN → GRAD II → POSTEN	weiter; geben; auf Grad II; den Posten	ARGUMENT|GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
36	OT+CHD+DY	8	3	8	3	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	otchdy|otchedy|qotchedy	G407-E3595|G407-E3651|G407-E3708|G407-E3769|G407-E4510|G515-E0524|G515-E0551|G515-E0577	3	CHD+DY+OT	STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	OT{ZUSTANDSSTEUERUNG=DANACH} > CHD{HANDLUNG=BEARBEITEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	DANACH → BEARBEITEN → ABSCHLIESSEN	danach; bearbeiten; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
37	T+OL	8	7	7	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	tchol|tol	G407-E0150|G407-E0339|G407-E0852|G407-E0880|G407-E3683|G407-E4032|G407-E4218|G515-E0215	2	OL+T	ACTION_HEAD+STATE_CONTROL	T{HANDLUNG=EINSTELLEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	EINSTELLEN → FORTSETZEN	einstellen; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
38	K+EE+DY	7	4	7	1	OLD26_GDT407	BIOLOGICAL	keedy	G407-E1535|G407-E1750|G407-E1780|G407-E1787|G407-E2338|G407-E2590|G407-E2926	3	DY+EE+K	ACTION_HEAD+GRADE+STATE_CONTROL	K{HANDLUNG=GEBEN} > EE{GRAD=GRAD II} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	GEBEN → GRAD II → ABSCHLIESSEN	geben; auf Grad II; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
39	OL+AIN	7	3	7	3	OLD26_GDT407	BIOLOGICAL|PHARMA|SOURCE_SECTION_T	olain|oldain|qolain	G407-E0095|G407-E2026|G407-E2054|G407-E2077|G407-E2243|G407-E2303|G407-E4070	2	AIN+OL	STATE_CONTROL+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > AIN{ARGUMENT=ANTEIL}	FORTSETZEN → ANTEIL	weiter; den Anteil	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
40	OT+AM_ADDR	7	6	6	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	otam|otcham	G407-E0796|G407-E1166|G407-E1167|G407-E1809|G407-E3819|G407-E4167|G515-E0530	2	AM_ADDR+OT	STATE_CONTROL+LOCAL_OR_CLASS_SIGN	OT{ZUSTANDSSTEUERUNG=DANACH} > AM_ADDR{LOKAL-/KLASSENZEICHEN=HIER}	DANACH → HIER	danach; hier	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
41	OT+E+O+S_ADDR	7	3	7	1	OLD26_GDT407	CELESTIAL|PHARMA|SOURCE_SECTION_T	oteos	G407-E0033|G407-E1213|G407-E1219|G407-E1357|G407-E1422|G407-E4182|G407-E4336	4	E+O+OT+S_ADDR	STATE_CONTROL+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > S_ADDR{LOKAL-/KLASSENZEICHEN=HIER}	DANACH → GRAD I → AUSFÜHRUNG → HIER	danach; auf Grad I; zur Ausführung; hier	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
42	SH+EE+OL	7	5	7	3	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|PHARMA|SOURCE_SECTION_T	cheeol|sheeol|sheeoldy	G407-E2253|G407-E2441|G407-E2562|G407-E2647|G407-E3874|G407-E3996|G515-E0564	3	EE+OL+SH	ACTION_HEAD+GRADE+STATE_CONTROL	SH{HANDLUNG=HALTEN} > EE{GRAD=GRAD II} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	HALTEN → GRAD II → FORTSETZEN	halten; auf Grad II; weiter	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
43	SH+O+DY	7	4	7	2	OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	dshody|shody	G407-E0056|G407-E0068|G407-E0200|G407-E2649|G407-E4071|G407-E4299|G407-E4401	3	DY+O+SH	ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	SH{HANDLUNG=HALTEN} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	HALTEN → AUSFÜHRUNG → ABSCHLIESSEN	halten; zur Ausführung; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
