atom	typed_category	working_value_de	default_fragment_de	atom_occurrence_count	state_card_count	recipe_count	physical_page_count	source_factor_family	source_semantic_layer	source_dictionary	value_status	reading_scope
CARRIER_Q	FORMAL_CONTROL	BEGINNMARKER	am Beginn	18	18	11	11	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
R	ACTION_HEAD	MARKIEREN	markieren	14	14	10	11	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
AM_ADDR	LOCAL_OR_CLASS_SIGN	HIER	hier	13	13	5	10	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
EEE	GRADE	GRAD III	auf Grad III	10	10	8	8	GRADE	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
LOCAL_CHAR_F	LOCAL_OR_CLASS_SIGN	HIER	hier	10	10	9	8	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
S_ADDR	LOCAL_OR_CLASS_SIGN	HIER	hier	9	9	3	4	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
IIN	FORMAL_CONTROL	STUFE	auf der Stufe	8	8	8	7	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
A_ADDR	LOCAL_OR_CLASS_SIGN	HIER	hier	7	7	7	5	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
AIR	RELATION	BAHN	entlang der Bahn	6	6	5	6	RELATION	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
AN	LOCAL_OR_CLASS_SIGN	KLASSE	als Klasse	3	3	3	3	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
DA	FORMAL_CONTROL	ZWEITE STUFE	auf der zweiten Stufe	3	3	3	3	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
D_LABEL	LOCAL_OR_CLASS_SIGN	HIER	hier	2	2	2	2	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
M_LOCAL	LOCAL_OR_CLASS_SIGN	HIER	hier	2	2	2	1	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
LOCAL_CHAR_G	LOCAL_OR_CLASS_SIGN	VARIANTE	als Variante	1	1	1	1	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
