component_recipe	event_count	family_class	surface_counts	page_count	pages	register_count	register_counts	selected_atomic_reading_de
CHD+AR	3	OPEN_ARGUMENT_OR_RELATION	chedar:3	2	f81r|f82r	1	BIOLOGICAL:3	BEARBEITEN · AUSGANG
S+OL+CHD+Y	3	OPEN_ARGUMENT_OR_RELATION	solchedy:3	3	f76r|f77r|f83r	1	BIOLOGICAL:3	WÄHLEN · FORTSETZEN · BEARBEITEN · POSTEN
CHD	2	OTHER_OPEN	ched:2	2	f77r|f83r	1	BIOLOGICAL:2	BEARBEITEN
CHD+AL	2	OPEN_ARGUMENT_OR_RELATION	chedal:1|chdal:1	2	f72r|f83r	2	CELESTIAL:1|BIOLOGICAL:1	BEARBEITEN · ZIELORT
CHD+AM_ADDR	2	OTHER_OPEN	chdam:2	2	f76r|f95v	2	BIOLOGICAL:1|HERBAL:1	BEARBEITEN · HIER
CHD+OL	2	OTHER_OPEN	chdol:1|chedol:1	2	f76r|f82r	1	BIOLOGICAL:2	BEARBEITEN · FORTSETZEN
K+CHD+Y	2	OPEN_ARGUMENT_OR_RELATION	kchdy:2	2	f55v|f95v	1	HERBAL:2	GEBEN · BEARBEITEN · POSTEN
L+CHD	2	OPEN_ARGUMENT_OR_RELATION	lched:2	1	f82r	1	BIOLOGICAL:2	VERBINDUNG · BEARBEITEN
L+CHD+AR	2	OPEN_ARGUMENT_OR_RELATION	olchdar:1|lchedar:1	2	f76r|f82r	1	BIOLOGICAL:2	VERBINDUNG · BEARBEITEN · AUSGANG
L+CHD+Y	2	OPEN_ARGUMENT_OR_RELATION	lchdy:2	2	f83r|f88v	2	BIOLOGICAL:1|PHARMA:1	VERBINDUNG · BEARBEITEN · POSTEN
O+CHD+Y	2	OPEN_ARGUMENT_OR_RELATION	ochdy:1|ochedy:1	2	f24v|f55v	1	HERBAL:2	AUSFÜHRUNG · BEARBEITEN · POSTEN
O+P+CHD+DY	2	TERMINAL_DY	opchedy:2	2	f76r|f81r	1	BIOLOGICAL:2	AUSFÜHRUNG · EINSETZEN · BEARBEITEN · SCHLUSS
O+P+CHD+Y	2	OPEN_ARGUMENT_OR_RELATION	opchdy:2	1	f76r	1	BIOLOGICAL:2	AUSFÜHRUNG · EINSETZEN · BEARBEITEN · POSTEN
OK+E+CHD+DY	2	TERMINAL_DY	qokechdy:1|qokechedy:1	2	f75r|f81r	1	BIOLOGICAL:2	SETZEN · GRAD I · BEARBEITEN · SCHLUSS
OL+P+CHD+DY	2	TERMINAL_DY	olpchedy:2	1	f81r	1	BIOLOGICAL:2	FORTSETZEN · EINSETZEN · BEARBEITEN · SCHLUSS
P+CHD+AR	2	OPEN_ARGUMENT_OR_RELATION	pchedar:2	2	f75r|f83r	1	BIOLOGICAL:2	EINSETZEN · BEARBEITEN · AUSGANG
R+CHD+Y	2	OPEN_ARGUMENT_OR_RELATION	rchedy:2	2	f82r|f83r	1	BIOLOGICAL:2	MARKIEREN · BEARBEITEN · POSTEN
AL+CHD	1	OPEN_ARGUMENT_OR_RELATION	alched:1	1	f81r	1	BIOLOGICAL:1	ZIELORT · BEARBEITEN
CARRIER_Q+E+P+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	qepchedy:1	1	f77r	1	BIOLOGICAL:1	BEGINNMARKER · GRAD I · EINSETZEN · BEARBEITEN · POSTEN
CARRIER_Q+O+D_ADDR+CHD	1	OTHER_OPEN	qodched:1	1	f82r	1	BIOLOGICAL:1	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN
CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN	1	OPEN_ARGUMENT_OR_RELATION	qofchdaiin:1	1	f95v	1	HERBAL:1	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · WERT
CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	qofchedy:1	1	f81v	1	BIOLOGICAL:1	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · POSTEN
CH+O+P+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	chopchedy:1	1	f82r	1	BIOLOGICAL:1	NEHMEN · AUSFÜHRUNG · EINSETZEN · BEARBEITEN · POSTEN
CHD+AIR	1	OPEN_ARGUMENT_OR_RELATION	schedair:1	1	f83r	1	BIOLOGICAL:1	BEARBEITEN · BAHN
CHD+OR	1	OPEN_ARGUMENT_OR_RELATION	chedor:1	1	f76r	1	BIOLOGICAL:1	BEARBEITEN · EINHEIT
CHD+Y+K+AIN	1	OPEN_ARGUMENT_OR_RELATION	chdykain:1	1	f95v	1	HERBAL:1	BEARBEITEN · POSTEN · GEBEN · ANTEIL
CHD+Y+K+AR	1	OPEN_ARGUMENT_OR_RELATION	chedykar:1	1	f75r	1	BIOLOGICAL:1	BEARBEITEN · POSTEN · GEBEN · AUSGANG
CHD+Y+L	1	OPEN_ARGUMENT_OR_RELATION	chedyl:1	1	f76r	1	BIOLOGICAL:1	BEARBEITEN · POSTEN · VERBINDUNG
CHD+Y+OK+AM_ADDR	1	OPEN_ARGUMENT_OR_RELATION	chedyqokam:1	1	f75r	1	BIOLOGICAL:1	BEARBEITEN · POSTEN · SETZEN · HIER
CHD+Y+T+Y	1	OPEN_ARGUMENT_OR_RELATION	chdyty:1	1	f95v	1	HERBAL:1	BEARBEITEN · POSTEN · EINSTELLEN · POSTEN
K+CH+EE+D_ADDR+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	kcheedchdy:1	1	f55v	1	HERBAL:1	GEBEN · NEHMEN · GRAD II · HIER · BEARBEITEN · POSTEN
K+CHD+Y+K+AR+Y	1	OPEN_ARGUMENT_OR_RELATION	kchedykary:1	1	f75r	1	BIOLOGICAL:1	GEBEN · BEARBEITEN · POSTEN · GEBEN · AUSGANG · POSTEN
K+OL+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	kolchdy:1	1	f82r	1	BIOLOGICAL:1	GEBEN · FORTSETZEN · BEARBEITEN · POSTEN
L+CH+P+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	lchpchdy:1	1	f81v	1	BIOLOGICAL:1	VERBINDUNG · NEHMEN · EINSETZEN · BEARBEITEN · POSTEN
L+CHD+AL	1	OPEN_ARGUMENT_OR_RELATION	lchedal:1	1	f81v	1	BIOLOGICAL:1	VERBINDUNG · BEARBEITEN · ZIELORT
L+K+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	lkchedy:1	1	f82r	1	BIOLOGICAL:1	VERBINDUNG · GEBEN · BEARBEITEN · POSTEN
L+O+CHD+DY	1	TERMINAL_DY	lochedy:1	1	f82r	1	BIOLOGICAL:1	VERBINDUNG · AUSFÜHRUNG · BEARBEITEN · SCHLUSS
L+OL+CHD+DY	1	TERMINAL_DY	lolchedy:1	1	f75r	1	BIOLOGICAL:1	VERBINDUNG · FORTSETZEN · BEARBEITEN · SCHLUSS
L+P+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	lpchedy:1	1	f83r	1	BIOLOGICAL:1	VERBINDUNG · EINSETZEN · BEARBEITEN · POSTEN
O+CHD+AR	1	OPEN_ARGUMENT_OR_RELATION	ochedar:1	1	f81r	1	BIOLOGICAL:1	AUSFÜHRUNG · BEARBEITEN · AUSGANG
O+LOCAL_CHAR_F+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	ofchdy:1	1	f95v	1	HERBAL:1	AUSFÜHRUNG · HIER · BEARBEITEN · POSTEN
OK+AR+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	okarchedy:1	1	f82r	1	BIOLOGICAL:1	SETZEN · AUSGANG · BEARBEITEN · POSTEN
OK+CHD	1	OTHER_OPEN	okchd:1	1	f55v	1	HERBAL:1	SETZEN · BEARBEITEN
OK+CHD+DY+L	1	OPEN_ARGUMENT_OR_RELATION	qokchdyl:1	1	f76r	1	BIOLOGICAL:1	SETZEN · BEARBEITEN · SCHLUSS · VERBINDUNG
OK+CHD+S+DY	1	TERMINAL_DY	qokchsdy:1	1	f76r	1	BIOLOGICAL:1	SETZEN · BEARBEITEN · WÄHLEN · SCHLUSS
OL+K+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	olkchdy:1	1	f95v	1	HERBAL:1	FORTSETZEN · GEBEN · BEARBEITEN · POSTEN
OT+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	qotchey:1	1	f95v	1	HERBAL:1	DANACH · BEARBEITEN · POSTEN
OT+O+CHD+DY	1	TERMINAL_DY	otochedy:1	1	f72r	1	CELESTIAL:1	DANACH · AUSFÜHRUNG · BEARBEITEN · SCHLUSS
P+CHD+AL	1	OPEN_ARGUMENT_OR_RELATION	pchedal:1	1	f83r	1	BIOLOGICAL:1	EINSETZEN · BEARBEITEN · ZIELORT
P+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	pchdy:1	1	f81v	1	BIOLOGICAL:1	EINSETZEN · BEARBEITEN · POSTEN
P+OL+AL+CHD+DY	1	TERMINAL_DY	polalchdy:1	1	f76r	1	BIOLOGICAL:1	EINSETZEN · FORTSETZEN · ZIELORT · BEARBEITEN · SCHLUSS
P+OL+CHD	1	OTHER_OPEN	polched:1	1	f82r	1	BIOLOGICAL:1	EINSETZEN · FORTSETZEN · BEARBEITEN
P+OL+CHD+DY	1	TERMINAL_DY	polchdy:1	1	f81r	1	BIOLOGICAL:1	EINSETZEN · FORTSETZEN · BEARBEITEN · SCHLUSS
S+AL+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	salchedy:1	1	f83r	1	BIOLOGICAL:1	WÄHLEN · ZIELORT · BEARBEITEN · POSTEN
S+K+CHD+DY	1	TERMINAL_DY	skchdy:1	1	f95v	1	HERBAL:1	WÄHLEN · GEBEN · BEARBEITEN · SCHLUSS
SH+E+CH+T+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	shecthedchy:1	1	f83r	1	BIOLOGICAL:1	HALTEN · GRAD I · NEHMEN · EINSTELLEN · BEARBEITEN · POSTEN
SH+K+CHD+DY	1	TERMINAL_DY	sshkchdy:1	1	f81v	1	BIOLOGICAL:1	HALTEN · GEBEN · BEARBEITEN · SCHLUSS
T+CHD	1	OTHER_OPEN	tchd:1	1	f81v	1	BIOLOGICAL:1	EINSTELLEN · BEARBEITEN
T+CHD+AIIN	1	OPEN_ARGUMENT_OR_RELATION	tchdaiin:1	1	f95v	1	HERBAL:1	EINSTELLEN · BEARBEITEN · WERT
T+E+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	techedy:1	1	f83r	1	BIOLOGICAL:1	EINSTELLEN · GRAD I · BEARBEITEN · POSTEN
T+OL+CHD	1	OTHER_OPEN	tolchd:1	1	f77r	1	BIOLOGICAL:1	EINSTELLEN · FORTSETZEN · BEARBEITEN
Y+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	ychedy:1	1	f81r	1	BIOLOGICAL:1	POSTEN · BEARBEITEN · POSTEN
Y+K+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	ykchdy:1	1	f89r	1	PHARMA:1	POSTEN · GEBEN · BEARBEITEN · POSTEN
Y+T+CHD+Y	1	OPEN_ARGUMENT_OR_RELATION	ytchdy:1	1	f95v	1	HERBAL:1	POSTEN · EINSTELLEN · BEARBEITEN · POSTEN
