descriptor_token	representation	positive_loci	gain_bits	positive_gain_folios
finger	HOST_WRAPPER_JOINT	5	0.419471582606	3
finger	HOST_WRAPPER_RIGHT_JOINT	5	0.419471582606	3
many	HOST_WRAPPER_JOINT	4	0.374176784924	3
many	HOST_WRAPPER_RIGHT_JOINT	4	0.374176784924	3
stalk	HOST_WRAPPER_JOINT	4	0.374176784924	3
stalk	HOST_WRAPPER_RIGHT_JOINT	4	0.374176784924	3
round	HOST_WRAPPER_JOINT	4	0.336315945045	3
round	HOST_WRAPPER_RIGHT_JOINT	4	0.336315945045	3
serrated	HOST_WRAPPER_JOINT	4	0.336315945045	3
serrated	HOST_WRAPPER_RIGHT_JOINT	4	0.336315945045	3
flower	HOST_WRAPPER_JOINT	4	0.329820964842	3
flower	HOST_WRAPPER_RIGHT_JOINT	4	0.329820964842	3
bulb	HOST_WRAPPER_JOINT	5	0.297658484175	3
bulb	HOST_WRAPPER_RIGHT_JOINT	5	0.297658484175	3
stem	RAW_CHAR3	23	0.106690832166	3
edge	B3_ONLY	8	-0.437882278243	1
round	PAGE_HOST_CHAR3	4	-0.467896295943	3
serrated	WRAPPER_ONLY	4	-0.600972400398	3
round	RAW_CHAR3	4	-0.666720126195	2
stem	HOST_B3_JOINT	23	-1.02839205004	3
level	HOST_B3_JOINT	12	-1.04220629396	3
serrated	PAGE_HOST_CHAR3	4	-1.17430787406	3
root	HOST_RIGHT_JOINT	46	-1.19348905144	3
root	PAGE_HOST_CHAR3	46	-1.19681577154	2
serrated	RAW_CHAR3	4	-1.24618673075	3
light	B3_ONLY	36	-1.45715507905	3
large	RAW_CHAR3	6	-1.62777447371	2
ground	HOST_B3_JOINT	9	-1.65896097819	3
root	HOST_WRAPPER_JOINT	46	-1.73037215645	1
root	HOST_WRAPPER_RIGHT_JOINT	46	-1.73037215645	1
many	PAGE_HOST_CHAR3	4	-1.89636769941	3
flower	RAW_CHAR3	4	-2.10461202827	2
base	HOST_RIGHT_JOINT	11	-2.2014110418	3
many	RAW_CHAR3	4	-2.31700211903	3
root	RAW_CHAR3	46	-2.3332420302	1
leaf	RAW_CHAR3	42	-2.44629326396	2
shaped	RAW_CHAR3	7	-2.65945225859	1
bulb	HOST_B3_JOINT	5	-2.72533239442	3
stalk	HOST_RIGHT_JOINT	4	-2.94445247508	3
leaf	RIGHT_ONLY	42	-2.99173073466	4
bulb	HOST_RIGHT_JOINT	5	-3.04536018049	3
root	HOST_B3_JOINT	46	-3.28457386251	1
bulb	COMPILER_SIGNATURE	5	-3.3750903297	2
bulb	RAW_CHAR3	5	-3.38463917765	1
edge	RAW_CHAR3	8	-4.03437422087	3
round	WRAPPER_ONLY	4	-4.19667062168	2
base	RAW_CHAR3	11	-4.30946216726	0
large	PAGE_HOST_CHAR3	6	-4.9319704615	1
light	WRAPPER_ONLY	36	-4.96055967681	2
bulb	PAGE_HOST_CHAR3	5	-5.14158511848	2
serrated	RIGHT_ONLY	4	-5.14609551711	1
stem	WRAPPER_ONLY	23	-5.19103613454	2
ground	WRAPPER_ONLY	9	-5.19681281275	3
leaf	B3_ONLY	42	-5.21821239464	2
light	RAW_CHAR3	36	-5.35467763585	1
flower	COMPILER_SIGNATURE	4	-5.4097991301	2
coloured	RAW_CHAR3	8	-5.48225739385	3
base	HOST_B3_JOINT	11	-5.49614772841	1
coloured	HOST_B3_JOINT	8	-5.99269763261	3
base	PAGE_HOST_CHAR3	11	-6.15210032571	0
stalk	RAW_CHAR3	4	-6.18730318608	1
root	RIGHT_ONLY	46	-6.25378655217	3
light	COMPILER_SIGNATURE	36	-6.40736919794	2
stem	COMPILER_SIGNATURE	23	-6.41900905035	2
stalk	HOST_B3_JOINT	4	-6.42293296317	2
shaped	HOST_RIGHT_JOINT	7	-6.43429563634	1
coloured	HOST_RIGHT_JOINT	8	-6.49456847944	3
finger	HOST_RIGHT_JOINT	5	-6.64061385736	2
finger	RAW_CHAR3	5	-7.14248197009	1
coloured	HOST_WRAPPER_JOINT	8	-7.17177577419	1
coloured	HOST_WRAPPER_RIGHT_JOINT	8	-7.17177577419	1
root	B3_ONLY	46	-7.30072172502	2
base	B3_ONLY	11	-7.33305729178	1
coloured	PAGE_HOST_CHAR3	8	-7.66802579605	3
root	WRAPPER_ONLY	46	-7.74347596523	2
stalk	B3_ONLY	4	-8.04632955416	4
light	HOST_RIGHT_JOINT	36	-8.15589084975	2
flower	B3_ONLY	4	-8.2270084659	1
light	HOST_WRAPPER_JOINT	36	-8.23442036929	0
light	HOST_WRAPPER_RIGHT_JOINT	36	-8.23442036929	0
flower	RIGHT_ONLY	4	-8.37496110147	1
dark	RAW_CHAR3	46	-8.74809920527	1
stalk	PAGE_HOST_CHAR3	4	-8.96348677999	0
stalk	RIGHT_ONLY	4	-9.05990970977	4
large	COMPILER_SIGNATURE	6	-9.1394733487	1
dark	B3_ONLY	46	-9.17184495907	3
many	RIGHT_ONLY	4	-9.19588700583	3
large	RIGHT_ONLY	6	-9.3271939533	0
flower	WRAPPER_ONLY	4	-9.50109665776	1
stalk	COMPILER_SIGNATURE	4	-9.66034010072	2
shaped	HOST_B3_JOINT	7	-9.81525250649	0
finger	PAGE_HOST_CHAR3	5	-9.90978525734	0
round	B3_ONLY	4	-9.97333946088	1
finger	HOST_B3_JOINT	5	-10.0872175544	1
finger	B3_ONLY	5	-10.937033661	3
round	COMPILER_SIGNATURE	4	-10.9437454095	1
stalk	WRAPPER_ONLY	4	-11.1187334709	3
serrated	COMPILER_SIGNATURE	4	-11.4172267788	1
shaped	WRAPPER_ONLY	7	-11.4568686775	1
large	B3_ONLY	6	-11.7666815746	1
light	PAGE_HOST_CHAR3	36	-11.9057975345	0
finger	RIGHT_ONLY	5	-11.9817994461	3
shaped	PAGE_HOST_CHAR3	7	-12.1981090183	0
dark	RIGHT_ONLY	46	-12.3132113907	1
finger	COMPILER_SIGNATURE	5	-12.3135573039	1
serrated	B3_ONLY	4	-13.8301183993	1
edge	COMPILER_SIGNATURE	8	-13.8915285625	1
stem	RIGHT_ONLY	23	-13.9639031284	0
finger	WRAPPER_ONLY	5	-14.0209285947	3
round	RIGHT_ONLY	4	-14.5562482579	0
large	WRAPPER_ONLY	6	-14.8470411435	1
leaf	COMPILER_SIGNATURE	42	-15.02789981	3
light	HOST_B3_JOINT	36	-15.385310538	0
level	WRAPPER_ONLY	12	-15.6372152981	3
bulb	B3_ONLY	5	-15.9520269344	1
bulb	WRAPPER_ONLY	5	-16.005044494	1
bulb	RIGHT_ONLY	5	-16.1297188596	1
base	COMPILER_SIGNATURE	11	-16.5363500094	1
many	WRAPPER_ONLY	4	-17.0398443644	0
coloured	B3_ONLY	8	-17.280524183	3
base	WRAPPER_ONLY	11	-17.3856449979	1
many	COMPILER_SIGNATURE	4	-17.5534524422	1
coloured	RIGHT_ONLY	8	-17.7067005336	3
edge	RIGHT_ONLY	8	-18.9833450881	1
coloured	WRAPPER_ONLY	8	-18.9981952034	3
shaped	B3_ONLY	7	-19.3570691279	2
edge	WRAPPER_ONLY	8	-19.3938768318	0
shaped	COMPILER_SIGNATURE	7	-19.4830823993	1
shaped	RIGHT_ONLY	7	-20.479613425	2
root	COMPILER_SIGNATURE	46	-21.0473771639	1
many	B3_ONLY	4	-21.4379163478	0
dark	WRAPPER_ONLY	46	-24.638670037	1
coloured	COMPILER_SIGNATURE	8	-26.5726683598	1
leaf	WRAPPER_ONLY	42	-27.4618342811	2
base	RIGHT_ONLY	11	-29.477372795	0
dark	COMPILER_SIGNATURE	46	-42.9486033288	0
