candidate_rank	page_host	external_axis	direction	locus	physical_folio	tokens	wrappers	right_families	observed_tags	annotation_certainty	raw_source_description
5	okaly	REL_ENCLOSURE	ENRICHED	f80r.3	f80	okaly	NONE	NONE	FIGURE;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	UNHEDGED	Labels on nymphs along top margin. || Label above nymph 3.
6	op	STAR_OR_SKY	DEPLETED	f73r.19	f73	opaiin	NONE	aiin	FIGURE;REL_ENCLOSURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost inside diagram) || At 08:45. Grove's #15. Star/nymph at 08:45?
7	d	REL_EXPLICIT_ATTACHMENT	ENRICHED	f67r2.24	f67	sodar	s	ar	REL_PROXIMITY;STAR_OR_SKY	UNHEDGED	Text lines in sectors with moons. || Sector at 00:30, line 2. Grove's T5.2. The gallows has half of a hook at the end of the horz arm, so it is halfway between @f and @z.
7	d	REL_EXPLICIT_ATTACHMENT	ENRICHED	f67r2.39	f67	chedaiin	che	aiin	STAR_OR_SKY	UNHEDGED	Text lines in sectors with moons. || Sector at 05:30, line 2. Grove's T10.2.
7	d	REL_EXPLICIT_ATTACHMENT	ENRICHED	f67r2.48	f67	todaiin	t	aiin	REL_ENCLOSURE;REL_PROXIMITY;STAR_OR_SKY	HEDGED	Text lines in sectors with moons. || It may be that lines 1-11 and 27-32 constitute a single paragraph with two lines and half, and ditto for lines 12-26. However, the 08:30 sector has four lines, whereas 07:30 has three and 09:30 has two. Also, within each sector the baselines are straight, so there is a change o baseline direction as we go from one sector to the next. Therefore the reading order used below (by sector) is probably the correct one. Sector at 08:30, line 1. Grove's T1.1.
7	d	REL_EXPLICIT_ATTACHMENT	ENRICHED	f70r1.18	f70	chodal	ch	al	REL_ENCLOSURE;REL_PROXIMITY;STAR_OR_SKY	HEDGED	Radial labels inside central circle, between star arms. || At 05:30. Grove's X.4. Gabriel's Y1.2?
7	d	REL_EXPLICIT_ATTACHMENT	ENRICHED	f72v1.10	f72	odal	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost) || Label at 01:45. Grove's #9. Star/nymph at 01:30?
7	d	REL_EXPLICIT_ATTACHMENT	ENRICHED	f76r.7	f76	d	NONE	NONE	NONE	UNHEDGED	letter labels
8	yky	STAR_OR_SKY	DEPLETED	f68r1.5	f68	yky	NONE	NONE	REL_ENCLOSURE;REL_PROXIMITY;STAR_OR_SKY	UNHEDGED	Text inside top medallion (face in sun). || The text is in three short horizontal lines, East and South of the face inside the medallion. Inside top medallion, line 1 (East of face).
9	o	REL_EXPLICIT_ATTACHMENT	ENRICHED	f67v2.19	f67	soaiin	s	aiin	REL_PROXIMITY	UNHEDGED	Labels next to central square, bisected by outwards paths. || North of central square.
9	o	REL_EXPLICIT_ATTACHMENT	ENRICHED	f69r.22	f69	sho	sh	NONE	PLANT;REL_PROXIMITY	UNHEDGED	"Radial lines between ""flower stalks"" || At 10:00."
9	o	REL_EXPLICIT_ATTACHMENT	ENRICHED	f69r.40	f69	cheody	che	NONE	PLANT;REL_PROXIMITY	UNHEDGED	"Radial lines between ""flower stalks"" || At 07:30."
9	o	REL_EXPLICIT_ATTACHMENT	ENRICHED	f69v.31	f69	oar	NONE	ar	STAR_OR_SKY	UNHEDGED	"Radial labels extending outwards from ""logs"" around star. || Log at 08:45, long. Grove's Y.13."
9	o	REL_EXPLICIT_ATTACHMENT	ENRICHED	f70v2.6	f70	ody	NONE	NONE	FIGURE;REL_ARRAY_OR_GROUP;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outer). || Label at 11:45. Grove's #2. Kluge's 15A. ??? The words are actually two lines, should they be two entries? Star/nymph at 11:30?
9	o	REL_EXPLICIT_ATTACHMENT	ENRICHED	f76r.18	f76	o	NONE	NONE	NONE	UNHEDGED	letter labels || <f76r.K1.13;F> bogus label deleted -JS
10	yteo	STAR_OR_SKY	DEPLETED	f68v2.12	f68	yteody	NONE	NONE	STAR_OR_SKY	UNHEDGED	Radial titles, outwards from points of big central star. || From star point at 5:30. Grove's S5.
10	yteo	STAR_OR_SKY	DEPLETED	f72v2.14	f72	yteody	NONE	NONE	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost) || Label at 06:30. Grove's #13. Star/nymph at 06:30?
12	ok	WATER_OR_APPARATUS	ENRICHED	f67r2.22	f67	okal	NONE	al	REL_PROXIMITY;STAR_OR_SKY	HEDGED	Circle of seven labels above some of the moons. || Moon at 11:30, red; the Sun? The first @o was retraced in dark ink.
12	ok	WATER_OR_APPARATUS	ENRICHED	f67v1.3	f67	okal	NONE	al	NONE	UNHEDGED	Band of framed labels around the diagram. || At 11:30, sector 3 of top half.
12	ok	WATER_OR_APPARATUS	ENRICHED	f68r1.3	f68	chokal	ch	al	PLANT;REL_OVERLAP_OR_CONTACT	HEDGED	Paragraph at top of page. || There is a wide gap were the text runs into the diagram. &CHKh; = a @C ligd to an @H a platf gallows @K ligd to an @h. The first @r in @'ror' is misshapen, looking like &164; but with longer descending stem. Assumed accident.
12	ok	WATER_OR_APPARATUS	ENRICHED	f69r.30	f69	okar	NONE	ar	PLANT;REL_PROXIMITY	UNHEDGED	"Radial lines between ""flower stalks"" || Transcribed clockwise from decorated wedge at 02:00. Here is the approximate correspondence between radial lines (""E1.NN"") and sectors in the outer text ring (""X1.NN""). However many radial lines are aligned with a sector boundary. E1.1 X1.2 E1.2 X1.3 E1.3 X1.3 E1.4 X1.4 E1.5 X1.5 E1.6 X1.6 E1.7 X1.6 E1.8 X1.7 E1.9 X1.8 E1.10 X1.9 E1.11 X1.9 E1.12 X1.10 E1.13 X1.10 E1.14 X1.11 E1.15 X1.11 E1.16 X1.12 E1.17 X1.13 E1.18 X1.13 E1.19 X1.14 E1.20 X1.15 E1.21 X1.15 E1.22 X1.16 At 02:30."
12	ok	WATER_OR_APPARATUS	ENRICHED	f72r2.11	f72	okal	NONE	al	FIGURE;REL_ENCLOSURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost band inside diagram). || Label at 01:15. Grove's #5. Kluge's 14A. Star/nymph at 01:00?
12	ok	WATER_OR_APPARATUS	ENRICHED	f72r2.27	f72	okaldy	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (inner). || Label at 03:30. Grove's #5. Kluge's 05A. Star/nymph at 03:30?
12	ok	WATER_OR_APPARATUS	ENRICHED	f72r2.9	f72	okal	NONE	al	FIGURE;REL_ENCLOSURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost band inside diagram). || Label at 00:00. Grove's #3. Kluge's 12A. Star/nymph at 11:45?
12	ok	WATER_OR_APPARATUS	ENRICHED	f72r3.12	f72	okaiin	NONE	aiin	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost) || Label at 08:00. Grove's #12. Star/nymph at 08:00?
12	ok	WATER_OR_APPARATUS	ENRICHED	f72v3.18	f72	okaldy	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost) || Label at 09:00. Grove's #18. Star/nymph at 09:00?
12	ok	WATER_OR_APPARATUS	ENRICHED	f73v.27	f73	okal	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 2 (inner). || At 02:45. Grove's #4. Star/nymph at 02:30?
12	ok	WATER_OR_APPARATUS	ENRICHED	f88v.14	f88	okaiin	NONE	aiin	PLANT;REL_PROXIMITY	UNHEDGED	Labels in row of plants 2 (middle). || plant <f88v>[2,3] - multiple light roots, large dark leaves. East of plant <f88v>[2,3]. Kluge's 19A.
12	ok	WATER_OR_APPARATUS	ENRICHED	f89r1.14	f89	okaiin	NONE	aiin	PLANT;REL_PROXIMITY	UNHEDGED	Labels in row of plants 2 (middle). || plant <f89r1>[2,3] - large striped root - mostly dark Above plant <f89r1>[2,3]. Kluge's 29A.
12	ok	WATER_OR_APPARATUS	ENRICHED	f89r2.29	f89	okain	NONE	ain	REL_ARRAY_OR_GROUP;REL_PROXIMITY	UNHEDGED	Labels associated with container 4 (bottom) || East of container, near tapering part of body, line 1. Latham's b.0. Grove's X.10 word 1. EVMT's <e89r2.L15> word 1.
13	ok	STAR_OR_SKY	DEPLETED	f67r2.22	f67	okal	NONE	al	REL_PROXIMITY;STAR_OR_SKY	HEDGED	Circle of seven labels above some of the moons. || Moon at 11:30, red; the Sun? The first @o was retraced in dark ink.
13	ok	STAR_OR_SKY	DEPLETED	f72r2.11	f72	okal	NONE	al	FIGURE;REL_ENCLOSURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost band inside diagram). || Label at 01:15. Grove's #5. Kluge's 14A. Star/nymph at 01:00?
13	ok	STAR_OR_SKY	DEPLETED	f72r2.27	f72	okaldy	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (inner). || Label at 03:30. Grove's #5. Kluge's 05A. Star/nymph at 03:30?
13	ok	STAR_OR_SKY	DEPLETED	f72r2.9	f72	okal	NONE	al	FIGURE;REL_ENCLOSURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost band inside diagram). || Label at 00:00. Grove's #3. Kluge's 12A. Star/nymph at 11:45?
13	ok	STAR_OR_SKY	DEPLETED	f72r3.12	f72	okaiin	NONE	aiin	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost) || Label at 08:00. Grove's #12. Star/nymph at 08:00?
13	ok	STAR_OR_SKY	DEPLETED	f72v3.18	f72	okaldy	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost) || Label at 09:00. Grove's #18. Star/nymph at 09:00?
13	ok	STAR_OR_SKY	DEPLETED	f73v.27	f73	okal	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 2 (inner). || At 02:45. Grove's #4. Star/nymph at 02:30?
14	ar	STAR_OR_SKY	DEPLETED	f67r2.19	f67	ar	NONE	NONE	STAR_OR_SKY	UNHEDGED	Text lines in sectors with moons. || Sector at 11:30, line 1. Grove's T4.1.
14	ar	STAR_OR_SKY	DEPLETED	f67r2.20	f67	saral	s	al	STAR_OR_SKY	UNHEDGED	Text lines in sectors with moons. || Sector at 11:30, line 2. Grove's T4.2.
14	ar	STAR_OR_SKY	DEPLETED	f67r2.24	f67	ar	NONE	NONE	REL_PROXIMITY;STAR_OR_SKY	UNHEDGED	Text lines in sectors with moons. || Sector at 00:30, line 2. Grove's T5.2. The gallows has half of a hook at the end of the horz arm, so it is halfway between @f and @z.
14	ar	STAR_OR_SKY	DEPLETED	f68v2.9	f68	ar	NONE	NONE	STAR_OR_SKY	UNHEDGED	Radial titles, outwards from points of big central star. || From star point at 02:30. Grove's S3.
14	ar	STAR_OR_SKY	DEPLETED	f69v.19	f69	saral	s	al	STAR_OR_SKY	UNHEDGED	"Radial labels extending outwards from ""logs"" around star. || Log at 03:30, long. Grove's Y.7."
14	ar	STAR_OR_SKY	DEPLETED	f69v.4	f69	sar	s	NONE	STAR_OR_SKY	UNHEDGED	"Radial labels extending outwards from ""logs"" around star. || Log at 09:30, short. Grove's X.14."
14	ar	STAR_OR_SKY	DEPLETED	f70v1.2	f70	tar	t	NONE	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outer). || Label at 11:00. Kluge's 06A. Star/nymph at 10:30? <!S??> = star, 7 points
14	ar	STAR_OR_SKY	DEPLETED	f71r.2	f71	arar	NONE	ar	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outer). || Label at 10:30. Grove's #2. Kluge's 06A. Star/nymph at 10:00?
14	ar	STAR_OR_SKY	DEPLETED	f71v.11	f71	ar	NONE	NONE	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outer). || Label at 09:30. Grove's #1. Kluge's 15A. Star/nymph at 09:00?
14	ar	STAR_OR_SKY	DEPLETED	f71v.2	f71	char	ch	NONE	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outer). || Label at 10:30. Grove's #2. Kluge's 06A. Star/nymph at 10:00?
14	ar	STAR_OR_SKY	DEPLETED	f72r1.8	f72	otaraldy	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outer). || Label at 04:30. Grove's #7. Kluge's 12A. Star/nymph at 04:00?
14	ar	STAR_OR_SKY	DEPLETED	f72r2.7	f72	otaraldy	NONE	al	FIGURE;REL_ENCLOSURE;STAR_OR_SKY	UNHEDGED	Labels in star/nymph band 1 (outermost band inside diagram). || Label at 10:30. Grove's #1. Kluge's 10A. Star/nymph at 10:00.
14	ar	STAR_OR_SKY	DEPLETED	f73r.30	f73	ar	NONE	NONE	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 2 (inner). || Label at 08:30. Grove's #9. Star/nymph at 08:30?
