rank	core	rank_score	hb_count	hb_folios	sb_count	sb_folios	ha_count	ob_count	min_log2_enrichment_vs_ha	min_log2_specificity_vs_ob	lofo_min_ha	lofo_min_ob	hb_sb_abs_log2_rate_difference	target_wrappers	target_states	formal_attribution	annotated_groups	annotated_folios	annotated_object_classes	annotated_relation_classes	grounding_state
11	otal	4.532361004	7	6	36	12	5	38	2.458132478	-0.583479200	2.268954377	-0.772657301	0.299294392	NONE:31;q:11;ch:1	OT_AL_LOCAL:43	ANONYMOUS_STATE_DEFINED	8	8	FIGURE;PLANT;STAR_OR_SKY;WATER_OR_APPARATUS	REL_ARRAY_OR_GROUP;REL_ENCLOSURE;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
12	ar	4.521549499	49	14	115	12	58	87	1.008418252	0.193315103	0.930947089	0.115843940	0.761247150	NONE:81;d:32;t:12;sh:11;s:11;ch:10;che:7	AR_REFERENCE:164	ANONYMOUS_STATE_DEFINED	17	6	FIGURE;PLANT;STAR_OR_SKY	REL_ENCLOSURE;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
13	kal	4.403415983	4	2	9	4	1	5	2.689998943	0.581273069	1.782172271	-0.326553604	0.905637059	NONE:5;che:4;ch:4	AL_STATE:13	ANONYMOUS_STATE_DEFINED	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
14	kaiin	4.198752505	7	5	20	10	15	6	0.430389625	1.449889460	0.245135926	1.264635762	0.532978162	NONE:17;che:4;ch:3;s:2;sh:1	OTHER:17;CARRIER_STATE:8;ENTRY_STATE:2	UNATTRIBUTED_RESIDUAL	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
15	ykeey	3.815313951	3	3	9	5	7	2	0.368070848	1.718776592	-0.060256393	1.290449351	0.543066980	NONE:12	OTHER:12	UNATTRIBUTED_RESIDUAL	2	1	PLANT;STAR_OR_SKY	REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
16	aiin	3.511646570	62	13	204	12	302	126	-0.537800369	0.485740632	-0.614816584	0.408724417	0.273466823	NONE:124;d:88;s:27;t:13;ch:7;sh:5;q:1;che:1	ENTRY_STATE:128;OTHER:124;CARRIER_STATE:13;Q_OUTER_STATE:1	UNATTRIBUTED_RESIDUAL	7	3	FIGURE;STAR_OR_SKY	REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
17	air	2.906940091	5	4	38	10	15	13	0.515908810	0.480960861	-0.051182797	-0.086130745	0.823715351	d:18;NONE:17;s:6;t:2	ENTRY_STATE:26;OTHER:17	UNATTRIBUTED_RESIDUAL	1	1	PLANT;STAR_OR_SKY		VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
18	ky	2.818125697	12	8	14	10	9	13	0.637087412	-0.104129333	0.472844212	-0.268372533	1.769514766	che:14;ch:7;NONE:3;sh:2	CARRIER_STATE:23;OTHER:3	GENERIC_CURRIER_B_OR_CONTROL_RICH	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
19	odal	2.782149410	3	3	7	5	8	2	-0.153538315	1.377739674	-0.757768040	0.773509949	0.884103898	NONE:5;che:2;ch:2;t:1	AL_STATE:10	ANONYMOUS_STATE_DEFINED	2	2	FIGURE;STAR_OR_SKY	REL_ENCLOSURE;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
20	odaiin	2.723240214	6	4	29	7	48	8	-0.888799623	1.389393622	-1.523603543	0.754589702	0.198563760	ch:10;q:10;NONE:8;sh:3;che:2;t:2	CARRIER_STATE:15;Q_OUTER_STATE:10;OTHER:8;ENTRY_STATE:2	UNATTRIBUTED_RESIDUAL	2	2	STAR_OR_SKY	REL_ENCLOSURE;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	SPARSE_SINGLE_CLASS_LABEL_CAPACITY
21	kar	2.655562073	12	5	9	8	3	9	1.467606522	-0.207222826	1.239207034	-0.435622314	2.379568247	NONE:15;che:3;ch:3	AR_REFERENCE:21	ANONYMOUS_STATE_DEFINED	1	1	FIGURE;STAR_OR_SKY		VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
22	ckhy	2.542316336	23	10	33	8	17	52	0.963840104	-0.855379153	0.560644774	-1.258574483	1.472139232	ch:30;sh:11;che:10;NONE:4;d:1	CARRIER_STATE:51;OTHER:4;ENTRY_STATE:1	GENERIC_CURRIER_B_OR_CONTROL_RICH	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
23	ain	2.335591790	12	6	65	10	49	52	0.025173071	-0.293972583	-0.229119648	-0.548265302	0.405927241	d:32;NONE:20;s:15;t:4;ch:4;sh:2	ENTRY_STATE:51;OTHER:20;CARRIER_STATE:6	GENERIC_CURRIER_B_OR_CONTROL_RICH	3	2	PLANT;STAR_OR_SKY	REL_ENCLOSURE;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
24	y	2.219360590	34	11	93	12	157	104	-0.725279628	-0.367687498	-0.874678887	-0.517086757	0.545269568	che:80;NONE:18;d:12;ch:9;sh:6;s:1;t:1	CARRIER_STATE:95;OTHER:18;ENTRY_STATE:14	GENERIC_CURRIER_B_OR_CONTROL_RICH	10	6	FIGURE;PLANT;STAR_OR_SKY	REL_ENCLOSURE;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
25	al	2.086744134	12	10	89	12	40	102	0.314679688	-1.259207165	0.148126011	-1.425760842	0.856320016	NONE:59;d:16;ch:10;che:10;s:3;sh:3	AL_STATE:101	ANONYMOUS_STATE_DEFINED	8	4	FIGURE;PLANT;STAR_OR_SKY;WATER_OR_APPARATUS	REL_ARRAY_OR_GROUP;REL_ENCLOSURE;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
26	d	1.631019034	3	2	6	5	4	5	0.557548647	0.033785273	0.143146689	-0.380616685	1.090554775	che:6;ch:2;sh:1	CARRIER_STATE:9	UNATTRIBUTED_RESIDUAL	2	2	STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	SPARSE_SINGLE_CLASS_LABEL_CAPACITY
27	aiiin	1.539683152	3	3	8	4	5	12	0.655065153	-0.763616175	0.146194484	-1.272486844	0.703531652	NONE:8;d:2;ch:1	OTHER:8;ENTRY_STATE:2;CARRIER_STATE:1	GENERIC_CURRIER_B_OR_CONTROL_RICH	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
28	ol	1.359950956	36	12	137	12	266	309	-0.927669984	-1.377730617	-1.007677632	-1.457738265	0.070176322	NONE:66;ch:39;che:28;sh:15;q:13;d:5;t:5;s:2	OL_STATE:173	ANONYMOUS_STATE_DEFINED	7	5	PLANT;STAR_OR_SKY	REL_ENCLOSURE;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
29	okchy	0.877308642	4	3	10	7	46	3	-2.119807458	1.377739674	-2.477330098	1.020217034	0.761247150	q:10;NONE:3;ch:1	Q_OUTER_STATE:10;OTHER:3;CARRIER_STATE:1	UNATTRIBUTED_RESIDUAL	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
30	okey	0.854233129	3	3	24	6	7	37	0.911137828	-1.645047024	0.456185959	-2.099998892	0.823715351	q:14;NONE:10;che:2;sh:1	Q_OUTER_STATE:14;OTHER:10;CARRIER_STATE:3	GENERIC_CURRIER_B_OR_CONTROL_RICH	1	1	FIGURE;STAR_OR_SKY		VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
31	o	0.662975315	4	4	32	12	100	6	-2.470453188	1.245902028	-2.802548309	0.913806907	0.868803240	che:15;sh:7;q:6;ch:3;NONE:3;d:2	CARRIER_STATE:25;Q_OUTER_STATE:6;OTHER:3;ENTRY_STATE:2	UNATTRIBUTED_RESIDUAL	8	5	FIGURE;PLANT;STAR_OR_SKY	REL_ARRAY_OR_GROUP;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
32	olkain	0.601398909	3	2	3	2	0	21	2.834388852	-2.826132659	1.782172271	-3.878349241	1.983639571	NONE:4;s:1;t:1	OL_STATE:6	ANONYMOUS_STATE_DEFINED	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
33	cthy	0.452945530	9	7	24	9	68	36	-1.456288308	-0.782337541	-1.677290924	-1.003340157	0.616857240	ch:17;sh:7;che:5;NONE:3;q:1	CARRIER_STATE:29;OTHER:3;Q_OUTER_STATE:1	GENERIC_CURRIER_B_OR_CONTROL_RICH	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
34	okeey	0.434223951	6	5	120	11	16	72	0.666719100	-1.703052627	0.253534434	-2.116237293	2.228810047	q:83;NONE:38;che:3;ch:2	Q_OUTER_STATE:83;OTHER:38;CARRIER_STATE:5	GENERIC_CURRIER_B_OR_CONTROL_RICH	6	4	FIGURE;PLANT;STAR_OR_SKY;WATER_OR_APPARATUS	REL_ENCLOSURE;REL_EXPLICIT_ATTACHMENT;REL_OVERLAP_OR_CONTACT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
35	eol	0.419040204	3	3	19	9	15	27	-0.136167887	-1.197588047	-0.555009462	-1.616429622	0.494407726	sh:18;che:2;q:1;t:1	OL_STATE:22	ANONYMOUS_STATE_DEFINED	1	1	FIGURE;STAR_OR_SKY		VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
36	okol	0.290466833	6	4	14	8	26	21	-0.842905529	-0.775506586	-1.138393262	-1.070994319	0.826098294	q:12;NONE:8	OL_STATE:20	ANONYMOUS_STATE_DEFINED	4	4	FIGURE;PLANT;STAR_OR_SKY;WATER_OR_APPARATUS	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
37	oky	-0.021318487	15	9	22	10	49	55	-1.110469593	-1.509785596	-1.364734663	-1.764050666	1.445982785	q:18;NONE:14;ch:4;t:1	Q_OUTER_STATE:18;OTHER:14;CARRIER_STATE:4;ENTRY_STATE:1	GENERIC_CURRIER_B_OR_CONTROL_RICH	8	5	FIGURE;PLANT;STAR_OR_SKY	REL_ARRAY_OR_GROUP;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
38	eey	-0.068626758	3	3	31	11	16	28	-0.226365696	-1.249118347	-0.699039335	-1.771756363	1.186285430	sh:29;che:3;t:2	CARRIER_STATE:32;ENTRY_STATE:2	GENERIC_CURRIER_B_OR_CONTROL_RICH	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
39	ey	-0.074018928	6	6	62	11	31	87	-0.266166704	-1.974354649	-0.440589552	-2.148777497	1.281704995	sh:36;che:32	CARRIER_STATE:68	GENERIC_CURRIER_B_OR_CONTROL_RICH	3	2	PLANT	REL_OVERLAP_OR_CONTACT;REL_PROXIMITY	SPARSE_SINGLE_CLASS_LABEL_CAPACITY
40	or	-0.133989922	43	11	51	11	209	80	-1.997271976	-0.851639177	-2.121668454	-0.976035655	1.740082540	NONE:53;ch:12;s:7;sh:6;che:5;d:4;q:4;t:3	OTHER:53;CARRIER_STATE:23;ENTRY_STATE:14;Q_OUTER_STATE:4	GENERIC_CURRIER_B_OR_CONTROL_RICH	4	3	PLANT;STAR_OR_SKY	REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
41	otaiin	-0.205021441	4	3	73	10	21	29	-0.245666252	-0.936301303	-0.835382282	-1.526017334	2.046107772	NONE:51;q:25;che:1	OTHER:51;Q_OUTER_STATE:25;CARRIER_STATE:1	GENERIC_CURRIER_B_OR_CONTROL_RICH	2	2	FIGURE;STAR_OR_SKY		VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
42	od	-0.213116063	3	3	4	4	13	3	-1.557928570	0.155347253	-1.807861220	-0.094585396	1.621069492	q:3;sh:3;che:1	CARRIER_STATE:4;Q_OUTER_STATE:3	UNATTRIBUTED_RESIDUAL	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
43	oty	-0.795757669	8	4	17	10	55	30	-1.638098919	-1.008677147	-1.879758565	-1.250336793	0.941819395	NONE:16;q:6;ch:2;che:1	OTHER:16;Q_OUTER_STATE:6;CARRIER_STATE:3	GENERIC_CURRIER_B_OR_CONTROL_RICH	4	3	FIGURE;STAR_OR_SKY;WATER_OR_APPARATUS	REL_ARRAY_OR_GROUP;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
44	ykaiin	-0.809802001	5	4	4	4	7	9	-0.709931664	-1.285225338	-0.959864313	-1.535157988	2.273146188	NONE:8;che:1	OTHER:8;CARRIER_STATE:1	GENERIC_CURRIER_B_OR_CONTROL_RICH	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
45	s	-0.907107148	13	8	13	6	68	15	-2.316110650	-0.406531634	-2.710433209	-0.800854193	1.983639571	NONE:15;che:7;ch:3;sh:1	OTHER:15;CARRIER_STATE:11	GENERIC_CURRIER_B_OR_CONTROL_RICH	6	4	PLANT;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
46	eky	-1.383191079	7	5	3	3	2	15	0.512460758	-2.354064215	0.082253663	-2.784271309	3.083175245	sh:6;che:4	CARRIER_STATE:10	GENERIC_CURRIER_B_OR_CONTROL_RICH	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
47	ty	-1.679695469	3	3	3	2	9	5	-1.413538661	-0.859299523	-2.527626073	-1.973386935	1.983639571	che:3;ch:2;sh:1	CARRIER_STATE:6	GENERIC_CURRIER_B_OR_CONTROL_RICH	1	1	STAR_OR_SKY		SPARSE_SINGLE_CLASS_LABEL_CAPACITY
48	oly	-2.571939288	4	4	4	3	9	22	-1.050968582	-2.529150921	-1.766229619	-3.244411959	1.983639571	NONE:6;che:2	OL_STATE:8	ANONYMOUS_STATE_DEFINED	2	2	PLANT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	SPARSE_SINGLE_CLASS_LABEL_CAPACITY
