page_host	occurrences	physical_folios	registers	eligible_register_folds	training_aiin_high_folds	held_aiin_high_folds	binary_agreement_folds	training_high_fraction	held_high_fraction	agreement_fraction	global_aiin_rate	explicit_right_occurrences	explicit_right_entropy	dominant_explicit_right	dominant_wrapper	dominant_wrapper_rate	formal_class
ke	26	19	4	1	0	0	1	0	0	1	0.0384615384615	2	1	ar	NONE	0.769230769231	AIIN_UNSTABLE_OR_LOW
ky	53	37	5	5	0	0	5	0	0	1	0	0	0	ar	che	0.584905660377	AIIN_UNSTABLE_OR_LOW
l	942	91	5	5	0	0	5	0	0	1	0.036093418259	59	1.72963483906	aiin	NONE	0.349256900212	AIIN_UNSTABLE_OR_LOW
lche	71	22	3	2	0	0	2	0	0	1	0	1	-0	ar	NONE	1	AIIN_UNSTABLE_OR_LOW
lk	62	18	3	1	1	1	1	1	1	1	0.467741935484	62	1.70856855236	aiin	NONE	0.983870967742	AIIN_UNSTABLE_OR_LOW
o	368	81	5	5	0	0	5	0	0	1	0.0733695652174	59	1.92219940405	aiin	sh	0.277173913043	AIIN_UNSTABLE_OR_LOW
ockhy	32	26	5	3	0	0	3	0	0	1	0	0	0	ar	ch	0.34375	AIIN_UNSTABLE_OR_LOW
octhy	32	25	5	1	0	0	1	0	0	1	0	0	0	ar	ch	0.40625	AIIN_UNSTABLE_OR_LOW
oiin	38	24	4	1	0	0	1	0	0	1	0	0	0	ar	ch	0.263157894737	AIIN_UNSTABLE_OR_LOW
ok	847	70	5	5	5	4	4	1	0.8	0.8	0.338842975207	836	2.03692481134	aiin	q	0.590318772137	AIIN_STABLE_HIGH
okch	43	27	4	4	0	1	3	0	0.25	0.75	0.093023255814	11	1.82306798227	ar	q	0.674418604651	AIIN_UNSTABLE_OR_LOW
okche	36	15	4	1	0	0	1	0	0	1	0	0	0	ar	q	0.694444444444	AIIN_UNSTABLE_OR_LOW
okchey	30	20	4	2	0	0	2	0	0	1	0	0	0	ar	q	0.5	AIIN_UNSTABLE_OR_LOW
okchy	64	36	5	1	0	0	1	0	0	1	0	0	0	ar	q	0.5625	AIIN_UNSTABLE_OR_LOW
oke	241	37	4	3	0	0	3	0	0	1	0	10	1	ar	q	0.734439834025	AIIN_UNSTABLE_OR_LOW
okee	239	34	5	3	0	0	3	0	0	1	0.00836820083682	5	1.52192809489	ar	q	0.778242677824	AIIN_UNSTABLE_OR_LOW
okeeey	26	15	4	1	0	0	1	0	0	1	0	0	0	ar	NONE	0.538461538462	AIIN_UNSTABLE_OR_LOW
okeey	230	44	5	5	0	0	5	0	0	1	0	0	0	ar	q	0.726086956522	AIIN_UNSTABLE_OR_LOW
okeo	35	21	5	3	0	0	3	0	0	1	0.0285714285714	1	-0	aiin	q	0.657142857143	AIIN_UNSTABLE_OR_LOW
okeol	43	23	4	3	0	0	3	0	0	1	0	0	0	ar	NONE	0.53488372093	AIIN_UNSTABLE_OR_LOW
okey	79	28	5	4	0	0	4	0	0	1	0	0	0	ar	q	0.632911392405	AIIN_UNSTABLE_OR_LOW
okol	94	46	5	5	0	0	5	0	0	1	0.0106382978723	1	-0	aiin	q	0.595744680851	AIIN_UNSTABLE_OR_LOW
okor	34	26	4	2	0	0	2	0	0	1	0	2	-0	ar	q	0.529411764706	AIIN_UNSTABLE_OR_LOW
oky	159	68	5	5	0	0	5	0	0	1	0	0	0	ar	q	0.496855345912	AIIN_UNSTABLE_OR_LOW
ol	72	43	5	3	0	0	3	0	0	1	0.0138888888889	1	-0	aiin	NONE	0.527777777778	AIIN_UNSTABLE_OR_LOW
olche	31	14	4	1	0	0	1	0	0	1	0	1	-0	ar	NONE	0.645161290323	AIIN_UNSTABLE_OR_LOW
olk	70	23	3	3	2	2	1	0.666666666667	0.666666666667	0.333333333333	0.285714285714	70	2.06400972526	ain	NONE	0.742857142857	AIIN_UNSTABLE_OR_LOW
olkee	37	19	3	1	0	0	1	0	0	1	0	0	0	ar	NONE	0.675675675676	AIIN_UNSTABLE_OR_LOW
olkeey	29	18	3	1	0	0	1	0	0	1	0	0	0	ar	NONE	0.827586206897	AIIN_UNSTABLE_OR_LOW
oly	44	27	5	3	0	0	3	0	0	1	0	0	0	ar	NONE	0.568181818182	AIIN_UNSTABLE_OR_LOW
opche	44	20	3	1	0	0	1	0	0	1	0	2	-0	ar	NONE	0.568181818182	AIIN_UNSTABLE_OR_LOW
or	509	87	5	5	0	0	5	0	0	1	0.0432220039293	48	1.95000678296	aiin	NONE	0.361493123772	AIIN_UNSTABLE_OR_LOW
os	47	33	5	3	0	0	3	0	0	1	0.106382978723	7	1.14883485428	aiin	ch	0.255319148936	AIIN_UNSTABLE_OR_LOW
ot	432	62	5	5	4	2	1	0.8	0.4	0.2	0.298611111111	423	2.11285166775	aiin	NONE	0.636574074074	AIIN_UNSTABLE_OR_LOW
otey	41	24	4	2	0	0	2	0	0	1	0	0	0	ar	NONE	0.536585365854	AIIN_UNSTABLE_OR_LOW
r	69	34	4	3	2	1	0	0.666666666667	0.333333333333	0	0.31884057971	35	1.5186499279	aiin	NONE	0.913043478261	AIIN_UNSTABLE_OR_LOW
s	122	59	5	5	0	0	5	0	0	1	0	1	-0	ain	NONE	0.762295081967	AIIN_UNSTABLE_OR_LOW
she	43	25	4	2	0	0	2	0	0	1	0	0	0	ar	d	0.511627906977	AIIN_UNSTABLE_OR_LOW
y	904	88	5	5	0	0	5	0	0	1	0.00221238938053	4	1.5	aiin	che	0.467920353982	AIIN_UNSTABLE_OR_LOW
yk	56	33	5	5	5	5	5	1	1	1	0.482142857143	53	1.76769899112	aiin	NONE	0.892857142857	AIIN_STABLE_HIGH
yt	55	28	5	3	3	3	3	1	1	1	0.4	55	2.09654631572	aiin	NONE	0.963636363636	AIIN_STABLE_HIGH
