locus	page	physical_folio	section	currier	hand	register	group_index	group_count	token	outer_wrapper	base_host	record_state	variant
f106v.12	f106v	f106	S	B	3	SB	3	11	chodain	ch	ain	CARRIER_STATE	SHORT_AIN
f106v.27	f106v	f106	S	B	3	SB	2	6	odaiin	NONE	aiin	OTHER	LONG_AIIN
f106v.45	f106v	f106	S	B	3	SB	3	11	cheodain	che	ain	CARRIER_STATE	SHORT_AIN
f107r.19	f107r	f107	S	B	3	SB	11	12	cheodaiin	che	aiin	CARRIER_STATE	LONG_AIIN
f107r.23	f107r	f107	S	B	3	SB	1	3	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f107r.23	f107r	f107	S	B	3	SB	3	3	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f107r.46	f107r	f107	S	B	3	SB	3	12	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f107v.33	f107v	f107	S	B	3	SB	3	11	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f107v.33	f107v	f107	S	B	3	SB	4	11	odain	NONE	ain	OTHER	SHORT_AIN
f107v.36	f107v	f107	S	B	3	SB	10	10	odain	NONE	ain	OTHER	SHORT_AIN
f107v.39	f107v	f107	S	B	3	SB	8	10	odaiin	NONE	aiin	OTHER	LONG_AIIN
f108v.43	f108v	f108	S	B	3	SB	1	9	shodain	sh	ain	CARRIER_STATE	SHORT_AIN
f111v.24	f111v	f111	S	B	3	SB	1	11	cheodain	che	ain	CARRIER_STATE	SHORT_AIN
f112r.10	f112r	f112	S	B	3	SB	4	5	qodain	q	ain	Q_OUTER_STATE	SHORT_AIN
f113r.32	f113r	f113	S	B	3	SB	1	11	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f114r.18	f114r	f114	S	B	3	SB	6	7	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f114r.19	f114r	f114	S	B	3	SB	9	12	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f114r.22	f114r	f114	S	B	3	SB	2	10	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f114r.26	f114r	f114	S	B	3	SB	4	10	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f114r.27	f114r	f114	S	B	3	SB	4	7	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f114r.42	f114r	f114	S	B	3	SB	3	10	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f114r.45	f114r	f114	S	B	3	SB	3	7	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f114r.7	f114r	f114	S	B	3	SB	6	8	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f114r.9	f114r	f114	S	B	3	SB	2	13	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f114v.35	f114v	f114	S	B	3	SB	6	7	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f115r.25	f115r	f115	S	B	@	SB	2	7	cheodain	che	ain	CARRIER_STATE	SHORT_AIN
f115r.5	f115r	f115	S	B	@	SB	5	11	qodain	q	ain	Q_OUTER_STATE	SHORT_AIN
f115v.2	f115v	f115	S	B	3	SB	6	10	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f115v.25	f115v	f115	S	B	3	SB	6	10	cheodain	che	ain	CARRIER_STATE	SHORT_AIN
f115v.6	f115v	f115	S	B	3	SB	2	10	odaiin	NONE	aiin	OTHER	LONG_AIIN
f10r.9	f10r	f10	H	A	1	HA	7	7	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f10v.2	f10v	f10	H	A	1	HA	7	9	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f14r.13	f14r	f14	H	A	1	HA	1	5	sodaiin	s	aiin	ENTRY_STATE	LONG_AIIN
f15r.4	f15r	f15	H	A	1	HA	2	6	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f15r.9	f15r	f15	H	A	1	HA	4	7	odaiin	NONE	aiin	OTHER	LONG_AIIN
f17v.14	f17v	f17	H	A	1	HA	4	6	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f17v.2	f17v	f17	H	A	1	HA	5	6	odaiin	NONE	aiin	OTHER	LONG_AIIN
f17v.3	f17v	f17	H	A	1	HA	2	6	odaiin	NONE	aiin	OTHER	LONG_AIIN
f2r.5	f2r	f2	H	A	1	HA	3	7	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f2v.3	f2v	f2	H	A	1	HA	6	8	chodain	ch	ain	CARRIER_STATE	SHORT_AIN
f2v.4	f2v	f2	H	A	1	HA	4	4	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f20r.3	f20r	f20	H	A	1	HA	3	8	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f20v.2	f20v	f20	H	A	1	HA	9	10	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f21v.1	f21v	f21	H	A	1	HA	5	7	odaiin	NONE	aiin	OTHER	LONG_AIIN
f21v.4	f21v	f21	H	A	1	HA	2	8	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f21v.6	f21v	f21	H	A	1	HA	5	6	todaiin	t	aiin	ENTRY_STATE	LONG_AIIN
f22v.4	f22v	f22	H	A	1	HA	5	6	odaiin	NONE	aiin	OTHER	LONG_AIIN
f24v.4	f24v	f24	H	A	1	HA	5	6	odaiin	NONE	aiin	OTHER	LONG_AIIN
f28r.6	f28r	f28	H	A	1	HA	2	7	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f29v.3	f29v	f29	H	A	1	HA	5	11	odaiin	NONE	aiin	OTHER	LONG_AIIN
f3r.18	f3r	f3	H	A	1	HA	2	7	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f3r.20	f3r	f3	H	A	1	HA	3	8	odaiin	NONE	aiin	OTHER	LONG_AIIN
f3r.7	f3r	f3	H	A	1	HA	2	5	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f3v.11	f3v	f3	H	A	1	HA	5	6	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f30r.13	f30r	f30	H	A	1	HA	1	5	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f35v.11	f35v	f35	H	A	1	HA	2	2	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f35v.20	f35v	f35	H	A	1	HA	1	5	sodaiin	s	aiin	ENTRY_STATE	LONG_AIIN
f37v.14	f37v	f37	H	A	1	HA	1	3	todain	t	ain	ENTRY_STATE	SHORT_AIN
f4v.13	f4v	f4	H	A	1	HA	5	6	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f4v.3	f4v	f4	H	A	1	HA	6	8	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f42r.14	f42r	f42	H	A	1	HA	5	7	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f49v.10	f49v	f49	H	A	1	HA	2	3	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f49v.14	f49v	f49	H	A	1	HA	2	3	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f51v.13	f51v	f51	H	A	1	HA	3	3	cheodain	che	ain	CARRIER_STATE	SHORT_AIN
f51v.7	f51v	f51	H	A	1	HA	2	9	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f52v.11	f52v	f52	H	A	1	HA	3	5	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f53v.10	f53v	f53	H	A	1	HA	3	3	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f6r.7	f6r	f6	H	A	1	HA	2	7	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f7r.3	f7r	f7	H	A	1	HA	2	6	cheodaiin	che	aiin	CARRIER_STATE	LONG_AIIN
f7r.4	f7r	f7	H	A	1	HA	7	7	odaiin	NONE	aiin	OTHER	LONG_AIIN
f8r.11	f8r	f8	H	A	1	HA	2	8	cheodaiin	che	aiin	CARRIER_STATE	LONG_AIIN
f8r.3	f8r	f8	H	A	1	HA	4	7	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f9r.1	f9r	f9	H	A	1	HA	7	10	odaiin	NONE	aiin	OTHER	LONG_AIIN
f93r.13	f93r	f93	H	A	1	HA	1	4	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f93r.18	f93r	f93	H	A	1	HA	2	3	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f93r.30	f93r	f93	H	A	1	HA	1	3	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f93r.5	f93r	f93	H	A	1	HA	7	7	chodain	ch	ain	CARRIER_STATE	SHORT_AIN
f93r.7	f93r	f93	H	A	1	HA	4	5	cheodaiin	che	aiin	CARRIER_STATE	LONG_AIIN
f93r.8	f93r	f93	H	A	1	HA	3	5	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f93v.1	f93v	f93	H	A	1	HA	9	9	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f93v.3	f93v	f93	H	A	1	HA	5	10	cheodaiin	che	aiin	CARRIER_STATE	LONG_AIIN
f96r.5	f96r	f96	H	A	1	HA	2	7	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f76r.28	f76r	f76	T	B	2	OB	6	13	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f81r.20	f81r	f81	B	B	2	OB	5	7	odaiin	NONE	aiin	OTHER	LONG_AIIN
f85r1.23	f85r1	f85	T	B	2	OB	2	11	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f85r1.5	f85r1	f85	T	B	2	OB	3	10	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f85r2.19	f85r2	f85	C	B	2	OB	2	5	qodain	q	ain	Q_OUTER_STATE	SHORT_AIN
f85r2.3	f85r2	f85	C	B	2	OB	3	5	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f86v3.14	f86v3	f86	C	B	2	OB	3	7	shodain	sh	ain	CARRIER_STATE	SHORT_AIN
f86v3.17	f86v3	f86	C	B	2	OB	5	6	odaiin	NONE	aiin	OTHER	LONG_AIIN
f86v3.36	f86v3	f86	C	B	2	OB	3	4	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f86v5.31	f86v5	f86	T	B	2	OB	7	10	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
