page	physical_folio	currier	hand	illustration_profile	groups	lines	mean_groups_per_line	dy_checkpoints	dy_per_100_groups	possible_internal_group_boundaries	internal_field_boundaries	internal_boundaries_per_100_possible	claim_state
f17r	f17	A	1	ALPHA	24	6	4.000000000000	3	12.500000000000	18	2	11.111111111111	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f17v	f17	A	1	ALPHA	87	17	5.117647058824	0	0.000000000000	70	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f18r	f18	A	1	MIXED	36	7	5.142857142857	2	5.555555555556	29	2	6.896551724138	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f18v	f18	A	1	ALPHA	42	7	6.000000000000	0	0.000000000000	35	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f19r	f19	A	1	ALPHA	49	9	5.444444444444	4	8.163265306122	40	2	5.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f19v	f19	A	1	ALPHA	37	7	5.285714285714	0	0.000000000000	30	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f1v	f1	A	1	UNCLASSIFIED	24	6	4.000000000000	3	12.500000000000	18	3	16.666666666667	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f20r	f20	A	1	ALPHA	53	9	5.888888888889	8	15.094339622642	44	6	13.636363636364	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f20v	f20	A	1	ALPHA	56	9	6.222222222222	1	1.785714285714	47	1	2.127659574468	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f21r	f21	A	1	ALPHA	45	9	5.000000000000	1	2.222222222222	36	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f21v	f21	A	1	ALPHA	46	8	5.750000000000	1	2.173913043478	38	1	2.631578947368	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f22r	f22	A	1	ALPHA	54	8	6.750000000000	0	0.000000000000	46	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f22v	f22	A	1	ALPHA	58	14	4.142857142857	3	5.172413793103	44	3	6.818181818182	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f23r	f23	A	1	ALPHA	22	5	4.400000000000	2	9.090909090909	17	2	11.764705882353	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f23v	f23	A	1	ALPHA	46	7	6.571428571429	0	0.000000000000	39	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f24r	f24	A	1	UNCLASSIFIED	46	9	5.111111111111	0	0.000000000000	37	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f24v	f24	A	1	ALPHA	34	9	3.777777777778	0	0.000000000000	25	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f25r	f25	A	1	ALPHA	18	4	4.500000000000	0	0.000000000000	14	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f25v	f25	A	1	ALPHA	23	4	5.750000000000	0	0.000000000000	19	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f26r	f26	B	2	UNCLASSIFIED	33	6	5.500000000000	13	39.393939393939	27	10	37.037037037037	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f26v	f26	B	2	BETA	33	3	11.000000000000	9	27.272727272727	30	9	30.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f27r	f27	A	1	ALPHA	45	9	5.000000000000	1	2.222222222222	36	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f27v	f27	A	1	ALPHA	7	3	2.333333333333	0	0.000000000000	4	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f28r	f28	A	1	ALPHA	48	8	6.000000000000	1	2.083333333333	40	1	2.500000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f28v	f28	A	1	ALPHA	35	6	5.833333333333	0	0.000000000000	29	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f29r	f29	A	1	ALPHA	35	8	4.375000000000	0	0.000000000000	27	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f29v	f29	A	1	ALPHA	35	6	5.833333333333	1	2.857142857143	29	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f2r	f2	A	1	ALPHA	73	11	6.636363636364	2	2.739726027397	62	1	1.612903225806	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f2v	f2	A	1	ALPHA	33	6	5.500000000000	2	6.060606060606	27	1	3.703703703704	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f30r	f30	A	1	ALPHA	55	10	5.500000000000	2	3.636363636364	45	1	2.222222222222	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f30v	f30	A	1	ALPHA	33	7	4.714285714286	3	9.090909090909	26	1	3.846153846154	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f31r	f31	B	2	BETA	33	8	4.125000000000	10	30.303030303030	25	10	40.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f31v	f31	B	2	BETA	14	4	3.500000000000	1	7.142857142857	10	1	10.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f32r	f32	A	1	ALPHA	48	14	3.428571428571	2	4.166666666667	34	2	5.882352941176	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f32v	f32	A	1	ALPHA	33	6	5.500000000000	0	0.000000000000	27	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f33r	f33	B	2	UNCLASSIFIED	22	4	5.500000000000	4	18.181818181818	18	4	22.222222222222	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f33v	f33	B	2	UNCLASSIFIED	52	7	7.428571428571	9	17.307692307692	45	9	20.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f34r	f34	B	2	BETA	76	9	8.444444444444	21	27.631578947368	67	21	31.343283582090	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f34v	f34	B	2	BETA	41	4	10.250000000000	10	24.390243902439	37	10	27.027027027027	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f35r	f35	A	1	ALPHA	55	11	5.000000000000	1	1.818181818182	44	1	2.272727272727	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f35v	f35	A	1	ALPHA	50	17	2.941176470588	0	0.000000000000	33	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f36r	f36	A	1	ALPHA	38	7	5.428571428571	1	2.631578947368	31	1	3.225806451613	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f36v	f36	A	1	ALPHA	37	11	3.363636363636	0	0.000000000000	26	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f37r	f37	A	1	ALPHA	25	6	4.166666666667	2	8.000000000000	19	2	10.526315789474	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f37v	f37	A	1	ALPHA	56	18	3.111111111111	0	0.000000000000	38	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f38r	f38	A	1	ALPHA	17	3	5.666666666667	0	0.000000000000	14	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f38v	f38	A	1	ALPHA	35	6	5.833333333333	2	5.714285714286	29	1	3.448275862069	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f39r	f39	B	2	BETA	46	7	6.571428571429	8	17.391304347826	39	6	15.384615384615	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f39v	f39	B	2	MIXED	72	10	7.200000000000	14	19.444444444444	62	12	19.354838709677	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f3r	f3	A	1	ALPHA	84	17	4.941176470588	1	1.190476190476	67	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f3v	f3	A	1	ALPHA	53	10	5.300000000000	1	1.886792452830	43	1	2.325581395349	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f40r	f40	B	2	MIXED	30	6	5.000000000000	2	6.666666666667	24	2	8.333333333333	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f40v	f40	B	2	BETA	48	11	4.363636363636	9	18.750000000000	37	7	18.918918918919	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f41r	f41	B	5	UNCLASSIFIED	20	3	6.666666666667	9	45.000000000000	17	8	47.058823529412	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f41v	f41	B	5	ALPHA	17	4	4.250000000000	7	41.176470588235	13	7	53.846153846154	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f42r	f42	A	1	ALPHA	63	11	5.727272727273	1	1.587301587302	52	1	1.923076923077	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f42v	f42	A	1	ALPHA	56	11	5.090909090909	1	1.785714285714	45	1	2.222222222222	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f43r	f43	B	2	BETA	32	5	6.400000000000	15	46.875000000000	27	15	55.555555555556	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f43v	f43	B	2	BETA	49	6	8.166666666667	18	36.734693877551	43	17	39.534883720930	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f44r	f44	A	1	ALPHA	39	8	4.875000000000	1	2.564102564103	31	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f44v	f44	A	1	ALPHA	55	10	5.500000000000	1	1.818181818182	45	1	2.222222222222	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f45r	f45	A	1	MIXED	46	8	5.750000000000	3	6.521739130435	38	3	7.894736842105	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f45v	f45	A	1	ALPHA	30	5	6.000000000000	1	3.333333333333	25	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f46r	f46	B	2	BETA	40	4	10.000000000000	5	12.500000000000	36	5	13.888888888889	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f46v	f46	B	2	BETA	40	6	6.666666666667	9	22.500000000000	34	9	26.470588235294	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f47r	f47	A	1	ALPHA	37	6	6.166666666667	0	0.000000000000	31	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f47v	f47	A	1	ALPHA	55	10	5.500000000000	3	5.454545454545	45	3	6.666666666667	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f48r	f48	B	5	BETA	50	7	7.142857142857	11	22.000000000000	43	9	20.930232558140	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f48v	f48	B	5	BETA	82	8	10.250000000000	24	29.268292682927	74	23	31.081081081081	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f49r	f49	A	1	ALPHA	63	14	4.500000000000	3	4.761904761905	49	1	2.040816326531	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f49v	f49	A	1	ALPHA	90	20	4.500000000000	1	1.111111111111	70	1	1.428571428571	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f4r	f4	A	1	ALPHA	44	10	4.400000000000	1	2.272727272727	34	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f4v	f4	A	1	ALPHA	38	9	4.222222222222	7	18.421052631579	29	3	10.344827586207	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f50r	f50	B	2	UNCLASSIFIED	41	4	10.250000000000	12	29.268292682927	37	12	32.432432432432	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f50v	f50	B	2	UNCLASSIFIED	41	5	8.200000000000	10	24.390243902439	36	9	25.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f51r	f51	A	1	UNCLASSIFIED	25	4	6.250000000000	5	20.000000000000	21	4	19.047619047619	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f51v	f51	A	1	UNCLASSIFIED	36	7	5.142857142857	5	13.888888888889	29	5	17.241379310345	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f52r	f52	A	1	MIXED	24	4	6.000000000000	2	8.333333333333	20	1	5.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f52v	f52	A	1	ALPHA	25	6	4.166666666667	1	4.000000000000	19	1	5.263157894737	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f53r	f53	A	1	UNCLASSIFIED	20	4	5.000000000000	1	5.000000000000	16	1	6.250000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f53v	f53	A	1	ALPHA	30	7	4.285714285714	7	23.333333333333	23	3	13.043478260870	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f54r	f54	A	1	ALPHA	32	5	6.400000000000	0	0.000000000000	27	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f54v	f54	A	1	ALPHA	26	6	4.333333333333	2	7.692307692308	20	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f55r	f55	B	2	BETA	54	7	7.714285714286	3	5.555555555556	47	2	4.255319148936	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f55v	f55	B	2	ALPHA	39	5	7.800000000000	2	5.128205128205	34	2	5.882352941176	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f56r	f56	A	1	ALPHA	38	11	3.454545454545	1	2.631578947368	27	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f56v	f56	A	1	ALPHA	48	11	4.363636363636	0	0.000000000000	37	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f57r	f57	B	5	UNCLASSIFIED	7	1	7.000000000000	1	14.285714285714	6	1	16.666666666667	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f5r	f5	A	1	ALPHA	12	3	4.000000000000	2	16.666666666667	9	1	11.111111111111	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f5v	f5	A	1	ALPHA	26	4	6.500000000000	0	0.000000000000	22	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f66v	f66	B	5	UNCLASSIFIED	18	3	6.000000000000	8	44.444444444444	15	7	46.666666666667	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f6r	f6	A	1	ALPHA	43	9	4.777777777778	0	0.000000000000	34	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f6v	f6	A	1	ALPHA	37	10	3.700000000000	1	2.702702702703	27	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f7r	f7	A	1	ALPHA	39	8	4.875000000000	1	2.564102564103	31	1	3.225806451613	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f7v	f7	A	1	ALPHA	37	6	6.166666666667	2	5.405405405405	31	1	3.225806451613	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f87r	f87	A	1	ALPHA	56	11	5.090909090909	7	12.500000000000	45	6	13.333333333333	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f87v	f87	A	1	ALPHA	34	9	3.777777777778	1	2.941176470588	25	1	4.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f8r	f8	A	1	ALPHA	51	9	5.666666666667	0	0.000000000000	42	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f8v	f8	A	1	ALPHA	78	14	5.571428571429	2	2.564102564103	64	2	3.125000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f90r1	f90	A	1	ALPHA	28	4	7.000000000000	1	3.571428571429	24	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f90r2	f90	A	1	ALPHA	25	4	6.250000000000	2	8.000000000000	21	1	4.761904761905	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f90v1	f90	A	1	ALPHA	12	3	4.000000000000	1	8.333333333333	9	1	11.111111111111	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f90v2	f90	A	1	ALPHA	18	3	6.000000000000	2	11.111111111111	15	2	13.333333333333	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f93r	f93	A	1	UNCLASSIFIED	115	29	3.965517241379	11	9.565217391304	86	6	6.976744186047	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f93v	f93	A	1	ALPHA	31	4	7.750000000000	4	12.903225806452	27	4	14.814814814815	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f94r	f94	B	3	BETA	20	4	5.000000000000	4	20.000000000000	16	1	6.250000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f94v	f94	B	3	BETA	66	10	6.600000000000	12	18.181818181818	56	10	17.857142857143	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f95r1	f95	B	3	UNCLASSIFIED	68	7	9.714285714286	10	14.705882352941	61	10	16.393442622951	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f95r2	f95	B	3	BETA	60	8	7.500000000000	9	15.000000000000	52	9	17.307692307692	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f95v1	f95	B	3	UNCLASSIFIED	53	8	6.625000000000	14	26.415094339623	45	13	28.888888888889	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f95v2	f95	B	3	BETA	26	4	6.500000000000	2	7.692307692308	22	1	4.545454545455	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f96r	f96	A	1	ALPHA	55	8	6.875000000000	5	9.090909090909	47	5	10.638297872340	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f96v	f96	A	1	ALPHA	26	7	3.714285714286	1	3.846153846154	19	1	5.263157894737	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f9r	f9	A	1	ALPHA	38	5	7.600000000000	2	5.263157894737	33	2	6.060606060606	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f9v	f9	A	1	ALPHA	50	8	6.250000000000	2	4.000000000000	42	1	2.380952380952	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
