page_host	occurrences	physical_folios	dominant_wrapper	dominant_frame	dominant_right_family	mean_position_quartile
cfhol	4	4	NONE	NONE	NONE	1.75
cfhy	6	6	NONE	NONE	NONE	2
ch	68	44	NONE	OT	NONE	1.67647058824
chckhy	3	3	d	NONE	NONE	1.66666666667
chd	3	3	d	NONE	ar	1.66666666667
che	85	34	t	NONE	NONE	0.8
ched	14	6	q	OT	NONE	1.14285714286
chee	8	6	q	OT	NONE	0.875
cheey	14	12	d	NONE	NONE	1.28571428571
cheo	11	8	t	NONE	NONE	0.909090909091
cheod	7	5	d	NONE	aiin	1.14285714286
cheol	11	9	d	NONE	NONE	0.181818181818
cheor	8	8	t	NONE	NONE	0.75
chey	60	35	NONE	OT	NONE	0.916666666667
cho	31	22	NONE	OT	NONE	0.806451612903
chod	13	11	d	NONE	NONE	1.69230769231
chokchy	2	2	d	NONE	NONE	0
choky	2	2	t	NONE	NONE	0
chol	54	37	NONE	NONE	NONE	1.44444444444
chor	59	34	d	NONE	NONE	0.779661016949
chos	4	2	t	NONE	NONE	1.5
chy	100	46	q	OT	NONE	1.39
ckh	21	17	ch	NONE	NONE	1.85714285714
ckha	3	3	NONE	NONE	NONE	3.33333333333
ckhd	2	2	ch	NONE	NONE	2
ckhe	19	12	ch	NONE	NONE	1.68421052632
ckheey	6	6	NONE	NONE	NONE	0.666666666667
ckheo	5	5	NONE	NONE	NONE	1.8
ckheol	3	2	NONE	NONE	NONE	1.33333333333
ckheos	2	2	NONE	NONE	NONE	1
ckhey	32	24	NONE	NONE	NONE	1.5
ckhhy	6	5	ch	NONE	NONE	1.66666666667
ckho	6	5	NONE	NONE	NONE	1.83333333333
ckhol	13	12	NONE	NONE	NONE	1.53846153846
ckhor	5	5	NONE	NONE	NONE	2.4
ckhos	2	2	NONE	NONE	NONE	2.5
ckhs	2	2	NONE	NONE	NONE	4
ckhy	130	50	ch	NONE	NONE	1.35384615385
cph	9	8	NONE	NONE	aiin	2.11111111111
cphe	5	5	NONE	NONE	NONE	1.8
cpheo	4	4	NONE	NONE	NONE	2.5
cpheor	3	3	NONE	NONE	NONE	2.66666666667
cphey	5	4	NONE	NONE	NONE	2.8
cphhy	2	2	ch	NONE	NONE	2
cpho	4	4	NONE	NONE	al	2.25
cphol	6	6	NONE	NONE	NONE	2.33333333333
cphor	3	3	NONE	NONE	NONE	1.66666666667
cphy	10	8	NONE	NONE	NONE	0.9
cth	33	25	NONE	NONE	NONE	1.90909090909
cthan	2	2	NONE	NONE	NONE	0
cthd	2	2	ch	NONE	NONE	4
cthe	8	6	NONE	NONE	NONE	1.875
ctheey	6	5	NONE	NONE	NONE	1.5
ctheo	5	4	NONE	NONE	NONE	2.4
ctheol	4	4	NONE	NONE	NONE	1
cthes	2	2	NONE	NONE	NONE	2
cthey	30	23	NONE	NONE	NONE	1.76666666667
cthhy	7	7	ch	NONE	NONE	1.85714285714
ctho	19	16	NONE	NONE	NONE	2.36842105263
cthod	4	4	NONE	NONE	al	1.25
cthoiin	2	2	NONE	NONE	NONE	1.5
cthol	40	24	NONE	NONE	NONE	2
cthor	29	21	NONE	NONE	NONE	1.31034482759
cthy	138	57	NONE	NONE	NONE	2.07971014493
d	312	74	ch	O	aiin	1.625
da	6	5	NONE	O	NONE	3
e	437	50	sh	NONE	NONE	1.53546910755
echy	2	2	sh	NONE	NONE	0
eckh	3	3	sh	NONE	al	2
eckhe	2	2	sh	NONE	NONE	2
eckhey	4	4	sh	NONE	NONE	0.75
eckhy	20	10	sh	NONE	NONE	1.05
ecthy	13	5	sh	NONE	NONE	1.76923076923
ed	62	25	sh	NONE	ar	1.3064516129
eda	4	3	t	NONE	NONE	3.75
ee	178	35	NONE	OT	NONE	1.40449438202
eeckhy	2	2	sh	NONE	NONE	1.5
eed	19	15	q	OT	NONE	1
eee	10	8	q	NONE	NONE	0.9
eees	14	14	NONE	NONE	NONE	1.57142857143
eeey	16	14	q	NONE	NONE	1.4375
eekeey	2	2	sh	NONE	NONE	0.5
eeky	5	5	sh	NONE	NONE	1.6
eeo	21	15	NONE	OT	NONE	0.809523809524
eeod	5	4	sh	NONE	ain	0.8
eeol	16	13	sh	NONE	NONE	1.25
eeor	4	4	NONE	OT	NONE	1.25
eeos	5	4	NONE	OT	NONE	1.2
ees	15	14	NONE	O	NONE	1.26666666667
eety	7	5	sh	NONE	NONE	1.57142857143
eey	173	49	sh	NONE	NONE	1.27167630058
efch	2	2	sh	NONE	NONE	0
ek	11	9	sh	NONE	al	1
eke	2	2	NONE	NONE	NONE	0.5
ekeey	2	2	q	NONE	NONE	1.5
ekey	9	7	che	NONE	NONE	1.22222222222
eky	31	23	sh	NONE	NONE	1.16129032258
eo	90	34	sh	NONE	NONE	1.23333333333
eockhy	2	2	sh	NONE	NONE	1.5
eocthy	2	2	sh	NONE	NONE	0.5
eod	13	13	sh	NONE	NONE	1.30769230769
eok	3	3	sh	NONE	aiin	1.33333333333
eoky	3	3	sh	NONE	NONE	2
eol	92	42	sh	NONE	NONE	1.28260869565
eolke	2	2	sh	NONE	NONE	1.5
eols	2	2	sh	NONE	NONE	3
eor	34	23	sh	NONE	NONE	0.823529411765
eos	11	9	sh	NONE	NONE	1.27272727273
eoy	3	3	sh	NONE	NONE	1
epchy	2	2	sh	NONE	NONE	0.5
es	25	17	che	NONE	NONE	1.48
et	5	5	NONE	NONE	ar	2.4
eta	3	3	q	NONE	NONE	3.66666666667
ety	10	10	NONE	NONE	NONE	2.4
ey	200	52	sh	NONE	NONE	1.24
f	5	4	che	NONE	aiin	2.6
fche	4	4	NONE	NONE	NONE	1.25
fcheey	4	4	NONE	NONE	NONE	1.75
fchod	2	2	NONE	NONE	aiin	0.5
fchor	2	2	NONE	NONE	NONE	2.5
fchy	2	2	che	NONE	NONE	2
g	3	2	NONE	NONE	NONE	3.33333333333
h	6	6	s	NONE	NONE	0
k	145	47	NONE	NONE	aiin	1.4275862069
ka	6	6	NONE	NONE	NONE	4
kaiiin	3	3	NONE	NONE	NONE	2.66666666667
kaly	3	3	ch	NONE	NONE	2.33333333333
kary	3	3	NONE	NONE	NONE	3.33333333333
kch	12	10	NONE	NONE	NONE	1.5
kchd	3	3	NONE	NONE	al	2.33333333333
kche	12	10	NONE	NONE	NONE	0.75
kcheeor	2	2	NONE	NONE	NONE	0.5
kcheey	4	3	NONE	NONE	NONE	1.25
kchey	7	6	NONE	NONE	NONE	1.57142857143
kcho	5	4	NONE	NONE	NONE	1.8
kchol	16	13	NONE	NONE	NONE	1.125
kchor	12	11	NONE	NONE	NONE	1.16666666667
kchy	15	14	NONE	NONE	NONE	1.8
ke	26	19	NONE	NONE	NONE	1.92307692308
kech	2	2	NONE	NONE	NONE	1.5
ked	4	3	NONE	NONE	ar	2
kee	25	17	NONE	NONE	NONE	1.56
keechy	2	2	NONE	NONE	NONE	1
keed	4	4	NONE	NONE	al	1.5
keeey	3	3	NONE	NONE	NONE	1
keeo	5	5	NONE	NONE	NONE	0
keeod	2	2	NONE	NONE	ar	0
keeol	4	4	NONE	NONE	NONE	2
keeor	3	3	NONE	NONE	NONE	2.33333333333
keesho	2	2	NONE	NONE	NONE	1
keey	22	18	NONE	NONE	NONE	1.04545454545
keo	11	9	NONE	NONE	NONE	1.18181818182
keod	3	3	NONE	NONE	aiin	2.66666666667
keol	9	8	NONE	NONE	NONE	1.77777777778
keor	5	5	NONE	NONE	NONE	1
key	11	10	NONE	NONE	NONE	1.27272727273
kl	2	2	NONE	NONE	NONE	0.5
ko	8	8	NONE	NONE	NONE	1
kod	2	2	NONE	NONE	aiin	0
kol	18	16	NONE	NONE	NONE	2.55555555556
kor	13	12	NONE	NONE	NONE	1.30769230769
ksh	4	4	NONE	NONE	NONE	1.5
kshd	2	2	NONE	NONE	ain	0.5
kshe	2	2	NONE	NONE	NONE	0.5
ksheo	4	4	NONE	NONE	NONE	0.25
ksheol	2	2	NONE	NONE	NONE	0
kshey	3	3	NONE	NONE	NONE	0
ksho	2	2	NONE	NONE	NONE	0.5
kshy	2	2	sh	NONE	NONE	1
ky	53	37	che	NONE	NONE	1.33962264151
l	942	91	NONE	O	NONE	1.35881104034
la	3	3	NONE	NONE	NONE	3.33333333333
lch	12	8	NONE	NONE	NONE	1.75
lchd	5	4	NONE	NONE	NONE	1.4
lche	71	22	NONE	NONE	NONE	1.83098591549
lcheckhy	2	2	NONE	NONE	NONE	2
lched	6	4	NONE	NONE	NONE	3
lcheey	7	6	NONE	NONE	NONE	0.571428571429
lcheo	2	2	NONE	NONE	NONE	2
lcheol	6	5	NONE	NONE	NONE	0.666666666667
lchey	25	17	NONE	NONE	NONE	1.24
lchol	3	3	NONE	NONE	NONE	0.666666666667
lchs	2	2	NONE	NONE	NONE	1
lchy	7	6	NONE	NONE	NONE	3
ld	4	4	NONE	NONE	aiin	1.25
lfchy	2	2	NONE	NONE	NONE	1.5
lk	62	18	NONE	NONE	aiin	1.91935483871
lka	2	2	NONE	NONE	NONE	4
lkche	9	5	NONE	NONE	NONE	0.888888888889
lkchey	6	3	NONE	NONE	NONE	2
lke	14	10	NONE	NONE	NONE	1.71428571429
lked	3	3	NONE	NONE	ain	1.66666666667
lkee	16	9	NONE	NONE	NONE	1
lkeed	4	4	NONE	NONE	NONE	0.5
lkeeey	2	2	NONE	NONE	NONE	1.5
lkeeo	2	2	NONE	NONE	NONE	1.5
lkeeol	2	2	NONE	NONE	NONE	1.5
lkeey	18	13	NONE	NONE	NONE	1.5
lkeo	3	3	NONE	NONE	NONE	0.333333333333
lkeol	4	4	NONE	NONE	NONE	1.25
lkey	4	4	NONE	NONE	NONE	1.75
lkl	4	4	NONE	NONE	NONE	1.75
lkshe	3	3	NONE	NONE	NONE	1
lky	11	8	NONE	NONE	NONE	1.90909090909
lo	10	9	NONE	NONE	NONE	2.6
lod	4	4	NONE	NONE	NONE	2.5
lol	24	17	NONE	NONE	NONE	2.79166666667
loly	2	2	NONE	NONE	NONE	3.5
lor	20	14	NONE	NONE	NONE	1.65
los	5	5	NONE	NONE	NONE	2.4
loty	2	2	NONE	NONE	NONE	4
lpch	2	2	NONE	NONE	NONE	2
lr	6	4	NONE	NONE	NONE	1.83333333333
ls	4	4	NONE	NONE	NONE	1.5
lshd	2	2	NONE	NONE	NONE	2
lshe	25	15	NONE	NONE	NONE	1.24
lshee	5	3	NONE	NONE	NONE	0.8
lsheey	5	4	NONE	NONE	NONE	1
lsheo	2	2	NONE	NONE	NONE	0
lshey	9	6	NONE	NONE	NONE	0.666666666667
lsho	2	2	NONE	NONE	NONE	0
lshy	2	2	NONE	NONE	NONE	1.5
lt	6	6	NONE	NONE	al	2.16666666667
ltee	2	2	NONE	NONE	al	2.5
ly	7	5	NONE	NONE	NONE	3.57142857143
o	368	81	sh	NONE	NONE	1.27717391304
ockh	4	4	ch	NONE	ar	2.25
ockhe	4	4	NONE	NONE	NONE	1
ockhey	18	12	q	NONE	NONE	1.16666666667
ockho	4	4	NONE	NONE	NONE	0.25
ockhol	5	5	q	NONE	NONE	1.2
ockhy	32	26	ch	NONE	NONE	1.34375
ocphy	2	2	q	NONE	NONE	2
octh	4	4	NONE	NONE	NONE	1
octhe	2	2	q	NONE	NONE	0.5
octhey	6	6	NONE	NONE	NONE	1
octho	2	2	NONE	NONE	NONE	0.5
octhy	32	25	ch	NONE	NONE	1.4375
odaiiin	4	4	q	NONE	NONE	1.75
odaly	5	5	ch	NONE	NONE	2.4
odchy	2	2	q	NONE	NONE	0
odee	2	2	NONE	NONE	NONE	1
odeeey	4	4	NONE	NONE	NONE	1
odeey	2	2	NONE	NONE	NONE	2.5
odl	2	2	che	NONE	NONE	1
odol	4	4	q	NONE	NONE	2.5
odor	5	5	NONE	NONE	NONE	1.4
oek	4	4	q	NONE	ar	2.25
oekeey	2	2	q	NONE	NONE	1
oekeo	2	2	NONE	NONE	NONE	2
oet	2	2	che	NONE	NONE	2
of	10	7	NONE	NONE	ar	2.5
ofch	6	6	NONE	NONE	NONE	1.33333333333
ofche	5	5	q	NONE	NONE	1.8
ofchey	4	4	NONE	NONE	NONE	1.75
ofchy	2	2	ch	NONE	NONE	0
ofol	2	2	ch	NONE	NONE	1.5
oiiin	9	9	NONE	NONE	NONE	0.555555555556
oiin	38	24	ch	NONE	NONE	0.894736842105
oiir	3	3	NONE	NONE	NONE	1.33333333333
oin	4	4	NONE	NONE	NONE	0.5
ok	847	70	q	NONE	aiin	1.44864226682
oka	24	20	q	NONE	NONE	3.29166666667
okai	3	3	NONE	NONE	NONE	4
okaiiin	3	3	q	NONE	NONE	2
okaiir	4	4	NONE	NONE	NONE	0.5
okal	4	4	NONE	NONE	al	2.5
okalch	2	2	q	NONE	NONE	1.5
okalol	2	2	NONE	NONE	NONE	1
okaly	18	15	q	NONE	NONE	2.22222222222
okan	8	8	q	NONE	NONE	2.25
okarol	2	2	NONE	NONE	NONE	4
okary	4	4	NONE	NONE	NONE	3
okch	43	27	q	NONE	NONE	1.37209302326
okchd	7	7	NONE	NONE	NONE	1.42857142857
okche	36	15	q	NONE	NONE	1.30555555556
okcheey	4	4	ch	NONE	NONE	0.25
okcheo	6	6	q	NONE	NONE	1
okcheod	2	2	q	NONE	aiin	3
okchey	30	20	q	NONE	NONE	0.933333333333
okcho	10	9	NONE	NONE	NONE	1.6
okchod	3	2	q	NONE	NONE	1.66666666667
okchol	16	13	q	NONE	NONE	1.0625
okchor	14	11	NONE	NONE	NONE	0.785714285714
okchy	64	36	q	NONE	NONE	1.15625
oke	241	37	q	NONE	NONE	1.44398340249
okech	3	3	q	NONE	NONE	1.66666666667
okeche	5	3	q	NONE	NONE	2.4
okechey	2	2	NONE	NONE	NONE	1.5
okechy	11	11	q	NONE	NONE	0.545454545455
oked	22	14	q	NONE	ar	1.40909090909
okee	239	34	q	NONE	NONE	1.39330543933
okeed	25	15	q	NONE	NONE	1.6
okeee	7	6	NONE	NONE	NONE	1.57142857143
okeeeo	2	2	NONE	NONE	NONE	1
okeees	2	2	NONE	NONE	NONE	1.5
okeeey	26	15	NONE	NONE	NONE	1.26923076923
okeeo	31	14	q	NONE	NONE	1.1935483871
okeeol	9	8	NONE	NONE	NONE	1
okeeor	7	6	q	NONE	NONE	1.42857142857
okeeos	2	2	q	NONE	NONE	1.5
okees	10	8	NONE	NONE	NONE	1.5
okeey	230	44	q	NONE	NONE	1.22608695652
okeo	35	21	q	NONE	NONE	1.45714285714
okeod	3	3	q	NONE	NONE	1
okeoke	2	2	q	NONE	NONE	0.5
okeol	43	23	NONE	NONE	NONE	1.46511627907
okeoly	3	3	NONE	NONE	NONE	2.66666666667
okeor	13	11	q	NONE	NONE	1.23076923077
okeos	3	3	q	NONE	NONE	1
okes	2	2	NONE	NONE	NONE	0.5
okeshe	2	2	NONE	NONE	NONE	1.5
okeshey	2	2	q	NONE	NONE	0
okeshy	2	2	NONE	NONE	NONE	2
okey	79	28	q	NONE	NONE	1.26582278481
okiin	2	2	NONE	NONE	NONE	1
okl	7	5	q	NONE	NONE	1.28571428571
oko	16	13	q	NONE	NONE	1.5
okod	10	8	q	NONE	NONE	1.6
okoiin	5	4	NONE	NONE	NONE	0.8
okol	94	46	q	NONE	NONE	1.55319148936
okoly	3	2	NONE	NONE	NONE	1.66666666667
okor	34	26	q	NONE	NONE	1.29411764706
oksh	5	5	q	NONE	NONE	0.4
okshd	3	3	q	NONE	NONE	2
okshe	9	9	q	NONE	NONE	0.666666666667
oksheo	2	2	q	NONE	NONE	1
okshey	3	3	q	NONE	NONE	1
oksho	2	2	NONE	NONE	NONE	0.5
okshol	2	2	NONE	NONE	NONE	1.5
okshor	2	2	ch	NONE	NONE	0
okshy	10	8	NONE	NONE	NONE	0.9
oky	159	68	q	NONE	NONE	2.12578616352
ol	72	43	NONE	OT	NONE	1.47222222222
ola	3	3	NONE	NONE	NONE	4
olaiir	2	2	NONE	NONE	NONE	2.5
olch	7	5	NONE	NONE	NONE	1.57142857143
olche	31	14	NONE	NONE	NONE	1.54838709677
olchee	4	3	NONE	NONE	NONE	1.5
olcheey	4	4	NONE	NONE	NONE	1.25
olcheo	4	4	NONE	NONE	NONE	1
olcheol	4	3	NONE	NONE	NONE	0.75
olchey	19	11	NONE	NONE	NONE	0.736842105263
olchy	6	6	NONE	NONE	NONE	2.33333333333
old	19	14	NONE	NONE	aiin	2.52631578947
olda	2	2	NONE	NONE	NONE	4
olee	2	2	NONE	NONE	NONE	2
olfche	3	3	NONE	NONE	NONE	0.666666666667
olk	70	23	NONE	NONE	ain	1.65714285714
olka	4	4	NONE	NONE	NONE	3.25
olkche	5	4	NONE	NONE	NONE	1.4
olkchy	2	2	NONE	NONE	NONE	1.5
olke	17	12	NONE	NONE	NONE	1.94117647059
olked	2	2	NONE	NONE	aiin	1.5
olkee	37	19	NONE	NONE	NONE	1.43243243243
olkeechy	2	2	sh	NONE	NONE	0
olkeeey	8	7	NONE	NONE	NONE	0.75
olkeeo	5	4	NONE	NONE	NONE	0.6
olkeeol	2	2	NONE	NONE	NONE	2
olkees	3	3	NONE	NONE	NONE	0
olkeey	29	18	NONE	NONE	NONE	0.931034482759
olkeol	5	5	NONE	NONE	NONE	1.2
olkey	9	6	NONE	NONE	NONE	1.44444444444
olkshey	2	2	NONE	NONE	NONE	1
olky	11	9	NONE	NONE	NONE	2.27272727273
ollchy	2	2	NONE	NONE	NONE	3
olo	11	9	NONE	NONE	NONE	2.63636363636
oloiin	2	2	NONE	NONE	NONE	2.5
olol	16	16	NONE	NONE	NONE	2.625
olor	19	14	NONE	NONE	NONE	1.68421052632
olpchd	2	2	s	NONE	NONE	1.5
olpchey	2	2	NONE	NONE	NONE	2.5
ols	13	12	NONE	NONE	NONE	2.76923076923
olsh	4	3	NONE	NONE	NONE	2.5
olshe	19	9	NONE	NONE	NONE	1.57894736842
olsheey	5	5	NONE	NONE	NONE	1.8
olsheol	2	2	NONE	NONE	NONE	1
olshey	9	6	NONE	NONE	NONE	1.33333333333
olshy	7	7	q	NONE	NONE	1.42857142857
olt	8	5	NONE	NONE	ain	2.25
olte	3	3	NONE	NONE	NONE	1.33333333333
oltee	3	3	NONE	NONE	NONE	0
oly	44	27	NONE	NONE	NONE	3.02272727273
oolkeey	2	2	q	NONE	NONE	3
op	24	18	NONE	NONE	ar	1.70833333333
opa	2	2	NONE	NONE	NONE	4
opch	19	15	NONE	NONE	NONE	1.78947368421
opchd	2	2	NONE	NONE	al	3.5
opche	44	20	NONE	NONE	NONE	1.59090909091
opched	7	6	NONE	NONE	aiin	2
opchee	6	5	NONE	NONE	NONE	1.16666666667
opcheey	5	4	NONE	NONE	NONE	1
opcheod	2	2	NONE	NONE	air	1.5
opcheol	2	2	NONE	NONE	NONE	1.5
opchety	2	2	q	NONE	NONE	1.5
opchey	22	17	NONE	NONE	NONE	1.09090909091
opcho	2	2	NONE	NONE	NONE	2
opchol	5	5	NONE	NONE	NONE	1.2
opchor	4	4	NONE	NONE	NONE	1.75
opchsd	2	2	q	NONE	NONE	1.5
opchy	15	12	NONE	NONE	NONE	1.73333333333
opol	3	3	q	NONE	NONE	1.66666666667
opor	5	4	NONE	NONE	NONE	1.6
opshe	5	4	q	NONE	NONE	2.2
opy	8	8	NONE	NONE	NONE	2.25
opyd	2	2	NONE	NONE	aiin	3
or	509	87	NONE	NONE	NONE	1.18664047151
ora	5	5	NONE	NONE	NONE	4
oraly	2	2	ch	NONE	NONE	1
orche	2	2	NONE	NONE	NONE	3.5
orchey	4	4	NONE	NONE	NONE	0.75
oro	3	3	NONE	NONE	NONE	3
orol	8	7	NONE	NONE	NONE	2.125
oror	3	3	NONE	NONE	NONE	1.66666666667
orshy	3	3	q	NONE	NONE	1.66666666667
ory	18	14	ch	NONE	NONE	3.05555555556
os	47	33	ch	NONE	NONE	1.40425531915
ot	432	62	NONE	NONE	aiin	1.88657407407
otaly	8	7	NONE	NONE	NONE	2
otan	2	2	NONE	NONE	NONE	3
otary	2	2	NONE	NONE	NONE	3.5
otas	3	3	q	NONE	NONE	2.33333333333
otchd	8	6	NONE	NONE	NONE	1.875
otcheol	3	2	q	NONE	NONE	1
otchs	2	2	q	NONE	NONE	0
otechy	3	2	q	NONE	NONE	1.66666666667
oteda	3	3	NONE	NONE	NONE	4
otedor	2	2	q	NONE	NONE	1.5
oteod	5	4	NONE	NONE	NONE	1.8
oteoly	2	2	NONE	NONE	NONE	1.5
oteos	4	3	NONE	NONE	NONE	1.5
otey	41	24	NONE	NONE	NONE	1.78048780488
oto	16	15	q	NONE	NONE	1.8125
otod	7	5	NONE	NONE	aiin	2.14285714286
otoeey	2	2	q	NONE	NONE	1
otoiin	2	2	q	NONE	NONE	1
otolo	2	2	q	NONE	NONE	4
otoly	5	5	NONE	NONE	NONE	2.2
otoy	3	3	NONE	NONE	NONE	3
otshol	2	2	ch	NONE	NONE	1.5
oykeey	2	2	q	NONE	NONE	0
p	13	10	NONE	NONE	aiin	0.923076923077
pch	8	8	NONE	NONE	NONE	1.625
pchd	6	5	NONE	NONE	ar	0.5
pche	21	12	NONE	NONE	NONE	0.904761904762
pched	11	10	NONE	NONE	ar	0.181818181818
pcheey	3	3	NONE	NONE	NONE	1.66666666667
pcheo	5	4	NONE	NONE	NONE	0.8
pcheod	2	2	NONE	NONE	aiin	0
pcheol	7	6	NONE	NONE	NONE	0.285714285714
pcheor	3	2	NONE	NONE	NONE	0
pcheos	2	2	NONE	NONE	NONE	1
pchey	3	3	NONE	NONE	NONE	0.333333333333
pcho	4	3	NONE	NONE	NONE	0.5
pchocthy	2	2	NONE	NONE	NONE	0
pchod	7	6	NONE	NONE	aiin	1.14285714286
pchodol	2	2	NONE	NONE	NONE	1
pchol	3	3	NONE	NONE	NONE	0.666666666667
pcholky	2	2	NONE	NONE	NONE	0
pchor	6	6	NONE	NONE	NONE	0.5
pchy	6	5	d	NONE	NONE	2
pd	3	3	NONE	NONE	aiin	0
po	2	2	NONE	NONE	ar	0
poche	2	2	NONE	NONE	NONE	0
pod	3	3	NONE	NONE	aiin	1
pok	2	2	NONE	NONE	ar	0
pol	17	12	NONE	NONE	NONE	0.470588235294
polar	2	2	NONE	NONE	ar	0
polch	2	2	NONE	NONE	al	0
polche	6	6	NONE	NONE	NONE	0.166666666667
polched	2	2	NONE	NONE	NONE	0.5
polor	2	2	NONE	NONE	NONE	0
por	9	7	NONE	NONE	NONE	1.22222222222
pshd	3	3	NONE	NONE	ar	0
pshe	2	2	NONE	NONE	NONE	0
pshee	2	2	ch	NONE	NONE	2
psheo	2	2	NONE	NONE	NONE	0
pshod	2	2	NONE	NONE	aiin	0
py	5	5	che	NONE	NONE	1.2
pyd	2	2	NONE	NONE	aiin	0
r	69	34	NONE	NONE	NONE	1.53623188406
ra	2	2	NONE	NONE	NONE	4
raly	2	2	NONE	NONE	NONE	2.5
rara	2	2	NONE	NONE	NONE	4
rche	5	4	NONE	NONE	NONE	1.6
rched	2	2	NONE	NONE	ar	3
rcheey	2	2	NONE	NONE	NONE	1.5
ro	4	3	NONE	NONE	NONE	2.25
rol	8	7	NONE	NONE	NONE	2.375
ror	9	7	NONE	NONE	NONE	3
rshe	5	3	NONE	NONE	NONE	1.6
rshey	2	2	NONE	NONE	NONE	1
ry	5	5	NONE	NONE	NONE	3.6
s	122	59	NONE	NONE	NONE	2.01639344262
sey	2	2	che	NONE	NONE	0.5
sh	10	9	t	NONE	NONE	0.9
she	43	25	d	NONE	NONE	0.511627906977
shed	6	4	t	NONE	ar	0
shee	2	2	d	NONE	NONE	0
shees	2	2	d	NONE	NONE	0
sheey	10	8	d	NONE	NONE	0.2
sheo	6	6	t	O	NONE	0.333333333333
sheod	3	3	s	NONE	ar	0
sheol	9	9	d	NONE	NONE	0
shey	23	15	NONE	NONE	NONE	0.782608695652
sho	12	12	d	NONE	NONE	0.333333333333
shod	6	4	t	NONE	NONE	0.5
shol	9	8	t	NONE	NONE	0.777777777778
shor	14	12	d	NONE	NONE	0.571428571429
shy	15	14	t	NONE	NONE	0.8
t	13	13	ch	NONE	al	1.76923076923
tch	2	2	che	NONE	aiin	3.5
tchy	3	3	che	NONE	NONE	2
tol	3	3	ch	NONE	NONE	2
ty	21	18	che	NONE	NONE	1.66666666667
y	904	88	che	NONE	NONE	1.75884955752
ych	5	5	NONE	NONE	ain	0.6
yche	15	12	NONE	NONE	NONE	0.6
yched	8	6	NONE	NONE	aiin	0
ychee	2	2	NONE	NONE	NONE	0.5
ycheeo	4	3	NONE	NONE	NONE	0
ycheeod	2	2	NONE	NONE	ain	0
ychees	2	2	NONE	NONE	NONE	0
ycheey	14	11	NONE	NONE	NONE	0.285714285714
ycheo	5	4	NONE	NONE	NONE	0
ycheod	3	3	NONE	NONE	NONE	0
ycheoky	2	2	NONE	NONE	NONE	0
ycheol	6	6	NONE	NONE	NONE	0
ycheor	7	6	NONE	NONE	NONE	0
yches	2	2	NONE	NONE	NONE	0
ychey	9	7	NONE	NONE	NONE	0.666666666667
ycho	3	3	NONE	NONE	NONE	1.33333333333
ychocthy	2	2	NONE	NONE	NONE	0
ychol	8	7	NONE	NONE	NONE	0.125
ychor	8	8	NONE	NONE	NONE	0
ychy	3	3	NONE	NONE	NONE	2
yd	15	13	NONE	NONE	aiin	1.4
yk	56	33	NONE	NONE	aiin	1.57142857143
yka	2	2	NONE	NONE	NONE	2
ykaly	3	3	NONE	NONE	NONE	1.33333333333
ykch	3	3	NONE	NONE	NONE	2
ykche	4	4	NONE	NONE	NONE	2
ykcho	5	5	NONE	NONE	NONE	0.8
ykchol	3	3	NONE	NONE	NONE	0.333333333333
ykchor	4	3	NONE	NONE	NONE	1.25
ykchy	8	8	NONE	NONE	NONE	1.125
yke	6	5	NONE	NONE	NONE	1.33333333333
