locus	page	physical_folio	group_index	core	previous_token	previous_family	target_token	target_family	target_prefix	target_residual_host	position_bin	claim_state
f76v.32	f76v	f76	9	ol	chckhedy	KUJBA	otol	AQAB	NONE	otol	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f77r.15	f77r	f77	3	ol	shedy	LJBA	qotol	DAQAB	q	otol	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f77r.29	f77r	f77	5	al	qokeedy	DAQKBA	qotal	DAQAB	q	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f77v.37	f77v	f77	2	ar	schedy	CKJBA	qotar	DAQAC	q	otar	0	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f77v.6	f77v	f77	3	ol	shedy	LJBA	qotol	DAQAB	q	otol	0	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f78r.31	f78r	f78	4	al	qokedy	DAQJBA	otal	AQAB	NONE	otal	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f78r.31	f78r	f78	6	ar	shedy	LJBA	otar	AQAC	NONE	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f78r.4	f78r	f78	5	ar	tchedy	QKJBA	otar	AQAC	NONE	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f78v.26	f78v	f78	9	al	fchedy	PKJBA	otaldy	AQABBA	NONE	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f79r.13	f79r	f79	6	ar	opchedy	APKJBA	qotar	DAQAC	q	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f79r.16	f79r	f79	5	al	kshedy	QLJBA	otal	AQAB	NONE	otal	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f80v.23	f80v	f80	6	ol	qoteedy	DAQKBA	qotol	DAQAB	q	otol	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f82r.11	f82r	f82	6	al	chopchedy	KAPKJBA	qotal	DAQAB	q	otal	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f82v.24	f82v	f82	6	al	shedy	LJBA	qotal	DAQAB	q	otal	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f82v.29	f82v	f82	8	ar	qokechedy	DAQJKJBA	qotar	DAQAC	q	otar	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f83r.3	f83r	f83	2	al	olkeedy	ABQKBA	qotal	DAQAB	q	otal	0	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f83v.2	f83v	f83	8	al	qokedy	DAQJBA	qotal	DAQAB	q	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f83v.3	f83v	f83	6	al	shedy	LJBA	qotaldy	DAQABBA	q	otal	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f85r1.27	f85r1	f85	3	ar	shetshdy	LJQLBA	qotar	DAQAC	q	otar	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f85r1.4	f85r1	f85	8	ar	qokeedy	DAQKBA	otar	AQAC	NONE	otar	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f86v5.18	f86v5	f86	9	ar	ody	ABA	qotar	DAQAC	q	otar	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f87v.9	f87v	f87	3	ol	qoscheody	DACKJABA	otol	AQAB	NONE	otol	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f89v2.20	f89v2	f89	15	al	ltcheody	BQKJABA	otal	AQAB	NONE	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f94v.4	f94v	f94	2	ar	dchdy	BKBA	otar	AQAC	NONE	otar	0	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f94v.6	f94v	f94	5	ar	opchdy	APKBA	qotar	DAQAC	q	otar	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f95r2.8	f95r2	f95	8	ar	qokchdy	DAQKBA	otar	AQAC	NONE	otar	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f95v1.2	f95v1	f95	8	al	qokedy	DAQJBA	otal	AQAB	NONE	otal	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
