lexical_id	source_form	source_frequency	system_a_host	system_b_host	system_b_lexical_left	system_b_lexical_right	system_b_field_marker
LEX104	cͥcͣ	9	gl	ab	o	y	NONE
LEX105	quo	9	gm	ab	o	y	t
LEX106	nos	9	gn	ab	o	y	s
LEX107	coierit	9	gp	ab	o	y	u
LEX108	eo	9	gs	ab	o	k	NONE
LEX109	gał	9	gt	ab	o	k	t
LEX110	os	9	gu	ab	o	k	s
LEX111	tͥa	9	gv	ab	o	k	u
LEX112	calorẽ	9	gx	ab	d	NONE	NONE
LEX113	mod̾	9	gz	ab	d	NONE	t
LEX114	qñ	9	ha	ab	d	NONE	s
LEX115	hoꝵ	9	hb	ab	d	NONE	u
LEX116	que	9	hc	ab	d	r	NONE
LEX117	ꝑte	9	he	ab	d	r	t
LEX118	ne	9	hf	ab	d	r	s
LEX119	sp̃s	9	hg	ab	d	r	u
LEX120	dd̾	9	hh	ab	d	y	NONE
LEX121	an	9	hi	ab	d	y	t
LEX122	ĩo	9	hj	ab	d	y	s
LEX123	ꝯũis	9	hl	ab	d	y	u
LEX124	hũida	9	hm	ab	d	k	NONE
LEX125	it̾m	8	hn	ab	d	k	t
LEX126	q̃dã	8	hp	ab	d	k	s
LEX127	melle	8	hs	ab	d	k	u
LEX128	eͥ	8	ht	ac	NONE	NONE	NONE
LEX129	pͥncipiũ	8	hu	ac	NONE	NONE	t
LEX130	m̃briᷤ	8	hv	ac	NONE	NONE	s
LEX131	hiis	8	hx	ac	NONE	NONE	u
LEX132	nutͥm̃ta	8	hz	ac	NONE	r	NONE
LEX133	calore	8	ia	ac	NONE	r	t
LEX134	ẜmõe	8	ib	ac	NONE	r	s
LEX135	ait	8	ic	ac	NONE	r	u
LEX136	su̾	8	ie	ac	NONE	y	NONE
LEX137	coire	8	if	ac	NONE	y	t
LEX138	alii	8	ig	ac	NONE	y	s
LEX139	nec	8	ih	ac	NONE	y	u
LEX140	aliis	8	ii	ac	NONE	k	NONE
LEX141	c̃	8	ij	ac	NONE	k	t
LEX142	nã	8	il	ac	NONE	k	s
LEX143	om̃s	8	im	ac	NONE	k	u
LEX144	ui	8	in	ac	q	NONE	NONE
LEX145	sub	8	ip	ac	q	NONE	t
LEX146	scd̾m	8	is	ac	q	NONE	s
LEX147	qͣi	8	it	ac	q	NONE	u
LEX148	sine	8	iu	ac	q	r	NONE
LEX149	ac	8	iv	ac	q	r	t
LEX150	sigͣ	8	ix	ac	q	r	s
LEX151	sua	8	iz	ac	q	r	u
LEX152	ip̃m	8	ja	ac	q	y	NONE
LEX153	duo	8	jb	ac	q	y	t
LEX154	hu	8	jc	ac	q	y	s
LEX155	suo	7	je	ac	q	y	u
LEX156	caro	7	jf	ac	q	k	NONE
LEX157	aqua	7	jg	ac	q	k	t
LEX158	reꝵ	7	jh	ac	q	k	s
LEX159	fe	7	ji	ac	q	k	u
LEX160	sicca	7	jj	ac	o	NONE	NONE
LEX161	hiᷤ	7	jl	ac	o	NONE	t
LEX162	cito	7	jm	ac	o	NONE	s
LEX163	mala	7	jn	ac	o	NONE	u
LEX164	uͥga	7	jp	ac	o	r	NONE
LEX165	aliud	7	js	ac	o	r	t
LEX166	apparẽt	7	jt	ac	o	r	s
LEX167	gen̾ant	7	ju	ac	o	r	u
LEX168	tp̃r	7	jv	ac	o	y	NONE
LEX169	dicit	7	jx	ac	o	y	t
LEX170	appetitũ	7	jz	ac	o	y	s
LEX171	recipiens	7	la	ac	o	y	u
LEX172	iã	7	lb	ac	o	k	NONE
LEX173	malũ	7	lc	ac	o	k	t
LEX174	oportet	7	le	ac	o	k	s
LEX175	eaꝵ	7	lf	ac	o	k	u
LEX176	multa	7	lg	ac	d	NONE	NONE
LEX177	sigͥcãt	7	lh	ac	d	NONE	t
LEX178	sꝑma	7	li	ac	d	NONE	s
LEX179	reb	7	lj	ac	d	NONE	u
LEX180	fieri	7	ll	ac	d	r	NONE
LEX181	ssib	7	lm	ac	d	r	t
LEX182	tangit	7	ln	ac	d	r	s
LEX183	sꝑmatis	7	lp	ac	d	r	u
LEX184	unũ	7	ls	ac	d	y	NONE
LEX185	nͣ	7	lt	ac	d	y	t
LEX186	testiculi	7	lu	ac	d	y	s
LEX187	dix̃	7	lv	ac	d	y	u
LEX188	lactuce	7	lx	ac	d	k	NONE
LEX189	sunt	7	lz	ac	d	k	t
LEX190	accidũt	7	ma	ac	d	k	s
LEX191	siccitate	6	mb	ac	d	k	u
LEX192	sic̾	6	mc	ae	NONE	NONE	NONE
LEX193	piꝑ	6	me	ae	NONE	NONE	t
LEX194	ꝑmixtũ	6	mf	ae	NONE	NONE	s
LEX195	d̾s	6	mg	ae	NONE	NONE	u
LEX196	iłł	6	mh	ae	NONE	r	NONE
LEX197	mediũ	6	mi	ae	NONE	r	t
LEX198	pͥmũ	6	mj	ae	NONE	r	s
LEX199	mͣ	6	ml	ae	NONE	r	u
LEX200	dico	6	mm	ae	NONE	y	NONE
LEX201	efft̾	6	mn	ae	NONE	y	t
LEX202	isto	6	mp	ae	NONE	y	s
LEX203	apͥncipio	6	ms	ae	NONE	y	u
LEX204	eruce	6	mt	ae	NONE	k	NONE
LEX205	uiri	6	mu	ae	NONE	k	t
LEX206	ẜo	6	mv	ae	NONE	k	s
LEX207	matͥcis	6	mx	ae	NONE	k	u
LEX208	nod̾	6	mz	ae	q	NONE	NONE
LEX209	iste	6	na	ae	q	NONE	t
LEX210	hore	6	nb	ae	q	NONE	s
LEX211	enĩ	6	nc	ae	q	NONE	u
LEX212	alio	6	ne	ae	q	r	NONE
LEX213	cupis	6	nf	ae	q	r	t
LEX214	t̾e	6	ng	ae	q	r	s
LEX215	sigͥficãt	6	nh	ae	q	r	u
LEX216	nimia	6	ni	ae	q	y	NONE
LEX217	pͥcipiũ	6	nj	ae	q	y	t
LEX218	ista	6	nl	ae	q	y	s
LEX219	his	6	nm	ae	q	y	u
LEX220	illi	6	nn	ae	q	k	NONE
LEX221	itaq	6	np	ae	q	k	t
LEX222	alia	6	ns	ae	q	k	s
LEX223	clara	6	nt	ae	q	k	u
LEX224	d̾̾	6	nu	ae	o	NONE	NONE
LEX225	libidinẽ	6	nv	ae	o	NONE	t
LEX226	mat̾cis	6	nx	ae	o	NONE	s
LEX227	aĩe	6	nz	ae	o	NONE	u
LEX228	siłr	6	pa	ae	o	r	NONE
LEX229	usq	6	pb	ae	o	r	t
LEX230	uelocit̃	6	pc	ae	o	r	s
LEX231	organũ	6	pe	ae	o	r	u
LEX232	an̾	6	pf	ae	o	y	NONE
LEX233	uos	6	pg	ae	o	y	t
LEX234	claꝵ	6	ph	ae	o	y	s
LEX235	calor	6	pi	ae	o	y	u
LEX236	pͦ	6	pj	ae	o	k	NONE
LEX237	ꝗdẽ	6	pl	ae	o	k	t
LEX238	tc̃	6	pm	ae	o	k	s
LEX239	u̾o	6	pn	ae	o	k	u
LEX240	modũ	6	pp	ae	d	NONE	NONE
LEX241	solũ	6	ps	ae	d	NONE	t
LEX242	ego	6	pt	ae	d	NONE	s
LEX243	sem̃is	6	pu	ae	d	NONE	u
LEX244	infra	6	pv	ae	d	r	NONE
LEX245	ĩt̾	6	px	ae	d	r	t
LEX246	suũ	6	pz	ae	d	r	s
LEX247	st̃	6	sa	ae	d	r	u
LEX248	possit	6	sb	ae	d	y	NONE
LEX249	nimis	6	sc	ae	d	y	t
LEX250	qrͣ	6	se	ae	d	y	s
LEX251	augm̃tũ	5	sf	ae	d	y	u
LEX252	sortes	5	sg	ae	d	k	NONE
LEX253	mane	5	sh	ae	d	k	t
LEX254	casti	5	si	ae	d	k	s
LEX255	feĩe	5	sj	ae	d	k	u
LEX256	qͥd	5	sl	af	NONE	NONE	NONE
LEX257	hñt	5	sm	af	NONE	NONE	t
LEX258	qͦs	5	sn	af	NONE	NONE	s
LEX259	dicendũ	5	sp	af	NONE	NONE	u
LEX260	nc̃	5	ss	af	NONE	r	NONE
LEX261	horͣ	5	st	af	NONE	r	t
LEX262	m̃se	5	su	af	NONE	r	s
LEX263	m̃	5	sv	af	NONE	r	u
LEX264	modico	5	sx	af	NONE	y	NONE
LEX265	fu̾int	5	sz	af	NONE	y	t
LEX266	roga	5	ta	af	NONE	y	s
LEX267	ille	5	tb	af	NONE	y	u
LEX268	dab̾	5	tc	af	NONE	k	NONE
LEX269	modicũ	5	te	af	NONE	k	t
LEX270	ẜmo	5	tf	af	NONE	k	s
LEX271	sp̃t	5	tg	af	NONE	k	u
LEX272	seu	5	th	af	q	NONE	NONE
LEX273	cor	5	ti	af	q	NONE	t
LEX274	emitit᷑	5	tj	af	q	NONE	s
LEX275	feb	5	tl	af	q	NONE	u
LEX276	ẜm	5	tm	af	q	r	NONE
LEX277	ta	5	tn	af	q	r	t
LEX278	rub̾a	5	tp	af	q	r	s
LEX279	itẽ	5	ts	af	q	r	u
LEX280	dm̃	5	tt	af	q	y	NONE
LEX281	fabe	5	tu	af	q	y	t
LEX282	ꝯpetit	5	tv	af	q	y	s
LEX283	anͥ	5	tx	af	q	y	u
LEX284	oĩa	5	tz	af	q	k	NONE
LEX285	sol	5	ua	af	q	k	t
LEX286	it̃	5	ub	af	q	k	s
LEX287	nob̾	5	uc	af	q	k	u
LEX288	renũ	5	ue	af	o	NONE	NONE
LEX289	ꝓdẽ	5	uf	af	o	NONE	t
LEX290	da	5	ug	af	o	NONE	s
LEX291	sigͥcat	5	uh	af	o	NONE	u
LEX292	om̃is	5	ui	af	o	r	NONE
LEX293	om̃ib	5	uj	af	o	r	t
LEX294	posuit	5	ul	af	o	r	s
LEX295	cͥsis	5	um	af	o	r	u
LEX296	esto	5	un	af	o	y	NONE
LEX297	pili	5	up	af	o	y	t
LEX298	m̃bͣ	5	us	af	o	y	s
LEX299	uino	5	ut	af	o	y	u
LEX300	humor	5	uu	af	o	k	NONE
LEX301	siqͥ	5	uv	af	o	k	t
LEX302	cibai̾a	5	ux	af	o	k	s
LEX303	q̃dam	5	uz	af	o	k	u
LEX304	tp̃s	5	va	af	d	NONE	NONE
LEX305	gͥ	5	vb	af	d	NONE	t
LEX306	int̃	5	vc	af	d	NONE	s
LEX307	gen̾at̃	5	ve	af	d	NONE	u
LEX308	uis	5	vf	af	d	r	NONE
LEX309	iam	5	vg	af	d	r	t
LEX310	quib	5	vh	af	d	r	s
LEX311	ꝙ̃	5	vi	af	d	r	u
LEX312	quidã	5	vj	af	d	y	NONE
LEX313	frĩa	5	vl	af	d	y	t
LEX314	quod	5	vm	af	d	y	s
LEX315	uene	5	vn	af	d	y	u
LEX316	parte	5	vp	af	d	k	NONE
LEX317	fuit	5	vs	af	d	k	t
LEX318	suꝑflui	5	vt	af	d	k	s
LEX319	quia	5	vu	af	d	k	u
LEX320	uenaꝵ	5	vv	ag	NONE	NONE	NONE
LEX321	pͥmo	5	vx	ag	NONE	NONE	t
LEX322	suꝑfluo	5	vz	ag	NONE	NONE	s
LEX323	uiris	5	xa	ag	NONE	NONE	u
LEX324	un̾	5	xb	ag	NONE	r	NONE
LEX325	corde	5	xc	ag	NONE	r	t
LEX326	bona	5	xe	ag	NONE	r	s
LEX327	dt	5	xf	ag	NONE	r	u
LEX328	aceto	4	xg	ag	NONE	y	NONE
LEX329	calidũ	4	xh	ag	NONE	y	t
LEX330	hõ	4	xi	ag	NONE	y	s
LEX331	alba	4	xj	ag	NONE	y	u
LEX332	obm̃	4	xl	ag	NONE	k	NONE
LEX333	oło	4	xm	ag	NONE	k	t
LEX334	medicoꝵ	4	xn	ag	NONE	k	s
LEX335	sue	4	xp	ag	NONE	k	u
LEX336	mͥ	4	xs	ag	q	NONE	NONE
LEX337	sci̾ã	4	xt	ag	q	NONE	t
LEX338	for	4	xu	ag	q	NONE	s
LEX339	cecidit	4	xv	ag	q	NONE	u
LEX340	tũ	4	xx	ag	q	r	NONE
LEX341	am̃s	4	xz	ag	q	r	t
LEX342	magnũ	4	za	ag	q	r	s
LEX343	ideo	4	zb	ag	q	r	u
LEX344	ssu	4	zc	ag	q	y	NONE
LEX345	qͣs	4	ze	ag	q	y	t
LEX346	nichil	4	zf	ag	q	y	s
LEX347	ꝑoxiᷤmos	4	zg	ag	q	y	u
LEX348	di	4	zh	ag	q	k	NONE
LEX349	postea	4	zi	ag	q	k	t
LEX350	uentositatẽ	4	zj	ag	q	k	s
LEX351	istis	4	zl	ag	q	k	u
LEX352	appa	4	zm	ag	o	NONE	NONE
LEX353	descendit	4	zn	ag	o	NONE	t
LEX354	toto	4	zp	ag	o	NONE	s
LEX355	qͣlit̾	4	zs	ag	o	NONE	u
LEX356	ꝯ̾ens	4	zt	ag	o	r	NONE
LEX357	int̾	4	zu	ag	o	r	t
LEX358	fiũt	4	zv	ag	o	r	s
LEX359	ira	4	zx	ag	o	r	u
LEX360	modic̾	4	zz	ag	o	y	NONE
LEX361	oĩno	4	baa	ag	o	y	t
LEX362	ordĩes	4	bab	ag	o	y	s
LEX363	diminuit᷑	4	bac	ag	o	y	u
LEX364	omĩa	4	bae	ag	o	k	NONE
LEX365	p̃t̃	4	baf	ag	o	k	t
LEX366	multi	4	bag	ag	o	k	s
LEX367	ni	4	bah	ag	o	k	u
LEX368	facił	4	bai	ag	d	NONE	NONE
LEX369	albi	4	baj	ag	d	NONE	t
LEX370	uid̾	4	bal	ag	d	NONE	s
LEX371	mandans	4	bam	ag	d	NONE	u
LEX372	notificatõe	4	ban	ag	d	r	NONE
LEX373	rute	4	bap	ag	d	r	t
LEX374	nũ	4	bas	ag	d	r	s
LEX375	uolu̾it	4	bat	ag	d	r	u
LEX376	al	4	bau	ag	d	y	NONE
LEX377	causã	4	bav	ag	d	y	t
LEX378	dolor	4	bax	ag	d	y	s
LEX379	uirgã	4	baz	ag	d	y	u
LEX380	ãpħoꝵ	4	bba	ag	d	k	NONE
LEX381	spẽ	4	bbb	ag	d	k	t
LEX382	mascłi	4	bbc	ag	d	k	s
LEX383	atq	4	bbe	ag	d	k	u
