core	global_rank	rank_score	classification	formal_function_hint	ha_count	ha_folios	ha_wrapper_forms	ha_states	hb_count	hb_folios	hb_wrapper_forms	hb_states	sb_count	sb_folios	sb_wrapper_forms	sb_states	ob_count	ob_folios	ob_wrapper_forms	ob_states	sa_count	sa_folios	sa_wrapper_forms	sa_states	other_count	other_folios	other_wrapper_forms	other_states	target_wrapper_variety	target_wrappers
kain	57	5.210660468	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	MIXED_NONCLOSURE_HOST_CANDIDATE	0	0			4	3	NONE:3;ch:1	OTHER:3;CARRIER_STATE:1	12	6	NONE:6;che:3;q:2;sh:1	OTHER:6;CARRIER_STATE:4;Q_OUTER_STATE:2	17	7	NONE:11;ch:3;che:1;s:1;sh:1	OTHER:11;CARRIER_STATE:5;ENTRY_STATE:1	0	0			0	0			5	NONE;ch;che;q;sh
otam	61	5.117168071	B_S_ENRICHED_HAND_CONFOUNDED	PREDOMINANT_OTHER	3	3	NONE:2;q:1	OTHER:2;Q_OUTER_STATE:1	5	4	NONE:5	OTHER:5	15	11	NONE:10;q:4;ch:1	OTHER:10;Q_OUTER_STATE:4;CARRIER_STATE:1	6	2	NONE:5;q:1	OTHER:5;Q_OUTER_STATE:1	0	0			1	1	NONE:1	OTHER:1	3	NONE;ch;q
okar	62	5.099988381	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_AR_REFERENCE	3	3	NONE:1;q:1;s:1	AR_REFERENCE:3	25	8	NONE:15;q:9;t:1	AR_REFERENCE:25	41	10	q:20;NONE:18;ch:2;sh:1	AR_REFERENCE:41	64	13	q:47;NONE:17	AR_REFERENCE:64	9	1	q:5;NONE:3;sh:1	AR_REFERENCE:9	3	2	q:2;NONE:1	AR_REFERENCE:3	5	NONE;ch;q;sh;t
dam	68	4.987109653	B_S_REGISTER_CANDIDATE	PREDOMINANT_CARRIER_STATE	0	0			4	3	ch:4	CARRIER_STATE:4	4	2	ch:3;che:1	CARRIER_STATE:4	1	1	t:1	ENTRY_STATE:1	0	0			0	0			2	ch;che
okain	69	4.935879827	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	MIXED_NONCLOSURE_HOST_CANDIDATE	3	3	ch:2;NONE:1	CARRIER_STATE:2;OTHER:1	15	6	NONE:12;q:3	OTHER:12;Q_OUTER_STATE:3	90	10	q:55;NONE:29;ch:4;che:2	Q_OUTER_STATE:55;OTHER:29;CARRIER_STATE:6	125	11	q:96;NONE:26;ch:1;che:1;sh:1	Q_OUTER_STATE:96;OTHER:26;CARRIER_STATE:3	1	1	q:1	Q_OUTER_STATE:1	0	0			4	NONE;ch;che;q
odain	70	4.906254103	B_S_REGISTER_CANDIDATE	MIXED_NONCLOSURE_HOST_CANDIDATE	4	4	ch:2;che:1;t:1	CARRIER_STATE:3;ENTRY_STATE:1	3	2	NONE:2;q:1	OTHER:2;Q_OUTER_STATE:1	15	7	NONE:4;che:4;q:4;ch:2;sh:1	CARRIER_STATE:7;OTHER:4;Q_OUTER_STATE:4	2	2	q:1;sh:1	CARRIER_STATE:1;Q_OUTER_STATE:1	0	0			0	0			5	NONE;ch;che;q;sh
e	71	4.881143284	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	6	4	sh:6	CARRIER_STATE:6	18	10	sh:13;t:5	DY_RESOLUTION:17;CARRIER_STATE:1	77	12	sh:61;che:11;t:4;ch:1	DY_RESOLUTION:75;CARRIER_STATE:2	185	13	sh:156;che:17;t:11;d:1	DY_RESOLUTION:185	0	0			3	3	sh:2;che:1	CARRIER_STATE:2;DY_RESOLUTION:1	4	ch;che;sh;t
ok	80	4.722236234	B_S_ENRICHED_HAND_CONFOUNDED	MIXED_NONCLOSURE_HOST_CANDIDATE	1	1	ch:1	CARRIER_STATE:1	3	3	NONE:2;q:1	OTHER:2;DY_RESOLUTION:1	5	3	q:2;sh:2;che:1	CARRIER_STATE:3;DY_RESOLUTION:1;Q_OUTER_STATE:1	1	1	q:1	Q_OUTER_STATE:1	0	0			1	1	sh:1	CARRIER_STATE:1	4	NONE;che;q;sh
olaiin	82	4.716418856	A_RARE_BS_SHARED_WEAK_SPECIFICITY	PREDOMINANT_OL_STATE	1	1	ch:1	OL_STATE:1	6	5	NONE:5;s:1	OL_STATE:6	9	5	NONE:9	OL_STATE:9	6	5	NONE:4;q:2	OL_STATE:6	2	1	ch:1;q:1	OL_STATE:2	3	2	NONE:3	OL_STATE:3	2	NONE;s
okal	84	4.685583175	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_AL_STATE	7	6	NONE:6;ch:1	AL_STATE:7	18	12	NONE:10;q:7;ch:1	AL_STATE:14;DY_RESOLUTION:4	46	10	q:24;NONE:21;s:1	AL_STATE:45;DY_RESOLUTION:1	76	13	q:66;NONE:10	AL_STATE:74;DY_RESOLUTION:2	6	1	NONE:2;q:2;ch:1;sh:1	AL_STATE:6	2	2	che:1;q:1	AL_STATE:2	4	NONE;ch;q;s
aram	85	4.677006993	SHARED_NOT_ENRICHED	PREDOMINANT_AR_REFERENCE	1	1	d:1	AR_REFERENCE:1	3	3	d:2;NONE:1	AR_REFERENCE:3	3	3	ch:2;NONE:1	AR_REFERENCE:3	0	0			1	1	sh:1	AR_REFERENCE:1	0	0			3	NONE;ch;d
okaiin	86	4.675534307	A_RARE_BS_SHARED_WEAK_SPECIFICITY	MIXED_NONCLOSURE_HOST_CANDIDATE	32	21	NONE:20;q:6;ch:4;s:1;sh:1	OTHER:20;Q_OUTER_STATE:6;CARRIER_STATE:5;ENTRY_STATE:1	31	7	NONE:19;q:12	OTHER:19;Q_OUTER_STATE:12	125	11	q:64;NONE:55;ch:4;che:2	Q_OUTER_STATE:64;OTHER:55;CARRIER_STATE:6	92	13	q:65;NONE:27	Q_OUTER_STATE:65;OTHER:27	2	1	q:2	Q_OUTER_STATE:2	5	3	NONE:4;q:1	OTHER:4;Q_OUTER_STATE:1	4	NONE;ch;che;q
oteo	96	4.468934933	B_S_ENRICHED_HAND_CONFOUNDED	PREDOMINANT_CLOSURE_HOST	3	3	NONE:1;q:1;sh:1	DY_RESOLUTION:2;CARRIER_STATE:1	3	2	NONE:2;q:1	DY_RESOLUTION:2;Q_OUTER_STATE:1	14	9	NONE:7;q:7	DY_RESOLUTION:11;Q_OUTER_STATE:2;OTHER:1	4	3	NONE:3;q:1	DY_RESOLUTION:4	0	0			2	2	NONE:2	DY_RESOLUTION:2	2	NONE;q
ee	99	4.407891680	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	1	1	sh:1	CARRIER_STATE:1	6	4	sh:3;t:2;NONE:1	DY_RESOLUTION:6	18	10	sh:15;t:3	DY_RESOLUTION:17;CARRIER_STATE:1	35	12	sh:31;t:2;d:1;q:1	DY_RESOLUTION:35	0	0			0	0			3	NONE;sh;t
otal	101	4.403673673	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_OT_AL_LOCAL	5	5	NONE:5	OT_AL_LOCAL:5	8	6	NONE:7;q:1	OT_AL_LOCAL:7;DY_RESOLUTION:1	36	12	NONE:25;q:10;ch:1	OT_AL_LOCAL:36	40	9	NONE:21;q:18;ch:1	OT_AL_LOCAL:38;DY_RESOLUTION:2	3	1	NONE:3	OT_AL_LOCAL:2;DY_RESOLUTION:1	1	1	NONE:1	OT_AL_LOCAL:1	3	NONE;ch;q
os	102	4.374140792	SHARED_NOT_ENRICHED	PREDOMINANT_CARRIER_STATE	15	11	NONE:4;ch:4;che:2;sh:2;q:1;s:1;t:1	CARRIER_STATE:8;OTHER:4;ENTRY_STATE:2;Q_OUTER_STATE:1	6	6	che:3;sh:2;ch:1	CARRIER_STATE:6	11	6	ch:6;che:4;q:1	CARRIER_STATE:10;Q_OUTER_STATE:1	1	1	NONE:1	OTHER:1	0	0			4	3	ch:1;che:1;sh:1;t:1	CARRIER_STATE:3;ENTRY_STATE:1	4	ch;che;q;sh
ar	106	4.340817830	SHARED_NOT_ENRICHED	PREDOMINANT_AR_REFERENCE	58	27	d:30;ch:10;NONE:7;che:6;sh:3;s:1;t:1	AR_REFERENCE:58	49	14	NONE:22;d:16;t:6;ch:2;sh:2;s:1	AR_REFERENCE:49	115	12	NONE:59;d:16;s:10;sh:9;ch:8;che:7;t:6	AR_REFERENCE:115	87	13	d:38;NONE:20;s:11;sh:5;t:5;ch:4;che:4	AR_REFERENCE:87	12	1	NONE:6;che:2;d:2;ch:1;sh:1	AR_REFERENCE:12	8	3	d:4;NONE:1;che:1;s:1;sh:1	AR_REFERENCE:8	7	NONE;ch;che;d;s;sh;t
ykee	109	4.246753971	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	0	0			3	3	NONE:3	DY_RESOLUTION:3	6	6	NONE:6	DY_RESOLUTION:6	9	7	NONE:8;d:1	DY_RESOLUTION:9	0	0			0	0			1	NONE
kal	115	4.077931006	A_RARE_BS_SHARED_WEAK_SPECIFICITY	PREDOMINANT_AL_STATE	1	1	NONE:1	AL_STATE:1	5	2	NONE:2;che:2;ch:1	AL_STATE:4;DY_RESOLUTION:1	9	4	NONE:4;ch:3;che:2	AL_STATE:9	5	5	NONE:4;ch:1	AL_STATE:5	0	0			0	0			3	NONE;ch;che
kaiin	121	4.018020836	SHARED_NOT_ENRICHED	MIXED_NONCLOSURE_HOST_CANDIDATE	15	10	ch:7;NONE:6;sh:2	CARRIER_STATE:9;OTHER:6	7	5	che:4;NONE:2;ch:1	CARRIER_STATE:5;OTHER:2	20	10	NONE:15;ch:2;s:2;sh:1	OTHER:15;CARRIER_STATE:3;ENTRY_STATE:2	6	5	NONE:5;ch:1	OTHER:5;CARRIER_STATE:1	1	1	s:1	ENTRY_STATE:1	0	0			5	NONE;ch;che;s;sh
okch	135	3.849093618	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	0	0			10	5	q:8;NONE:2	DY_RESOLUTION:10	7	5	q:4;NONE:3	DY_RESOLUTION:7	15	9	q:14;NONE:1	DY_RESOLUTION:15	0	0			0	0			2	NONE;q
eo	140	3.767377665	SHARED_NOT_ENRICHED	MIXED_STATE_HOST	11	10	sh:11	CARRIER_STATE:9;DY_RESOLUTION:2	5	4	sh:5	DY_RESOLUTION:4;CARRIER_STATE:1	26	10	che:12;sh:12;t:2	CARRIER_STATE:14;DY_RESOLUTION:12	8	3	sh:5;t:2;che:1	DY_RESOLUTION:6;CARRIER_STATE:2	1	1	sh:1	CARRIER_STATE:1	9	4	sh:7;t:2	DY_RESOLUTION:6;CARRIER_STATE:3	3	che;sh;t
ykeey	145	3.634582282	SHARED_NOT_ENRICHED	PREDOMINANT_OTHER	7	7	NONE:7	OTHER:7	3	3	NONE:3	OTHER:3	9	5	NONE:9	OTHER:9	2	2	NONE:2	OTHER:2	0	0			4	3	NONE:4	OTHER:4	1	NONE
ke	149	3.526467675	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	0	0			9	8	NONE:6;che:3	DY_RESOLUTION:9	6	3	NONE:6	DY_RESOLUTION:6	9	6	NONE:8;d:1	DY_RESOLUTION:9	0	0			0	0			2	NONE;che
o	150	3.449907962	SHARED_NOT_ENRICHED	MIXED_STATE_HOST	144	41	sh:66;ch:37;q:11;che:10;NONE:7;d:7;s:4;t:2	CARRIER_STATE:79;DY_RESOLUTION:44;ENTRY_STATE:9;Q_OUTER_STATE:7;OTHER:5	31	13	NONE:8;ch:8;sh:8;che:3;d:2;q:1;t:1	DY_RESOLUTION:27;CARRIER_STATE:3;ENTRY_STATE:1	67	12	che:30;sh:12;ch:11;q:8;NONE:5;d:1	DY_RESOLUTION:35;CARRIER_STATE:22;Q_OUTER_STATE:6;OTHER:3;ENTRY_STATE:1	21	7	q:7;ch:5;sh:4;che:3;NONE:2	DY_RESOLUTION:15;Q_OUTER_STATE:5;OTHER:1	3	1	NONE:1;ch:1;che:1	DY_RESOLUTION:2;OTHER:1	21	6	ch:7;che:7;sh:6;s:1	DY_RESOLUTION:16;CARRIER_STATE:5	7	NONE;ch;che;d;q;sh;t
aiin	156	3.366017248	SHARED_NOT_ENRICHED	MIXED_NONCLOSURE_HOST_CANDIDATE	302	45	d:234;ch:20;s:18;NONE:15;sh:8;t:6;che:1	ENTRY_STATE:258;CARRIER_STATE:29;OTHER:15	62	13	d:31;NONE:22;t:4;s:3;ch:2	ENTRY_STATE:38;OTHER:22;CARRIER_STATE:2	206	12	NONE:102;d:59;s:24;t:9;ch:5;sh:5;che:1;q:1	OTHER:102;ENTRY_STATE:90;CARRIER_STATE:11;DY_RESOLUTION:2;Q_OUTER_STATE:1	126	13	d:61;NONE:42;s:19;t:4	ENTRY_STATE:84;OTHER:42	16	1	NONE:5;d:5;t:3;s:2;ch:1	ENTRY_STATE:10;OTHER:5;CARRIER_STATE:1	34	6	d:25;NONE:7;s:2	ENTRY_STATE:27;OTHER:7	8	NONE;ch;che;d;q;s;sh;t
okee	164	3.285224375	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	0	0			6	6	NONE:3;q:3	DY_RESOLUTION:6	108	12	q:83;NONE:23;ch:2	DY_RESOLUTION:108	119	13	q:97;NONE:20;s:2	DY_RESOLUTION:119	0	0			1	1	NONE:1	DY_RESOLUTION:1	3	NONE;ch;q
ky	192	2.637394029	SHARED_NOT_ENRICHED	PREDOMINANT_CARRIER_STATE	9	9	che:3;NONE:2;ch:2;s:1;sh:1	CARRIER_STATE:6;OTHER:2;ENTRY_STATE:1	12	8	che:6;ch:5;NONE:1	CARRIER_STATE:11;OTHER:1	14	10	che:8;NONE:2;ch:2;sh:2	CARRIER_STATE:12;OTHER:2	13	8	che:10;sh:3	CARRIER_STATE:13	3	1	che:2;NONE:1	CARRIER_STATE:2;OTHER:1	2	1	che:2	CARRIER_STATE:2	4	NONE;ch;che;sh
odal	194	2.601417742	SHARED_NOT_ENRICHED	PREDOMINANT_AL_STATE	8	7	q:2;sh:2;NONE:1;ch:1;che:1;s:1	AL_STATE:8	3	3	NONE:2;t:1	AL_STATE:3	7	5	NONE:3;ch:2;che:2	AL_STATE:7	2	2	NONE:1;q:1	AL_STATE:2	0	0			1	1	NONE:1	AL_STATE:1	4	NONE;ch;che;t
kar	197	2.474830404	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_AR_REFERENCE	3	3	NONE:2;ch:1	AR_REFERENCE:3	12	5	NONE:9;che:2;ch:1	AR_REFERENCE:12	9	8	NONE:6;ch:2;che:1	AR_REFERENCE:9	9	7	NONE:5;ch:1;che:1;d:1;s:1	AR_REFERENCE:9	1	1	NONE:1	AR_REFERENCE:1	0	0			3	NONE;ch;che
am	200	2.426610968	SHARED_NOT_ENRICHED	MIXED_NONCLOSURE_HOST_CANDIDATE	19	11	d:12;ch:4;sh:2;che:1	ENTRY_STATE:12;CARRIER_STATE:7	8	5	d:4;NONE:2;ch:2	ENTRY_STATE:4;CARRIER_STATE:2;OTHER:2	16	8	NONE:8;d:4;ch:2;che:1;s:1	OTHER:8;ENTRY_STATE:5;CARRIER_STATE:3	8	6	d:4;NONE:1;ch:1;sh:1;t:1	ENTRY_STATE:5;CARRIER_STATE:2;OTHER:1	2	1	ch:1;d:1	CARRIER_STATE:1;ENTRY_STATE:1	2	2	d:2	ENTRY_STATE:2	5	NONE;ch;che;d;s
air	203	2.399885607	SHARED_NOT_ENRICHED	MIXED_NONCLOSURE_HOST_CANDIDATE	15	15	d:13;ch:1;s:1	ENTRY_STATE:14;CARRIER_STATE:1	5	4	NONE:2;s:2;d:1	ENTRY_STATE:3;OTHER:2	38	10	d:17;NONE:15;s:4;t:2	ENTRY_STATE:23;OTHER:15	13	7	d:8;s:4;NONE:1	ENTRY_STATE:12;OTHER:1	3	1	NONE:2;d:1	OTHER:2;ENTRY_STATE:1	4	3	d:2;NONE:1;s:1	ENTRY_STATE:3;OTHER:1	4	NONE;d;s;t
ckhy	206	2.361584667	SHARED_NOT_ENRICHED	PREDOMINANT_CARRIER_STATE	17	15	NONE:11;ch:5;che:1	OTHER:11;CARRIER_STATE:6	23	10	ch:15;NONE:3;che:3;sh:2	CARRIER_STATE:20;OTHER:3	33	8	ch:15;sh:9;che:7;NONE:1;d:1	CARRIER_STATE:31;ENTRY_STATE:1;OTHER:1	52	13	ch:22;sh:19;che:10;q:1	CARRIER_STATE:51;Q_OUTER_STATE:1	1	1	NONE:1	OTHER:1	4	3	ch:2;NONE:1;che:1	CARRIER_STATE:3;OTHER:1	5	NONE;ch;che;d;sh
she	208	2.338439747	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	1	1	d:1	ENTRY_STATE:1	4	3	d:4	DY_RESOLUTION:4	8	6	t:4;d:3;s:1	DY_RESOLUTION:8	20	11	d:14;s:3;t:3	DY_RESOLUTION:20	0	0			0	0			3	d;s;t
odaiin	209	2.216185730	SHARED_NOT_ENRICHED	MIXED_NONCLOSURE_HOST_CANDIDATE	48	26	ch:17;NONE:10;sh:9;q:5;che:4;s:2;t:1	CARRIER_STATE:30;OTHER:10;Q_OUTER_STATE:5;ENTRY_STATE:3	6	4	NONE:2;t:2;ch:1;q:1	ENTRY_STATE:2;OTHER:2;CARRIER_STATE:1;Q_OUTER_STATE:1	29	7	ch:9;q:9;NONE:6;sh:3;che:2	CARRIER_STATE:14;Q_OUTER_STATE:9;OTHER:6	8	4	q:3;NONE:2;sh:2;ch:1	CARRIER_STATE:3;Q_OUTER_STATE:3;OTHER:2	1	1	NONE:1	OTHER:1	5	2	NONE:2;ch:2;q:1	CARRIER_STATE:2;OTHER:2;Q_OUTER_STATE:1	6	NONE;ch;che;q;sh;t
l	210	2.186619468	SHARED_NOT_ENRICHED	MIXED_NONCLOSURE_HOST_CANDIDATE	8	6	NONE:4;ch:3;d:1	OTHER:4;CARRIER_STATE:3;ENTRY_STATE:1	4	3	NONE:3;d:1	DY_RESOLUTION:2;ENTRY_STATE:1;OTHER:1	21	10	ch:10;NONE:8;d:2;sh:1	CARRIER_STATE:11;DY_RESOLUTION:4;OTHER:4;ENTRY_STATE:2	18	8	NONE:9;d:3;sh:3;ch:2;t:1	DY_RESOLUTION:8;CARRIER_STATE:4;ENTRY_STATE:4;OTHER:2	0	0			0	0			4	NONE;ch;d;sh
okeo	216	2.091945441	SHARED_NOT_ENRICHED	PREDOMINANT_CLOSURE_HOST	5	5	ch:3;q:2	DY_RESOLUTION:3;CARRIER_STATE:1;Q_OUTER_STATE:1	3	3	NONE:2;q:1	DY_RESOLUTION:3	7	6	q:6;NONE:1	DY_RESOLUTION:5;Q_OUTER_STATE:2	5	1	q:4;NONE:1	DY_RESOLUTION:5	0	0			11	4	q:9;NONE:2	DY_RESOLUTION:10;Q_OUTER_STATE:1	2	NONE;q
y	220	2.020424326	SHARED_NOT_ENRICHED	PREDOMINANT_CARRIER_STATE	159	40	ch:42;d:42;che:25;sh:23;NONE:13;s:12;t:2	CARRIER_STATE:90;ENTRY_STATE:56;OTHER:11;DY_RESOLUTION:2	34	11	che:10;d:10;NONE:7;ch:3;sh:3;t:1	CARRIER_STATE:16;ENTRY_STATE:11;OTHER:7	93	12	che:70;NONE:11;ch:6;sh:3;d:2;s:1	CARRIER_STATE:79;OTHER:11;ENTRY_STATE:3	104	13	che:50;d:30;ch:10;NONE:6;sh:5;s:3	CARRIER_STATE:65;ENTRY_STATE:33;OTHER:6	8	1	ch:3;NONE:2;d:2;s:1	CARRIER_STATE:3;ENTRY_STATE:2;OTHER:2;DY_RESOLUTION:1	17	6	che:11;ch:2;sh:2;d:1;s:1	CARRIER_STATE:15;ENTRY_STATE:2	7	NONE;ch;che;d;s;sh;t
ain	228	1.828537306	SHARED_NOT_ENRICHED	MIXED_NONCLOSURE_HOST_CANDIDATE	49	28	d:36;ch:7;sh:3;s:2;che:1	ENTRY_STATE:38;CARRIER_STATE:11	12	6	d:8;NONE:4	ENTRY_STATE:8;OTHER:4	65	10	d:24;NONE:16;s:15;ch:4;t:4;sh:2	ENTRY_STATE:43;OTHER:16;CARRIER_STATE:6	52	12	d:23;s:20;NONE:5;t:2;ch:1;sh:1	ENTRY_STATE:45;OTHER:5;CARRIER_STATE:2	0	0			6	4	d:6	ENTRY_STATE:6	6	NONE;ch;d;s;sh;t
al	229	1.822144201	SHARED_NOT_ENRICHED	PREDOMINANT_AL_STATE	43	26	d:26;NONE:7;s:6;ch:2;che:2	AL_STATE:40;DY_RESOLUTION:3	13	11	NONE:7;d:6	AL_STATE:12;DY_RESOLUTION:1	91	12	NONE:54;d:11;ch:10;che:10;s:3;sh:3	AL_STATE:89;DY_RESOLUTION:2	105	13	d:60;NONE:16;s:9;t:8;ch:6;che:4;sh:2	AL_STATE:102;DY_RESOLUTION:3	15	1	d:6;che:3;NONE:2;ch:2;t:2	AL_STATE:14;DY_RESOLUTION:1	16	3	d:12;NONE:4	AL_STATE:15;DY_RESOLUTION:1	6	NONE;ch;che;d;s;sh
ch	232	1.758378171	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	1	1	t:1	ENTRY_STATE:1	6	5	d:3;t:3	DY_RESOLUTION:6	4	4	t:2;NONE:1;sh:1	DY_RESOLUTION:3;OTHER:1	6	4	t:4;d:2	DY_RESOLUTION:6	0	0			0	0			4	NONE;d;sh;t
aiiin	253	1.358951484	SHARED_NOT_ENRICHED	PREDOMINANT_OTHER	5	5	d:4;s:1	ENTRY_STATE:5	3	3	NONE:2;d:1	OTHER:2;ENTRY_STATE:1	8	4	NONE:6;ch:1;d:1	OTHER:6;CARRIER_STATE:1;ENTRY_STATE:1	12	5	NONE:9;d:2;t:1	OTHER:9;ENTRY_STATE:3	0	0			2	2	NONE:1;d:1	ENTRY_STATE:1;OTHER:1	3	NONE;ch;d
d	260	1.209279265	SHARED_NOT_ENRICHED	PREDOMINANT_CARRIER_STATE	4	3	NONE:2;ch:1;sh:1	CARRIER_STATE:2;OTHER:2	3	2	ch:2;che:1	CARRIER_STATE:3	6	5	che:5;sh:1	CARRIER_STATE:6	6	4	che:4;NONE:1;sh:1	CARRIER_STATE:4;DY_RESOLUTION:1;OTHER:1	0	0			0	0			3	ch;che;sh
ol	263	1.036836983	SHARED_NOT_ENRICHED	PREDOMINANT_OL_STATE	270	47	ch:122;sh:67;NONE:31;d:23;che:14;t:8;s:5	OL_STATE:266;DY_RESOLUTION:4	40	12	NONE:23;ch:6;sh:4;che:3;t:3;d:1	OL_STATE:36;DY_RESOLUTION:4	137	12	NONE:47;ch:33;che:25;q:13;sh:11;d:4;s:2;t:2	OL_STATE:137	319	13	NONE:147;q:74;s:26;d:20;ch:18;sh:15;che:14;t:5	OL_STATE:309;DY_RESOLUTION:10	7	1	che:2;sh:2;NONE:1;ch:1;t:1	OL_STATE:5;DY_RESOLUTION:2	54	7	ch:20;NONE:10;che:10;d:6;sh:4;s:3;t:1	OL_STATE:49;DY_RESOLUTION:5	8	NONE;ch;che;d;q;s;sh;t
