page_host	raw_token	surface_sha256	renderer_tuple	events	folios	sections	hands	registers	first	middle	last	preferred_physical_role	role_likelihood_ratio	lofo_gain_bits	lofo_gain_bits_per_event	powered_section_hand_strata	positive_role_strata	classification
air	dair	9c5e1af7dc967027712e902f693ac83418463ac97e702d7f5a8124e26cdaef84	d|NONE|0|NONE|0|0	22	20	4	4	5	6	15	1	LAST	1.723404255319	-2.136103150645	-0.097095597757	4	1	COUNTEREXAMPLE
air	air	9fe430e5274621be518924ed90d2355f39eeb1d4d98fb00ea0022f3a26ba5595	NONE|NONE|0|NONE|0|0	9	9	3	2	4	0	9	0	MIDDLE	1.382749326146	2.203858083412	0.244873120379	4	4	PROVISIONAL
air	sair	ab0d4d26b12cc84bbb5be9d075bf3a3e54aaafcdadbca8e89e0d02a7e3e0f832	s|NONE|0|NONE|0|0	8	8	4	2	3	6	2	0	FIRST	2.216842105263	3.524519713374	0.440564964172	4	4	STABLE_POSITIONAL_ALTERNANT
al	cheal	22bc47e812ced3a11bde6900e04e8355539948c79f1fc871783aae8e8c552317	che|NONE|0|NONE|0|0	14	7	2	2	3	0	13	1	FIRST	1.368663594470	1.449154470496	0.103511033607	4	0	PROVISIONAL
al	chal	28b4640ead7b6bc735189e6b0d386bf098d48346d9d803e73b12f0d68f5cd60d	ch|NONE|0|NONE|0|0	10	8	3	2	3	0	8	2	FIRST	1.844720496894	-0.536638039278	-0.053663803928	4	0	COUNTEREXAMPLE
al	al	6351825030155836664876686dcff61b6a91254a0458537072a1b26ad151b5ce	NONE|NONE|0|NONE|0|0	33	21	5	4	5	0	26	7	MIDDLE	1.071034905083	0.120876834379	0.003662934375	6	2	WEAK
al	dal	c7abd4dc26cd750f72b87bb9da1b462c07b20c77c4fc299ef12377adc904ed8d	d|NONE|0|NONE|0|0	64	37	6	4	5	1	45	18	LAST	1.089422028353	-2.327086660630	-0.036360729072	8	2	COUNTEREXAMPLE
al	sal	ffe2d77f8f34dd3e382569c525bb854853e2b42a98fb47927d9a7b7a881f0b04	s|NONE|0|NONE|0|0	10	8	3	2	2	2	3	5	FIRST	9.223602484472	3.794931838872	0.379493183887	4	2	PROVISIONAL
ar	char	411b0496da5eeced5314a3b5e9532bac97008d09ce9969ab4fa6a52b8c7ef634	ch|NONE|0|NONE|0|0	16	15	3	3	3	1	15	0	MIDDLE	1.219946091644	1.975243129796	0.123452695612	6	5	WEAK
ar	dar	5d9c970dcd517291d13e5010a4d44864daeaa5efdb17919615d3d1a5036ed9e5	d|NONE|0|NONE|0|0	51	30	5	4	5	7	34	10	LAST	1.327272727273	-1.213808349353	-0.023800163713	7	4	COUNTEREXAMPLE
ar	shar	8bb596034beab707c5cf1c371512237d906fbc6e44e89981198209dcfcbb326f	sh|NONE|0|NONE|0|0	13	12	5	3	5	1	11	1	MIDDLE	1.092387768380	-1.062948413748	-0.081765262596	6	4	COUNTEREXAMPLE
ar	tar	90aebae315675cbf04612de4f7d5874850f48e0b8dd82becbeaa47ca93f5ebfb	t|NONE|0|NONE|0|0	11	9	4	3	4	6	5	0	FIRST	4.217777777778	6.227590094954	0.566144554087	4	4	STABLE_POSITIONAL_ALTERNANT
ar	ar	ab5b62081b1d305e78d0daadb2cd23470b3faeb65af7370627798b7219ea2061	NONE|NONE|0|NONE|0|0	63	30	6	5	5	1	54	8	MIDDLE	1.163814538540	5.536460294950	0.087880322142	7	6	WEAK
ar	chear	ae12b88a2547109fe68e60fae8fb440beb394213f2bee52922f179f543effbd0	che|NONE|0|NONE|0|0	8	8	4	3	4	0	7	1	MIDDLE	1.087388282026	-0.029298364525	-0.003662295566	4	2	COUNTEREXAMPLE
ar	sar	bdb8ec313eb09be46a2527fcae4af190c85cbf925d86353ccf517413f1c0a645	s|NONE|0|NONE|0|0	13	11	5	3	4	6	5	2	FIRST	3.636015325670	3.956339315323	0.304333793486	5	5	STABLE_POSITIONAL_ALTERNANT
che	qotchedy	0067023835e2e44781d633c33ea2577cd11bbca82a4999d993b1d798f110351c	q|OT|0|NONE|1|0	9	5	2	3	2	0	9	0	MIDDLE	1.751773049645	2.973517637055	0.330390848562	3	3	STABLE_POSITIONAL_ALTERNANT
che	tchedy	5951fcff1742604a12e4ec78742b94d5284c8f4d73eaaab82087a3be3ce7e031	t|NONE|0|NONE|1|0	15	12	4	3	3	12	3	0	FIRST	1.681448632668	5.621436258133	0.374762417209	4	4	STABLE_POSITIONAL_ALTERNANT
che	dchedy	dc9680696d965a8366d1c9db4d9af3d9eb341abb1f73731b420357c4eb715bf2	d|NONE|0|NONE|1|0	9	6	2	3	2	5	4	0	LAST	1.444444444444	-0.368015772546	-0.040890641394	4	0	COUNTEREXAMPLE
chey	otchey	1e0aed276576b685912638d05dc6d76e4db060a736cd2ed9fb4ae22481c8e2a3	NONE|OT|0|NONE|0|0	8	8	4	3	3	3	5	0	LAST	3.421052631579	-0.303014744311	-0.037876843039	4	0	COUNTEREXAMPLE
chey	qotchey	2c3e3843acd1da6fc35226476761c475e64172879581fed476622a7c6b3a1671	q|OT|0|NONE|0|0	8	8	3	3	3	2	6	0	LAST	3.421052631579	-0.434400432085	-0.054300054011	2	0	COUNTEREXAMPLE
chol	otchol	79b89cdf77c51eb27ab57f6ead6c3a1634526f1ab9aa641991addaad27865256	NONE|OT|0|NONE|0|0	12	12	1	1	1	6	6	0	FIRST	1.405925925926	0.748335993340	0.062361332778	2	2	PROVISIONAL
chol	dchol	e2fba7e1ffee1c6ad664aa02bdfaee6f34360a706f3111787e26b49213455560	d|NONE|0|NONE|0|0	11	10	2	2	2	3	7	1	LAST	1.752000000000	-1.682554674537	-0.152959515867	2	2	COUNTEREXAMPLE
chy	qotchy	10581f3eb7a53d5561448dbe644a8d1189e89717023660a1c7e5c05ee6d13f73	q|OT|0|NONE|0|0	22	15	3	4	3	7	15	0	FIRST	1.567992599445	1.392693587696	0.063304253986	4	2	PROVISIONAL
chy	otchy	36528d4ee8b44a3b506ef44fbf3e8f6f74b4abefe8010e2b27e52a3d7499fce2	NONE|OT|0|NONE|0|0	12	10	3	3	4	1	11	0	MIDDLE	1.159750111557	0.589055493162	0.049087957764	3	3	WEAK
ckhy	checkhy	6a18501aaf77586aaee899a41d82730c1df46ee6e56d51ad6ffb1f992db2f05e	che|NONE|0|NONE|0|0	11	8	3	3	4	0	11	0	FIRST	5.800000000000	0.724715375237	0.065883215931	5	0	PROVISIONAL
ckhy	shckhy	94d555484cbf6fe4863bf9f926d744578c285f8a8f8e08762bb44e957ffdaa5d	sh|NONE|0|NONE|0|0	10	9	4	2	3	0	10	0	FIRST	6.304347826087	0.623316822045	0.062331682205	5	0	PROVISIONAL
ckhy	chckhy	f71159fefc6143eebc5d81163b9912ed8a0224425bc46f69977290ca56942773	ch|NONE|0|NONE|0|0	36	24	6	3	5	0	34	2	FIRST	1.933333333333	-0.438401787312	-0.012177827425	6	0	COUNTEREXAMPLE
ckhy	ckhy	fda71671c022a8e5de3155a7db9e99de2ac86bbbcfae55da8f0867d9677a3c0b	NONE|NONE|0|NONE|0|0	14	13	3	4	4	0	11	3	FIRST	4.677419354839	0.868095984909	0.062006856065	3	0	PROVISIONAL
cthy	chcthy	01e676d4209852ebcd82917e294e51550664cd87f300263f565705f403128098	ch|NONE|0|NONE|0|0	35	27	3	3	5	0	30	5	FIRST	2.753424657534	0.352848580939	0.010081388027	6	0	PROVISIONAL
cthy	checthy	a41687895fa4fc4f1813f0afa76b896ccdbb2a8f0a2b853d7feab880de9d1ec6	che|NONE|0|NONE|0|0	9	6	2	1	2	0	7	2	FIRST	9.571428571429	-0.833270205622	-0.092585578402	3	0	COUNTEREXAMPLE
cthy	cthy	ad386158f5afc89bf254105711ff3e8bfdd23fab4ff281e3fa5be38d2ab9ae9b	NONE|NONE|0|NONE|0|0	41	21	3	3	4	0	28	13	FIRST	2.364705882353	1.701079330604	0.041489739771	3	0	PROVISIONAL
cthy	shcthy	bedaf19408d474233f9d3c2828b9ab5e862ef78b9fefe31c2abbccf208e04ba1	sh|NONE|0|NONE|0|0	14	9	4	4	3	0	13	1	FIRST	6.483870967742	0.467777107958	0.033412650568	4	0	PROVISIONAL
d	chodaiin	08b52c23957eafc8032036c1907e79d97305ff1524cab33e0097e4984aeae5af	ch|O|0|aiin|0|0	20	15	3	2	3	1	15	4	LAST	1.781622234827	-1.401883247789	-0.070094162389	4	4	COUNTEREXAMPLE
d	chedaiin	36dd21c9d9a54725b69f1986da8e20f01eb5b1141813cc57577db44f7e1e1779	che|NONE|0|aiin|0|0	11	7	3	3	3	1	9	1	FIRST	1.551111111111	-1.665651898140	-0.151422899831	4	2	COUNTEREXAMPLE
d	odaiin	9facd6ca6d5a26cd477d3a17da7140a3d9078f0d45e749074c24da337f6718cb	NONE|O|0|aiin|0|0	14	14	5	3	5	0	12	2	LAST	1.372934697089	-0.073548371431	-0.005253455102	6	2	COUNTEREXAMPLE
d	qodaiin	ccf3b8f47e3aceb6fbf02acbb0e0264ab246ed9af0028546bce81d6dd2d4ec2d	q|O|0|aiin|0|0	11	8	5	3	4	0	11	0	MIDDLE	1.142633451957	1.740348209133	0.158213473558	5	5	WEAK
d	shodaiin	e2ea9bf116b5c0d0396da028c44bbbe7dd92f7989ba7a88141179d1111d08633	sh|O|0|aiin|0|0	8	6	3	3	3	2	4	2	FIRST	3.401559454191	0.462590921536	0.057823865192	2	2	STABLE_POSITIONAL_ALTERNANT
d	chdaiin	eb08d69de7993217046c39ee486d035d5ef95abb848fc53e81e289a958170189	ch|NONE|0|aiin|0|0	8	5	2	2	2	0	8	0	MIDDLE	1.111256789661	0.972640339337	0.121580042417	4	4	WEAK
e	tedy	76b3546321c8e9cd1743656ebd0ebe4cc5ad28cbb3315afa37469ae1d38e7076	t|NONE|0|NONE|1|0	10	9	4	2	3	0	10	0	FIRST	1.806324110672	0.628215088722	0.062821508872	4	0	PROVISIONAL
e	shedy	7eaef4ee437d153a7600af770ca658840529a2a3f3b45455bf34c130e638e935	sh|NONE|0|NONE|1|0	117	28	5	3	3	3	107	7	FIRST	1.227080935942	-2.715478219363	-0.023209215550	7	4	COUNTEREXAMPLE
e	otedy	7f61df29d993654fad3ee2f8d828ee51d01596e1eb5d0f94af188993f393c34e	NONE|OT|0|NONE|1|0	39	20	5	3	3	0	36	3	LAST	1.361856108983	-0.004359431626	-0.000111780298	7	4	COUNTEREXAMPLE
e	cheedy	bfd4bc3e110db2308f1a390dd37ecc302a79a634f93f7c796951dd1334d495fc	che|NONE|0|NONE|1|0	17	9	3	3	2	0	16	1	LAST	1.277726001864	-0.498206588017	-0.029306269883	4	2	COUNTEREXAMPLE
e	qotedy	f37338ca237f0cbad514d01fa303bd6067db1e40c849907e667089711e4a5dd3	q|OT|0|NONE|1|0	23	14	4	2	3	1	20	2	FIRST	2.543599257885	-4.841801361060	-0.210513102655	6	2	COUNTEREXAMPLE
ee	oteedy	404db8656dc5162afd76c8b88e79e98eee1f214282b6d8fc12fc46f7b8229ba6	NONE|OT|0|NONE|1|0	29	15	5	2	3	1	26	2	LAST	3.163934426230	-0.691526009911	-0.023845724480	4	4	COUNTEREXAMPLE
ee	sheedy	923524ba3c54e7cdc25922dde85653f32664112c840a25dfb889008e7ab8bcb9	sh|NONE|0|NONE|1|0	28	17	5	4	3	0	28	0	MIDDLE	1.077789752131	3.316438274265	0.118444224081	5	4	WEAK
ee	qoteedy	c75fcbca1ed20bf51a55d549893abe1cd47f1b6d2c20ec3e8599bd68e2b2944e	q|OT|0|NONE|1|0	27	14	3	3	2	6	21	0	FIRST	2.934502923977	3.580834888987	0.132623514407	4	4	STABLE_POSITIONAL_ALTERNANT
eey	sheey	86216ac8b15b5506651f5a2d0e2510c0ae0bb5529bab5e762f72ad641cb9e20f	sh|NONE|0|NONE|0|0	36	25	6	3	5	2	33	1	MIDDLE	1.011655629139	-2.254970179114	-0.062638060531	7	5	COUNTEREXAMPLE
eey	qoteey	989ef50533f0410d3185343f74f9fe238c0905bd5fb283a1e7b48c6043093844	q|OT|0|NONE|0|0	11	7	5	3	3	1	10	0	FIRST	1.578461538462	-0.720962897926	-0.065542081630	5	2	COUNTEREXAMPLE
eey	oteey	f6b2ad9e27afc18d37708184ec4e49aee09cbbda9aee1f5a782bd6ce6ceacfda	NONE|OT|0|NONE|0|0	30	18	4	3	3	2	26	2	LAST	1.938775510204	-1.852807781128	-0.061760259371	7	4	COUNTEREXAMPLE
eo	sheo	827e9c75c15af73c9f8d854dc727b9d119a7c8ff402945bf9ed1e07a9ef6064b	sh|NONE|0|NONE|0|0	11	10	4	3	4	0	11	0	MIDDLE	1.040655737705	1.115177419048	0.101379765368	4	3	WEAK
eo	sheody	f6a6b48cf8cd52bf11c83797f12ec1bd0fdb0cc26068682c79abcb3fa3e026c3	sh|NONE|0|NONE|1|0	8	8	4	4	5	1	6	1	LAST	3.631578947368	-2.041411223924	-0.255176402990	4	2	COUNTEREXAMPLE
ey	cheey	1b5de6afaf902a8c5f0a12a3bcc0d796c22dfe39408cb762b0b00108e0042e7b	che|NONE|0|NONE|0|0	30	20	4	4	5	1	27	2	FIRST	1.571428571429	-2.671893612415	-0.089063120414	6	2	COUNTEREXAMPLE
ey	shey	e79e624caf27bdac55539009e7ec3e21ccab515fb2b913735097a65c7ac11b45	sh|NONE|0|NONE|0|0	48	25	5	4	5	1	43	4	LAST	1.153846153846	-2.438892587508	-0.050810262240	6	4	COUNTEREXAMPLE
k	chkaiin	475054d677ca860dd57ea14f35f1f3c4e7d466b82a556ca2c34b7712075bf8fe	ch|NONE|0|aiin|0|0	9	7	3	3	4	1	6	2	FIRST	4.142857142857	-1.089363101360	-0.121040344596	5	2	COUNTEREXAMPLE
k	kaiin	5934024cb5a43fbc2b3a091ce456c1d63f9d29247bba76f0077b8678c5e1c7d3	NONE|NONE|0|aiin|0|0	9	7	4	3	4	0	9	0	FIRST	1.380952380952	0.720918760319	0.080102084480	5	0	PROVISIONAL
k	kain	73522373e8bb7387a28d494cd4deefc825b2434249ccd4945bbaaef6948c732d	NONE|NONE|0|ain|0|0	10	8	4	2	3	0	9	1	LAST	1.719367588933	-0.860808354701	-0.086080835470	3	1	COUNTEREXAMPLE
k	kar	f429d420086f70a3b72b10bff0446d87dea2a385ad9ea49a135e547414d91cc2	NONE|NONE|0|ar|0|0	12	9	4	3	4	0	12	0	FIRST	1.074074074074	1.091152901884	0.090929408490	5	0	WEAK
l	ldy	59dc2de60f943e7d0a375fb7d32d0d1dafe9a79aa93a0344fab2b267e22e0b4e	NONE|NONE|0|NONE|1|0	10	10	4	3	3	0	3	7	LAST	7.342710997442	12.356465058104	1.235646505810	6	6	STABLE_POSITIONAL_ALTERNANT
l	sol	8db59feb4d217f26c79d6e76eea6ff80398e8b823e376bb783be870a96cab9e7	s|O|0|NONE|0|0	15	11	4	3	4	8	7	0	FIRST	4.441441441441	8.535614264207	0.569040950947	4	2	PROVISIONAL
l	tol	99aec9656043c45c8af715ca225d5e6add340292cb36eab0102e99d17576eef5	t|O|0|NONE|0|0	13	13	5	4	5	8	5	0	FIRST	5.054054054054	10.611296056188	0.816253542784	4	4	STABLE_POSITIONAL_ALTERNANT
l	shol	a43f1ec49771fbe4b634da8e883596643371147c39a52fbadbc769d1ef56000e	sh|O|0|NONE|0|0	54	36	4	4	5	4	49	1	MIDDLE	1.121603864048	2.204673022101	0.040827278187	7	5	WEAK
l	olaiin	b3942c6f325e6e25c8a636cc481a35e55f387e7eb2e4508f6cf00b81b3247340	NONE|O|0|aiin|0|0	12	10	4	4	4	2	10	0	FIRST	1.596596596597	-0.200614993893	-0.016717916158	4	3	COUNTEREXAMPLE
l	dol	d06379416452a88b40fc82f833b0ef456d064e5d3d193f76f9b5207cfde8edcf	d|O|0|NONE|0|0	21	16	4	4	5	7	13	1	FIRST	2.873873873874	2.751482630532	0.131022982406	6	6	STABLE_POSITIONAL_ALTERNANT
l	cheol	de9e6a81aa9af1c0e916502c0846ec1913753e89bb067ff0ecb6b6f1d13c6fd5	che|O|0|NONE|0|0	35	23	5	3	5	2	32	1	MIDDLE	1.119741508109	0.294258380109	0.008407382289	8	7	WEAK
l	ol	e20882595488fa4f5a9ecf837ef7e2d220e9898cac625f1163dba2c1c7ec56f7	NONE|O|0|NONE|0|0	124	41	6	4	5	10	99	15	LAST	1.390531989688	-0.939817704416	-0.007579175036	9	4	COUNTEREXAMPLE
l	qol	f4b1ba29b4de6dbc5a350b62a2d0dea93887bdf45efc603daa194cb9f4f3b3ce	q|O|0|NONE|0|0	44	14	2	3	2	7	32	5	FIRST	1.421146421146	-0.878061964257	-0.019955953733	4	3	COUNTEREXAMPLE
l	chol	f871e1d1127d2f0a8761e8b309d1990e67566ee5966c27fb652e8af314c5b534	ch|O|0|NONE|0|0	107	53	6	4	5	6	98	3	MIDDLE	1.141652082816	6.387698127922	0.059698113345	9	9	WEAK
lk	lkaiin	0992ca8cf329404e39c8ee0d5a0438b32c7e6c7ee72b3a4efe8530dff2b95093	NONE|NONE|0|aiin|0|0	11	6	1	1	1	0	9	2	FIRST	2.520000000000	-0.274221376721	-0.024929216066	2	0	COUNTEREXAMPLE
lk	lkain	e5297e3d7dbba9de552577652cc31afb007e5e2c10bade1540c2fa91adcea789	NONE|NONE|0|ain|0|0	13	7	3	2	2	0	12	1	FIRST	2.172413793103	-0.999415590226	-0.076878122325	3	0	COUNTEREXAMPLE
o	sho	1f3aec7c35c1441c1fd8eb6ad8fd31d2ecd23ecd05588145a09728a051b4d762	sh|NONE|0|NONE|0|0	34	20	2	2	2	17	17	0	FIRST	2.302402651201	11.846465478187	0.348425455241	4	2	PROVISIONAL
o	cheody	1f83fe8c87498392d2e01f789ca7288c530199adb1852d8da588286a9407b10e	che|NONE|0|NONE|1|0	18	15	4	4	5	0	14	4	LAST	1.796380090498	3.225179877961	0.179176659887	6	6	STABLE_POSITIONAL_ALTERNANT
o	ody	2e81e88f103bc4346870c197caaea4994d57557a380805afafd8a2b3e6f9ee88	NONE|NONE|0|NONE|1|0	10	8	2	4	3	0	9	1	MIDDLE	1.256538397468	0.901193609592	0.090119360959	4	3	PROVISIONAL
o	cheo	364a1e7d8d55c6ec6b123c41ff8ca73bbea60fb7c918095b7e37198162d4e62b	che|NONE|0|NONE|0|0	12	10	2	3	2	1	11	0	MIDDLE	1.295728678870	1.848590062152	0.154049171846	4	4	PROVISIONAL
o	qo	3eca4424d164d0e02850eb807799b92ed845003b7609f9e5695099a40aea092f	q|NONE|0|NONE|0|0	10	8	4	3	3	2	8	0	MIDDLE	1.124271197734	0.257805365652	0.025780536565	6	3	WEAK
o	cho	560c48d6c73e72bde5e58cf4acdf867e2ab1600dbc7f805ec5e901c3d367feb4	ch|NONE|0|NONE|0|0	13	11	3	2	3	1	12	0	MIDDLE	1.311269652530	2.034081586804	0.156467814370	3	3	PROVISIONAL
o	shody	5c2dfb8ddef531f841ef23aebbba38882a9648836919b8e18e253f8ce9489bf8	sh|NONE|0|NONE|1|0	18	14	4	4	5	2	10	6	LAST	2.594771241830	1.494645885221	0.083035882512	5	3	PROVISIONAL
o	chody	e9a2ff266b8a91000417e1a352aa5332b61726c8c56122bb9091a524d0d30045	ch|NONE|0|NONE|1|0	21	18	4	4	5	1	16	4	LAST	1.556862745098	0.259209023562	0.012343286836	6	2	PROVISIONAL
ok	okain	28317ecccc52f5ce2fc0ec8e543a9b8062a936ab600ef6171ef1f1a9493ece5d	NONE|NONE|0|ain|0|0	33	17	4	3	4	3	27	3	LAST	1.663385288488	-1.648410048001	-0.049951819636	6	5	COUNTEREXAMPLE
ok	qokain	558248aee9ab376ce7d248aae4504a7d32642eb2fb7d9b2cda2769bdd8b759ba	q|NONE|0|ain|0|0	81	19	4	2	3	9	69	3	FIRST	1.334222222222	-1.133366853881	-0.013992183381	6	4	COUNTEREXAMPLE
ok	okar	84d21dd8047200adb24b7226dd80382f8480150d53370cae5b269a30d9fee133	NONE|NONE|0|ar|0|0	23	14	5	4	5	2	21	0	FIRST	1.182312925170	0.369380870096	0.016060037830	6	4	WEAK
ok	qokaiin	89f205764ebbb2636f96b5adc75ce1113ba97c505ae9e70ca1cf2c3930093f44	q|NONE|0|aiin|0|0	85	27	5	3	5	11	67	7	FIRST	1.540423892100	-0.245442865216	-0.002887563120	7	5	COUNTEREXAMPLE
ok	okal	a3d1a264a4a4d8412b358adf0fb9ca663c67b2c3f0ceddf3910001e20ebbe9c1	NONE|NONE|0|al|0|0	22	20	4	4	5	1	18	3	LAST	2.441991168206	-0.719430345141	-0.032701379325	6	4	COUNTEREXAMPLE
ok	qokar	b8ca74070339937805eadb986b17b6b7ee5b21c5fbed63dc28402f23eb112806	q|NONE|0|ar|0|0	46	22	5	5	4	1	43	2	MIDDLE	1.073982527168	0.236537755229	0.005142125114	9	6	WEAK
ok	qokal	c49a0de75fa331d2aae2fbb828629541f8f04f528e1985bf4e2d58932b181f7e	q|NONE|0|al|0|0	46	19	6	4	4	2	42	2	MIDDLE	1.049293273670	-3.337298426026	-0.072549965783	6	5	COUNTEREXAMPLE
ok	okaiin	d21af556ec4da9bfafe61b1ef1a18af035f870ff788db9f105e2ca540131917c	NONE|NONE|0|aiin|0|0	63	33	5	4	5	4	54	5	LAST	1.398127833845	-1.912394088409	-0.030355461721	7	4	COUNTEREXAMPLE
oke	okedy	384a57856e6d52d8193c37582c1adf8d77a98242206f85fdff0418c920b72f8e	NONE|NONE|0|NONE|1|0	18	15	4	3	3	0	17	1	LAST	3.707692307692	-1.159618298873	-0.064423238826	5	1	COUNTEREXAMPLE
oke	qokedy	3f4c2512d257f51b8773c7a0ad025c6d972f7ded4f331db790828b809634208a	q|NONE|0|NONE|1|0	93	28	5	4	3	5	87	1	FIRST	1.275132275132	-1.770223928971	-0.019034665903	5	3	COUNTEREXAMPLE
okee	qokeedy	3f90e24cba089d8733083a228a181ba105f8e72ef126b24d6f5643e9129f7657	q|NONE|0|NONE|1|0	99	22	5	3	3	10	88	1	FIRST	1.131083711875	-0.129767444464	-0.001310782267	4	2	COUNTEREXAMPLE
okee	okeedy	d592ffc2dd42bdfb4cfb87d28935718c93d3ac7fe39f0058473ab21b1ad3e403	NONE|NONE|0|NONE|1|0	24	16	3	2	3	1	20	3	LAST	3.797385620915	0.599379846248	0.024974160260	4	4	STABLE_POSITIONAL_ALTERNANT
okeey	qokeey	3657c5ddc1bf6597615f72c434bced259b44aa77a59ea8da9183be031ab0a92f	q|NONE|0|NONE|0|0	90	26	5	3	5	9	77	4	LAST	1.262295081967	-1.294281297579	-0.014380903306	7	6	COUNTEREXAMPLE
okeey	okeey	99fa2a55212dbc317dce7bc555c47549f4de733f987ef499aa1977082ea99fa2	NONE|NONE|0|NONE|0|0	22	13	4	3	4	1	21	0	MIDDLE	1.062012188603	0.395349928204	0.017970451282	6	6	WEAK
okey	okey	15d9332756935007ee35d46473a6e093a43ff4e8bee3cbe6b65408d1178d60e2	NONE|NONE|0|NONE|0|0	8	7	3	3	3	0	5	3	LAST	2.779904306220	1.331674440641	0.166459305080	6	6	STABLE_POSITIONAL_ALTERNANT
okey	qokey	f573cfe43c40f1ffa717c1b1adf7e2d7fb4621ce3c4695b800b71ee0fe3dd910	q|NONE|0|NONE|0|0	25	15	4	4	5	3	21	1	FIRST	1.218029350105	-0.112105813512	-0.004484232540	6	4	COUNTEREXAMPLE
okol	okol	2aed9df78446daa8cb7e394606a545d5922e108d06289151c643074b48eb31dd	NONE|NONE|0|NONE|0|0	14	14	4	3	5	1	12	1	LAST	2.870967741935	-2.340042656845	-0.167145904060	6	2	COUNTEREXAMPLE
okol	qokol	ec4ab71920132a5e03a4579c202e1689914bb5e7bd68a34d22fdf85e9929cbd1	q|NONE|0|NONE|0|0	29	23	5	4	5	3	26	0	FIRST	1.134790528233	0.520570398215	0.017950703387	6	4	WEAK
okor	qokor	876c280de4af461d3842ada6c7f8d1c1acb8bd109219c22da6db4c4a7029efd9	q|NONE|0|NONE|0|0	9	7	2	3	2	2	7	0	LAST	2.047619047619	-0.352094013884	-0.039121557098	4	0	COUNTEREXAMPLE
okor	okor	eaabc0a66defdb930777b35c13a8f119557d679c8a2ea48ec338cec3fa266aac	NONE|NONE|0|NONE|0|0	9	9	3	2	3	2	7	0	LAST	2.047619047619	-0.502910229003	-0.055878914334	2	0	COUNTEREXAMPLE
oky	choky	826a00c051ed65a2d9c7e14f2635860e7c1505c3cef82214ad9e59e2da286dda	ch|NONE|0|NONE|0|0	14	12	3	3	4	0	11	3	LAST	1.142717497556	-0.159992285012	-0.011428020358	4	2	COUNTEREXAMPLE
oky	qoky	c8677a1a92ed95abea607311d20c5dddf921f400d08411e15c14364aa5f4ce9b	q|NONE|0|NONE|0|0	39	25	5	4	5	3	29	7	FIRST	1.312008978676	-1.664459831844	-0.042678457227	9	4	COUNTEREXAMPLE
oky	oky	e3a041c293621f940a636fbb2be503ee2daee181d1ab80ee631a78863709bf67	NONE|NONE|0|NONE|0|0	25	23	4	4	4	2	17	6	FIRST	1.432246998285	-1.515317514690	-0.060612700588	7	2	COUNTEREXAMPLE
