rank	context	axis	metadata_value	events	top_next_symbols	gross_context_gain_bits
13	o t	CURRIER	A	957	c:291 o:202 a:163 e:132 y:126 s:30 <SPACE>:11 d:2	339.06681138757995
13	o t	CURRIER	B	2460	e:924 a:875 c:250 o:183 y:156 s:38 <SPACE>:11 d:10 l:9 i:3 k:1	339.06681138757995
13	o t	CURRIER	_	567	e:290 a:112 o:78 c:41 y:29 s:9 <SPACE>:7 g:1	339.06681138757995
14	<SPACE> o	SECTION	A	167	k:54 t:53 e:11 l:11 r:9 c:6 d:5 s:5 p:4 a:3 i:2 <SPACE>:2 f:1 m:1	283.1140223836337
14	<SPACE> o	SECTION	B	1261	l:545 k:275 t:258 r:95 p:37 i:15 f:8 c:7 q:6 d:5 s:4 e:3 <SPACE>:3	283.1140223836337
14	<SPACE> o	SECTION	C	602	t:194 k:133 l:91 r:49 d:31 p:25 <SPACE>:18 c:13 e:13 f:11 s:9 a:5 i:4 m:3 q:2 y:1	283.1140223836337
14	<SPACE> o	SECTION	H	1710	k:544 t:457 l:249 r:149 d:87 p:72 c:36 f:25 e:21 <SPACE>:19 s:15 a:11 i:10 m:6 y:5 n:1 o:1 q:1 x:1	283.1140223836337
14	<SPACE> o	SECTION	P	477	k:193 l:98 r:54 t:54 d:18 i:12 p:12 e:10 c:9 a:4 s:4 f:3 m:2 <SPACE>:2 o:1 q:1	283.1140223836337
14	<SPACE> o	SECTION	S	2494	t:824 k:786 l:375 p:153 r:129 d:55 e:34 c:33 a:23 i:19 f:17 s:13 <SPACE>:10 m:7 q:6 y:4 o:3 x:2 g:1	283.1140223836337
14	<SPACE> o	SECTION	T	478	t:130 l:117 k:111 r:54 p:24 d:15 c:6 f:5 s:5 e:4 <SPACE>:2 a:1 i:1 m:1 x:1 y:1	283.1140223836337
14	<SPACE> o	SECTION	Z	370	t:197 k:108 l:21 p:11 r:8 c:6 <SPACE>:4 e:3 a:2 d:2 f:2 i:2 h:1 q:1 s:1 y:1	283.1140223836337
15	n <SPACE>	HAND	1	1369	c:471 o:231 d:224 s:193 q:122 y:76 k:15 a:12 t:9 e:3 l:3 p:3 r:3 f:2 g:1 m:1	237.01043640110038
15	n <SPACE>	HAND	2	1513	o:553 c:373 s:274 d:90 y:89 q:80 a:35 k:4 l:4 r:4 t:4 p:2 g:1	237.01043640110038
15	n <SPACE>	HAND	3	2141	o:707 c:620 s:257 a:185 q:173 y:79 d:51 l:34 t:12 k:9 p:6 f:3 e:2 r:2 g:1	237.01043640110038
15	n <SPACE>	HAND	4	265	o:125 c:44 s:27 a:21 y:21 d:18 q:5 e:1 k:1 t:1 x:1	237.01043640110038
15	n <SPACE>	HAND	5	57	o:22 s:14 c:8 d:6 y:5 q:1 t:1	237.01043640110038
15	n <SPACE>	HAND	@	59	c:31 q:11 o:6 s:6 d:4 a:1	237.01043640110038
16	t e	CURRIER	A	206	o:93 e:74 y:27 a:7 c:4 <SPACE>:1	195.1818646238953
16	t e	CURRIER	B	1289	e:569 d:440 o:140 y:88 c:20 a:18 s:11 g:1 h:1 <SPACE>:1	195.1818646238953
16	t e	CURRIER	_	378	e:160 o:138 y:45 d:12 a:9 c:8 s:5 g:1	195.1818646238953
17	q o	SECTION	A	34	k:20 e:4 c:3 t:3 i:2 f:1 p:1	193.3841018350504
17	q o	SECTION	B	1535	k:1026 t:252 l:180 p:21 e:11 r:11 c:9 d:8 <SPACE>:6 f:4 a:2 y:2 i:1 q:1 s:1	193.3841018350504
17	q o	SECTION	C	121	k:52 t:36 e:10 d:8 p:5 c:4 s:2 a:1 l:1 o:1 r:1	193.3841018350504
17	q o	SECTION	H	1052	k:501 t:314 d:56 c:48 p:30 e:17 f:17 a:15 <SPACE>:12 l:10 o:8 r:8 y:8 s:7 i:1	193.3841018350504
17	q o	SECTION	P	284	k:176 c:29 t:24 e:21 o:12 a:6 d:6 l:4 p:3 f:1 y:1 <SPACE>:1	193.3841018350504
17	q o	SECTION	S	1943	k:1170 t:431 p:84 e:60 d:41 l:41 c:37 a:25 f:12 r:11 i:8 <SPACE>:8 o:6 s:6 y:3	193.3841018350504
17	q o	SECTION	T	326	k:180 t:64 p:27 l:19 c:7 d:7 <SPACE>:5 a:4 e:4 o:4 f:3 r:2	193.3841018350504
17	q o	SECTION	Z	16	k:8 t:4 c:1 o:1 p:1 r:1	193.3841018350504
18	a i	CURRIER	A	1833	i:1408 n:257 r:121 m:17 s:7 k:5 t:5 l:4 d:3 p:3 c:2 <SPACE>:1	120.45644244362484
18	a i	CURRIER	B	4561	i:2636 n:1415 r:401 m:28 l:24 s:12 k:11 t:11 c:5 f:5 p:4 d:3 y:2 <SPACE>:2 o:1 x:1	120.45644244362484
18	a i	CURRIER	_	403	i:263 r:78 n:38 m:8 s:7 k:4 l:2 p:2 t:1	120.45644244362484
19	a r	KIND	C	310	<SPACE>:261 a:21 o:8 y:8 c:4 d:3 k:2 e:1 i:1 l:1	114.91276520226529
19	a r	KIND	L	163	a:51 y:41 <SPACE>:27 o:23 c:8 d:8 e:3 s:2	114.91276520226529
19	a r	KIND	P	2652	<SPACE>:2175 a:201 y:106 o:100 c:20 d:17 s:9 i:7 e:6 x:3 g:2 l:2 p:2 k:1 t:1	114.91276520226529
19	a r	KIND	R	32	<SPACE>:15 y:9 a:5 o:3	114.91276520226529
20	a l	KIND	C	295	<SPACE>:181 y:40 a:27 o:15 d:10 s:9 c:7 e:2 k:1 m:1 t:1 x:1	114.4833506767327
20	a l	KIND	L	147	y:43 a:27 d:27 s:14 o:13 <SPACE>:6 c:5 g:4 e:2 f:2 k:2 l:1 r:1	114.4833506767327
20	a l	KIND	P	2387	<SPACE>:1556 y:196 o:139 d:130 a:101 k:87 c:83 s:69 t:5 g:4 r:4 e:3 f:3 l:3 p:2 m:1 x:1	114.4833506767327
20	a l	KIND	R	34	<SPACE>:11 y:9 a:5 d:4 e:2 o:2 s:1	114.4833506767327
21	^ o	GRAMMAR_SCOPE	CONFIRMED_PROSE	548	k:131 l:106 t:99 r:43 c:40 a:27 d:25 s:24 e:21 y:10 <SPACE>:6 p:4 q:4 i:3 o:3 f:1 m:1	104.63849151220256
21	^ o	GRAMMAR_SCOPE	DIAGNOSTIC_NONPROSE	745	t:260 k:233 p:63 l:38 r:33 e:23 c:21 f:21 d:17 s:14 <SPACE>:7 a:6 i:4 o:3 y:2	104.63849151220256
22	t h	CURRIER	A	586	o:213 y:188 e:109 a:52 <SPACE>:7 h:4 s:4 c:3 d:3 r:2 l:1	71.63314819238894
22	t h	CURRIER	B	343	y:180 e:88 d:27 o:17 a:16 h:11 c:2 i:1 t:1	71.63314819238894
22	t h	CURRIER	_	45	y:19 e:10 h:6 o:6 a:1 c:1 i:1 s:1	71.63314819238894
23	<SPACE> k	CURRIER	A	345	c:113 e:89 o:74 a:34 s:25 y:10	64.34265078890712
23	<SPACE> k	CURRIER	B	612	e:236 a:213 c:80 o:40 s:28 y:11 l:2 i:1 <SPACE>:1	64.34265078890712
23	<SPACE> k	CURRIER	_	45	e:17 <SPACE>:10 a:6 o:6 c:5 s:1	64.34265078890712
24	o r	KIND	C	120	<SPACE>:92 a:14 c:4 o:3 y:3 k:2 s:2	48.051849227583716
24	o r	KIND	L	86	a:42 o:14 y:13 <SPACE>:8 c:4 d:2 k:1 l:1 s:1	48.051849227583716
24	o r	KIND	P	2459	<SPACE>:1980 a:196 o:93 y:80 c:51 d:16 s:16 e:8 k:6 l:6 g:2 i:2 f:1 p:1 q:1	48.051849227583716
24	o r	KIND	R	12	<SPACE>:7 a:3 k:1 o:1	48.051849227583716
25	^ y	GRAMMAR_SCOPE	CONFIRMED_PROSE	585	c:193 k:122 t:104 s:84 <SPACE>:27 d:21 o:17 a:9 p:3 e:2 h:1 l:1 r:1	46.26735753445928
25	^ y	GRAMMAR_SCOPE	DIAGNOSTIC_NONPROSE	120	k:48 t:41 p:9 d:6 c:5 f:4 s:4 o:2 e:1	46.26735753445928
26	<SPACE> s	CURRIER	A	1268	h:891 <SPACE>:126 a:99 o:81 y:33 c:24 k:6 e:4 f:1 i:1 s:1 t:1	46.24877879176893
26	<SPACE> s	CURRIER	B	2254	h:1932 a:177 o:53 <SPACE>:45 c:15 y:13 k:7 s:4 e:2 l:2 p:2 d:1 t:1	46.24877879176893
26	<SPACE> s	CURRIER	_	281	h:183 a:48 <SPACE>:21 o:20 e:5 y:2 c:1 s:1	46.24877879176893
27	e o	CURRIER	A	1276	l:413 d:279 r:254 <SPACE>:121 s:71 k:33 c:31 m:25 t:15 y:10 e:8 a:5 g:3 i:3 p:3 n:1 o:1	41.95198744535992
27	e o	CURRIER	B	1640	l:491 d:482 <SPACE>:222 r:170 s:91 k:60 c:32 a:24 t:23 y:15 e:9 p:8 m:6 o:6 i:1	41.95198744535992
27	e o	CURRIER	_	576	d:190 l:111 s:85 <SPACE>:54 r:49 k:27 t:18 e:14 a:10 c:5 y:5 m:2 o:2 p:2 f:1 h:1	41.95198744535992
28	k a	GRAMMAR_SCOPE	CONFIRMED_PROSE	2862	i:1580 l:569 r:546 m:113 n:24 s:10 d:4 o:4 e:3 y:3 k:2 <SPACE>:2 c:1 g:1	36.60675978979998
28	k a	GRAMMAR_SCOPE	DIAGNOSTIC_NONPROSE	241	l:104 r:65 i:50 m:9 d:4 n:3 s:2 c:1 e:1 o:1 y:1	36.60675978979998
29	o <SPACE>	CURRIER	A	503	c:110 d:72 s:56 k:50 o:44 q:44 r:41 l:25 y:19 t:18 a:10 p:5 f:3 e:2 g:1 i:1 m:1 v:1	36.117082782691796
29	o <SPACE>	CURRIER	B	391	l:107 o:46 d:42 c:39 q:37 r:33 a:25 k:24 s:14 t:8 p:6 f:5 y:5	36.117082782691796
29	o <SPACE>	CURRIER	_	130	o:24 d:21 c:16 s:12 a:9 l:9 q:9 y:9 k:7 r:4 e:3 t:2 v:2 f:1 g:1 p:1	36.117082782691796
30	<SPACE> l	SECTION	A	2	s:1 <SPACE>:1	35.79789000450273
30	<SPACE> l	SECTION	B	305	c:104 s:55 o:54 k:35 d:17 a:9 t:9 y:8 <SPACE>:5 r:3 f:2 p:2 g:1 l:1	35.79789000450273
30	<SPACE> l	SECTION	C	25	<SPACE>:12 k:3 a:2 c:2 o:2 d:1 g:1 p:1 r:1	35.79789000450273
30	<SPACE> l	SECTION	H	79	o:21 k:11 c:10 d:9 s:8 <SPACE>:8 a:4 y:3 r:2 f:1 p:1 t:1	35.79789000450273
30	<SPACE> l	SECTION	P	17	c:5 o:5 k:2 d:1 s:1 t:1 y:1 <SPACE>:1	35.79789000450273
30	<SPACE> l	SECTION	S	759	k:346 c:158 o:81 s:48 a:25 <SPACE>:23 t:19 d:12 p:12 l:10 r:10 e:6 f:5 g:1 m:1 x:1 y:1	35.79789000450273
30	<SPACE> l	SECTION	T	90	k:32 c:19 o:11 s:9 d:8 t:3 f:2 <SPACE>:2 a:1 l:1 p:1 r:1	35.79789000450273
30	<SPACE> l	SECTION	Z	4	a:1 e:1 k:1 s:1	35.79789000450273
31	s <SPACE>	CURRIER	A	428	c:126 o:102 s:65 a:54 y:35 d:23 q:12 e:2 g:2 p:2 i:1 k:1 l:1 r:1 t:1	35.2854751360569
31	s <SPACE>	CURRIER	B	470	a:179 o:128 c:52 s:41 q:23 y:16 l:14 k:6 d:4 t:2 e:1 f:1 p:1 r:1 x:1	35.2854751360569
31	s <SPACE>	CURRIER	_	232	o:80 a:69 c:31 y:12 s:11 d:9 e:5 q:5 t:4 l:2 h:1 k:1 r:1 v:1	35.2854751360569
32	k h	CURRIER	A	355	y:129 e:114 o:82 a:15 h:9 s:3 <SPACE>:3	33.57531986788854
32	k h	CURRIER	B	565	y:337 e:139 d:36 a:19 o:15 h:13 c:4 s:1 <SPACE>:1	33.57531986788854
32	k h	CURRIER	_	42	y:16 e:10 h:7 o:6 a:1 d:1 <SPACE>:1	33.57531986788854
33	d a	CURRIER	A	1540	i:986 l:223 r:204 m:79 n:27 <SPACE>:8 k:3 d:2 o:2 s:2 a:1 c:1 e:1 y:1	19.350585192463768
33	d a	CURRIER	B	2301	i:1111 r:578 l:452 m:116 <SPACE>:11 s:10 n:7 d:6 k:3 a:2 c:2 g:2 y:1	19.350585192463768
33	d a	CURRIER	_	370	i:132 l:114 r:93 m:17 s:5 d:3 n:2 <SPACE>:2 k:1 t:1	19.350585192463768
34	h o	KIND	C	171	l:38 t:31 k:27 <SPACE>:24 d:15 r:11 e:7 p:5 c:4 i:3 s:3 a:1 n:1 y:1	18.089471848275934
34	h o	KIND	L	75	l:23 r:14 d:12 s:11 c:7 k:3 e:2 f:1 p:1 <SPACE>:1	18.089471848275934
34	h o	KIND	P	3806	l:1192 r:765 d:549 <SPACE>:342 k:274 t:186 c:150 s:103 m:44 a:38 i:36 y:33 e:27 p:26 f:19 o:12 n:5 g:3 q:1 x:1	18.089471848275934
34	h o	KIND	R	36	d:10 k:6 c:4 l:3 r:3 t:3 y:3 <SPACE>:2 e:1 g:1	18.089471848275934
35	e d	GRAMMAR_SCOPE	CONFIRMED_PROSE	4830	y:4064 a:482 <SPACE>:173 o:46 e:22 c:13 s:9 l:7 k:6 d:5 r:2 p:1	17.38696636291479
35	e d	GRAMMAR_SCOPE	DIAGNOSTIC_NONPROSE	283	y:168 a:80 <SPACE>:14 e:7 o:6 c:3 l:2 g:1 r:1 s:1	17.38696636291479
36	l s	CURRIER	A	101	<SPACE>:43 h:35 a:10 y:8 e:2 c:1 o:1 s:1	11.357641496011638
36	l s	CURRIER	B	313	h:270 <SPACE>:24 a:15 y:3 o:1	11.357641496011638
36	l s	CURRIER	_	33	h:14 <SPACE>:10 a:5 y:2 c:1 e:1	11.357641496011638
37	d <SPACE>	KIND	C	40	o:18 r:7 s:5 c:4 a:3 e:1 t:1 y:1	11.02415948057046
37	d <SPACE>	KIND	L	1	d:1	11.02415948057046
37	d <SPACE>	KIND	P	443	q:98 o:89 c:66 s:48 a:37 y:33 l:28 d:27 r:5 k:4 i:3 f:2 n:1 p:1 t:1	11.02415948057046
37	d <SPACE>	KIND	R	1	o:1	11.02415948057046
38	<SPACE> r	CURRIER	A	72	<SPACE>:36 c:12 o:11 a:10 y:2 s:1	9.852458459976106
38	<SPACE> r	CURRIER	B	358	a:173 o:71 c:40 <SPACE>:38 s:17 y:7 k:4 l:3 t:2 e:1 f:1 p:1	9.852458459976106
38	<SPACE> r	CURRIER	_	28	<SPACE>:19 a:5 k:2 c:1 o:1	9.852458459976106
39	k <SPACE>	KIND	C	14	k:3 a:2 p:2 e:1 f:1 m:1 r:1 s:1 x:1 y:1	9.284234342635727
39	k <SPACE>	KIND	P	54	c:21 o:11 s:7 q:4 a:3 y:3 l:2 d:1 r:1 x:1	9.284234342635727
39	k <SPACE>	KIND	R	3	o:2 c:1	9.284234342635727
40	o o	CURRIER	A	37	r:18 i:6 l:5 c:2 s:2 <SPACE>:2 a:1 k:1	6.004571586797169
40	o o	CURRIER	B	33	l:11 r:11 d:3 k:3 e:2 c:1 p:1 <SPACE>:1	6.004571586797169
40	o o	CURRIER	_	14	o:7 l:3 a:1 e:1 r:1 t:1	6.004571586797169
