channel_a_axes	architecture_score	is_preexisting_object_partition	rank
WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	-4.30820165698	0	38
STAR_OR_SKY;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-9.46386209474	0	39
FIGURE;PLANT;REL_PROXIMITY;REL_ENCLOSURE	-14.3344512873	0	40
STAR_OR_SKY;FIGURE;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	-16.0746631	0	41
PLANT;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-20.834004529	0	42
WATER_OR_APPARATUS;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	-21.3915482776	0	43
STAR_OR_SKY;PLANT;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	-22.4938425888	0	44
STAR_OR_SKY;WATER_OR_APPARATUS;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT	-26.5472087153	0	45
FIGURE;PLANT;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	-27.4448055343	0	46
STAR_OR_SKY;FIGURE;PLANT;REL_EXPLICIT_ATTACHMENT	-32.6004659721	0	47
FIGURE;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	-34.7173160443	0	48
PLANT;WATER_OR_APPARATUS;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT	-37.9173511496	0	49
STAR_OR_SKY;PLANT;REL_PROXIMITY;REL_ARRAY_OR_GROUP	-39.5771892094	0	50
STAR_OR_SKY;FIGURE;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-39.872976482	0	51
WATER_OR_APPARATUS;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-45.1898616596	0	52
STAR_OR_SKY;REL_PROXIMITY;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	-46.8496997193	0	53
FIGURE;PLANT;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-51.2431189163	0	54
FIGURE;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	-51.8006626649	0	55
STAR_OR_SKY;FIGURE;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT	-56.9563231026	0	56
PLANT;REL_PROXIMITY;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	-58.2198421536	0	57
STAR_OR_SKY;PLANT;REL_PROXIMITY;REL_ENCLOSURE	-63.3755025914	0	58
FIGURE;PLANT;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT	-68.3264655369	0	59
FIGURE;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-75.5989760469	0	60
STAR_OR_SKY;PLANT;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	-76.4858568384	0	61
STAR_OR_SKY;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	-83.7583673484	0	62
PLANT;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	-95.1285097827	0	63
STAR_OR_SKY;PLANT;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-100.28417022	0	64
STAR_OR_SKY;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	-100.841713969	0	65
PLANT;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	-112.211856403	0	66
STAR_OR_SKY;PLANT;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT	-117.367516841	0	67
REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	-119.484366913	0	68
STAR_OR_SKY;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-124.640027351	0	69
PLANT;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	-136.010169785	0	70
