edition	array_id	page	physical_folio	locus	slot_index	slot_count	transferred_prefix	renderer_signature	strict_residual	raw_family	gdt252_pair
ZL3b	SCARR022|f71r|S1	f71r	f71	f71r.11	10	10	AQAB	A1 Q2 A3 B2	ABA	AQABABA	0
ZL3b	SCARR024|f71v|S1	f71v	f71	f71v.4	3	10	AQAB	A1 Q1 A1 B2	AC	AQABAC	0
ZL3b	SCARR024|f71v|S1	f71v	f71	f71v.7	6	10	AQA	A1 Q2 A3	G	AQAG	0
ZL3b	SCARR024|f71v|S1	f71v	f71	f71v.8	7	10	AQAC	A1 Q1 A3 C1	AG	AQACAG	0
ZL3b	SCARR024|f71v|S1	f71v	f71	f71v.9	8	10	AQAC	A1 Q2 A3 C1	|AC|ABA	AQAC|AC|ABA	0
ZL3b	SCARR024|f71v|S1	f71v	f71	f71v.10	9	10	APAB	A1 P1 A3 B2	AC|AB|BAE	APABAC|AB|BAE	0
ZL3b	SCARR024|f71v|S1	f71v	f71	f71v.11	10	10	APAB	A1 P1 A3 B2	AC|AC	APABAC|AC	0
ZL3b	SCARR026|f72r1|S1	f72r1	f72	f72r1.5	4	10	AQAB	A1 Q1 A3 B2	AB	AQABAB	1
ZL3b	SCARR026|f72r1|S1	f72r1	f72	f72r1.6	5	10	AQAB	A2 Q2 A3 B2	LBA	AQABLBA	0
ZL3b	SCARR026|f72r1|S1	f72r1	f72	f72r1.8	7	10	AQAC	A1 Q2 A3 C1	ABBA	AQACABBA	0
ZL3b	SCARR026|f72r1|S1	f72r1	f72	f72r1.9	8	10	AQA	A1 Q2 A3	G|AQAF	AQAG|AQAF	0
ZL3b	SCARR026|f72r1|S1	f72r1	f72	f72r1.10	9	10	AQAB	A1 Q2 A3 B2	JP|AC|AFAB	AQABJP|AC|AFAB	0
ZL3b	SCARR039|f72v1|S2	f72v1	f72	f72v1.24	2	10	AQAB	A1 Q1 A2 B1	A	AQABA	0
ZL3b	SCARR039|f72v1|S2	f72v1	f72	f72v1.30	8	10	AQAB	A1 Q1 A3 B2	AF	AQABAF	0
ZL3b	SCARR042|f73r|S2	f73r	f73	f73r.23	2	10	AQAC	A1 Q1 A3 C1	A	AQACA	0
ZL3b	SCARR042|f73r|S2	f73r	f73	f73r.26	5	10	AQA	A1 Q1 A2	EMPTY	AQA	0
ZL3b	SCARR042|f73r|S2	f73r	f73	f73r.28	7	10	AQAB	A1 Q2 A3 B2	EMPTY	AQAB	0
ZL3b	SCARR045|f73v|S2	f73v	f73	f73v.25	2	10	AQA	A1 Q1 A2	EMPTY	AQA	0
ZL3b	SCARR045|f73v|S2	f73v	f73	f73v.27	4	10	AQAB	A1 Q1 A3 B2	EMPTY	AQAB	0
ZL3b	SCARR045|f73v|S2	f73v	f73	f73v.32	9	10	APAB	A2 P1 A3 B2	EMPTY	APAB	0
IT2a	SCARR019|f70v2|S1	f70v2	f70	f70v2.23	1	10	AQAC	A1 Q2 A3 C1	AB	AQACAB	0
IT2a	SCARR019|f70v2|S1	f70v2	f70	f70v2.24	2	10	AQAB	A1 Q2 A3 B2	AC	AQABAC	0
IT2a	SCARR019|f70v2|S1	f70v2	f70	f70v2.25	3	10	AQAB	A1 Q2 A3 B2	AB	AQABAB	0
IT2a	SCARR019|f70v2|S1	f70v2	f70	f70v2.27	5	10	AQAC	A1 Q1 A3 C1	AB	AQACAB	0
IT2a	SCARR019|f70v2|S1	f70v2	f70	f70v2.30	8	10	AQAB	A1 Q1 A3 B2	BAB	AQABBAB	0
IT2a	SCARR019|f70v2|S1	f70v2	f70	f70v2.31	9	10	AQAB	A2 Q1 A1 B2	AG	AQABAG	0
IT2a	SCARR020|f70v1|S2	f70v1	f70	f70v1.2	1	10	AQAB	A1 Q2 A3 B2	KA|QAC|AB|BA	AQABKA|QAC|AB|BA	0
IT2a	SCARR020|f70v1|S2	f70v1	f70	f70v1.3	2	10	APK	A1 P1 K1	JA|CAB	APKJA|CAB	0
IT2a	SCARR020|f70v1|S2	f70v1	f70	f70v1.4	3	10	AQA	A1 Q2 A1	QAEBAE	AQAQAEBAE	0
IT2a	SCARR020|f70v1|S2	f70v1	f70	f70v1.5	4	10	AQAB	A1 Q1 A3 B2	AB	AQABAB	1
IT2a	SCARR020|f70v1|S2	f70v1	f70	f70v1.6	5	10	AQAB	A1 Q2 A2 B2	A	AQABA	0
IT2a	SCARR020|f70v1|S2	f70v1	f70	f70v1.9	8	10	AQAB	A1 Q1 A1 B2	LA	AQABLA	0
IT2a	SCARR020|f70v1|S2	f70v1	f70	f70v1.11	10	10	AQAB	A1 Q2 A1 B2	|APLACAB	AQAB|APLACAB	0
IT2a	SCARR022|f71r|S1	f71r	f71	f71r.7	6	10	AQAB	A1 Q2 A3 B2	JQA	AQABJQA	0
IT2a	SCARR022|f71r|S1	f71r	f71	f71r.8	7	10	AQAB	A1 Q2 A3 B2	CAC	AQABCAC	0
IT2a	SCARR022|f71r|S1	f71r	f71	f71r.11	10	10	AQAB	A1 Q2 A3 B2	ABA	AQABABA	0
IT2a	SCARR024|f71v|S1	f71v	f71	f71v.4	3	10	AQAB	A1 Q1 A1 B2	AC	AQABAC	0
IT2a	SCARR024|f71v|S1	f71v	f71	f71v.7	6	10	AQA	A1 Q2 A3	G	AQAG	0
IT2a	SCARR024|f71v|S1	f71v	f71	f71v.8	7	10	AQAC	A1 Q1 A3 C1	AG	AQACAG	0
IT2a	SCARR024|f71v|S1	f71v	f71	f71v.9	8	10	AQAC	A1 Q1 A3 C1	|AC|ABA	AQAC|AC|ABA	0
IT2a	SCARR024|f71v|S1	f71v	f71	f71v.10	9	10	APAB	A1 P1 A3 B2	AC|AB|BAE	APABAC|AB|BAE	0
IT2a	SCARR024|f71v|S1	f71v	f71	f71v.11	10	10	APAB	A1 P1 A3 B2	AC|AC	APABAC|AC	0
IT2a	SCARR026|f72r1|S1	f72r1	f72	f72r1.5	4	10	AQAB	A1 Q1 A3 B2	AB	AQABAB	1
IT2a	SCARR026|f72r1|S1	f72r1	f72	f72r1.6	5	10	AQAB	A2 Q2 A3 B2	LBA	AQABLBA	0
IT2a	SCARR026|f72r1|S1	f72r1	f72	f72r1.8	7	10	AQAC	A1 Q2 A3 C1	ABBA	AQACABBA	0
IT2a	SCARR026|f72r1|S1	f72r1	f72	f72r1.9	8	10	AQA	A1 Q2 A3	G|AQAF	AQAG|AQAF	0
IT2a	SCARR026|f72r1|S1	f72r1	f72	f72r1.10	9	10	AQAB	A1 Q2 A3 B2	JP|AC|AFAB	AQABJP|AC|AFAB	0
IT2a	SCARR039|f72v1|S2	f72v1	f72	f72v1.24	2	10	AQAB	A1 Q1 A3 B1	A	AQABA	0
IT2a	SCARR039|f72v1|S2	f72v1	f72	f72v1.30	8	10	AQAB	A1 Q1 A3 B2	AF	AQABAF	0
IT2a	SCARR042|f73r|S2	f73r	f73	f73r.23	2	10	AQAC	A1 Q1 A3 C1	A	AQACA	0
IT2a	SCARR042|f73r|S2	f73r	f73	f73r.26	5	10	AQA	A1 Q1 A2	EMPTY	AQA	0
IT2a	SCARR042|f73r|S2	f73r	f73	f73r.28	7	10	AQAB	A1 Q2 A3 B2	EMPTY	AQAB	0
IT2a	SCARR045|f73v|S2	f73v	f73	f73v.25	2	10	AQA	A1 Q1 A2	EMPTY	AQA	0
IT2a	SCARR045|f73v|S2	f73v	f73	f73v.27	4	10	AQAB	A1 Q1 A3 B2	EMPTY	AQAB	0
IT2a	SCARR045|f73v|S2	f73v	f73	f73v.32	9	10	APAB	A2 P1 A3 B2	EMPTY	APAB	0
RF1b	SCARR019|f70v2|S1	f70v2	f70	f70v2.23	1	10	AQAC	A1 Q2 A3 C1	AB	AQACAB	0
RF1b	SCARR019|f70v2|S1	f70v2	f70	f70v2.24	2	10	AQAB	A1 Q2 A3 B2	AC	AQABAC	0
RF1b	SCARR019|f70v2|S1	f70v2	f70	f70v2.25	3	10	AQAB	A1 Q2 A3 B2	AB	AQABAB	0
RF1b	SCARR019|f70v2|S1	f70v2	f70	f70v2.27	5	10	AQAC	A1 Q1 A3 C1	AB	AQACAB	0
RF1b	SCARR019|f70v2|S1	f70v2	f70	f70v2.30	8	10	AQAB	A1 Q1 A3 B2	BAB	AQABBAB	0
RF1b	SCARR019|f70v2|S1	f70v2	f70	f70v2.31	9	10	AQAB	A2 Q1 A1 B2	AG	AQABAG	0
RF1b	SCARR020|f70v1|S2	f70v1	f70	f70v1.2	1	10	AQAB	A1 Q2 A3 B2	KA|QAC|AB|BA	AQABKA|QAC|AB|BA	0
RF1b	SCARR020|f70v1|S2	f70v1	f70	f70v1.3	2	10	APK	A1 P1 K1	JA|CAB	APKJA|CAB	0
RF1b	SCARR020|f70v1|S2	f70v1	f70	f70v1.4	3	10	AQA	A1 Q2 A3	QAEBAE	AQAQAEBAE	0
RF1b	SCARR020|f70v1|S2	f70v1	f70	f70v1.5	4	10	AQAB	A1 Q1 A3 B2	AB	AQABAB	1
RF1b	SCARR020|f70v1|S2	f70v1	f70	f70v1.6	5	10	AQAB	A1 Q2 A3 B2	A	AQABA	0
RF1b	SCARR020|f70v1|S2	f70v1	f70	f70v1.9	8	10	AQAB	A1 Q1 A1 B2	LA	AQABLA	0
RF1b	SCARR020|f70v1|S2	f70v1	f70	f70v1.11	10	10	AQAB	A1 Q2 Aa B2	|APLACAB	AQAB|APLACAB	0
RF1b	SCARR022|f71r|S1	f71r	f71	f71r.7	6	10	AQAB	A1 Q2 A3 B2	JQA	AQABJQA	0
RF1b	SCARR022|f71r|S1	f71r	f71	f71r.8	7	10	AQAB	A1 Q2 A3 B2	CAC	AQABCAC	0
RF1b	SCARR022|f71r|S1	f71r	f71	f71r.11	10	10	AQAB	A1 Q2 A3 B2	ABA	AQABABA	0
RF1b	SCARR024|f71v|S1	f71v	f71	f71v.4	3	10	AQAB	A1 Q1 A1 B2	AC	AQABAC	0
RF1b	SCARR024|f71v|S1	f71v	f71	f71v.7	6	10	AQA	A1 Q2 A3	G	AQAG	0
RF1b	SCARR024|f71v|S1	f71v	f71	f71v.8	7	10	AQAC	A1 Q1 A3 C1	AG	AQACAG	0
RF1b	SCARR024|f71v|S1	f71v	f71	f71v.9	8	10	AQAC	A1 Q2 A3 C1	|AC|ABA	AQAC|AC|ABA	0
RF1b	SCARR024|f71v|S1	f71v	f71	f71v.10	9	10	APAB	A1 P1 A3 B2	AC|AB|BAE	APABAC|AB|BAE	0
RF1b	SCARR024|f71v|S1	f71v	f71	f71v.11	10	10	APAB	A1 P1 A3 B2	AC|AC	APABAC|AC	0
RF1b	SCARR026|f72r1|S1	f72r1	f72	f72r1.5	4	10	AQAB	A1 Qa A3 B2	AB	AQABAB	1
RF1b	SCARR026|f72r1|S1	f72r1	f72	f72r1.6	5	10	AQAB	A2 Q2 A3 B2	LBA	AQABLBA	0
RF1b	SCARR026|f72r1|S1	f72r1	f72	f72r1.8	7	10	AQAC	A1 Q2 A3 C1	ABBA	AQACABBA	0
RF1b	SCARR026|f72r1|S1	f72r1	f72	f72r1.9	8	10	AQA	A1 Q2 A3	G|AQAF	AQAG|AQAF	0
RF1b	SCARR026|f72r1|S1	f72r1	f72	f72r1.10	9	10	AQAB	A1 Q2 A3 B2	JP|AC|AFAB	AQABJP|AC|AFAB	0
RF1b	SCARR039|f72v1|S2	f72v1	f72	f72v1.24	2	10	AQAB	A1 Q1 A2 Ba	A	AQABA	0
RF1b	SCARR039|f72v1|S2	f72v1	f72	f72v1.30	8	10	AQAB	A1 Q1 A3 B2	AF	AQABAF	0
RF1b	SCARR042|f73r|S2	f73r	f73	f73r.23	2	10	AQAC	A1 Q2 A3 C1	A	AQACA	0
RF1b	SCARR042|f73r|S2	f73r	f73	f73r.26	5	10	AQA	A1 Q1 A2	EMPTY	AQA	0
RF1b	SCARR042|f73r|S2	f73r	f73	f73r.28	7	10	AQAB	A1 Q2 A3 B2	EMPTY	AQAB	0
RF1b	SCARR045|f73v|S2	f73v	f73	f73v.25	2	10	AQA	A1 Q2 A2	EMPTY	AQA	0
RF1b	SCARR045|f73v|S2	f73v	f73	f73v.27	4	10	AQAB	A1 Q1 A3 B2	EMPTY	AQAB	0
RF1b	SCARR045|f73v|S2	f73v	f73	f73v.32	9	10	APAB	Aa P1 A3 B2	EMPTY	APAB	0
