edge_stripped_core	a_locus	a_folio	a_host	a_edge	b_locus	b_folio	b_host	b_edge	object_jaccard	relation_jaccard	all_jaccard	semantic_role
okal	f72r2.18	f72	okaly	y	f77v.44	f77	okalo	o	0.5	0	0.2	UNASSIGNED
okal	f72v3.17	f72	okaly	y	f77v.44	f77	okalo	o	0.5	0	0.25	UNASSIGNED
okal	f77v.44	f77	okalo	o	f80r.3	f80	okaly	y	1	0.333333333333	0.5	UNASSIGNED
okar	f70v2.27	f70	okara	a	f72v3.27	f72	okary	y	1	1	1	UNASSIGNED
okar	f70v2.27	f70	okara	a	f89v2.4	f89	okaro	o	0	0	0	UNASSIGNED
okar	f70v2.27	f70	okara	a	f99r.11	f99	okary	y	0	0	0	UNASSIGNED
okar	f72v3.27	f72	okary	y	f89v2.4	f89	okaro	o	0	0	0	UNASSIGNED
okar	f89v2.4	f89	okaro	o	f99r.11	f99	okary	y	1	1	1	UNASSIGNED
oke	f102v1.3	f102	okeo	o	f72v3.5	f72	okey	y	0	0	0	UNASSIGNED
oke	f69v.29	f69	okeo	o	f72v3.5	f72	okey	y	0.5	1	0.5	UNASSIGNED
oke	f70r1.15	f70	okeo	o	f72v3.5	f72	okey	y	0.5	0	0.25	UNASSIGNED
oke	f72v3.5	f72	okey	y	f73r.7	f73	okeo	o	1	0	0.666666666667	UNASSIGNED
oke	f72v3.5	f72	okey	y	f73v.6	f73	okeo	o	1	1	1	UNASSIGNED
okeeo	f100r.16	f100	okeeos	s	f102v2.27	f102	okeeor	r	1	1	1	UNASSIGNED
okeeo	f100r.16	f100	okeeos	s	f68r1.32	f68	okeeod	d	0	0.5	0.25	UNASSIGNED
okeeo	f100r.16	f100	okeeos	s	f72v3.16	f72	okeeol	l	0	0	0	UNASSIGNED
okeeo	f102v2.27	f102	okeeor	r	f68r1.32	f68	okeeod	d	0	0.5	0.25	UNASSIGNED
okeeo	f102v2.27	f102	okeeor	r	f72v3.16	f72	okeeol	l	0	0	0	UNASSIGNED
okeeo	f68r1.32	f68	okeeod	d	f72v3.16	f72	okeeol	l	0.5	0	0.25	UNASSIGNED
okeo	f69r.41	f69	okeod	d	f72v2.16	f72	okeol	l	0	0	0	UNASSIGNED
okeo	f69r.41	f69	okeod	d	f73r.20	f73	okeos	s	0	0	0	UNASSIGNED
okeo	f69r.41	f69	okeod	d	f73v.19	f73	okeos	s	0	0	0	UNASSIGNED
okeo	f69v.14	f69	okeod	d	f72v2.16	f72	okeol	l	0.5	1	0.5	UNASSIGNED
okeo	f69v.14	f69	okeod	d	f73r.20	f73	okeos	s	0.5	0	0.333333333333	UNASSIGNED
okeo	f69v.14	f69	okeod	d	f73v.19	f73	okeos	s	0.5	1	0.5	UNASSIGNED
okeo	f69v.18	f69	okeod	d	f72v2.16	f72	okeol	l	0.5	1	0.5	UNASSIGNED
okeo	f69v.18	f69	okeod	d	f73r.20	f73	okeos	s	0.5	0	0.333333333333	UNASSIGNED
okeo	f69v.18	f69	okeod	d	f73v.19	f73	okeos	s	0.5	1	0.5	UNASSIGNED
okeo	f72v2.16	f72	okeol	l	f73r.20	f73	okeos	s	1	0	0.666666666667	UNASSIGNED
okeo	f72v2.16	f72	okeol	l	f73v.19	f73	okeos	s	1	1	1	UNASSIGNED
okeo	f72v2.16	f72	okeol	l	f73v.30	f73	okeod	d	1	1	1	UNASSIGNED
oko	f68r1.28	f68	okol	l	f99r.33	f99	okos	s	0	0.5	0.25	UNASSIGNED
oko	f68r3.13	f68	okos	s	f69v.21	f69	okol	l	1	0	0.5	UNASSIGNED
oko	f68r3.13	f68	okos	s	f71v.4	f71	okol	l	0.5	0	0.333333333333	UNASSIGNED
oko	f68r3.13	f68	okos	s	f82v.44	f82	okol	l	0	0.5	0.2	UNASSIGNED
oko	f68r3.13	f68	okos	s	f88r.15	f88	okol	l	0	0	0	UNASSIGNED
oko	f69v.21	f69	okol	l	f99r.33	f99	okos	s	0	0	0	UNASSIGNED
oko	f71v.4	f71	okol	l	f99r.33	f99	okos	s	0	0	0	UNASSIGNED
oko	f82v.44	f82	okol	l	f99r.33	f99	okos	s	0	1	0.4	UNASSIGNED
oko	f88r.15	f88	okol	l	f99r.33	f99	okos	s	1	0.5	0.666666666667	UNASSIGNED
okol	f70v1.13	f70	okoly	y	f80r.4	f80	okolo	o	0.5	0	0.25	UNASSIGNED
okol	f80r.4	f80	okolo	o	f82r.42	f82	okoly	y	1	0.333333333333	0.5	UNASSIGNED
olkch	f75v.36	f75	olkchy	y	f77r.2	f77	olkchs	s	0.5	0.5	0.5	UNASSIGNED
olo	f68r1.20	f68	olor	r	f75v.52	f75	olol	l	0	0	0	UNASSIGNED
olo	f68r1.20	f68	olor	r	f82r.43	f82	olol	l	0	0	0	UNASSIGNED
ols	f71v.17	f71	olsh	h	f99v.7	f99	olsy	y	0	0	0	UNASSIGNED
opa	f72r3.27	f72	opal	l	f99r.19	f99	opar	r	0	0	0	UNASSIGNED
opcho	f100v.3	f100	opchor	r	f67r2.31	f67	opchol	l	0	1	0.333333333333	UNASSIGNED
oro	f100r.18	f100	orol	l	f102v2.3	f102	oror	r	1	0.5	0.666666666667	UNASSIGNED
oro	f102v2.3	f102	oror	r	f68r2.8	f68	orol	l	0	0.333333333333	0.2	UNASSIGNED
oror	f82r.40	f82	ororl	l	f88r.16	f88	orory	y	0	0.5	0.25	UNASSIGNED
otal	f70v2.10	f70	otald	d	f71r.8	f71	otals	s	1	1	1	UNASSIGNED
otal	f70v2.10	f70	otald	d	f71v.14	f71	otalo	o	1	1	1	UNASSIGNED
otal	f70v2.10	f70	otald	d	f72v3.31	f72	otaly	y	1	1	1	UNASSIGNED
otal	f70v2.10	f70	otald	d	f73r.6	f73	otaly	y	1	0	0.666666666667	UNASSIGNED
otal	f70v2.10	f70	otald	d	f88r.6	f88	otaly	y	0	0	0	UNASSIGNED
otal	f70v2.10	f70	otald	d	f99r.13	f99	otala	a	0	0	0	UNASSIGNED
otal	f70v2.10	f70	otald	d	f99v.6	f99	otaly	y	0	0	0	UNASSIGNED
otal	f70v2.15	f70	otaly	y	f71r.8	f71	otals	s	1	1	1	UNASSIGNED
otal	f70v2.15	f70	otaly	y	f71v.14	f71	otalo	o	1	1	1	UNASSIGNED
otal	f70v2.15	f70	otaly	y	f99r.13	f99	otala	a	0	0	0	UNASSIGNED
otal	f70v2.25	f70	otala	a	f71r.8	f71	otals	s	1	1	1	UNASSIGNED
otal	f70v2.25	f70	otala	a	f71v.14	f71	otalo	o	1	1	1	UNASSIGNED
otal	f70v2.25	f70	otala	a	f72v3.31	f72	otaly	y	1	1	1	UNASSIGNED
otal	f70v2.25	f70	otala	a	f73r.6	f73	otaly	y	1	0	0.666666666667	UNASSIGNED
otal	f70v2.25	f70	otala	a	f88r.6	f88	otaly	y	0	0	0	UNASSIGNED
otal	f70v2.25	f70	otala	a	f99v.6	f99	otaly	y	0	0	0	UNASSIGNED
otal	f71r.8	f71	otals	s	f72v3.31	f72	otaly	y	1	1	1	UNASSIGNED
otal	f71r.8	f71	otals	s	f73r.6	f73	otaly	y	1	0	0.666666666667	UNASSIGNED
otal	f71r.8	f71	otals	s	f88r.6	f88	otaly	y	0	0	0	UNASSIGNED
otal	f71r.8	f71	otals	s	f99r.13	f99	otala	a	0	0	0	UNASSIGNED
otal	f71r.8	f71	otals	s	f99v.6	f99	otaly	y	0	0	0	UNASSIGNED
otal	f71v.14	f71	otalo	o	f72v3.31	f72	otaly	y	1	1	1	UNASSIGNED
otal	f71v.14	f71	otalo	o	f73r.6	f73	otaly	y	1	0	0.666666666667	UNASSIGNED
otal	f71v.14	f71	otalo	o	f88r.6	f88	otaly	y	0	0	0	UNASSIGNED
otal	f71v.14	f71	otalo	o	f99r.13	f99	otala	a	0	0	0	UNASSIGNED
otal	f71v.14	f71	otalo	o	f99v.6	f99	otaly	y	0	0	0	UNASSIGNED
otal	f72v3.31	f72	otaly	y	f99r.13	f99	otala	a	0	0	0	UNASSIGNED
otal	f73r.6	f73	otaly	y	f99r.13	f99	otala	a	0	0	0	UNASSIGNED
otal	f88r.6	f88	otaly	y	f99r.13	f99	otala	a	1	1	1	UNASSIGNED
otalal	f70v2.2	f70	otalalg	g	f71r.11	f71	otalaly	y	1	1	1	UNASSIGNED
otalsh	f72r2.26	f72	otalshy	y	f80r.8	f80	otalshe	e	0.5	0	0.25	UNASSIGNED
oteo	f70v2.28	f70	oteos	s	f72v1.13	f72	oteod	d	1	1	1	UNASSIGNED
oteo	f70v2.28	f70	oteos	s	f72v2.11	f72	oteod	d	1	1	1	UNASSIGNED
otol	f72r2.21	f72	otola	a	f75v.37	f75	otoly	y	0.333333333333	0	0.166666666667	UNASSIGNED
otol	f72r2.21	f72	otola	a	f99v.19	f99	otols	s	0	0	0	UNASSIGNED
otol	f75v.37	f75	otoly	y	f99v.19	f99	otols	s	0	0.5	0.2	UNASSIGNED
otor	f102v2.8	f102	otory	y	f77r.4	f77	otork	k	0	1	0.333333333333	UNASSIGNED
otor	f102v2.8	f102	otory	y	f88v.11	f88	otora	a	0	0.5	0.333333333333	UNASSIGNED
otor	f77r.4	f77	otork	k	f88v.11	f88	otora	a	0	0.5	0.333333333333	UNASSIGNED
yke	f69v.17	f69	ykey	y	f72v1.21	f72	ykee	e	0.5	1	0.5	UNASSIGNED
yke	f69v.17	f69	ykey	y	f73v.12	f73	ykeo	o	0.5	1	0.5	UNASSIGNED
yke	f69v.17	f69	ykey	y	f73v.20	f73	ykee	e	0.5	1	0.5	UNASSIGNED
yke	f69v.22	f69	ykeo	o	f72v1.21	f72	ykee	e	0.5	1	0.5	UNASSIGNED
yke	f69v.22	f69	ykeo	o	f73v.20	f73	ykee	e	0.5	1	0.5	UNASSIGNED
yke	f69v.22	f69	ykeo	o	f73v.28	f73	ykey	y	0.5	1	0.5	UNASSIGNED
yke	f69v.22	f69	ykeo	o	f73v.31	f73	ykey	y	0.5	1	0.5	UNASSIGNED
yke	f72v1.21	f72	ykee	e	f73v.12	f73	ykeo	o	1	1	1	UNASSIGNED
yke	f72v1.21	f72	ykee	e	f73v.28	f73	ykey	y	1	1	1	UNASSIGNED
yke	f72v1.21	f72	ykee	e	f73v.31	f73	ykey	y	1	1	1	UNASSIGNED
ykee	f67r1.16	f67	ykeeo	o	f69v.7	f69	ykeey	y	0	0	0	UNASSIGNED
ykee	f69v.7	f69	ykeey	y	f73v.18	f73	ykeeo	o	0.5	1	0.5	UNASSIGNED
yteo	f72v1.14	f72	yteod	d	f99r.45	f99	yteol	l	0	0	0	UNASSIGNED
