left_free_group	right_free_group	joined_form	candidate_segmentation	editions_present	split_loci_count	joined_loci_count	separator_states	representative_split_loci	representative_joined_loci	claim_state
dar	ol	darol	dar | ol ↔ darol	IT2a;RF1b;ZL3b	8	3	DEFINITE_SPACE	f101r.9;f39r.15;f75v.47;f81v.1;f82v.12;f84v.14;f86v4.5;f86v6.14	f68v3.17;f75v.21;f82r.35	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qokal	dar	qokaldar	qokal | dar ↔ qokaldar	IT2a;RF1b;ZL3b	8	1	DEFINITE_SPACE	f39r.16;f75v.12;f75v.38;f77v.22;f77v.33;f77v.39;f77v.41;f80r.29	f39r.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	sheedy	qolsheedy	qol | sheedy ↔ qolsheedy	IT2a;RF1b;ZL3b	8	4	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f75v.39;f76r.24;f76v.13;f77r.13;f77v.7;f78v.17;f81r.14;f82v.26	f76r.24;f77r.13;f77v.7;f81r.14	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	chedy	darchedy	dar | chedy ↔ darchedy	IT2a;RF1b;ZL3b	7	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f115r.22;f115r.7;f116r.16;f116r.22;f26v.6;f76r.51;f85r2.15	f103r.54;f115r.7;fRos.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okar	ol	okarol	okar | ol ↔ okarol	IT2a;RF1b;ZL3b	7	2	DEFINITE_SPACE	f55r.2;f58v.30;f78v.28;f79r.6;f79v.23;f86v6.35;fRos.142	f106v.25;f114r.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	keedy	olkeedy	ol | keedy ↔ olkeedy	IT2a;RF1b;ZL3b	7	46	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f76v.39;f78r.23;f78r.33;f78v.4;f80r.23;f81v.3;f86v4.8	f104r.11;f105r.29;f105r.4;f105v.5;f106r.21;f106v.28;f107r.16;f107v.36;f107v.6;f108v.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	shey	darshey	dar | shey ↔ darshey	IT2a;RF1b;ZL3b	6	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f103r.25;f1r.23;f51r.10;f76r.29;f86v6.28;f8v.7	f80r.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	chdy	olchdy	ol | chdy ↔ olchdy	IT2a;RF1b;ZL3b	6	8	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f106v.3;f116r.12;f76r.11;f78v.11;f81v.12;f95r1.2	f114r.22;f115r.43;f116r.12;f34v.3;f50v.10;f76r.40;f77v.28;f80r.2	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	cheedy	olcheedy	ol | cheedy ↔ olcheedy	IT2a;RF1b;ZL3b	6	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f116r.26;f75v.48;f77r.43;f77v.29;f81r.15;f83v.24	f112r.23;f77r.28;f80r.26	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	sheedy	olsheedy	ol | sheedy ↔ olsheedy	IT2a;RF1b;ZL3b	6	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f104r.4;f75r.5;f75v.40;f77v.9;f78v.24;f81r.12	f104r.8;f75r.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
sol	shedy	solshedy	sol | shedy ↔ solshedy	IT2a;RF1b;ZL3b	6	4	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f76r.12;f76r.6;f76v.40;f78r.20;f81r.31;f95v2.2	f106v.24;f76r.12;f82r.7;f82v.9	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
al	dar	aldar	al | dar ↔ aldar	IT2a;RF1b;ZL3b	5	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f105v.15;f105v.33;f105v.6;f86v6.31;f87r.5	f108v.13;f43v.10;f58r.25	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	chedy	dalchedy	dal | chedy ↔ dalchedy	IT2a;RF1b;ZL3b	5	5	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f114r.33;f77r.25;f78r.30;f78r.5;f89r1.7	f115v.10;f115v.18;f26r.7;f77r.20;f82v.14	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	dar	daldar	dal | dar ↔ daldar	IT2a;RF1b;ZL3b	5	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f106v.7;f23v.9;f69r.26;f81v.1;f84v.14	f43v.10;fRos.15	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	ol	dalol	dal | ol ↔ dalol	IT2a;RF1b;ZL3b	5	7	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f75v.3;f75v.40;f75v.7;f77v.11;f93r.3	f114r.15;f50v.3;f58r.34;f66r.78;f70r2.17;f83v.1;f86v6.18	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	am	daram	dar | am ↔ daram	IT2a;RF1b;ZL3b	5	9	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f101r.3;f111r.11;f18r.1;f89v1.17;f89v2.16	f104r.3;f111r.11;f17r.1;f34r.14;f40r.9;f57v.2;f67r1.5;f68r1.3;f89v1.17	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	chey	darchey	dar | chey ↔ darchey	IT2a;RF1b;ZL3b	5	1	DEFINITE_SPACE	f108v.29;f17v.22;f1v.5;f26v.6;f43v.12	f76r.30	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	kedy	olkedy	ol | kedy ↔ olkedy	IT2a;RF1b;ZL3b	5	24	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f103v.16;f78r.13;f78r.29;f84v.15;f84v.7	f103v.16;f108r.28;f108v.41;f112r.37;f114v.22;f40r.1;f75r.34;f75v.43;f75v.69;f76r.50	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
cheol	dy	cheoldy	cheol | dy ↔ cheoldy	IT2a;RF1b;ZL3b	4	9	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f101r.7;f7v.3;f80v.17;f99v.33	f30v.5;f58r.13;f58v.19;f72v2.19;f72v2.9;f7v.3;f80v.17;f89r2.8;f99v.33	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	chedy	cholchedy	chol | chedy ↔ cholchedy	IT2a;RF1b;ZL3b	4	3	DEFINITE_SPACE	f106r.41;f106v.23;f115r.11;f115v.28	f106r.41;f106v.3;f34r.15	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	ar	dalar	dal | ar ↔ dalar	IT2a;RF1b;ZL3b	4	6	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f39v.9;f78r.15;f80v.43;f86v5.5	f58r.18;f58v.29;f58v.36;f58v.37;f68v2.7;f80v.43	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	or	daror	dar | or ↔ daror	IT2a;RF1b;ZL3b	4	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f39r.3;f84v.1;f85r1.26;f88r.9	f18v.8;f77r.25;f85r1.14	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dol	shedy	dolshedy	dol | shedy ↔ dolshedy	IT2a;RF1b;ZL3b	4	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f116r.22;f78r.6;f82v.6;f83v.2	f80v.10;f82v.9	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	dar	odar	o | dar ↔ odar	IT2a;RF1b;ZL3b	4	29	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f101r.9;f17r.9;fRos.114;fRos.133	f101r.9;f101v.23;f104r.8;f104v.33;f105r.2;f105r.20;f105v.10;f105v.14;f105v.8;f107v.12	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	dal	oldal	ol | dal ↔ oldal	IT2a;RF1b;ZL3b	4	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f23v.4;f24r.15;f77v.23;f80v.15	f114r.24;f23v.4;f88r.27	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	cheedy	qolcheedy	qol | cheedy ↔ qolcheedy	IT2a;RF1b;ZL3b	4	2	DEFINITE_SPACE	f76v.14;f77r.18;f77r.44;f81v.24	f108v.42;f77r.16	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
sar	ol	sarol	sar | ol ↔ sarol	IT2a;RF1b;ZL3b	4	5	DEFINITE_SPACE	f79v.9;f81r.6;f81v.2;f82v.32	f102v2.14;f112r.33;f39v.11;f75r.45;f77v.37	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
shol	dy	sholdy	shol | dy ↔ sholdy	IT2a;RF1b;ZL3b	4	8	DEFINITE_SPACE;DRAWING_INTERRUPTION	f11v.2;f13r.1;f13v.6;f89r2.10	f102r1.10;f18r.7;f1r.1;f66r.60;f77v.39;f82v.38;f83v.14;f89r2.22	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
sol	chedy	solchedy	sol | chedy ↔ solchedy	IT2a;RF1b;ZL3b	4	9	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f79v.4;f81r.27;f83r.21;f83r.40	f113v.12;f75v.58;f76r.6;f77r.27;f79v.7;f80r.16;f83r.21;f83r.29;f83r.40	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ched	ar	chedar	ched | ar ↔ chedar	IT2a;RF1b;ZL3b	3	36	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f108r.43;f70r1.13;f78r.16	f103r.4;f104r.28;f104r.31;f104v.13;f106r.16;f106r.24;f106v.44;f108r.43;f108v.21;f108v.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	ar	cholar	chol | ar ↔ cholar	IT2a;RF1b;ZL3b	3	4	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f23r.5;f58v.33;f67v2.9	f58r.4;f58v.33;f68r2.19;f79r.27	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	dal	choldal	chol | dal ↔ choldal	IT2a;RF1b;ZL3b	3	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f27r.8;f58r.22;f88r.29	f58r.12	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	kar	cholkar	chol | kar ↔ cholkar	IT2a;RF1b;ZL3b	3	4	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f104r.23;f48r.5;f94r.4	f104r.42;f48r.5;f58r.21;f86v6.19	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	keedy	cholkeedy	chol | keedy ↔ cholkeedy	IT2a;RF1b;ZL3b	3	4	DEFINITE_SPACE	f108v.34;f112v.21;f116r.20	f108v.34;f113r.47;f115v.9;f89r2.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	chdy	dalchdy	dal | chdy ↔ dalchdy	IT2a;RF1b;ZL3b	3	5	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f34r.7;f76r.28;f89v1.14	f114r.20;f115v.3;f58r.17;f72r2.22;f83r.15	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	aiiin	daraiiin	dar | aiiin ↔ daraiiin	IT2a;RF1b;ZL3b	3	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f68v3.3;f86v6.17;f86v6.18	f102r1.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	chor	darchor	dar | chor ↔ darchor	IT2a;RF1b;ZL3b	3	1	DEFINITE_SPACE;DRAWING_INTERRUPTION;UNCERTAIN_SMALL_SPACE	f30r.12;f54v.4;f87r.5	f5v.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	dy	dardy	dar | dy ↔ dardy	IT2a;RF1b;ZL3b	3	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f18v.7;f75r.36;f75r.44	f14v.7;f34r.9	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	o	daro	dar | o ↔ daro	IT2a;RF1b;ZL3b	3	3	DEFINITE_SPACE	f18r.1;f39r.15;f69v.1	f57v.4;f68v2.18;f75r.49	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	dar	oldar	ol | dar ↔ oldar	IT2a;RF1b;ZL3b	3	7	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f101r.3;f79v.17;f95r1.11	f23v.9;f33r.2;f34v.4;f34v.8;f85r2.17;f87v.1;f88r.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	dy	oldy	ol | dy ↔ oldy	IT2a;RF1b;ZL3b	3	31	DEFINITE_SPACE;DRAWING_INTERRUPTION	f17v.8;f75r.35;f96r.12	f102r1.6;f107v.26;f108v.33;f13r.7;f13r.9;f33v.6;f40v.1;f46v.2;f48v.8;f55v.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	kar	olkar	ol | kar ↔ olkar	IT2a;RF1b;ZL3b	3	23	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f55v.3;f80v.27;f86v6.40	f107r.40;f111v.27;f113v.17;f72v2.26;f75r.3;f80r.17;f80v.27;f80v.35;f81r.30;f83v.12	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
or	arol	orarol	or | arol ↔ orarol	IT2a;RF1b;ZL3b	3	2	DEFINITE_SPACE	f103r.3;f71v.1;f80v.32	f89v1.8;fRos.17	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	keedy	qolkeedy	qol | keedy ↔ qolkeedy	IT2a;RF1b;ZL3b	3	9	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f103r.52;f77r.33;f81v.8	f103r.52;f115v.26;f76v.18;f79r.24;f79v.11;f79v.5;f81v.8;f83v.18;f84v.27	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qoteo	l	qoteol	qoteo | l ↔ qoteol	IT2a;RF1b;ZL3b	3	14	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f112r.7;f115v.16;f48r.3	f100r.14;f100r.26;f102r1.14;f102r1.3;f102r1.8;f102v1.19;f108v.7;f111v.10;f115v.16;f3r.19	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
s	odar	sodar	s | odar ↔ sodar	IT2a;RF1b;ZL3b	3	6	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f105v.10;f87r.4;f93r.8	f105v.10;f53r.7;f67r2.24;f77r.48;f89r2.17;f93r.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	dar	choldar	chol | dar ↔ choldar	IT2a;RF1b;ZL3b	2	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f46r.13;f8v.5	f6v.20	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
cthol	dy	ctholdy	cthol | dy ↔ ctholdy	IT2a;RF1b;ZL3b	2	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f37r.3;f44v.7	f30v.2;f37r.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	ody	dalody	dal | ody ↔ dalody	IT2a;RF1b;ZL3b	2	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f69v.2;f86v6.24	f93r.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	shdy	dalshdy	dal | shdy ↔ dalshdy	IT2a;RF1b;ZL3b	2	4	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f55r.11;f78r.20	f78r.20;f83v.29;f89v1.17;f95r2.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	om	darom	dar | om ↔ darom	IT2a;RF1b;ZL3b	2	3	DEFINITE_SPACE	f18r.1;f45r.2	f115r.8;f19v.2;f75r.33	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	y	dary	dar | y ↔ dary	IT2a;RF1b;ZL3b	2	26	DEFINITE_SPACE	f51v.5;f77v.33	f111r.6;f114r.6;f114v.20;f115v.45;f18r.8;f29v.2;f32r.9;f43v.15;f43v.3;f45r.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dol	kedy	dolkedy	dol | kedy ↔ dolkedy	IT2a;RF1b;ZL3b	2	2	DEFINITE_SPACE	f78r.14;f84v.41	f84v.15;f84v.41	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
kol	dy	koldy	kol | dy ↔ koldy	IT2a;RF1b;ZL3b	2	8	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f45r.9;f80v.13	f35r.12;f54r.10;f67v1.18;f75r.39;f80v.13;f84v.17;f84v.18;f93v.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okeo	dar	okeodar	okeo | dar ↔ okeodar	IT2a;RF1b;ZL3b	2	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f71v.12;f72r1.1	f69r.23;f70r1.3;f71r.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	char	olchar	ol | char ↔ olchar	IT2a;RF1b;ZL3b	2	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f103v.17;f35v.13	f108v.53;f23r.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	eeedy	oleeedy	ol | eeedy ↔ oleeedy	IT2a;RF1b;ZL3b	2	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f40v.6;f77r.40	f103v.22;f76v.13	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	kchdy	olkchdy	ol | kchdy ↔ olkchdy	IT2a;RF1b;ZL3b	2	5	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f78r.23;f94r.4	f78r.23;f86v5.19;f86v6.31;f94r.4;f95v1.12	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	sheody	olsheody	ol | sheody ↔ olsheody	IT2a;RF1b;ZL3b	2	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f101r.3;f102r2.11	f88r.21	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	teey	olteey	ol | teey ↔ olteey	IT2a;RF1b;ZL3b	2	2	DEFINITE_SPACE	f20r.4;f76r.12	f73r.22;f86v3.28	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	tey	oltey	ol | tey ↔ oltey	IT2a;RF1b;ZL3b	2	1	DEFINITE_SPACE	f86v5.34;f86v6.35	f34r.2	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteey	s	oteeys	oteey | s ↔ oteeys	IT2a;RF1b;ZL3b	2	2	DEFINITE_SPACE	f38v.1;f70r2.18	f68v2.6;f69v.15	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qokol	dy	qokoldy	qokol | dy ↔ qokoldy	IT2a;RF1b;ZL3b	2	4	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f22r.10;f23r.9	f23r.4;f23r.9;f66r.67;f82v.13	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	kedy	qolkedy	qol | kedy ↔ qolkedy	IT2a;RF1b;ZL3b	2	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f79v.7;f84v.16	f82v.20	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
sol	keedy	solkeedy	sol | keedy ↔ solkeedy	IT2a;RF1b;ZL3b	2	6	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f112r.21;f75r.36	f112r.21;f76v.21;f78r.31;f83r.20;f83r.21;f83v.18	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
tar	ol	tarol	tar | ol ↔ tarol	IT2a;RF1b;ZL3b	2	2	DEFINITE_SPACE	f79v.26;f86v4.6	f111v.34;f113v.21	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
tol	chedy	tolchedy	tol | chedy ↔ tolchedy	IT2a;RF1b;ZL3b	2	2	DEFINITE_SPACE	f48v.10;f76v.35	f66r.74;f76v.35	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	olor	arolor	ar | olor ↔ arolor	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f111v.36	f87v.15	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
cheo	lkeedy	cheolkeedy	cheo | lkeedy ↔ cheolkeedy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE	f106r.21	f108v.43;f85r1.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
cheol	keedy	cheolkeedy	cheol | keedy ↔ cheolkeedy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE	f111v.2	f108v.43;f85r1.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
