external_axis	axis_class	representation	units	physical_folios	gain_vs_nuisance_bits	increment_vs_full_host_bits	positive_folios_vs_nuisance	semantic_role
PLANT	OBJECT_AXIS	INTERIOR	332	19	-8.09936095694	-3.14087525687	12	UNASSIGNED
PLANT	OBJECT_AXIS	EDGE1_ONLY	332	19	-8.87112974598	-3.9126440459	12	UNASSIGNED
PLANT	OBJECT_AXIS	CORE_PLUS_EDGE1_SEPARATE	332	19	-2.5068592331	2.45162646697	14	UNASSIGNED
PLANT	OBJECT_AXIS	CORE_PLUS_EDGE2_SEPARATE	332	19	-4.865417526	0.0930681740725	13	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	RAW_CHAR3	332	19	32.4168009581	-8.88682155504	17	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	FULL_PAGE_HOST	332	19	41.3036225132	0	17	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	STRIP_FINAL1	332	19	44.4948245361	3.1912020229	17	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	STRIP_FINAL2	332	19	17.4886664152	-23.8149560979	17	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	STRIP_FIRST1	332	19	25.9999737276	-15.3036487856	18	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	INTERIOR	332	19	-17.2555521124	-58.5591746256	14	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	EDGE1_ONLY	332	19	-10.2358810117	-51.5395035249	15	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	CORE_PLUS_EDGE1_SEPARATE	332	19	34.6312395199	-6.67238299322	17	UNASSIGNED
WATER_OR_APPARATUS	OBJECT_AXIS	CORE_PLUS_EDGE2_SEPARATE	332	19	46.8517512103	5.54812869718	17	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	RAW_CHAR3	332	19	-32.1160000612	-13.7578201616	12	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	FULL_PAGE_HOST	332	19	-18.3581798995	0	14	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	STRIP_FINAL1	332	19	-22.5122056092	-4.15402570966	15	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	STRIP_FINAL2	332	19	-21.2387104015	-2.88053050198	14	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	STRIP_FIRST1	332	19	-20.603601341	-2.24542144149	13	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	INTERIOR	332	19	-22.1096324077	-3.7514525082	14	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	EDGE1_ONLY	332	19	-35.2713490782	-16.9131691787	12	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	CORE_PLUS_EDGE1_SEPARATE	332	19	-14.1667134959	4.19146640362	15	UNASSIGNED
REL_PROXIMITY	RELATION_AXIS	CORE_PLUS_EDGE2_SEPARATE	332	19	-11.9809937337	6.37718616585	15	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	RAW_CHAR3	332	19	-35.2287072769	-6.16224434982	7	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	FULL_PAGE_HOST	332	19	-29.066462927	0	8	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	STRIP_FINAL1	332	19	-65.2599939173	-36.1935309902	4	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	STRIP_FINAL2	332	19	-67.7519055846	-38.6854426575	7	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	STRIP_FIRST1	332	19	-66.4534571371	-37.3869942101	5	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	INTERIOR	332	19	-72.4489736829	-43.3825107558	6	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	EDGE1_ONLY	332	19	-37.2812043117	-8.21474138466	5	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	CORE_PLUS_EDGE1_SEPARATE	332	19	-36.3206210029	-7.25415807586	6	UNASSIGNED
REL_EXPLICIT_ATTACHMENT	RELATION_AXIS	CORE_PLUS_EDGE2_SEPARATE	332	19	-41.1152101795	-12.0487472524	6	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	RAW_CHAR3	332	19	2.60059168352	0.934109582769	13	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	FULL_PAGE_HOST	332	19	1.66648210076	0	12	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	STRIP_FINAL1	332	19	5.86806974172	4.20158764097	13	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	STRIP_FINAL2	332	19	0.364900820068	-1.30158128069	15	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	STRIP_FIRST1	332	19	4.02554479401	2.35906269326	15	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	INTERIOR	332	19	-15.6709587097	-17.3374408104	13	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	EDGE1_ONLY	332	19	19.0070109357	17.340528835	15	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	CORE_PLUS_EDGE1_SEPARATE	332	19	8.60709967839	6.94061757763	12	UNASSIGNED
REL_ENCLOSURE	RELATION_AXIS	CORE_PLUS_EDGE2_SEPARATE	332	19	7.96306995673	6.29658785598	13	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	RAW_CHAR3	332	19	18.6844481328	7.31315279201	12	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	FULL_PAGE_HOST	332	19	11.3712953408	0	10	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	STRIP_FINAL1	332	19	4.11808161917	-7.25321372165	10	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	STRIP_FINAL2	332	19	-12.2287299454	-23.6000252862	8	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	STRIP_FIRST1	332	19	-6.25251622516	-17.623811566	9	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	INTERIOR	332	19	-21.524731085	-32.8960264258	6	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	EDGE1_ONLY	332	19	6.59070194837	-4.78059339245	11	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	CORE_PLUS_EDGE1_SEPARATE	332	19	6.59215322603	-4.77914211479	9	UNASSIGNED
REL_ARRAY_OR_GROUP	RELATION_AXIS	CORE_PLUS_EDGE2_SEPARATE	332	19	6.99337549702	-4.3779198438	10	UNASSIGNED
