entry_number	entry_title	morgan_folio	morgan_catalogue_title	catalogue_url	annotation_provenance	access_or_setting	non_generic_water_system	specific_use_action	body_condition_cue	bed_or_departure_narrative	neutral_visual_evidence
14	Tripergula	15r	Tripergula	https://ica.themorgan.org/manuscript/page/14/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	1	0	0	figures undress and hang clothes beside bath
15	Arcus	16r	Arcus	https://ica.themorgan.org/manuscript/page/15/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	1	1	1	0	water flows under vaulted hall; figure washes hair
16	Raynerius	17r	Raynerii	https://ica.themorgan.org/manuscript/page/16/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	0	1	figures carrying sacks leave bathhouse; water flows past tower
17	Ferris	18r	De Ferris	https://ica.themorgan.org/manuscript/page/17/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	1	1	0	figures hunt or gesture above bath; one washes hair
18	Silvia	19r	Salviana	https://ica.themorgan.org/manuscript/page/18/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	1	0	0	0	female figures in bath; water runs under structure
19	Culma	20r	Culma	https://ica.themorgan.org/manuscript/page/19/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	0	0	0	subterranean cave with underground springs
20	Trituli	21r	Trituli	https://ica.themorgan.org/manuscript/page/20/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	1	0	multi-level bathhouse; body-directed gestures; descending fountain; boats
21	Arculus	22r	Arculus	https://ica.themorgan.org/manuscript/page/21/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	0	0	0	generic arcaded pool beneath cupola
22	Palumbare	23r	Palumbara	https://ica.themorgan.org/manuscript/page/22/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	0	0	0	0	pool inside cave with smaller pigeon caves above
23	Pugillus	24r	Pugillus	https://ica.themorgan.org/manuscript/page/23/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	0	0	figures descend into cave pool; wall separates pool from flowing water
24	Sanctus Georgius	25r	Gregorius (St. Georgius)	https://ica.themorgan.org/manuscript/page/24/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	0	1	1	0	cave and stair route; wrapped figure looks toward figure on stair
25	Petroleo; Olivum	26r	Petronio	https://ica.themorgan.org/manuscript/page/25/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	0	0	0	bathhouse entrance and water flowing below structure
26	Sol et Luna	27r	Sol et Luna	https://ica.themorgan.org/manuscript/page/26/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	1	0	0	figures point to sun and moon above generic pool
27	Fons Episcopi	28r	Fons Episcopi	https://ica.themorgan.org/manuscript/page/27/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	0	1	0	wrapped seated figure and two mitred figures above bathing hall
28	Bracula	29r	Braccula	https://ica.themorgan.org/manuscript/page/28/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	0	0	0	generic arcaded pool beneath cupola
29	Gimborosus	30r	Gimberosus	https://ica.themorgan.org/manuscript/page/29/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	0	1	1	0	hillside and stairs; wrapped figure descends; another chops tree
30	Spelunca	31r	Spelunca	https://ica.themorgan.org/manuscript/page/30/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	0	0	0	0	pool inside hillside cave
32	Subcellarium	32v	Succellaria	https://ica.themorgan.org/manuscript/page/32/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	1	0	building in hillside with entrance; figures point to body; water flows below
33	De Cruce	34v	Sancte Crucis	https://ica.themorgan.org/manuscript/page/36/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	0	0	0	generic bathing figures in domed structure surmounted by cross
