page_host_submotif	external_axis	feature_support_loci	positive_with_feature	negative_with_feature	positive_without_feature	within_folio_effect	local_permutation_p	max_search_p	positive_effect_folios	informative_folios	folio_contributions	leave_one_folio_effects	label	semantic_role	obvious_confounds
os$	PLANT	16	8	8	134	3.06714175655	0.00519896020796	0.991801639672	4	5	f100:-0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:1.600000;f68:-0.016949;f69:1.181818;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.227273;f89:0.000000;f99:0.075000	f100:3.067142;f102:3.067142;f57:3.067142;f65:3.067142;f67:1.467142;f68:3.084091;f69:1.885324;f70:3.067142;f71:3.067142;f72:3.067142;f73:3.067142;f75:3.067142;f76:3.067142;f77:3.067142;f78:3.067142;f80:3.067142;f82:3.067142;f83:3.067142;f88:2.839869;f89:3.067142;f99:2.992142	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^ot	REL_ENCLOSURE	82	13	69	49	3.06172604203	0.148570285943	0.99200159968	3	6	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:1.680000;f68:-0.711864;f69:0.000000;f70:-0.341463;f71:0.000000;f72:0.173913;f73:2.382353;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:-0.121212;f99:0.000000	f100:3.061726;f102:3.061726;f57:3.061726;f65:3.061726;f67:1.381726;f68:3.773590;f69:3.061726;f70:3.403189;f71:3.061726;f72:2.887813;f73:0.679373;f75:3.061726;f76:3.061726;f77:3.061726;f78:3.061726;f80:3.061726;f82:3.061726;f83:3.061726;f88:3.061726;f89:3.182938;f99:3.061726	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
oke	PLANT	42	12	30	130	2.97630371512	0.0539892021596	0.9950009998	5	5	f100:0.000000;f102:0.111111;f57:0.000000;f65:0.000000;f67:-0.160000;f68:0.966102;f69:1.909091;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.150000	f100:2.976304;f102:2.865193;f57:2.976304;f65:2.976304;f67:3.136304;f68:2.010202;f69:1.067213;f70:2.976304;f71:2.976304;f72:2.976304;f73:2.976304;f75:2.976304;f76:2.976304;f77:2.976304;f78:2.976304;f80:2.976304;f82:2.976304;f83:2.976304;f88:2.976304;f89:2.976304;f99:2.826304	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
ey$	PLANT	35	8	27	134	2.9755478514	0.0245950809838	0.9950009998	6	5	f100:0.000000;f102:0.055556;f57:0.000000;f65:0.000000;f67:1.600000;f68:0.881356;f69:0.363636;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.075000	f100:2.975548;f102:2.919992;f57:2.975548;f65:2.975548;f67:1.375548;f68:2.094192;f69:2.611911;f70:2.975548;f71:2.975548;f72:2.975548;f73:2.975548;f75:2.975548;f76:2.975548;f77:2.975548;f78:2.975548;f80:2.975548;f82:2.975548;f83:2.975548;f88:2.975548;f89:2.975548;f99:2.900548	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
iin	STAR_OR_SKY	15	14	1	286	2.94779661017	0.0165966806639	0.9950009998	3	2	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:2.880000;f68:0.067797;f69:0.000000;f70:0.000000;f71:0.000000;f72:0.000000;f73:-0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:2.947797;f102:2.947797;f57:2.947797;f65:2.947797;f67:0.067797;f68:2.880000;f69:2.947797;f70:2.947797;f71:2.947797;f72:2.947797;f73:2.947797;f75:2.947797;f76:2.947797;f77:2.947797;f78:2.947797;f80:2.947797;f82:2.947797;f83:2.947797;f88:2.947797;f89:2.947797;f99:2.947797	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
yto	STAR_OR_SKY	9	9	0	291	2.92909090909	0.0201959608078	0.99600079984	3	2	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:2.520000;f68:0.000000;f69:0.409091;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:2.929091;f102:2.929091;f57:2.929091;f65:2.929091;f67:0.409091;f68:2.929091;f69:2.520000;f70:2.929091;f71:2.929091;f72:2.929091;f73:2.929091;f75:2.929091;f76:2.929091;f77:2.929091;f78:2.929091;f80:2.929091;f82:2.929091;f83:2.929091;f88:2.929091;f89:2.929091;f99:2.929091	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
ol$	REL_EXPLICIT_ATTACHMENT	51	15	36	87	2.7475584258	0.164767046591	0.999200159968	6	12	f100:0.454545;f102:-0.333333;f57:0.000000;f65:0.000000;f67:0.000000;f68:1.440678;f69:-0.340909;f70:0.000000;f71:0.000000;f72:-0.228261;f73:-0.088235;f75:0.000000;f76:0.000000;f77:0.714286;f78:0.000000;f80:0.000000;f82:0.750000;f83:0.333333;f88:-0.363636;f89:-0.090909;f99:0.500000	f100:2.293013;f102:3.080892;f57:2.747558;f65:2.747558;f67:2.747558;f68:1.306880;f69:3.088468;f70:2.747558;f71:2.747558;f72:2.975819;f73:2.835794;f75:2.747558;f76:2.747558;f77:2.033273;f78:2.747558;f80:2.747558;f82:1.997558;f83:2.414225;f88:3.111195;f89:2.838468;f99:2.247558	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
hol	REL_ARRAY_OR_GROUP	13	3	10	52	2.63207070707	0.00239952009598	0.999800039992	3	3	f100:0.818182;f102:0.888889;f57:0.000000;f65:0.000000;f67:0.000000;f68:0.000000;f69:0.000000;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.925000	f100:1.813889;f102:1.743182;f57:2.632071;f65:2.632071;f67:2.632071;f68:2.632071;f69:2.632071;f70:2.632071;f71:2.632071;f72:2.632071;f73:2.632071;f75:2.632071;f76:2.632071;f77:2.632071;f78:2.632071;f80:2.632071;f82:2.632071;f83:2.632071;f88:2.632071;f89:2.632071;f99:1.707071	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^ok	FIGURE	123	68	55	167	2.63116724739	0.0985802839432	0.999800039992	6	4	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.000000;f68:0.000000;f69:0.000000;f70:1.439024;f71:-0.000000;f72:0.000000;f73:-0.000000;f75:-0.040000;f76:0.000000;f77:0.857143;f78:0.000000;f80:0.000000;f82:0.375000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:2.631167;f102:2.631167;f57:2.631167;f65:2.631167;f67:2.631167;f68:2.631167;f69:2.631167;f70:1.192143;f71:2.631167;f72:2.631167;f73:2.631167;f75:2.671167;f76:2.631167;f77:1.774024;f78:2.631167;f80:2.631167;f82:2.256167;f83:2.631167;f88:2.631167;f89:2.631167;f99:2.631167	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^d$	REL_EXPLICIT_ATTACHMENT	12	6	6	96	2.62229516983	0.0149970005999	0.999800039992	3	4	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.000000;f68:1.084746;f69:0.886364;f70:0.000000;f71:0.000000;f72:-0.076087;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.727273;f99:0.000000	f100:2.622295;f102:2.622295;f57:2.622295;f65:2.622295;f67:2.622295;f68:1.537549;f69:1.735932;f70:2.622295;f71:2.622295;f72:2.698382;f73:2.622295;f75:2.622295;f76:2.622295;f77:2.622295;f78:2.622295;f80:2.622295;f82:2.622295;f83:2.622295;f88:2.622295;f89:1.895022;f99:2.622295	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
kch	REL_PROXIMITY	15	14	1	261	2.60625164418	0.0377924415117	0.999800039992	5	3	f100:-0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.000000;f68:1.372881;f69:0.477273;f70:0.756098;f71:0.000000;f72:0.000000;f73:0.000000;f75:-0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:2.606252;f102:2.606252;f57:2.606252;f65:2.606252;f67:2.606252;f68:1.233370;f69:2.128979;f70:1.850154;f71:2.606252;f72:2.606252;f73:2.606252;f75:2.606252;f76:2.606252;f77:2.606252;f78:2.606252;f80:2.606252;f82:2.606252;f83:2.606252;f88:2.606252;f89:2.606252;f99:2.606252	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
sho	REL_ARRAY_OR_GROUP	7	3	4	52	2.50580808081	0.00359928014397	1	3	4	f100:0.909091;f102:0.944444;f57:0.000000;f65:0.000000;f67:0.000000;f68:0.000000;f69:0.000000;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:-0.272727;f99:0.925000	f100:1.596717;f102:1.561364;f57:2.505808;f65:2.505808;f67:2.505808;f68:2.505808;f69:2.505808;f70:2.505808;f71:2.505808;f72:2.505808;f73:2.505808;f75:2.505808;f76:2.505808;f77:2.505808;f78:2.505808;f80:2.505808;f82:2.505808;f83:2.505808;f88:2.505808;f89:2.778535;f99:1.580808	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
hee	PLANT	5	3	2	139	2.47701078582	0.00139972005599	1	3	3	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.920000;f68:0.966102;f69:0.590909;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:2.477011;f102:2.477011;f57:2.477011;f65:2.477011;f67:1.557011;f68:1.510909;f69:1.886102;f70:2.477011;f71:2.477011;f72:2.477011;f73:2.477011;f75:2.477011;f76:2.477011;f77:2.477011;f78:2.477011;f80:2.477011;f82:2.477011;f83:2.477011;f88:2.477011;f89:2.477011;f99:2.477011	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
eod	REL_PROXIMITY	15	8	7	267	2.44718470359	0.0937812437512	1	5	6	f100:0.000000;f102:0.055556;f57:0.000000;f65:0.000000;f67:1.440000;f68:0.186441;f69:-0.090909;f70:0.756098;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.100000	f100:2.447185;f102:2.391629;f57:2.447185;f65:2.447185;f67:1.007185;f68:2.260744;f69:2.538094;f70:1.691087;f71:2.447185;f72:2.447185;f73:2.447185;f75:2.447185;f76:2.447185;f77:2.447185;f78:2.447185;f80:2.447185;f82:2.447185;f83:2.447185;f88:2.447185;f89:2.447185;f99:2.347185	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
od$	REL_PROXIMITY	17	9	8	266	2.36664269817	0.100179964007	1	4	4	f100:0.000000;f102:0.111111;f57:0.000000;f65:0.000000;f67:2.160000;f68:0.186441;f69:-0.090909;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:2.366643;f102:2.255532;f57:2.366643;f65:2.366643;f67:0.206643;f68:2.180202;f69:2.457552;f70:2.366643;f71:2.366643;f72:2.366643;f73:2.366643;f75:2.366643;f76:2.366643;f77:2.366643;f78:2.366643;f80:2.366643;f82:2.366643;f83:2.366643;f88:2.366643;f89:2.366643;f99:2.366643	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^ok	REL_ENCLOSURE	123	14	109	48	2.27495990899	0.250349930014	1	2	6	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:1.120000;f68:-1.711864;f69:0.000000;f70:-0.219512;f71:0.000000;f72:3.826087;f73:-0.588235;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:-0.151515;f99:0.000000	f100:2.274960;f102:2.274960;f57:2.274960;f65:2.274960;f67:1.154960;f68:3.986824;f69:2.274960;f70:2.494472;f71:2.274960;f72:-1.551127;f73:2.863195;f75:2.274960;f76:2.274960;f77:2.274960;f78:2.274960;f80:2.274960;f82:2.274960;f83:2.274960;f88:2.274960;f89:2.426475;f99:2.274960	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^o$	REL_EXPLICIT_ATTACHMENT	10	4	6	98	2.27118644068	0.0405918816237	1	3	3	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.000000;f68:0.271186;f69:0.545455;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:1.454545;f99:0.000000	f100:2.271186;f102:2.271186;f57:2.271186;f65:2.271186;f67:2.271186;f68:2.000000;f69:1.725732;f70:2.271186;f71:2.271186;f72:2.271186;f73:2.271186;f75:2.271186;f76:2.271186;f77:2.271186;f78:2.271186;f80:2.271186;f82:2.271186;f83:2.271186;f88:2.271186;f89:0.816641;f99:2.271186	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
to$	STAR_OR_SKY	8	8	0	292	2.14208425721	0.0697860427914	1	4	3	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:1.080000;f68:0.000000;f69:0.818182;f70:0.243902;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:2.142084;f102:2.142084;f57:2.142084;f65:2.142084;f67:1.062084;f68:2.142084;f69:1.323902;f70:1.898182;f71:2.142084;f72:2.142084;f73:2.142084;f75:2.142084;f76:2.142084;f77:2.142084;f78:2.142084;f80:2.142084;f82:2.142084;f83:2.142084;f88:2.142084;f89:2.142084;f99:2.142084	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
oka	REL_ENCLOSURE	23	4	19	58	2.13875767216	0.0941811637672	1	1	3	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.000000;f68:0.000000;f69:0.000000;f70:-0.365854;f71:0.000000;f72:2.565217;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:-0.060606;f99:0.000000	f100:2.138758;f102:2.138758;f57:2.138758;f65:2.138758;f67:2.138758;f68:2.138758;f69:2.138758;f70:2.504611;f71:2.138758;f72:-0.426460;f73:2.138758;f75:2.138758;f76:2.138758;f77:2.138758;f78:2.138758;f80:2.138758;f82:2.138758;f83:2.138758;f88:2.138758;f89:2.199364;f99:2.138758	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
ote	REL_ENCLOSURE	15	5	10	57	2.1163862601	0.130173965207	1	2	4	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.000000;f68:-0.016949;f69:0.000000;f70:-0.243902;f71:0.000000;f72:0.347826;f73:2.029412;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:2.116386;f102:2.116386;f57:2.116386;f65:2.116386;f67:2.116386;f68:2.133335;f69:2.116386;f70:2.360289;f71:2.116386;f72:1.768560;f73:0.086974;f75:2.116386;f76:2.116386;f77:2.116386;f78:2.116386;f80:2.116386;f82:2.116386;f83:2.116386;f88:2.116386;f89:2.116386;f99:2.116386	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
