locus	next_locus	page	physical_folio	section	currier	hand	source_group_count	source_member_count	last_field_group_count	last_field_tokens	last_field_hosts	next_first_field_group_count	next_first_field_tokens	selection_state
f4v.1	f4v.2	f4v	f4	H	A	1	6	27	6	pchooiin|ksheo|kchoy|chopchy|dolds|dlod	pchooiin|ksheo|kchoy|opchy|olds|lod	8	ol|chey|chy|cthy|shkchor|sheo|cheory|choldy	MECHANICAL_POST_FREEZE
f47v.1	f47v.2	f47v	f47	H	A	1	6	26	6	psheot|cheor|cholsho|chopchy|sal|sary	psheot|or|olsho|opchy|al|ary	5	dsheey|shy|cphy|otchey|daiidy	MECHANICAL_POST_FREEZE
f47v.7	f47v.8	f47v	f47	H	A	1	3	12	3	pchodaiin|dair|dcthy	pchod|air|cthy	4	daiin|cheotar|chodaly|sal	MECHANICAL_POST_FREEZE
f52v.7	f52v.8	f52v	f52	H	A	1	4	15	4	pcheol|sholoiin|cthor|aiin	pcheol|oloiin|cthor|aiin	5	kodaiin|cthy|qokeey|s|ol	MECHANICAL_POST_FREEZE
f7v.1	f7v.2	f7v	f7	H	A	1	8	36	5	qopchy|otshol|dy|daiin|tshodody	opchy|otshol|y|aiin|shodo	9	chochy|cthy|daiin|qoky|chcphhy|daiin|cthol|cthy|cthd	MECHANICAL_POST_FREEZE
f75r.47	f75r.48	f75r	f75	B	B	2	2	8	2	sal|okeedy	al|okee	2	daly|ychey	MECHANICAL_POST_FREEZE
f77r.38	f77r.39	f77r	f77	B	B	2	9	35	1	qol	l	6	olaiin|cheey|sheckhey|lsheey|qykaiin|sheedy	MECHANICAL_POST_FREEZE
f77v.16	f77v.17	f77v	f77	B	B	2	8	36	1	dasy	asy	1	olchedy	MECHANICAL_POST_FREEZE
f79r.7	f79r.8	f79r	f79	B	B	2	10	41	9	qokar|shey|qokl|ol|cheey|qokain|chey|qoty|qokar	ok|ey|okl|l|ey|ok|y|y|ok	2	qokol|cheedy	MECHANICAL_POST_FREEZE
f79v.12	f79v.13	f79v	f79	B	B	2	8	43	1	oky	oky	7	dain|ar|olshey|dytain|qokain|checthy|okeedy	MECHANICAL_POST_FREEZE
f82v.28	f82v.29	f82v	f82	B	B	2	8	38	8	tchal|olkair|sheeky|qolchey|qokar|shey|qokain|otshedy	ch|olk|eeky|olchey|ok|ey|ok|she	4	daiin|chey|qoky|shedy	MECHANICAL_POST_FREEZE
f83r.25	f83r.26	f83r	f83	B	B	2	6	31	2	chedy|otal	y|ot	5	otchey|qokeey|qoky|tol|shedy	MECHANICAL_POST_FREEZE
f83r.47	f83r.48	f83r	f83	B	B	2	3	16	1	shedal	ed	5	dal|cheol|lol|chdal|aiin	MECHANICAL_POST_FREEZE
f85r2.2	f85r2.3	f85r2	f85	C	B	2	5	14	5	sain|or|or|aiin|opchdy	ain|or|or|aiin|opch	2	qotor|sheedy	MECHANICAL_POST_FREEZE
f85r2.12	f85r2.13	f85r2	f85	C	B	2	4	17	4	otchs|shedor|chey|sorain	otchs|edor|y|or	2	or|shedy	MECHANICAL_POST_FREEZE
f89r1.6	f89r1.7	f89r1	f89	P	A	1	10	42	10	qoar|shar|qopcholy|qokod|chepy|dar|sheey|okor|sheeos|oldain	o|ar|opcholy|okod|py|ar|eey|okor|eeos|old	1	dshody	MECHANICAL_POST_FREEZE
f9r.1	f9r.2	f9r	f9	H	A	1	10	33	10	tydlo|choly|cthor|orchey|s|shy|odaiin|sary|shor|cthy	ydlo|oly|cthor|orchey|s|y|d|ary|or|cthy	4	oykeey|chol|ytaiin|okchody	MECHANICAL_POST_FREEZE
f9v.1	f9v.2	f9v	f9	H	A	1	10	43	8	opy|shor|daiin|qopchypcho|qofol|shol|cfhol|daiin	opy|or|aiin|opchypcho|ofol|l|cfhol|aiin	11	dchor|qoaiin|chkaiin|cthor|chol|chor|cphol|dy|oty|qokaiin|dy	MECHANICAL_POST_FREEZE
f95r1.1	f95r1.2	f95r1	f95	H	B	3	9	39	7	ofaiin|ol|oldaiin|opshol|qokaiin|oty|odain	of|l|old|opshol|ok|y|d	12	ol|chdy|chdy|qokaiin|shdy|qokaiin|chdy|kol|chdy|qoty|oky|dan	MECHANICAL_POST_FREEZE
f95r2.5	f95r2.6	f95r2	f95	H	B	3	9	40	1	kary	kary	11	y|olkor|ol|shol|qotar|chdy|chdy|qokar|okar|qokar|odaly	MECHANICAL_POST_FREEZE
f96r.1	f96r.2	f96r	f96	H	A	1	7	32	7	tor|cheeor|ckheos|olsheeosol|cpheol|cpheor|chodar	or|eor|ckheos|olsheeosol|cpheol|cpheor|d	5	ytol|oteeor|sheol|oteey|qokeody	MECHANICAL_POST_FREEZE
