residual_host	additional_field_occurrences	raw_group_occurrences	closing_occurrences	closing_fraction	pages	physical_folios	token_variants	tokens	prefix_variants	prefixes	record_states	field_template_count	exact_label_rows	unhedged_label_rows	label_object_tags	eligible_candidate	claim_state
otol	2	2	1	0.500000000000	2	2	2	otoldy|qotol	2	NONE|q	DY_RESOLUTION|OT_OL_LOCAL	2	5	4	FIGURE|LABEL|PLANT|STAR_OR_SKY|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oty	2	2	0	0.000000000000	2	1	1	oty	1	NONE	OTHER	2	4	2	FIGURE|LABEL|STAR_OR_SKY|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
s	2	2	0	0.000000000000	1	1	1	s	1	NONE	OTHER	2	6	5	LABEL|PLANT|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
yke	2	2	2	1.000000000000	2	2	1	ykedy	1	NONE	DY_RESOLUTION	1	1	1	FIGURE|LABEL|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ypche	2	2	2	1.000000000000	2	2	1	ypchedy	1	NONE	DY_RESOLUTION	2	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ytch	2	2	2	1.000000000000	2	2	1	ytchdy	1	NONE	DY_RESOLUTION	2	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
aiir	1	1	0	0.000000000000	1	1	1	aiir	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
alch	1	1	1	1.000000000000	1	1	1	alchdy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
alol	1	1	0	0.000000000000	1	1	1	dalol	1	d	AL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
alsh	1	1	1	1.000000000000	1	1	1	dalshdy	1	d	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
am	1	1	0	0.000000000000	1	1	1	cham	1	ch	CARRIER_STATE	1	4	1	FIGURE|LABEL|PLANT|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
aral	1	1	0	0.000000000000	1	1	1	daral	1	d	AR_REFERENCE	1	1	1	FIGURE|LABEL|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
aro	1	1	1	1.000000000000	1	1	1	arody	1	NONE	DY_RESOLUTION	1	1	0	LABEL|PLANT	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
cfhekch	1	1	1	1.000000000000	1	1	1	cfhekchdy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
cfhol	1	1	0	0.000000000000	1	1	1	chcfhol	1	ch	OL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
chor	1	1	0	0.000000000000	1	1	1	tchor	1	t	ENTRY_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ckhcfhhy	1	1	0	0.000000000000	1	1	1	ckhcfhhy	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ckhd	1	1	0	0.000000000000	1	1	1	chckhd	1	ch	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ckhe	1	1	1	1.000000000000	1	1	1	ckhedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ckheo	1	1	1	1.000000000000	1	1	1	chckheody	1	ch	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
cphy	1	1	0	0.000000000000	1	1	1	cphy	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
cthe	1	1	1	1.000000000000	1	1	1	chcthedy	1	ch	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
cthy	1	1	0	0.000000000000	1	1	1	chcthy	1	ch	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
d	1	1	0	0.000000000000	1	1	1	chd	1	ch	CARRIER_STATE	1	2	2	LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
daiin	1	1	0	0.000000000000	1	1	1	chdaiin	1	ch	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
dain	1	1	0	0.000000000000	1	1	1	chdain	1	ch	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
daly	1	1	0	0.000000000000	1	1	1	chdaly	1	ch	AL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
dch	1	1	1	1.000000000000	1	1	1	shdchdy	1	sh	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
do	1	1	1	1.000000000000	1	1	1	chdody	1	ch	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
dysh	1	1	1	1.000000000000	1	1	1	chdyshdy	1	ch	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ed	1	1	0	0.000000000000	1	1	1	shed	1	sh	ED_MEDIUM	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
eedal	1	1	0	0.000000000000	1	1	1	teedal	1	t	AL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
efch	1	1	1	1.000000000000	1	1	1	shefchdy	1	sh	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ekeey	1	1	0	0.000000000000	1	1	1	qekeey	1	q	Q_OUTER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ekshey	1	1	0	0.000000000000	1	1	1	shekshey	1	sh	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
eky	1	1	0	0.000000000000	1	1	1	sheky	1	sh	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
eodaiin	1	1	0	0.000000000000	1	1	1	sheodaiin	1	sh	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
eokeol	1	1	0	0.000000000000	1	1	1	sheokeol	1	sh	OL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
eos	1	1	0	0.000000000000	1	1	1	sheos	1	sh	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
eoteey	1	1	0	0.000000000000	1	1	1	teoteey	1	t	ENTRY_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
epy	1	1	0	0.000000000000	1	1	1	shepy	1	sh	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ey	1	1	0	0.000000000000	1	1	1	shey	1	sh	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
far	1	1	0	0.000000000000	1	1	1	chefar	1	che	AR_REFERENCE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
fche	1	1	1	1.000000000000	1	1	1	fchedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
fchodaiin	1	1	0	0.000000000000	1	1	1	fchodaiin	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
kain	1	1	0	0.000000000000	1	1	1	chkain	1	ch	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
kar	1	1	0	0.000000000000	1	1	1	chekar	1	che	AR_REFERENCE	1	1	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
kcheey	1	1	0	0.000000000000	1	1	1	chekcheey	1	che	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
key	1	1	0	0.000000000000	1	1	1	chkey	1	ch	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
koto	1	1	1	1.000000000000	1	1	1	kotody	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
lch	1	1	1	1.000000000000	1	1	1	lchdy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
lolkeol	1	1	0	0.000000000000	1	1	1	lolkeol	1	NONE	OL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
los	1	1	0	0.000000000000	1	1	1	los	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
lshe	1	1	1	1.000000000000	1	1	1	lshedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ockhh	1	1	1	1.000000000000	1	1	1	qockhhdy	1	q	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
octhy	1	1	0	0.000000000000	1	1	1	chocthy	1	ch	CARRIER_STATE	1	2	0	FIGURE|LABEL|PLANT|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
odaiin	1	1	0	0.000000000000	1	1	1	qodaiin	1	q	Q_OUTER_STATE	1	1	1	LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
odal	1	1	0	0.000000000000	1	1	1	odal	1	NONE	AL_STATE	1	1	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
odam	1	1	0	0.000000000000	1	1	1	odam	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
odar	1	1	0	0.000000000000	1	1	1	odar	1	NONE	AR_REFERENCE	1	2	0	LABEL|PLANT|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ofair	1	1	0	0.000000000000	1	1	1	ofair	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ofch	1	1	1	1.000000000000	1	1	1	ofchdy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ofcheepy	1	1	0	0.000000000000	1	1	1	qofcheepy	1	q	Q_OUTER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ok	1	1	0	0.000000000000	1	1	1	ok	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okaiin	1	1	0	0.000000000000	1	1	1	okaiin	1	NONE	OTHER	1	4	2	FIGURE|LABEL|PLANT|STAR_OR_SKY|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okaly	1	1	0	0.000000000000	1	1	1	qokaly	1	q	AL_STATE	1	4	1	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okche	1	1	1	1.000000000000	1	1	1	okchedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okchey	1	1	0	0.000000000000	1	1	1	okchey	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okchy	1	1	0	0.000000000000	1	1	1	okchy	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okedo	1	1	1	1.000000000000	1	1	1	okedody	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oko	1	1	1	1.000000000000	1	1	1	qokody	1	q	DY_RESOLUTION	1	2	1	FIGURE|LABEL|PLANT|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okshey	1	1	0	0.000000000000	1	1	1	okshey	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
olaiin	1	1	0	0.000000000000	1	1	1	olaiin	1	NONE	OL_STATE	1	2	1	FIGURE|LABEL|PLANT	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
olfche	1	1	1	1.000000000000	1	1	1	olfchedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
olkedaiin	1	1	0	0.000000000000	1	1	1	olkedaiin	1	NONE	OL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
olkee	1	1	1	1.000000000000	1	1	1	olkeedy	1	NONE	DY_RESOLUTION	1	1	1	FIGURE|LABEL	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
olky	1	1	0	0.000000000000	1	1	1	olky	1	NONE	OL_STATE	1	2	2	FIGURE|LABEL|PLANT	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
olol	1	1	1	1.000000000000	1	1	1	ololdy	1	NONE	DY_RESOLUTION	1	2	1	FIGURE|LABEL|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oltche	1	1	1	1.000000000000	1	1	1	oltchedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
olte	1	1	1	1.000000000000	1	1	1	oltedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oly	1	1	0	0.000000000000	1	1	1	oly	1	NONE	OL_STATE	1	1	0	LABEL|PLANT	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
opal	1	1	1	1.000000000000	1	1	1	opaldy	1	NONE	DY_RESOLUTION	1	1	0	FIGURE|LABEL|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
opche	1	1	1	1.000000000000	1	1	1	opchedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
opchety	1	1	0	0.000000000000	1	1	1	opchety	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
opchey	1	1	0	0.000000000000	1	1	1	opchey	1	NONE	OTHER	1	1	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
or	1	1	0	0.000000000000	1	1	1	or	1	NONE	OTHER	1	2	1	LABEL|PLANT	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
os	1	1	0	0.000000000000	1	1	1	cheos	1	che	CARRIER_STATE	1	2	2	LABEL|PLANT|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ot	1	1	0	0.000000000000	1	1	1	qot	1	q	Q_OUTER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
otain	1	1	0	0.000000000000	1	1	1	otain	1	NONE	OTHER	1	1	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
otche	1	1	1	1.000000000000	1	1	1	otchedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
otcho	1	1	1	1.000000000000	1	1	1	otchody	1	NONE	DY_RESOLUTION	1	1	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
otchy	1	1	0	0.000000000000	1	1	1	otchy	1	NONE	OTHER	1	1	1	LABEL|PLANT	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
otee	1	1	1	1.000000000000	1	1	1	oteedy	1	NONE	DY_RESOLUTION	1	1	1	FIGURE|LABEL|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oteedar	1	1	0	0.000000000000	1	1	1	qoteedar	1	q	AR_REFERENCE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oteey	1	2	0	0.000000000000	1	1	1	oteey	1	NONE	OTHER	1	1	0	LABEL|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oteodaiin	1	1	0	0.000000000000	1	1	1	oteodaiin	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
otolches	1	1	0	0.000000000000	1	1	1	otolches	1	NONE	OT_OL_LOCAL	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
otsh	1	1	0	0.000000000000	1	1	1	otsh	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oykee	1	1	1	1.000000000000	1	1	1	oykeedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
pch	1	1	1	1.000000000000	1	1	1	pchdy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
pchefy	1	1	0	0.000000000000	1	1	1	chepchefy	1	che	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
tal	1	1	0	0.000000000000	1	1	1	chtal	1	ch	AL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
tar	1	1	0	0.000000000000	1	1	1	chetar	1	che	AR_REFERENCE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
tch	1	1	1	1.000000000000	1	1	1	chetchdy	1	che	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ty	1	1	0	0.000000000000	1	1	1	chety	1	che	CARRIER_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ydy	1	1	1	1.000000000000	1	1	1	dydydy	1	d	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
yfch	1	1	1	1.000000000000	1	1	1	yfchdy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykaiin	1	1	0	0.000000000000	1	1	1	ykaiin	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykaly	1	1	0	0.000000000000	1	1	1	dykaly	1	d	AL_STATE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykar	1	1	0	0.000000000000	1	1	1	ykar	1	NONE	AR_REFERENCE	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykee	1	1	1	1.000000000000	1	1	1	ykeedy	1	NONE	DY_RESOLUTION	1	1	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykeee	1	1	1	1.000000000000	1	1	1	ykeeedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykeeey	1	1	0	0.000000000000	1	1	1	ykeeey	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykeeo	1	1	1	1.000000000000	1	1	1	ykeeody	1	NONE	DY_RESOLUTION	1	1	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykeeodam	1	1	0	0.000000000000	1	1	1	ykeeodam	1	NONE	OTHER	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykeo	1	1	1	1.000000000000	1	1	1	ykeody	1	NONE	DY_RESOLUTION	1	1	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ykol	1	1	1	1.000000000000	1	1	1	ykoldy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
yote	1	1	1	1.000000000000	1	1	1	yotedy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
