locus	groups	expected_groups	coverage	missing_or_unstable_groups	surface_sequence	record_state_sequence	structural_translation	dy_checkpoints	b3_closers	exact_label_echoes	provisional_semantic_annotation	semantic_status	reading_basis
f77r.22	10	10	COMPLETE	0	qoteedy | al | lchedy | r | oin | chy | chedaiin | cheey | okedy | qoky	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ee,F=OT,DY=1] ; FIELD[H=al] ; FIELD[H=lche,DY=1] ; FIELD[H=r] ; FIELD[H=oin] ; FIELD[W=ch,H=y] ; FIELD[W=che,H=d,R=aiin] ; FIELD[W=che,H=ey] ; FIELD[H=oke,DY=1] ; FIELD[W=q,H=oky]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.24	6	7	PARTIAL_STRICT_CONSENSUS	1	daiin | dol | shor | cphey | shear | qolchy	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=d,H=aiin] ; FIELD[W=d,H=l,F=O] ; FIELD[W=sh,H=or] ; FIELD[H=cphey] ; FIELD[W=sh,H=e,R=ar] ; FIELD[W=q,H=olchy]	0	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.25	7	8	PARTIAL_STRICT_CONSENSUS	1	otedy | shedy | qokal | shedar | dal | chedy | daror	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[H=e,F=OT,DY=1] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=ok,R=al] ; FIELD[W=sh,H=ed,R=ar] ; FIELD[W=d,H=al] ; FIELD[W=che,H=y,D=1] ; FIELD[W=d,H=aror]	2	0	otedy	otedy=DRY_LABEL_ECHO	POSTHOC_CANDIDATE_ECHO_NOT_TRANSLATION	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.26	6	6	COMPLETE	0	qoteedy | qokeedy | qokaiin | chcthy | lchedy | qokaly	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ee,F=OT,DY=1] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=ok,R=aiin] ; FIELD[W=ch,H=cthy] ; FIELD[H=lche,DY=1] ; FIELD[W=q,H=okaly]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.27	6	6	COMPLETE	0	solchedy | qokain | okaiin | shedy | qokeedy | qotedy	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=s,H=olche,DY=1] ; FIELD[W=q,H=ok,R=ain] ; FIELD[H=ok,R=aiin] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=e,F=OT,DY=1]	4	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.28	6	6	COMPLETE	0	olchey | qotey | qokain | olcheedy | sar | lom	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[H=olchey] ; FIELD[W=q,H=otey] ; FIELD[W=q,H=ok,R=ain] ; FIELD[H=olchee,DY=1] ; FIELD[W=s,H=ar] ; FIELD[H=lo,B3=1]	1	1		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.29	5	5	COMPLETE	0	saiin | cheeol | qokeedy | qokeedy | qotal	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=s,H=aiin] ; FIELD[W=che,H=eol] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=ot,R=al]	2	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.30	2	6	PARTIAL_STRICT_CONSENSUS	4	qokaiin | chckhey	UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ok,R=aiin] ; FIELD[W=ch,H=ckhey]	0	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.31	6	6	COMPLETE	0	qokain | chckhy | qokeey | qotedy | qotedy | qotary	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ok,R=ain] ; FIELD[W=ch,H=ckhy] ; FIELD[W=q,H=okeey] ; FIELD[W=q,H=e,F=OT,DY=1] ; FIELD[W=q,H=e,F=OT,DY=1] ; FIELD[W=q,H=otary]	2	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.33	8	9	PARTIAL_STRICT_CONSENSUS	1	daiin | chedy | qol | keedy | qoteeedy | sar | cheety | dy	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=d,H=aiin] ; FIELD[W=che,H=y,D=1] ; FIELD[W=q,H=l,F=O] ; FIELD[H=kee,DY=1] ; FIELD[W=q,H=eee,F=OT,DY=1] ; FIELD[W=s,H=ar] ; FIELD[W=che,H=ety] ; FIELD[W=d,H=y]	2	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.34	4	8	PARTIAL_STRICT_CONSENSUS	4	qokaiin | shedy | chedy | qokaiin	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ok,R=aiin] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=che,H=y,D=1] ; FIELD[W=q,H=ok,R=aiin]	1	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.35	7	8	PARTIAL_STRICT_CONSENSUS	1	solkeey | okaiin | chedy | qokain | sheedy | chedaiin | chealy	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=s,H=olkeey] ; FIELD[H=ok,R=aiin] ; FIELD[W=che,H=y,D=1] ; FIELD[W=q,H=ok,R=ain] ; FIELD[W=sh,H=ee,DY=1] ; FIELD[W=che,H=d,R=aiin] ; FIELD[W=che,H=aly]	1	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.37	7	7	COMPLETE	0	teeolain | chey | qoteedy | qokain | cheedy | cheey | lchedy	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=t,H=eeol,R=ain] ; FIELD[W=che,H=y] ; FIELD[W=q,H=ee,F=OT,DY=1] ; FIELD[W=q,H=ok,R=ain] ; FIELD[W=che,H=e,DY=1] ; FIELD[W=che,H=ey] ; FIELD[H=lche,DY=1]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.38	9	9	COMPLETE	0	pol | shedy | qoeedy | qokaiin | chcphey | qol | ltaiin | shedy | qol	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[H=pol] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=ee,F=O,DY=1] ; FIELD[W=q,H=ok,R=aiin] ; FIELD[W=ch,H=cphey] ; FIELD[W=q,H=l,F=O] ; FIELD[H=lt,R=aiin] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=l,F=O]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.39	7	7	COMPLETE	0	olaiin | cheey | sheckhey | lsheey | qykaiin | sheedy | laiin	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[H=l,F=O,R=aiin] ; FIELD[W=che,H=ey] ; FIELD[W=sh,H=eckhey] ; FIELD[H=lsheey] ; FIELD[W=q,H=yk,R=aiin] ; FIELD[W=sh,H=ee,DY=1] ; FIELD[H=l,R=aiin]	1	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.40	8	8	COMPLETE	0	daiiin | ol | eeedy | okaiin | sheeol | qotaiin | shody | qoty	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=d,H=aiiin] ; FIELD[H=l,F=O] ; FIELD[H=eee,DY=1] ; FIELD[H=ok,R=aiin] ; FIELD[W=sh,H=eeol] ; FIELD[W=q,H=ot,R=aiin] ; FIELD[W=sh,H=o,DY=1] ; FIELD[W=q,H=y,F=OT]	2	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.41	2	10	PARTIAL_STRICT_CONSENSUS	8	daiin | sh	UNAVAILABLE > UNAVAILABLE	FIELD[W=d,H=aiin] ; FIELD[W=s,H=h]	0	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.44	8	8	COMPLETE	0	sheey | qepchedy | qol | cheedy | qokear | cheey | loly | dy	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=sh,H=eey] ; FIELD[W=q,H=epche,DY=1] ; FIELD[W=q,H=l,F=O] ; FIELD[W=che,H=e,DY=1] ; FIELD[W=q,H=oke,R=ar] ; FIELD[W=che,H=ey] ; FIELD[H=loly] ; FIELD[W=d,H=y]	2	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.45	5	10	PARTIAL_STRICT_CONSENSUS	5	qokaiin | ches | lchear | dal | chr	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ok,R=aiin] ; FIELD[W=che,H=s] ; FIELD[H=lche,R=ar] ; FIELD[W=d,H=al] ; FIELD[W=ch,H=r]	0	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.46	4	8	PARTIAL_STRICT_CONSENSUS	4	daiin | chlchpsheey | tal | cheol	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=d,H=aiin] ; FIELD[W=ch,H=lchpsheey] ; FIELD[W=t,H=al] ; FIELD[W=che,H=l,F=O]	0	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.48	2	2	COMPLETE	0	sodar | oloky	UNAVAILABLE > UNAVAILABLE	FIELD[W=s,H=d,F=O,R=ar] ; FIELD[H=oloky]	0	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
