locus	page	physical_folio	group_index	branch	current_state	previous_dy_token	current_token	current_family	claim_state
f114v.23	f114v	f114	5	Q	AR_REFERENCE	qotchedy	qotchdar	DAQKBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f114v.8	f114v	f114	3	Q	ED_MEDIUM	qoteedy	qokedain	DAQJBAF	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f115r.13	f115r	f115	4	Q	Q_OUTER_STATE	qokchedy	qotchd	DAQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f115r.5	f115r	f115	8	Q	ED_MEDIUM	qokedy	qokeed	DAQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f115v.3	f115v	f115	7	Q	ED_MEDIUM	qotedy	lkedain	BQJBAF	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f116r.8	f116r	f116	7	Q	AR_REFERENCE	qotody	oteedar	AQKBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f26r.8	f26r	f26	4	Q	AR_REFERENCE	qokeedy	qoteedar	DAQKBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f34v.4	f34v	f34	4	Q	AR_REFERENCE	shedy	qokedar	DAQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f41r.11	f41r	f41	4	Q	ED_MEDIUM	chekeedy	cheked	KJQJB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f48v.4	f48v	f48	9	Q	ED_MEDIUM	yteedy	oteed	AQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f57r.10	f57r	f57	3	L	ED_MEDIUM	kedy	shedaiin	LJBAG	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f75v.45	f75v	f75	7	Q	ED_MEDIUM	okeedy	qokeed	DAQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f76r.19	f76r	f76	11	Q	ED_MEDIUM	qolchedy	otedyl	AQJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f76r.48	f76r	f76	8	Q	ED_MEDIUM	oteedy	okedor	AQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f76v.11	f76v	f76	10	L	ED_MEDIUM	qokedy	shedam	LJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f76v.5	f76v	f76	5	Q	ED_MEDIUM	chcthedy	qoteed	DAQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f76v.7	f76v	f76	10	Q	AR_REFERENCE	qokedy	okedar	AQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f77r.17	f77r	f77	4	L	ED_MEDIUM	qokedy	sheed	LKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f77v.12	f77v	f77	2	L	AL_STATE	lchedy	shedal	LJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f77v.28	f77v	f77	3	Q	ED_MEDIUM	qokedy	qoked	DAQJB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f79v.8	f79v	f79	4	Q	OL_STATE	okedy	tedyol	QJBAAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f81v.12	f81v	f81	8	Q	ED_MEDIUM	chetedy	lkedey	BQJBJA	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f82v.20	f82v	f82	6	L	AR_REFERENCE	qokedy	rsheedar	CLKBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f82v.5	f82v	f82	4	Q	AL_STATE	qokeedy	qokedal	DAQJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f83r.34	f83r	f83	3	L	OL_STATE	lchedy	dolshed	BABLJB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f83r.47	f83r	f83	3	L	AL_STATE	qokchdy	shedal	LJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f83v.2	f83v	f83	5	Q	AR_REFERENCE	shedy	qotedar	DAQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f83v.4	f83v	f83	7	Q	AR_REFERENCE	qokeedy	qokedar	DAQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f84v.3	f84v	f84	5	Q	AR_REFERENCE	qotedy	otedar	AQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f84v.5	f84v	f84	4	Q	ED_MEDIUM	shedy	qokeed	DAQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f85r1.7	f85r1	f85	8	Q	AR_REFERENCE	qotchedy	kchdar	QKBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f86v3.26	f86v3	f86	4	L	ED_MEDIUM	oteedy	shedaiin	LJBAG	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
