page_host	length	occurrences	pages	folios	sections	neighbor_degree	mean_outer_component_entropy	claim_state
oly	3	43	29	26	B|H|P|S|T	13	0.325634491314	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
she	3	42	31	24	B|C|H|S|T	3	0.513793019014	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eor	3	34	28	23	B|C|H|P|S|T	16	0.393989282137	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
cth	3	33	26	25	B|H|S|T	2	0.690087458170	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
cho	3	31	24	22	H|S|T	6	0.884368784446	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eky	3	29	27	22	B|H|P|S|T	12	0.201443928528	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ary	3	26	22	20	B|C|H|S|T	8	0.354747867105	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
an	2	25	19	17	B|H|S	8	0.350219212900	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ke	2	25	20	18	B|H|S|T	6	0.338265693313	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kee	3	25	21	17	B|H|S	5	0.293111322508	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oka	3	24	23	20	B|C|H|P|S|T	9	0.273619678448	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
op	2	24	18	18	B|H|P|S|T	8	0.658559253835	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
aly	3	23	20	16	B|H|S|T	11	0.382794449939	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
es	2	23	18	16	B|H|P|S	10	0.378615989685	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lol	3	23	19	16	B|H|S|T	11	0.114041220944	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ckh	3	21	19	17	B|H|S|T	2	0.692462345942	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eeo	3	21	19	15	B|C|H|P|S	7	0.776442846701	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ty	2	21	20	18	B|H|P|S|T	11	0.203615817939	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lor	3	20	16	14	B|H|S|T	12	0.047732826186	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
old	3	19	15	14	C|H|P|S	10	0.717872250749	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eed	3	18	17	14	B|H|S	8	0.934104147589	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ory	3	18	16	14	B|H|P|S	10	0.325393546899	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
pol	3	17	13	12	B|H|P|S	10	0.328078054884	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
alk	3	16	10	9	C|H|S	8	0.486197944951	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kol	3	16	15	15	B|H|P|S	9	0.260767498189	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oko	3	16	15	13	H|P|S|T	11	0.575040914307	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oto	3	16	16	15	H|P|S	7	0.561016512106	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ees	3	15	14	14	B|C|H|P|S	9	0.634086137565	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
shy	3	15	14	14	B|H|S	4	0.709140443144	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yd	2	15	14	13	H|P|S|T	11	0.311933710235	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lke	3	14	12	10	B|H|S|T	7	0.123744108880	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eod	3	13	13	13	H|P|S|T	13	0.494393489486	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ols	3	13	13	12	B|H|P|S|T	10	0.416190086023	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yte	3	13	11	9	B|H|S|T	6	0.130414521210	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kor	3	12	12	11	H|P|S	12	0.068969475051	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lch	3	12	11	8	B|H|S|T	5	0.399694098451	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
sho	3	12	12	12	H|P|S	3	0.330355851001	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yky	3	12	10	9	H|S|T	14	0.198120312590	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ek	2	11	10	9	B|H|S|T	11	0.554510918268	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eos	3	11	11	9	C|H|P|S	12	0.321768639496	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kch	3	11	10	9	C|H	5	0.427076893394	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
keo	3	11	9	9	H|P|S|T	5	0.144309436243	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
key	3	11	10	10	B|H|P|S	7	0.298321512552	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lky	3	11	9	8	B|S	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
olo	3	11	9	9	B|H	16	0.624322126202	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yty	3	11	11	10	B|H|P	8	0.334147694015	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eee	3	10	8	8	B|S|T	11	0.556983531485	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ety	3	10	10	10	B|H|S	10	0.307739890779	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lo	2	10	10	9	B|S	16	0.303213681068	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
of	2	10	8	7	H|P|S	7	0.600536499020	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
sh	2	10	10	9	B|H|S	5	0.829028264762	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ald	3	9	8	7	H|P|S	9	0.612197222703	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
cph	3	9	8	8	B|H|S|T	2	0.407006195639	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
por	3	9	8	7	B|H|P|S	12	0.360166843547	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ara	3	8	8	8	H|S	7	0.317606510372	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ko	2	8	8	8	H|S|T	11	0.520426041486	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
olt	3	8	6	5	B|H|S|T	10	0.534072333821	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
opy	3	8	8	8	B|H|P|S|T	7	0.317606510372	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
pch	3	8	8	8	B|H|S	5	0.536152864448	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
rol	3	8	7	7	B|H|S	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ror	3	8	7	6	B|S	12	0.090594073867	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yta	3	8	8	7	C|H|S|T	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ly	2	7	7	5	B|H|P	17	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
okl	3	7	5	5	B|S	8	0.098612129764	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
aii	3	6	5	5	H|S	4	0.333333333333	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
aro	3	6	6	6	H|P|S	6	0.469991237182	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
da	2	6	5	5	H|S|T	6	0.724025876841	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ka	2	6	6	6	B|H	9	0.316941931506	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lr	2	6	5	4	B|S	11	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lt	2	6	6	6	B|S|T	13	0.298746875060	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ail	3	5	5	3	H|S	5	0.390316864818	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ala	3	5	5	4	H|S	11	0.253654682481	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
alo	3	5	5	5	B|H|S	11	0.605796646375	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
et	2	5	5	5	B|H|S	11	0.640642698296	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
los	3	5	5	5	B|H|S	7	0.240642698296	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ora	3	5	5	5	B|H|S|T	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
py	2	5	5	5	H|P|S|T	10	0.120321349148	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ych	3	5	5	5	H|S	5	0.440642698296	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yke	3	5	4	4	B|H|S	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yto	3	5	4	3	H|T	6	0.161825099076	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ai	2	4	4	4	H|S	7	0.437092708153	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eda	3	4	4	3	B|S	4	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ked	3	4	4	3	H|S	7	0.385213020743	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ksh	3	4	4	4	B|H|S|T	6	0.416666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ld	2	4	4	4	B|H|T	13	0.270426041486	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lkl	3	4	4	4	S	6	0.135213020743	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lod	3	4	4	4	H|S|T	9	0.301879687410	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ls	2	4	4	4	B|H|S	12	0.135213020743	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oek	3	4	4	4	H|S	3	0.500000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oin	3	4	4	4	B|S	3	0.250000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ro	2	4	3	3	H|S	10	0.135213020743	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ry	2	4	4	4	H|S	11	0.135213020743	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yp	2	4	3	3	S|T	8	0.135213020743	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ak	2	3	3	3	B|S	11	0.417209722463	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
als	3	3	3	3	H|P	9	0.153049305676	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
chd	3	3	3	3	H|S|T	5	0.417209722463	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eok	3	3	3	3	S|T	11	0.153049305676	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eoy	3	3	3	3	H|S	13	0.153049305676	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eta	3	3	3	3	H|S|T	5	0.264160416787	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
la	2	3	3	3	B|S|T	14	0.153049305676	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ola	3	3	3	3	S	12	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oro	3	3	3	3	H	11	0.459147917027	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
pd	2	3	3	3	T	6	0.153049305676	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
pod	3	3	3	3	H|S|T	10	0.153049305676	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
tol	3	3	3	3	H	7	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ys	2	3	3	3	H|P	10	0.306098611351	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
aky	3	2	2	2	H|S	8	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
alg	3	2	2	2	H|P	8	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
alt	3	2	2	2	B|S	8	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
arl	3	2	2	2	H|S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eek	3	2	2	1	S	9	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eke	3	2	2	2	B	8	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kl	2	2	2	2	H|S	9	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kod	3	2	2	2	H|P	10	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lka	3	2	2	2	C|S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ll	2	2	1	1	S	14	0.333333333333	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
odl	3	2	2	2	H|S	4	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oet	3	2	2	2	H|P	3	0.333333333333	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
olr	3	2	1	1	S	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
opa	3	2	2	2	S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
opd	3	2	1	1	S	3	0.333333333333	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
po	2	2	2	2	H|S	9	0.333333333333	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
pok	3	2	2	2	B|S	5	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
pyd	3	2	2	2	H	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ra	2	2	2	2	S	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
rar	3	2	2	1	S	3	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
sey	3	2	2	2	H|T	4	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
tch	3	2	2	2	H	5	0.333333333333	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yka	3	2	2	2	H|P	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yl	2	2	2	2	H|S	12	0.166666666667	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yor	3	2	2	2	H	10	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ada	3	1	1	1	S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ag	2	1	1	1	B	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
aid	3	1	1	1	H	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
am	2	1	1	1	S	7	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ama	3	1	1	1	H	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
amo	3	1	1	1	H	3	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
aor	3	1	1	1	P	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
asy	3	1	1	1	B	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
at	2	1	1	1	H	11	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
chk	3	1	1	1	H	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
chs	3	1	1	1	S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
co	2	1	1	1	H	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
dol	3	1	1	1	S	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
dy	2	1	1	1	H	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ea	2	1	1	1	H	12	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eds	3	1	1	1	B	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eet	3	1	1	1	S	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
efy	3	1	1	1	S	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eoe	3	1	1	1	S	11	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eot	3	1	1	1	S	10	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
