locus	page	physical_folio	register	hand	group_index	group_count	token	first_member	physical_line_start
f8v.14	f8v	f8	HA	1	8	9	tchy	Q2	0
f87v.9	f87v	f87	HA	1	1	3	techol	Q2	1
f9r.1	f9r	f9	HA	1	1	10	tydlo	Q2	1
f9r.2	f9r	f9	HA	1	5	9	toeoky	Q2	0
f90r1.2	f90r1	f90	HA	1	2	6	tor	Q2	0
f93r.23	f93r	f93	HA	1	4	4	teols	Q2	0
f96r.1	f96r	f96	HA	1	1	7	tor	Q2	1
f96r.11	f96r	f96	HA	1	1	7	teol	Q2	1
f96r.5	f96r	f96	HA	1	4	7	tol	Q2	0
f96r.9	f96r	f96	HA	1	1	6	todar	Q2	1
f33v.11	f33v	f33	HB	2	1	4	tar	Q2	1
f34v.2	f34v	f34	HB	2	1	11	tol	Q2	1
f34v.4	f34v	f34	HB	2	1	10	tchdaiin	Q2	1
f39r.9	f39r	f39	HB	2	1	5	tchedy	Q2	1
f39v.14	f39v	f39	HB	2	1	4	tar	Q2	1
f40r.11	f40r	f40	HB	2	1	4	toar	Q2	1
f40v.10	f40v	f40	HB	2	1	4	tchkaiin	Q2	1
f40v.10	f40v	f40	HB	2	2	4	tchedy	Q2	0
f40v.13	f40v	f40	HB	2	1	7	toees	Q2	1
f43v.3	f43v	f43	HB	2	1	12	tody	Q2	1
f43v.3	f43v	f43	HB	2	2	12	teedy	Q2	0
f43v.7	f43v	f43	HB	2	5	10	tedy	Q2	0
f46r.12	f46r	f46	HB	2	1	12	techy	Q2	1
f46r.4	f46r	f46	HB	2	1	10	tshedar	Q2	1
f48r.3	f48r	f48	HB	5	3	13	teoteey	Q2	0
f48v.10	f48v	f48	HB	5	1	13	tol	Q2	1
f48v.9	f48v	f48	HB	5	1	12	tor	Q2	1
f50r.3	f50r	f50	HB	2	1	10	tshol	Q2	1
f50v.1	f50v	f50	HB	2	1	10	tchy	Q2	1
f55v.5	f55v	f55	HB	2	8	8	talam	Q2	0
f94v.11	f94v	f94	HB	3	1	10	todaiin	Q2	1
f94v.5	f94v	f94	HB	3	1	8	tedain	Q2	1
f94v.5	f94v	f94	HB	3	7	8	tchor	Q2	0
f95r1.3	f95r1	f95	HB	3	1	8	teodaiin	Q2	1
f95r1.9	f95r1	f95	HB	3	1	10	tchdy	Q2	1
f95r1.9	f95r1	f95	HB	3	2	10	tchor	Q2	0
f95r1.9	f95r1	f95	HB	3	4	10	tar	Q2	0
f95r2.3	f95r2	f95	HB	3	1	10	todaiin	Q2	1
f95r2.4	f95r2	f95	HB	3	3	6	tor	Q2	0
f95r2.5	f95r2	f95	HB	3	1	9	tshod	Q2	1
f95v1.2	f95v1	f95	HB	3	2	11	tshor	Q2	0
f95v2.5	f95v2	f95	HB	3	1	9	tar	Q2	1
f103r.24	f103r	f103	SB	3	1	12	tchoky	Q2	1
f103v.14	f103v	f103	SB	3	1	12	teeol	Q2	1
f105r.36	f105r	f105	SB	3	6	11	ted	Q2	0
f105v.37	f105v	f105	SB	3	8	12	tchdy	Q2	0
f106r.37	f106r	f106	SB	3	1	3	tchodaiin	Q2	1
f106r.37	f106r	f106	SB	3	2	3	tcheo	Q2	0
f106v.5	f106v	f106	SB	3	1	12	tshoar	Q2	1
f107r.46	f107r	f107	SB	3	9	12	taiin	Q2	0
f107r.5	f107r	f107	SB	3	2	10	tedy	Q2	0
f107v.11	f107v	f107	SB	3	1	10	tshedy	Q2	1
f107v.15	f107v	f107	SB	3	9	9	tarairy	Q2	0
f107v.7	f107v	f107	SB	3	1	4	taiin	Q2	1
f108r.17	f108r	f108	SB	3	10	10	tedam	Q2	0
f108r.29	f108r	f108	SB	3	5	9	teedy	Q2	0
f108v.12	f108v	f108	SB	3	1	12	tshedky	Q2	1
f108v.12	f108v	f108	SB	3	5	12	teeody	Q2	0
f108v.12	f108v	f108	SB	3	12	12	tedam	Q2	0
f108v.24	f108v	f108	SB	3	10	12	tchar	Q2	0
f108v.50	f108v	f108	SB	3	4	12	teedar	Q2	0
f111r.48	f111r	f111	SB	3	3	10	tedain	Q2	0
f111r.54	f111r	f111	SB	3	1	6	tair	Q2	1
f111r.6	f111r	f111	SB	3	9	13	teedy	Q2	0
f111v.19	f111v	f111	SB	3	3	11	tain	Q2	0
f111v.44	f111v	f111	SB	3	2	5	teeodain	Q2	0
f112r.11	f112r	f112	SB	3	1	8	tchedy	Q2	1
f112r.25	f112r	f112	SB	3	1	11	tedain	Q2	1
f112r.26	f112r	f112	SB	3	1	3	tockhy	Q2	1
f112r.30	f112r	f112	SB	3	1	9	tar	Q2	1
f112r.4	f112r	f112	SB	3	6	7	taim	Q2	0
f112v.31	f112v	f112	SB	3	1	5	tar	Q2	1
f112v.37	f112v	f112	SB	3	1	11	teedal	Q2	1
f112v.39	f112v	f112	SB	3	1	9	teodarody	Q2	1
f113r.37	f113r	f113	SB	3	1	10	tshedy	Q2	1
f113r.50	f113r	f113	SB	3	1	10	tchedy	Q2	1
f113v.25	f113v	f113	SB	3	1	12	tokary	Q2	1
f113v.38	f113v	f113	SB	3	8	10	teear	Q2	0
f113v.49	f113v	f113	SB	3	2	10	teeo	Q2	0
f113v.7	f113v	f113	SB	3	2	12	teody	Q2	0
f113v.8	f113v	f113	SB	3	11	11	toky	Q2	0
f114r.32	f114r	f114	SB	3	1	10	tcheodaiin	Q2	1
f114r.40	f114r	f114	SB	3	5	10	teedy	Q2	0
f114v.11	f114v	f114	SB	3	1	10	tchedy	Q2	1
f114v.11	f114v	f114	SB	3	5	10	tedaiin	Q2	0
f114v.20	f114v	f114	SB	3	1	10	tshedain	Q2	1
f114v.28	f114v	f114	SB	3	1	7	tchedy	Q2	1
f114v.6	f114v	f114	SB	3	1	10	tedcheo	Q2	1
f115r.10	f115r	f115	SB	@	1	10	tchedy	Q2	1
f115v.21	f115v	f115	SB	3	1	10	tshedy	Q2	1
f115v.37	f115v	f115	SB	3	1	8	tshar	Q2	1
f115v.7	f115v	f115	SB	3	2	10	tedy	Q2	0
f66r.69	f66r	f66	OB	5	1	9	tosheo	Q2	1
f75r.10	f75r	f75	OB	2	9	10	tedy	Q2	0
f76v.15	f76v	f76	OB	2	1	5	tchedy	Q2	1
f76v.22	f76v	f76	OB	2	6	12	teedy	Q2	0
f76v.32	f76v	f76	OB	2	1	10	tain	Q2	1
f76v.32	f76v	f76	OB	2	7	10	taiin	Q2	0
f76v.36	f76v	f76	OB	2	3	6	teey	Q2	0
f77r.37	f77r	f77	OB	2	1	7	teeolain	Q2	1
f77v.16	f77v	f77	OB	2	1	8	tedal	Q2	1
f77v.27	f77v	f77	OB	2	1	9	tshedy	Q2	1
f77v.8	f77v	f77	OB	2	7	10	taiiin	Q2	0
f77v.8	f77v	f77	OB	2	9	10	teedy	Q2	0
f78v.25	f78v	f78	OB	2	1	9	teeol	Q2	1
f79r.4	f79r	f79	OB	2	1	11	teey	Q2	1
f79v.15	f79v	f79	OB	2	7	8	teey	Q2	0
f79v.26	f79v	f79	OB	2	6	9	tar	Q2	0
f79v.8	f79v	f79	OB	2	4	8	tedyol	Q2	0
f80r.36	f80r	f80	OB	2	3	11	tain	Q2	0
f80r.40	f80r	f80	OB	2	1	7	torolshsdy	Q2	1
f80v.14	f80v	f80	OB	2	1	9	tshedy	Q2	1
f80v.16	f80v	f80	OB	2	11	11	tal	Q2	0
f80v.25	f80v	f80	OB	2	7	10	tal	Q2	0
f80v.33	f80v	f80	OB	2	7	8	tchcthy	Q2	0
f80v.35	f80v	f80	OB	2	1	12	tol	Q2	1
f80v.6	f80v	f80	OB	2	1	9	tcheol	Q2	1
f80v.7	f80v	f80	OB	2	2	8	tchey	Q2	0
f81r.12	f81r	f81	OB	2	2	6	tedy	Q2	0
f81r.28	f81r	f81	OB	2	5	7	taiin	Q2	0
f81v.24	f81v	f81	OB	2	8	10	teol	Q2	0
f81v.27	f81v	f81	OB	2	4	7	tedy	Q2	0
f82r.26	f82r	f82	OB	2	1	9	tshey	Q2	1
f82v.13	f82v	f82	OB	2	1	8	tchedy	Q2	1
f82v.25	f82v	f82	OB	2	6	8	tchdarol	Q2	0
f82v.28	f82v	f82	OB	2	1	8	tchal	Q2	1
f82v.5	f82v	f82	OB	2	1	9	tokol	Q2	1
f83r.15	f83r	f83	OB	2	5	9	tal	Q2	0
f83r.16	f83r	f83	OB	2	1	8	tchedy	Q2	1
f83r.26	f83r	f83	OB	2	4	6	tol	Q2	0
f83v.20	f83v	f83	OB	2	1	8	tocthey	Q2	1
f83v.20	f83v	f83	OB	2	5	8	tedy	Q2	0
f84v.22	f84v	f84	OB	2	2	11	tedy	Q2	0
f84v.32	f84v	f84	OB	2	6	7	tedy	Q2	0
f85r1.22	f85r1	f85	OB	2	2	6	tar	Q2	0
f85r1.3	f85r1	f85	OB	2	1	11	tarar	Q2	1
f85r2.9	f85r2	f85	OB	2	3	6	tchedy	Q2	0
f86v3.1	f86v3	f86	OB	2	1	7	tchedy	Q2	1
f86v3.21	f86v3	f86	OB	2	3	9	tchdy	Q2	0
f86v3.21	f86v3	f86	OB	2	9	9	tam	Q2	0
f86v3.23	f86v3	f86	OB	2	1	8	tshedal	Q2	1
f86v3.27	f86v3	f86	OB	2	1	8	teeos	Q2	1
f86v3.29	f86v3	f86	OB	2	1	5	toeeedchy	Q2	1
f86v3.31	f86v3	f86	OB	2	1	7	tchedy	Q2	1
f86v3.31	f86v3	f86	OB	2	3	7	tchey	Q2	0
f86v5.11	f86v5	f86	OB	2	1	10	taral	Q2	1
f86v5.13	f86v5	f86	OB	2	6	11	teody	Q2	0
f86v5.31	f86v5	f86	OB	2	1	10	tol	Q2	1
f86v5.32	f86v5	f86	OB	2	11	12	teody	Q2	0
f86v5.34	f86v5	f86	OB	2	3	9	tey	Q2	0
f86v6.43	f86v6	f86	OB	2	7	9	taiin	Q2	0
f58r.7	f58r	f58	OA	3	10	10	tchy	Q2	0
f58v.18	f58v	f58	OA	3	1	10	taiin	Q2	1
f58v.9	f58v	f58	OA	3	4	8	tcholy	Q2	0
f89r1.10	f89r1	f89	OA	1	1	10	tdain	Q2	1
f99r.30	f99r	f99	OA	1	1	9	tol	Q2	1
