page	locus	line_field_ordinal	line_field_count	field_group_count	source_tokens	page_hosts	compiler_cells	line_field_end	gdt229_role_available	semantic_role
f82r	f82r.5	3	3	4	qokal|cthol|chedy|qoteedy	ok|cthol|y|ee	q:NONE:0:al:0:0|NONE:NONE:0:NONE:0:0|che:NONE:1:NONE:0:0|q:OT:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.6	1	2	1	shedy	e	sh:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.6	2	2	6	qol|shedaiin|sheckhy|okal|sheky|qotaiin	l|ed|eckhy|ok|eky|ot	q:O:0:NONE:0:0|sh:NONE:0:aiin:0:0|sh:NONE:0:NONE:0:0|NONE:NONE:0:al:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:aiin:0:0	LINE_END	0	UNASSIGNED
f82r	f82r.7	1	4	1	dshedy	she	d:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.7	2	4	3	sotaiin|qokar|shedy	ot|ok|e	s:NONE:0:aiin:0:0|q:NONE:0:ar:0:0|sh:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.7	3	4	1	solshedy	olshe	s:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.7	4	4	4	qokeey|qoky|ls|cheey	okeey|oky|ls|ey	q:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|che:NONE:0:NONE:0:0	LINE_END	1	UNASSIGNED
f82r	f82r.11	1	4	1	kolchdy	kolch	NONE:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.11	2	4	1	qokedy	oke	q:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.11	3	4	3	qopol|qotedor|chopchedy	opol|otedor|opche	q:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|ch:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.11	4	4	3	qotal|chedy|kam	ot|y|ka	q:NONE:0:al:0:0|che:NONE:1:NONE:0:0|NONE:NONE:0:NONE:0:1	LINE_END	0	UNASSIGNED
f82r	f82r.13	1	4	2	tcheol|olchedy	cheol|olche	t:NONE:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.13	2	4	1	qokeedy	okee	q:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.13	3	4	1	qotedy	e	q:OT:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.13	4	4	3	chedar|cheey|lchey	d|ey|lchey	che:NONE:0:ar:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0	LINE_END	0	UNASSIGNED
f82r	f82r.17	1	4	1	dshedy	she	d:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.17	2	4	4	qoteey|chedy|qokeeey|qokedy	eey|y|okeeey|oke	q:OT:0:NONE:0:0|che:NONE:1:NONE:0:0|q:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.17	3	4	1	lteedy	ltee	NONE:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.17	4	4	1	qokeedy	okee	q:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.18	1	3	3	polched|otain|shedy	polched|ot|e	NONE:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|sh:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.18	2	3	1	shedy	e	sh:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.18	3	3	3	dal|chedar|qokeey	al|d|okeey	d:NONE:0:NONE:0:0|che:NONE:0:ar:0:0|q:NONE:0:NONE:0:0	LINE_END	0	UNASSIGNED
f82r	f82r.19	1	2	4	okain|char|okain|qokeedy	ok|ar|ok|okee	NONE:NONE:0:ain:0:0|ch:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|q:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.19	2	2	1	lchy	lchy	NONE:NONE:0:NONE:0:0	LINE_END	1	UNASSIGNED
f82r	f82r.20	1	2	2	posalshy|qokedy	posalshy|oke	NONE:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.20	2	2	2	cphal|shedy	cph|e	NONE:NONE:0:al:0:0|sh:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.21	1	2	3	daiin|cheoky|lkedy	aiin|oky|lke	d:NONE:0:NONE:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.21	2	2	6	daiin|chey|qol|chedy|qokeey|dal	aiin|y|l|y|okeey|al	d:NONE:0:NONE:0:0|che:NONE:0:NONE:0:0|q:O:0:NONE:0:0|che:NONE:1:NONE:0:0|q:NONE:0:NONE:0:0|d:NONE:0:NONE:0:0	LINE_END	0	UNASSIGNED
f82r	f82r.23	1	3	7	cheey|qcthey|qokeey|lcheey|daiin|chey|qokeeedy	ey|cthey|okeey|lcheey|aiin|y|okeee	che:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|d:NONE:0:NONE:0:0|che:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.23	2	3	1	lchedy	lche	NONE:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.23	3	3	1	lar	l	NONE:NONE:0:ar:0:0	LINE_END	1	UNASSIGNED
f82r	f82r.26	1	2	2	tshey|qokeedy	shey|okee	t:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.26	2	2	7	cheal|lchedar|ches|aiin|oteey|qokaiin|okey	al|lched|s|aiin|eey|ok|okey	che:NONE:0:NONE:0:0|NONE:NONE:0:ar:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:OT:0:NONE:0:0|q:NONE:0:aiin:0:0|NONE:NONE:0:NONE:0:0	LINE_END	1	UNASSIGNED
f82r	f82r.27	1	7	1	pchedy	pche	NONE:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.27	2	7	2	rsheal|daldy	rshe|al	NONE:NONE:0:al:0:0|d:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.27	3	7	1	qokeedy	okee	q:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.27	4	7	1	rshedy	rshe	NONE:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.27	5	7	1	qoteedy	ee	q:OT:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.27	6	7	1	qokeedy	okee	q:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.27	7	7	1	lochedy	loche	NONE:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.30	1	1	1	qoteey	eey	q:OT:0:NONE:0:0	LINE_END	0	UNASSIGNED
