locus	next_locus	page	physical_folio	source_line_number	source_group_count	source_member_count	last_field_group_count	last_field_host_length	last_field_raw_length	target_first_field_group_count	target_architecture	selection
f76v.40	f76v.41	f76v	f76	40	11	37	3	7	10	4	W=s;F=O;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77r.19	f77r.20	f77r	f77	19	9	42	4	9	20	3	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77r.20	f77r.21	f77r	f77	20	8	41	1	5	8	2	W=che;F=NONE;R=1;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77r.21	f77r.22	f77r	f77	21	8	39	4	14	23	1	W=q;F=OT;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77r.26	f77r.27	f77r	f77	26	6	31	1	5	6	1	W=s;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77r.27	f77r.28	f77r	f77	27	6	32	1	1	6	4	W=NONE;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77r.28	f77r.29	f77r	f77	28	6	27	2	4	6	3	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77r.39	f77r.40	f77r	f77	39	7	28	1	1	5	3	W=d;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77v.12	f77v.13	f77v	f77	12	11	46	4	5	15	4	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77v.17	f77v.18	f77v	f77	17	7	32	3	13	15	3	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f77v.18	f77v.19	f77v	f77	18	7	31	4	11	17	7	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78r.8	f78r.9	f78r	f78	8	8	38	1	3	4	1	W=s;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78r.11	f78r.12	f78r	f78	11	8	35	2	6	7	2	W=d;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78r.31	f78r.32	f78r	f78	31	8	38	1	3	5	1	W=q;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78v.11	f78v.12	f78v	f78	11	10	34	10	22	43	8	W=sh;F=NONE;R=0;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78v.18	f78v.19	f78v	f78	18	9	34	1	2	3	1	W=NONE;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78v.24	f78v.25	f78v	f78	24	9	33	2	3	8	6	W=t;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78v.25	f78v.26	f78v	f78	25	9	35	3	4	8	3	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78v.26	f78v.27	f78v	f78	26	9	35	1	2	6	11	W=NONE;F=NONE;R=0;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f78v.27	f78v.28	f78v	f78	27	11	33	11	21	39	6	W=NONE;F=NONE;R=1;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79r.8	f79r.9	f79r	f79	8	9	39	4	13	20	2	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79r.16	f79r.17	f79r	f79	16	9	35	5	12	24	11	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79r.17	f79r.18	f79r	f79	17	11	34	11	28	43	10	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=B3	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79r.24	f79r.25	f79r	f79	24	8	40	4	9	17	6	W=ch;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79v.15	f79v.16	f79v	f79	15	8	37	6	16	32	5	W=d;F=O;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79v.16	f79v.17	f79v	f79	16	9	37	3	6	12	10	W=q;F=O;R=0;D=0;DY=0;B3=0;END=B3	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79v.25	f79v.26	f79v	f79	25	9	37	4	11	18	1	W=NONE;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79v.35	f79v.36	f79v	f79	35	11	36	1	4	5	5	W=NONE;F=NONE;R=0;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f79v.39	f79v.40	f79v	f79	39	10	33	9	29	38	8	W=q;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f80r.14	f80r.15	f80r	f80	14	12	47	12	32	58	1	W=q;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f80r.15	f80r.16	f80r	f80	15	10	50	6	18	35	1	W=s;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f80r.20	f80r.21	f80r	f80	20	11	48	3	7	15	1	W=sh;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f80v.24	f80v.25	f80v	f80	24	10	41	9	23	42	1	W=NONE;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f80v.33	f80v.34	f80v	f80	33	8	39	4	17	21	6	W=d;F=O;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f80v.34	f80v.35	f80v	f80	34	9	35	3	10	16	12	W=t;F=O;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f81r.8	f81r.9	f81r	f81	8	6	25	5	16	22	2	W=q;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f81r.9	f81r.10	f81r	f81	9	4	22	1	5	7	3	W=ch;F=O;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f81r.20	f81r.21	f81r	f81	20	7	30	6	12	28	1	W=d;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f81r.21	f81r.22	f81r	f81	21	7	31	6	24	29	9	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f81v.17	f81v.18	f81v	f81	17	9	36	4	8	17	1	W=q;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f82r.2	f82r.3	f82r	f82	2	8	39	3	15	18	2	W=q;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f82r.3	f82r.4	f82r	f82	3	6	32	4	14	27	4	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f82r.26	f82r.27	f82r	f82	26	9	38	7	21	36	1	W=NONE;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f82v.8	f82v.9	f82v	f82	8	10	46	4	10	19	1	W=s;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f82v.34	f82v.35	f82v	f82	34	9	41	9	29	50	8	W=NONE;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83r.14	f83r.15	f83r	f83	14	10	45	4	9	18	7	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83r.15	f83r.16	f83r	f83	15	9	39	1	4	6	1	W=t;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83r.26	f83r.27	f83r	f83	26	6	29	1	5	8	3	W=d;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83r.27	f83r.28	f83r	f83	27	5	23	1	4	8	4	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83r.37	f83r.38	f83r	f83	37	5	22	2	5	10	4	W=NONE;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83r.38	f83r.39	f83r	f83	38	4	16	4	13	20	4	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83r.48	f83r.49	f83r	f83	48	5	16	5	11	20	3	W=s;F=O;R=0;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83v.2	f83v.3	f83v	f83	2	10	47	3	5	12	4	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83v.3	f83v.4	f83v	f83	3	10	44	1	3	5	2	W=d;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83v.19	f83v.20	f83v	f83	19	9	45	6	15	34	5	W=t;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83v.22	f83v.23	f83v	f83	22	7	31	7	19	38	3	W=q;F=O;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f83v.29	f83v.30	f83v	f83	29	7	27	4	9	20	6	W=q;F=NONE;R=1;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
