lexical_id	source_form	source_frequency	family_id	family_ordinal	variant_code	b2_host	b2_left	b2_right	b2_field	b2_lexical_closure	s2_host	derivation_class	exception_note
LEX070	qͣ	13	F07	2	1	aj	q	NONE	NONE	NONE	aj	LEFT_EXTENSION	NONE
LEX071	mlr̃es	13	F07	3	2	aj	o	NONE	NONE	NONE	aj	LEFT_EXTENSION	NONE
LEX072	vr̾	13	F07	4	3	aj	d	NONE	NONE	NONE	aj	LEFT_EXTENSION	NONE
LEX073	illa	13	F07	5	4	aj	s	NONE	NONE	NONE	aj	LEFT_EXTENSION	NONE
LEX074	me	12	F07	6	6	aj	NONE	y	NONE	NONE	aj	RIGHT_EXTENSION	NONE
LEX075	añ	12	F07	7	8	aj	NONE	NONE	t	NONE	aj	OPTIONAL_FIELD	NONE
LEX076	ht̃	12	F07	8	A	aj	NONE	NONE	u	NONE	aj	OPTIONAL_FIELD	NONE
LEX077	ei	12	F07	9	C	aj	NONE	NONE	NONE	n	aj	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX078	a̾	12	F07	10	E	aj	o	y	NONE	NONE	aj	ANALOGICAL_LEFT_RIGHT	NONE
LEX079	ca	12	F07	11	G	aj	s	NONE	u	NONE	aj	ANALOGICAL_LEFT_FIELD	NONE
LEX080	post	12	F07	12	I	aj	o	r	NONE	m	aj	LOCAL_COMPLEX_EXTENSION	NONE
LEX081	calida	12	F07	13	K	aj	s	r	NONE	n	aj	LOCAL_COMPLEX_EXTENSION	NONE
LEX082	lib	12	F08	1	0	al	NONE	NONE	NONE	NONE	ao	FAMILY_BASE	NONE
LEX083	sputũ	12	F08	2	3	al	d	NONE	NONE	NONE	ao	LEFT_EXTENSION	NONE
LEX084	hora	12	F08	3	5	al	NONE	r	NONE	NONE	ao	RIGHT_EXTENSION	NONE
LEX085	cã	12	F08	4	7	al	NONE	k	NONE	NONE	ao	RIGHT_EXTENSION	NONE
LEX086	semĩs	11	F08	5	9	al	NONE	NONE	s	NONE	ao	OPTIONAL_FIELD	NONE
LEX087	egͥtudo	11	F08	6	B	al	NONE	NONE	NONE	m	ao	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX088	re	11	F08	7	D	al	q	r	NONE	z	ao	ANALOGICAL_LEFT_RIGHT	LEXICALIZED_CLOSURE_EXCEPTION
LEX089	ma	11	F08	8	F	al	d	NONE	t	NONE	ao	ANALOGICAL_LEFT_FIELD	NONE
LEX090	cum	11	F08	9	H	al	q	y	t	NONE	ao	LOCAL_COMPLEX_EXTENSION	NONE
LEX091	siue	11	F08	10	J	al	d	k	s	NONE	ao	LOCAL_COMPLEX_EXTENSION	NONE
LEX092	suꝑ	11	F09	1	0	am	NONE	NONE	NONE	NONE	am	FAMILY_BASE	NONE
LEX093	die	11	F09	2	1	am	q	NONE	NONE	NONE	am	LEFT_EXTENSION	NONE
LEX094	ip̃e	11	F09	3	2	am	o	NONE	NONE	NONE	am	LEFT_EXTENSION	NONE
LEX095	tñ	10	F09	4	3	am	d	NONE	NONE	NONE	am	LEFT_EXTENSION	NONE
LEX096	u̇	10	F09	5	4	am	s	NONE	NONE	NONE	am	LEFT_EXTENSION	NONE
LEX097	ꝙͣ	10	F09	6	5	am	NONE	r	NONE	NONE	am	RIGHT_EXTENSION	NONE
LEX098	uo̾	10	F09	7	6	am	NONE	y	NONE	NONE	am	RIGHT_EXTENSION	NONE
LEX099	sig̾	10	F09	8	7	am	NONE	k	NONE	NONE	am	RIGHT_EXTENSION	NONE
LEX100	ip̃o	10	F09	9	8	am	NONE	NONE	t	NONE	am	OPTIONAL_FIELD	NONE
LEX101	ualde	10	F09	10	9	am	NONE	NONE	s	NONE	am	OPTIONAL_FIELD	NONE
LEX102	seminiᷤ	9	F09	11	A	am	NONE	NONE	u	NONE	am	OPTIONAL_FIELD	NONE
LEX103	hãc	9	F09	12	B	am	NONE	NONE	NONE	m	am	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX104	cͥcͣ	9	F09	13	C	am	NONE	NONE	NONE	n	am	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX105	quo	9	F09	14	F	am	d	NONE	t	NONE	am	ANALOGICAL_LEFT_FIELD	NONE
LEX106	nos	9	F09	15	M	ame	NONE	y	NONE	NONE	ame	ANALOGICAL_HOST_EXTENSION	NONE
LEX107	coierit	9	F09	16	N	ami	o	NONE	NONE	n	ami	ANALOGICAL_HOST_EXTENSION	NONE
LEX108	eo	9	F10	1	0	an	NONE	NONE	NONE	NONE	an	FAMILY_BASE	NONE
LEX109	gał	9	F10	2	2	an	o	NONE	NONE	NONE	an	LEFT_EXTENSION	NONE
LEX110	os	9	F10	3	6	an	NONE	y	NONE	NONE	an	RIGHT_EXTENSION	NONE
LEX111	tͥa	9	F10	4	8	an	NONE	NONE	t	NONE	an	OPTIONAL_FIELD	NONE
LEX112	calorẽ	9	F10	5	A	an	NONE	NONE	u	NONE	an	OPTIONAL_FIELD	NONE
LEX113	mod̾	9	F10	6	E	an	o	y	NONE	NONE	an	ANALOGICAL_LEFT_RIGHT	NONE
LEX114	qñ	9	F10	7	K	an	s	r	NONE	n	an	LOCAL_COMPLEX_EXTENSION	NONE
LEX115	hoꝵ	9	F11	1	0	ap	NONE	NONE	NONE	NONE	ap	FAMILY_BASE	NONE
LEX116	que	9	F11	2	1	ap	q	NONE	NONE	NONE	ap	LEFT_EXTENSION	NONE
LEX117	ꝑte	9	F11	3	4	ap	s	NONE	NONE	NONE	ap	LEFT_EXTENSION	NONE
LEX118	ne	9	F11	4	5	ap	NONE	r	NONE	NONE	ap	RIGHT_EXTENSION	NONE
LEX119	sp̃s	9	F11	5	6	ap	l	y	NONE	NONE	ap	RIGHT_EXTENSION	LEXICALIZED_LEFT_EXCEPTION
LEX120	dd̾	9	F11	6	7	ap	NONE	k	NONE	NONE	ap	RIGHT_EXTENSION	NONE
LEX121	an	9	F11	7	8	ap	NONE	NONE	t	NONE	ap	OPTIONAL_FIELD	NONE
LEX122	ĩo	9	F11	8	9	ap	NONE	NONE	s	NONE	ap	OPTIONAL_FIELD	NONE
LEX123	ꝯũis	9	F11	9	B	ap	NONE	NONE	NONE	m	ap	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX124	hũida	9	F11	10	D	ap	q	r	NONE	NONE	ap	ANALOGICAL_LEFT_RIGHT	NONE
LEX125	it̾m	8	F11	11	G	ap	s	NONE	u	NONE	ap	ANALOGICAL_LEFT_FIELD	NONE
LEX126	q̃dã	8	F11	12	L	ap	q	NONE	u	m	ap	LOCAL_COMPLEX_EXTENSION	NONE
LEX127	melle	8	F12	1	0	as	NONE	NONE	NONE	NONE	as	FAMILY_BASE	NONE
LEX128	eͥ	8	F12	2	1	as	q	NONE	NONE	NONE	as	LEFT_EXTENSION	NONE
LEX129	pͥncipiũ	8	F12	3	2	as	o	NONE	NONE	NONE	as	LEFT_EXTENSION	NONE
LEX130	m̃briᷤ	8	F12	4	3	as	d	NONE	NONE	NONE	as	LEFT_EXTENSION	NONE
LEX131	hiis	8	F12	5	5	as	NONE	r	NONE	NONE	as	RIGHT_EXTENSION	NONE
LEX132	nutͥm̃ta	8	F12	6	6	as	NONE	y	NONE	NONE	as	RIGHT_EXTENSION	NONE
LEX133	calore	8	F12	7	7	as	NONE	k	NONE	NONE	as	RIGHT_EXTENSION	NONE
LEX134	ẜmõe	8	F12	8	8	as	NONE	NONE	t	NONE	as	OPTIONAL_FIELD	NONE
LEX135	ait	8	F12	9	A	as	NONE	NONE	u	NONE	as	OPTIONAL_FIELD	NONE
LEX136	su̾	8	F12	10	C	as	NONE	NONE	NONE	n	as	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX137	coire	8	F12	11	E	as	o	y	NONE	NONE	as	ANALOGICAL_LEFT_RIGHT	NONE
LEX138	alii	8	F12	12	H	as	q	y	t	NONE	as	LOCAL_COMPLEX_EXTENSION	NONE
LEX139	nec	8	F12	13	J	as	d	k	s	NONE	as	LOCAL_COMPLEX_EXTENSION	NONE
LEX140	aliis	8	F12	14	N	asi	o	NONE	NONE	n	asi	ANALOGICAL_HOST_EXTENSION	NONE
LEX141	c̃	8	F13	1	0	at	NONE	NONE	NONE	NONE	at	FAMILY_BASE	NONE
LEX142	nã	8	F13	2	3	at	d	NONE	NONE	NONE	at	LEFT_EXTENSION	NONE
LEX143	om̃s	8	F13	3	4	at	s	NONE	NONE	NONE	at	LEFT_EXTENSION	NONE
LEX144	ui	8	F13	4	7	at	NONE	k	NONE	NONE	at	RIGHT_EXTENSION	NONE
LEX145	sub	8	F13	5	9	at	NONE	NONE	s	NONE	at	OPTIONAL_FIELD	NONE
LEX146	scd̾m	8	F13	6	B	at	NONE	NONE	NONE	m	at	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX147	qͣi	8	F13	7	D	at	q	r	NONE	NONE	at	ANALOGICAL_LEFT_RIGHT	NONE
LEX148	sine	8	F13	8	F	at	d	NONE	t	NONE	at	ANALOGICAL_LEFT_FIELD	NONE
LEX149	ac	8	F13	9	M	ate	NONE	y	NONE	NONE	ate	ANALOGICAL_HOST_EXTENSION	NONE
LEX150	sigͣ	8	F14	1	0	au	NONE	NONE	NONE	NONE	ay	FAMILY_BASE	NONE
LEX151	sua	8	F14	2	1	au	q	NONE	NONE	NONE	ay	LEFT_EXTENSION	NONE
LEX152	ip̃m	8	F14	3	2	au	o	NONE	NONE	NONE	ay	LEFT_EXTENSION	NONE
LEX153	duo	8	F14	4	3	au	d	NONE	NONE	NONE	ay	LEFT_EXTENSION	NONE
LEX154	hu	8	F14	5	4	au	s	NONE	NONE	NONE	ay	LEFT_EXTENSION	NONE
LEX155	suo	7	F14	6	5	au	NONE	r	NONE	NONE	ay	RIGHT_EXTENSION	NONE
LEX156	caro	7	F14	7	6	au	NONE	y	NONE	NONE	ay	RIGHT_EXTENSION	NONE
LEX157	aqua	7	F14	8	8	au	NONE	NONE	p	NONE	ay	OPTIONAL_FIELD	LEXICALIZED_FIELD_EXCEPTION
LEX158	reꝵ	7	F14	9	9	au	NONE	NONE	s	NONE	ay	OPTIONAL_FIELD	NONE
LEX159	fe	7	F14	10	A	au	NONE	NONE	u	NONE	ay	OPTIONAL_FIELD	NONE
LEX160	sicca	7	F14	11	B	au	NONE	NONE	NONE	m	ay	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX161	hiᷤ	7	F14	12	D	au	q	r	NONE	NONE	ay	ANALOGICAL_LEFT_RIGHT	NONE
LEX162	cito	7	F14	13	E	au	o	y	NONE	NONE	ay	ANALOGICAL_LEFT_RIGHT	NONE
LEX163	mala	7	F14	14	L	au	q	NONE	u	m	ay	LOCAL_COMPLEX_EXTENSION	NONE
LEX164	uͥga	7	F14	15	M	aue	NONE	y	NONE	NONE	auh	ANALOGICAL_HOST_EXTENSION	NONE
LEX165	aliud	7	F15	1	0	av	NONE	NONE	NONE	NONE	av	FAMILY_BASE	NONE
LEX166	apparẽt	7	F15	2	2	av	o	NONE	NONE	NONE	av	LEFT_EXTENSION	NONE
LEX167	gen̾ant	7	F15	3	5	av	NONE	r	NONE	NONE	av	RIGHT_EXTENSION	NONE
LEX168	tp̃r	7	F15	4	6	av	NONE	y	NONE	NONE	av	RIGHT_EXTENSION	NONE
LEX169	dicit	7	F15	5	7	av	NONE	k	NONE	NONE	av	RIGHT_EXTENSION	NONE
LEX170	appetitũ	7	F15	6	8	av	NONE	NONE	t	NONE	av	OPTIONAL_FIELD	NONE
LEX171	recipiens	7	F15	7	A	av	NONE	NONE	u	NONE	av	OPTIONAL_FIELD	NONE
LEX172	iã	7	F15	8	C	av	NONE	NONE	NONE	n	av	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX173	malũ	7	F15	9	F	av	d	NONE	t	NONE	av	ANALOGICAL_LEFT_FIELD	NONE
LEX174	oportet	7	F15	10	K	av	s	r	NONE	n	av	LOCAL_COMPLEX_EXTENSION	NONE
LEX175	eaꝵ	7	F15	11	N	avi	o	NONE	NONE	n	avi	ANALOGICAL_HOST_EXTENSION	NONE
LEX176	multa	7	F16	1	0	ax	NONE	NONE	NONE	NONE	ax	FAMILY_BASE	NONE
LEX177	sigͥcãt	7	F16	2	1	ax	q	NONE	NONE	NONE	ax	LEFT_EXTENSION	NONE
LEX178	sꝑma	7	F16	3	3	ax	d	NONE	NONE	NONE	ax	LEFT_EXTENSION	NONE
LEX179	reb	7	F16	4	4	ax	s	NONE	NONE	NONE	ax	LEFT_EXTENSION	NONE
LEX180	fieri	7	F16	5	5	ax	NONE	r	NONE	NONE	ax	RIGHT_EXTENSION	NONE
LEX181	ssib	7	F16	6	6	ax	NONE	y	NONE	NONE	ax	RIGHT_EXTENSION	NONE
LEX182	tangit	7	F16	7	7	ax	NONE	k	NONE	NONE	ax	RIGHT_EXTENSION	NONE
LEX183	sꝑmatis	7	F16	8	9	ax	NONE	NONE	s	NONE	ax	OPTIONAL_FIELD	NONE
LEX184	unũ	7	F16	9	B	ax	NONE	NONE	NONE	m	ax	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX185	nͣ	7	F16	10	D	ax	q	r	NONE	NONE	ax	ANALOGICAL_LEFT_RIGHT	NONE
LEX186	testiculi	7	F16	11	E	ax	o	y	NONE	NONE	ax	ANALOGICAL_LEFT_RIGHT	NONE
LEX187	dix̃	7	F16	12	H	ax	q	y	t	NONE	ax	LOCAL_COMPLEX_EXTENSION	NONE
LEX188	lactuce	7	F16	13	I	ax	o	r	NONE	m	ax	LOCAL_COMPLEX_EXTENSION	NONE
LEX189	sunt	7	F17	1	0	az	NONE	NONE	NONE	NONE	az	FAMILY_BASE	NONE
LEX190	accidũt	7	F17	2	2	az	o	NONE	NONE	NONE	az	LEFT_EXTENSION	NONE
LEX191	siccitate	6	F17	3	4	az	s	NONE	NONE	NONE	az	LEFT_EXTENSION	NONE
LEX192	sic̾	6	F17	4	8	az	NONE	NONE	t	NONE	az	OPTIONAL_FIELD	NONE
LEX193	piꝑ	6	F17	5	A	az	NONE	NONE	u	NONE	az	OPTIONAL_FIELD	NONE
LEX194	ꝑmixtũ	6	F17	6	C	az	NONE	NONE	NONE	n	az	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX195	d̾s	6	F17	7	G	az	s	NONE	u	NONE	az	ANALOGICAL_LEFT_FIELD	NONE
LEX196	iłł	6	F17	8	M	aze	NONE	y	NONE	NONE	aze	ANALOGICAL_HOST_EXTENSION	NONE
LEX197	mediũ	6	F18	1	0	ba	NONE	NONE	NONE	NONE	ba	FAMILY_BASE	NONE
LEX198	pͥmũ	6	F18	2	1	ba	q	NONE	NONE	NONE	ba	LEFT_EXTENSION	NONE
LEX199	mͣ	6	F18	3	2	ba	o	NONE	NONE	NONE	ba	LEFT_EXTENSION	NONE
LEX200	dico	6	F18	4	3	ba	d	NONE	NONE	NONE	ba	LEFT_EXTENSION	NONE
LEX201	efft̾	6	F18	5	4	ba	s	NONE	NONE	NONE	ba	LEFT_EXTENSION	NONE
LEX202	isto	6	F18	6	5	ba	NONE	r	NONE	NONE	ba	RIGHT_EXTENSION	NONE
LEX203	apͥncipio	6	F18	7	6	ba	NONE	x	NONE	NONE	ba	RIGHT_EXTENSION	LEXICALIZED_RIGHT_EXCEPTION
LEX204	eruce	6	F18	8	7	ba	NONE	k	NONE	NONE	ba	RIGHT_EXTENSION	NONE
LEX205	uiri	6	F18	9	8	ba	NONE	NONE	t	NONE	ba	OPTIONAL_FIELD	NONE
LEX206	ẜo	6	F18	10	9	ba	NONE	NONE	s	NONE	ba	OPTIONAL_FIELD	NONE
LEX207	matͥcis	6	F18	11	A	ba	NONE	NONE	u	NONE	ba	OPTIONAL_FIELD	NONE
LEX208	nod̾	6	F18	12	D	ba	q	r	NONE	NONE	ba	ANALOGICAL_LEFT_RIGHT	NONE
LEX209	iste	6	F18	13	E	ba	o	y	NONE	NONE	ba	ANALOGICAL_LEFT_RIGHT	NONE
LEX210	hore	6	F18	14	H	ba	q	y	t	NONE	ba	LOCAL_COMPLEX_EXTENSION	NONE
LEX211	enĩ	6	F18	15	J	ba	d	k	s	NONE	ba	LOCAL_COMPLEX_EXTENSION	NONE
LEX212	alio	6	F18	16	N	bai	o	NONE	NONE	n	bai	ANALOGICAL_HOST_EXTENSION	NONE
LEX213	cupis	6	F19	1	0	bc	NONE	NONE	NONE	NONE	bd	FAMILY_BASE	NONE
LEX214	t̾e	6	F19	2	1	bc	q	NONE	NONE	NONE	bd	LEFT_EXTENSION	NONE
LEX215	sigͥficãt	6	F19	3	6	bc	NONE	y	NONE	NONE	bd	RIGHT_EXTENSION	NONE
LEX216	nimia	6	F19	4	7	bc	NONE	k	NONE	NONE	bd	RIGHT_EXTENSION	NONE
LEX217	pͥcipiũ	6	F19	5	8	bc	NONE	NONE	t	NONE	bd	OPTIONAL_FIELD	NONE
LEX218	ista	6	F19	6	9	bc	NONE	NONE	s	NONE	bd	OPTIONAL_FIELD	NONE
LEX219	his	6	F19	7	B	bc	NONE	NONE	NONE	m	bd	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX220	illi	6	F19	8	D	bc	q	r	NONE	NONE	bd	ANALOGICAL_LEFT_RIGHT	NONE
LEX221	itaq	6	F19	9	F	bc	d	NONE	t	NONE	bd	ANALOGICAL_LEFT_FIELD	NONE
LEX222	alia	6	F19	10	L	bc	q	NONE	u	m	bd	LOCAL_COMPLEX_EXTENSION	NONE
LEX223	clara	6	F20	1	0	be	NONE	NONE	NONE	NONE	be	FAMILY_BASE	NONE
LEX224	d̾̾	6	F20	2	2	be	o	NONE	NONE	NONE	be	LEFT_EXTENSION	NONE
LEX225	libidinẽ	6	F20	3	3	be	d	NONE	NONE	NONE	be	LEFT_EXTENSION	NONE
LEX226	mat̾cis	6	F20	4	4	be	s	NONE	NONE	NONE	be	LEFT_EXTENSION	NONE
LEX227	aĩe	6	F20	5	5	be	NONE	r	NONE	NONE	be	RIGHT_EXTENSION	NONE
LEX228	siłr	6	F20	6	6	be	NONE	y	NONE	NONE	be	RIGHT_EXTENSION	NONE
LEX229	usq	6	F20	7	8	be	NONE	NONE	t	NONE	be	OPTIONAL_FIELD	NONE
LEX230	uelocit̃	6	F20	8	A	be	NONE	NONE	u	NONE	be	OPTIONAL_FIELD	NONE
LEX231	organũ	6	F20	9	C	be	NONE	NONE	NONE	n	be	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX232	an̾	6	F20	10	E	be	o	y	NONE	NONE	be	ANALOGICAL_LEFT_RIGHT	NONE
LEX233	uos	6	F20	11	I	be	o	r	NONE	m	be	LOCAL_COMPLEX_EXTENSION	NONE
LEX234	claꝵ	6	F20	12	K	be	s	r	NONE	n	be	LOCAL_COMPLEX_EXTENSION	NONE
LEX235	calor	6	F21	1	0	bf	NONE	NONE	NONE	NONE	bf	FAMILY_BASE	NONE
LEX236	pͦ	6	F21	2	1	bf	q	NONE	NONE	NONE	bf	LEFT_EXTENSION	NONE
LEX237	ꝗdẽ	6	F21	3	2	bf	o	NONE	NONE	NONE	bf	LEFT_EXTENSION	NONE
LEX238	tc̃	6	F21	4	3	bf	d	NONE	NONE	NONE	bf	LEFT_EXTENSION	NONE
LEX239	u̾o	6	F21	5	5	bf	NONE	r	NONE	NONE	bf	RIGHT_EXTENSION	NONE
LEX240	modũ	6	F21	6	7	bf	NONE	k	NONE	NONE	bf	RIGHT_EXTENSION	NONE
LEX241	solũ	6	F21	7	8	bf	NONE	NONE	t	NONE	bf	OPTIONAL_FIELD	NONE
LEX242	ego	6	F21	8	9	bf	NONE	NONE	s	NONE	bf	OPTIONAL_FIELD	NONE
LEX243	sem̃is	6	F21	9	B	bf	NONE	NONE	NONE	m	bf	OPTIONAL_LEXICAL_CLOSURE	NONE
