core_pair	locus	page	group_index	position_quartile	previous_token	target_token	target_host	next_token	claim_state
AL/OTAL	f113r.37	f113r	10	3	lfchedy	otal	otal	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f113v.23	f113v	11	3	cheody	otal	otal	lkl	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f114v.9	f114v	10	3	sheedy	qotal	otal	chedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f116r.16	f116r	4	1	sheedy	otal	otal	al	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f26r.10	f26r	5	3	cheody	otal	otal	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f41v.2	f41v	8	3	shdchdy	qotal	otal	dar	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f51r.15	f51r	7	3	aldy	otal	otal	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f77r.29	f77r	5	3	qokeedy	qotal	otal	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f78r.31	f78r	4	1	qokedy	otal	otal	shedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f78v.26	f78v	9	3	fchedy	otaldy	otal	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f79r.16	f79r	5	2	kshedy	otal	otal	sheey	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f104v.19	f104v	5	1	cholkshedy	qotol	otol	sheedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f106r.18	f106r	4	1	qokeedy	otol	otol	okeedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f114v.2	f114v	4	1	choddy	otol	otol	chedal	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f115v.8	f115v	6	2	otchdy	qotol	otol	lpchedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f16r.8	f16r	5	3	shody	otol	otol	daiin	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f34r.3	f34r	7	2	otedy	qotol	otol	okedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f42v.3	f42v	3	1	chotody	chotol	otol	oky	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f48v.9	f48v	10	3	otchdy	otoldy	otol	ytam	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f49v.26	f49v	3	1	chokeeody	otol	otol	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f76v.32	f76v	9	3	chckhedy	otol	otol	oty	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f77r.15	f77r	3	1	shedy	qotol	otol	shedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f77v.6	f77v	3	0	shedy	qotol	otol	odal	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f80v.23	f80v	6	2	qoteedy	qotol	otol	shy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
OL/OTOL	f87v.9	f87v	3	3	qoscheody	otol	otol	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
