variant	locus	page	group_index	group_count	token	stripped_prefix	residual_host	dy_closure	family_surface	normalized_position	claim_state
OL	f100v.15	f100v	5	10	cheol	che	ol	0	KJAB	0.444444444444	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f100v.15	f100v	7	10	chol	ch	ol	0	KAB	0.666666666667	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f100v.16	f100v	2	10	chol	ch	ol	0	KAB	0.111111111111	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f100v.20	f100v	7	8	ol	NONE	ol	0	AB	0.857142857143	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f100v.21	f100v	3	10	ol	NONE	ol	0	AB	0.222222222222	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f101r.8	f101r	10	25	chol	ch	ol	0	KAB	0.375000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OOL	f114v.16	f114v	2	12	qool	q	ool	0	DAAB	0.090909090909	FORMAL_CONTEXT_NOT_DECODED_PROSE
OOL	f36r.2	f36r	5	9	qooldy	q	ool	1	DAABBA	0.500000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f104v.19	f104v	5	13	qotol	q	otol	0	DAQAB	0.333333333333	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f104v.4	f104v	4	11	qotol	q	otol	0	DAQAB	0.300000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f105r.21	f105r	7	11	otol	NONE	otol	0	AQAB	0.600000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f106r.18	f106r	4	11	otol	NONE	otol	0	AQAB	0.300000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f107v.11	f107v	8	10	otol	NONE	otol	0	AQAB	0.777777777778	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f10r.8	f10r	3	8	otol	NONE	otol	0	AQAB	0.285714285714	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f113v.26	f113v	11	13	otol	NONE	otol	0	AQAB	0.833333333333	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f114r.42	f114r	2	10	qotol	q	otol	0	DAQAB	0.111111111111	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f114v.11	f114v	7	10	otol	NONE	otol	0	AQAB	0.666666666667	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTOL	f114v.2	f114v	4	11	otol	NONE	otol	0	AQAB	0.300000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
