collapsed_template	lines	physical_folios	sections	most_common_raw_template	most_common_raw_count	claim_state
AR_REFERENCE > OTHER	7	7	C:1;H:2;P:1;S:3	AR_REFERENCE > OTHER	4	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE > OTHER	7	7	B:1;H:4;P:1;S:1	CARRIER_STATE > OTHER	2	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > ENTRY_STATE > OTHER	7	6	H:7	OTHER > ENTRY_STATE > OTHER	3	RECURRENT_FORMAL_RECORD_TEMPLATE
Q_OUTER_STATE > OTHER	7	7	H:4;S:3	Q_OUTER_STATE > OTHER > OTHER	4	RECURRENT_FORMAL_RECORD_TEMPLATE
DY_RESOLUTION > OTHER	6	6	B:1;H:1;P:1;S:2;T:1	DY_RESOLUTION > OTHER	3	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > CARRIER_STATE	6	6	B:1;H:4;P:1	OL_STATE > OL_STATE > CARRIER_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE > OL_STATE	5	5	H:4;P:1	CARRIER_STATE > OL_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > CARRIER_STATE > DY_RESOLUTION	5	4	B:3;P:1;S:1	ENTRY_STATE > CARRIER_STATE > DY_RESOLUTION	2	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > CARRIER_STATE > OTHER > CARRIER_STATE	5	4	H:1;P:1;S:3	ENTRY_STATE > CARRIER_STATE > OTHER > CARRIER_STATE	5	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > DY_RESOLUTION	5	5	B:1;H:1;S:2;T:1	ENTRY_STATE > DY_RESOLUTION	3	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > OTHER > DY_RESOLUTION	5	5	B:1;C:1;H:2;S:1	ENTRY_STATE > OTHER > DY_RESOLUTION	3	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > CARRIER_STATE > ENTRY_STATE	5	5	H:5	OL_STATE > CARRIER_STATE > ENTRY_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > CARRIER_STATE > OTHER	5	4	H:4;S:1	OL_STATE > CARRIER_STATE > OTHER	4	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > DY_RESOLUTION	5	5	B:3;P:1;S:1	OL_STATE > DY_RESOLUTION	4	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > ENTRY_STATE	5	4	H:4;S:1	OL_STATE > ENTRY_STATE	4	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > OTHER > CARRIER_STATE	5	5	B:1;H:2;S:1;T:1	OL_STATE > OTHER > CARRIER_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > CARRIER_STATE > ENTRY_STATE	5	5	H:4;S:1	OTHER > CARRIER_STATE > ENTRY_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > DY_RESOLUTION	5	5	B:2;H:1;S:2	OTHER > OTHER > OTHER > DY_RESOLUTION	2	RECURRENT_FORMAL_RECORD_TEMPLATE
Q_OUTER_STATE > OL_STATE	5	5	B:1;H:4	Q_OUTER_STATE > OL_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE > OTHER > CARRIER_STATE	4	3	H:4	CARRIER_STATE > OTHER > CARRIER_STATE > CARRIER_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
DY_RESOLUTION > CARRIER_STATE	4	4	B:1;H:1;T:2	DY_RESOLUTION > CARRIER_STATE > CARRIER_STATE	1	RECURRENT_FORMAL_RECORD_TEMPLATE
DY_RESOLUTION > Q_OUTER_STATE	4	4	B:2;H:1;S:1	DY_RESOLUTION > Q_OUTER_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
ED_MEDIUM	4	4	B:1;H:1;S:2	ED_MEDIUM	4	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > CARRIER_STATE > OTHER > Q_OUTER_STATE	4	4	H:2;P:1;S:1	ENTRY_STATE > CARRIER_STATE > OTHER > Q_OUTER_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > OL_STATE > CARRIER_STATE	4	3	B:1;H:3	ENTRY_STATE > OL_STATE > CARRIER_STATE	4	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > OTHER > CARRIER_STATE > OTHER	4	4	B:1;H:3	ENTRY_STATE > OTHER > CARRIER_STATE > OTHER	2	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > OTHER > ENTRY_STATE	4	4	H:4	ENTRY_STATE > OTHER > ENTRY_STATE	4	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > Q_OUTER_STATE	4	4	B:1;H:2;S:1	ENTRY_STATE > Q_OUTER_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > ENTRY_STATE > CARRIER_STATE	4	4	B:1;H:3	OL_STATE > OL_STATE > ENTRY_STATE > CARRIER_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > CARRIER_STATE > OTHER > CARRIER_STATE	4	4	B:1;H:3	OTHER > CARRIER_STATE > OTHER > CARRIER_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
Q_OUTER_STATE > CARRIER_STATE > OTHER	4	4	H:4	Q_OUTER_STATE > CARRIER_STATE > OTHER	2	RECURRENT_FORMAL_RECORD_TEMPLATE
Q_OUTER_STATE > ENTRY_STATE	4	4	H:4	Q_OUTER_STATE > ENTRY_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
AL_STATE > ENTRY_STATE	3	3	B:2;H:1	AL_STATE > ENTRY_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
AL_STATE > OTHER	3	3	B:1;S:2	AL_STATE > OTHER	3	RECURRENT_FORMAL_RECORD_TEMPLATE
AR_REFERENCE > OL_STATE	3	3	B:2;S:1	AR_REFERENCE > OL_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE > DY_RESOLUTION > CARRIER_STATE > OTHER	3	3	H:2;S:1	CARRIER_STATE > DY_RESOLUTION > CARRIER_STATE > OTHER	1	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE > ENTRY_STATE	3	3	H:3	CARRIER_STATE > CARRIER_STATE > ENTRY_STATE > ENTRY_STATE	1	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE > ENTRY_STATE > Q_OUTER_STATE	3	3	H:3	CARRIER_STATE > CARRIER_STATE > CARRIER_STATE > CARRIER_STATE > ENTRY_STATE > Q_OUTER_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE > Q_OUTER_STATE	3	3	H:1;S:1;T:1	CARRIER_STATE > Q_OUTER_STATE	3	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE > Q_OUTER_STATE > OL_STATE	3	2	H:3	CARRIER_STATE > Q_OUTER_STATE > OL_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
DY_RESOLUTION > AR_REFERENCE	3	2	C:1;H:1;T:1	DY_RESOLUTION > AR_REFERENCE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
DY_RESOLUTION > Q_OUTER_STATE > OTHER	3	3	B:1;C:1;S:1	DY_RESOLUTION > DY_RESOLUTION > DY_RESOLUTION > Q_OUTER_STATE > OTHER	1	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > CARRIER_STATE > ENTRY_STATE	3	2	H:3	ENTRY_STATE > CARRIER_STATE > ENTRY_STATE > ENTRY_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > CARRIER_STATE > OTHER	3	3	H:3	ENTRY_STATE > CARRIER_STATE > OTHER	2	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > DY_RESOLUTION > OTHER	3	3	B:1;H:2	ENTRY_STATE > DY_RESOLUTION > OTHER	2	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > OL_STATE > OTHER	3	3	H:2;S:1	ENTRY_STATE > OL_STATE > OL_STATE > OL_STATE > OTHER	1	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > OTHER > AR_REFERENCE	3	3	H:2;S:1	ENTRY_STATE > OTHER > AR_REFERENCE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > OTHER > OL_STATE	3	3	B:2;P:1	OL_STATE > OL_STATE > OTHER > OTHER > OL_STATE > OL_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > AL_STATE	3	3	B:1;H:2	OTHER > AL_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > CARRIER_STATE > OL_STATE > OTHER	3	3	H:2;S:1	OTHER > CARRIER_STATE > OL_STATE > OTHER	2	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > OL_STATE > CARRIER_STATE > OTHER	3	3	H:3	OTHER > OTHER > OL_STATE > CARRIER_STATE > OTHER	1	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > OL_STATE > ENTRY_STATE	3	3	H:3	OTHER > OL_STATE > ENTRY_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > OL_STATE > OTHER	3	3	H:3	OTHER > OTHER > OL_STATE > OTHER	1	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > Q_OUTER_STATE	3	3	H:3	OTHER > Q_OUTER_STATE	2	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > Q_OUTER_STATE > OTHER	3	3	B:1;H:2	OTHER > Q_OUTER_STATE > OTHER	2	RECURRENT_FORMAL_RECORD_TEMPLATE
Q_OUTER_STATE > CARRIER_STATE > OTHER > DY_RESOLUTION	3	3	H:2;P:1	Q_OUTER_STATE > Q_OUTER_STATE > CARRIER_STATE > OTHER > DY_RESOLUTION	1	RECURRENT_FORMAL_RECORD_TEMPLATE
