segment_origin	closure	collapsed_state_template	occurrences	physical_folios	sections	example_locus	example_tokens	claim_state
LINE_INITIAL	CLOSED_WITH_DY	OTHER > CARRIER_STATE > DY_RESOLUTION	17	13	B:1;H:4;P:2;S:8;T:2	f104v.20	or | sheeo | lcheedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > OTHER	16	14	B:2;H:10;S:4	f104v.44	daiin | okeey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	ED_MEDIUM	16	12	B:4;H:2;S:9;T:1	f104r.1	shedaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > OTHER > DY_RESOLUTION	15	13	B:1;C:1;H:6;S:7	f105r.10	sairy | ore | daiindy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	CARRIER_STATE	15	14	B:1;H:10;P:1;S:3	f104v.24	cheeey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE > OTHER	15	14	B:2;C:1;H:7;S:5	f103r.32	shcthy | oraiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > OL_STATE > DY_RESOLUTION	13	10	B:5;H:1;P:1;S:4;T:2	f102r1.6	daiin | ykeeol | oldy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	AR_REFERENCE	13	11	B:4;H:4;S:4;T:1	f106r.15	podaroar	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > CARRIER_STATE > DY_RESOLUTION	13	9	B:4;C:1;P:1;S:6;T:1	f107v.35	qokaiin | chedy | qokeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > OTHER > DY_RESOLUTION	13	11	B:5;H:2;S:5;T:1	f104v.40	qokeey | aiin | odain | orchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > OTHER	13	11	B:2;C:1;H:2;P:1;S:7	f102v1.20	qoeteey | okeey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ED_MEDIUM > DY_RESOLUTION	12	10	B:2;C:1;H:1;S:7;T:1	f106r.2	shedchy | ytchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OTHER > CARRIER_STATE	12	11	B:2;H:4;S:6	f103r.31	okaiin | chty	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	Q_OUTER_STATE > OL_STATE > DY_RESOLUTION	11	9	B:7;H:2;P:1;T:1	f30v.6	qokeeor | chokol | chokeody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > OL_STATE	11	11	H:8;P:1;S:2	f102r2.4	daiin | ckheeol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	ED_MEDIUM > DY_RESOLUTION	11	8	B:1;S:9;T:1	f105r.6	shedeeey | qopchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OTHER > AR_REFERENCE	11	8	H:2;S:7;T:2	f106v.14	raiin | char	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE > OTHER	10	9	B:1;C:1;H:5;P:1;S:2	f113r.27	tchol | chol | lsheol | kcheey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > CARRIER_STATE	10	9	H:6;S:4	f103v.38	oteey | chey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > CARRIER_STATE > OTHER	10	8	H:7;P:2;T:1	f102r2.2	lsais | cheey | cfhey | por | aiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > OL_STATE	10	9	C:1;H:6;P:2;T:1	f1v.1	kchsy | ol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	Q_OUTER_STATE > CARRIER_STATE	10	7	B:2;H:8	f15r.15	qotchor | chaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	CARRIER_STATE > Q_OUTER_STATE > DY_RESOLUTION	10	10	B:3;C:1;P:1;S:5	f102v1.23	sho | qokey | sheody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	ENTRY_STATE > DY_RESOLUTION	10	9	B:5;H:2;S:2;T:1	f106r.22	daiir | opchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	AR_REFERENCE > OTHER > DY_RESOLUTION	9	8	H:2;S:7	f103v.30	pchear | okain | opchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > ENTRY_STATE	9	7	H:9	f13v.8	otchy | daiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	CARRIER_STATE > OL_STATE > DY_RESOLUTION	8	7	B:3;H:3;P:1;S:1	f111v.2	sheekeey | cheol | keedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OL_STATE > OTHER > DY_RESOLUTION	8	8	B:4;S:2;T:2	f105v.4	olkeeol | orchsey | qokeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > OL_STATE > DY_RESOLUTION	8	7	B:5;S:3	f103v.7	qokaiin | ol | chedydy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OTHER > AL_STATE	8	5	H:1;S:5;T:2	f103r.30	oteeykshy | chdaly	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OT_AR_LOCAL	8	7	B:3;H:2;S:3	f107r.13	otaral	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > AL_STATE > DY_RESOLUTION	7	7	B:1;H:3;S:3	f103r.24	tchoky | okeal | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > CARRIER_STATE > OL_STATE > DY_RESOLUTION	7	7	B:3;P:1;S:2;T:1	f107r.35	daiin | shl | lkeeol | lchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > Q_OUTER_STATE > DY_RESOLUTION	7	7	B:2;H:2;S:3	f107v.6	paiin | okaiin | qokaiy | olkeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	AL_STATE	7	4	B:1;C:1;S:5	f106v.37	pyoaly	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	AR_REFERENCE > OTHER	7	7	C:1;H:2;P:1;S:3	f104r.28	olcheear | chedar | or	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	CARRIER_STATE > OTHER	7	7	B:1;H:4;P:1;S:1	f102v2.23	shey | okey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > ENTRY_STATE > OTHER	7	6	H:7	f11v.7	ycheor | ksho | dor | cthey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	Q_OUTER_STATE > OTHER	7	7	H:4;S:3	f104r.31	qokeeo | aiin | oksheey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OL_STATE > OTHER > DY_RESOLUTION	7	6	B:5;S:2	f104v.8	cheeool | ls | air | ykeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OTHER > CARRIER_STATE > DY_RESOLUTION	7	7	B:2;H:2;S:2;T:1	f107r.19	okeeey | cheodaiin | aldy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE > OL_STATE	7	7	B:2;H:2;P:1;S:2	f102r1.17	chockhy | oly	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OL_STATE > AL_STATE	7	7	B:3;P:2;S:1;T:1	f115v.6	solkaiin | al	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > AR_REFERENCE	7	6	C:1;H:1;S:5	f106r.9	qocheo | qokar	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OL_STATE > Q_OUTER_STATE > DY_RESOLUTION	6	6	B:3;H:1;S:2	f106r.7	olched | qoiin | ychedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE > CARRIER_STATE	6	6	B:1;H:4;P:1	f100v.16	ykeeol | chol | chey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	AR_REFERENCE > CARRIER_STATE > DY_RESOLUTION	6	6	H:3;S:2;T:1	f114v.23	qotchdar | cheeos | otoydy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OL_STATE > CARRIER_STATE > DY_RESOLUTION	6	6	B:3;H:1;S:1;T:1	f112r.30	chol | ol | chedy | qokedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OT_AR_LOCAL > DY_RESOLUTION	6	5	B:2;H:1;S:1;T:2	f106v.16	qotar | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	AR_REFERENCE > OTHER	6	5	B:1;H:4;S:1	f112r.39	yteokar | ogom	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	ENTRY_STATE > CARRIER_STATE	6	4	C:1;H:2;P:1;T:2	f34r.4	dam | checthy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OL_STATE > CARRIER_STATE	6	6	B:3;H:3	f31r.8	cheol | checthy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OL_STATE > OTHER	6	5	B:3;H:2;S:1	f111r.40	oteeolkeey | okeeo	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OT_AL_LOCAL	6	6	B:2;H:2;P:1;S:1	f113r.37	otal	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > CARRIER_STATE	6	6	B:1;S:4;T:1	f103r.38	qokain | shcthy | chckhy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > OL_STATE	6	6	B:5;S:1	f106v.36	qokaiin | cholkaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	AL_STATE > CARRIER_STATE > DY_RESOLUTION	5	5	B:1;H:2;S:1;T:1	f115v.39	dairal | chain | ykeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	AR_REFERENCE > CARRIER_STATE > DY_RESOLUTION	5	5	B:1;H:1;S:3	f112r.30	tar | ar | cheokey | okeody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	CARRIER_STATE > OTHER > DY_RESOLUTION	5	5	C:1;H:2;S:2	f111v.29	cheopaiin | otain | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > CARRIER_STATE > OTHER > DY_RESOLUTION	5	5	H:3;S:2	f104r.7	dchodees | sheos | odaiin | otchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > AR_REFERENCE > DY_RESOLUTION	5	5	B:1;C:1;H:1;S:1;T:1	f106r.16	oin | okain | aiin | arol | ocheedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > OL_STATE > DY_RESOLUTION	5	5	H:2;S:3	f105v.7	ycheeo | lkaiin | otair | ol | olkaiin | okairody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	CARRIER_STATE > OL_STATE	5	5	H:4;P:1	f1v.6	choky | chol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > CARRIER_STATE > OTHER > CARRIER_STATE	5	4	H:1;P:1;S:3	f102r2.5	tor | sheo | or | chey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE > CARRIER_STATE > ENTRY_STATE	5	5	H:5	f1v.4	dol | chokeo | dair | dam | sochey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE > CARRIER_STATE > OTHER	5	4	H:4;S:1	f104v.5	dcheol | chdeey | oeeodain	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE > ENTRY_STATE	5	4	H:4;S:1	f22r.3	qokol | dykaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE > OTHER > CARRIER_STATE	5	5	B:1;H:2;S:1;T:1	f113r.15	chol | s | aiin | chaiiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > CARRIER_STATE > ENTRY_STATE	5	5	H:4;S:1	f105v.19	ycheey | aiin | otleey | lkaiir | cheeo | taiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	Q_OUTER_STATE > OL_STATE	5	5	B:1;H:4	f17v.11	qokcheo | qokoiir | ctheol | chol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	AR_REFERENCE > OTHER > DY_RESOLUTION	5	5	H:2;P:1;S:2	f103r.12	shar | aiin | otedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	ENTRY_STATE > OTHER > DY_RESOLUTION	5	5	B:1;H:2;S:2	f113v.18	tcheepchey | lky | lkches | qokody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OTHER > Q_OUTER_STATE > DY_RESOLUTION	5	5	B:1;H:1;S:2;T:1	f108v.43	rcheetey | qokeey | cheolkeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OT_OL_LOCAL > DY_RESOLUTION	5	5	B:1;H:1;S:3	f104v.19	qotol | sheedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > ENTRY_STATE > DY_RESOLUTION	5	5	B:4;P:1	f76v.40	qoky | daiin | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	AR_REFERENCE > CARRIER_STATE	5	5	B:1;H:2;T:2	f33v.6	okar | chdy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OT_OL_LOCAL	5	5	H:3;P:1;S:1	f100r.27	otolchey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	AR_REFERENCE > OL_STATE > DY_RESOLUTION	4	4	H:3;S:1	f113r.30	folchear | oteol | lshedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ED_MEDIUM > CARRIER_STATE > DY_RESOLUTION	4	4	H:1;S:3	f108r.4	ychedaiin | shky | chdy | oteeody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OL_STATE > AL_STATE > DY_RESOLUTION	4	4	B:2;S:1;T:1	f108r.30	ykeol | chedal | chokedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > AR_REFERENCE > OTHER > DY_RESOLUTION	4	4	B:1;H:3	f34r.1	pcheoepchy | olar | yl | yfody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	Q_OUTER_STATE > CARRIER_STATE > DY_RESOLUTION	4	3	B:1;H:1;P:2	f14r.10	qotchor | chod | shoty | chody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	Q_OUTER_STATE > CARRIER_STATE > OTHER > DY_RESOLUTION	4	4	H:3;P:1	f13v.3	qokchy | qokod | chy | otchy | cthody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	CARRIER_STATE > OTHER > CARRIER_STATE	4	3	H:4	f49r.10	sho | r | choiin | shor	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ED_MEDIUM	4	4	B:1;H:1;S:2	f108r.27	ychedain	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > CARRIER_STATE > OTHER > Q_OUTER_STATE	4	4	H:2;P:1;S:1	f102v2.37	tchor | chey | kor | or | cthey | qoeeey | qokeey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > OL_STATE > CARRIER_STATE	4	3	B:1;H:3	f51v.13	daiin | cheol | cheodain	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > OTHER > CARRIER_STATE > OTHER	4	4	B:1;H:3	f24r.17	sshey | otam | sham | oky	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > OTHER > ENTRY_STATE	4	4	H:4	f22v.11	sokaiin | oty | dy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > Q_OUTER_STATE	4	4	B:1;H:2;S:1	f10r.12	daiin | qotchy | qotor	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE > ENTRY_STATE > CARRIER_STATE	4	4	B:1;H:3	f49v.22	dchol | cthol | daiin | choky	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > CARRIER_STATE > OTHER > CARRIER_STATE	4	4	B:1;H:3	f42r.7	pcho | chy | kshaiin | shotaiin | cham | shan	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	Q_OUTER_STATE > CARRIER_STATE > OTHER	4	4	H:4	f15v.6	qotchey | choty | kaiin | otchy | r | aiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	Q_OUTER_STATE > ENTRY_STATE	4	4	H:4	f10r.3	qotor | dy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	AL_STATE > CARRIER_STATE > DY_RESOLUTION	4	4	B:1;H:2;S:1	f103r.32	qokal | shety | otedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	CARRIER_STATE > AL_STATE > DY_RESOLUTION	4	3	B:3;H:1	f43r.6	chedy | daly | cheody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	CARRIER_STATE > ENTRY_STATE > DY_RESOLUTION	4	4	B:1;C:1;H:1;S:1	f114r.6	chedy | daiin | ykeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	CARRIER_STATE > OL_STATE > DY_RESOLUTION	4	4	B:1;H:1;T:2	f48v.9	cheky | oly | loldy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	CARRIER_STATE > OTHER > DY_RESOLUTION	4	4	B:2;S:2	f105r.19	chedy | laiin | okeeody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
