page_host	external_axis	direction	host_loci	host_folios	axis_positive_host_loci	axis_negative_host_loci	positive_folios	negative_folios	informative_folios	cmh_z	local_permutation_p	max_search_p	lofo_min_z	lofo_max_z	lofo_sign_stable	positive_wrappers	negative_wrappers	positive_right_families	negative_right_families	classification	rank_by_abs_cmh_z
ar	PLANT	ENRICHED	24	9	7	17	2	8	4	1.66880859869	0.161967606479	1	-0.525146674973	2.13304673499	0	NONE;d;s	NONE;ch;d;s;t	NONE;ar	NONE;al;ar	WEAK	32
ch	REL_EXPLICIT_ATTACHMENT	DEPLETED	5	4	0	5	0	4	4	-1.65512481951	0.23375324935	1	-1.65512481951	-0.943611379771	1		NONE;d		NONE;ar	WEAK	33
oto	REL_ENCLOSURE	ENRICHED	3	2	1	2	1	2	1	1.65465758932	0.232553489302	1	1.65465758932	1.65465758932	1	NONE	NONE	NONE	NONE	NO_SIGNAL	34
d	STAR_OR_SKY	ENRICHED	12	7	10	2	5	2	4	1.63873442643	0.165166966607	1	0.96926233062	1.63873442643	1	NONE;ch;che;s;sh;t	NONE;s	NONE;aiin;air;al;ar	NONE;ar	WEAK	35
yto	STAR_OR_SKY	ENRICHED	5	3	5	0	3	0	2	1.56553696509	0.305538892222	1	0.832050294338	1.56553696509	1	NONE		NONE;aiin;ar		WEAK	36
aiin	REL_EXPLICIT_ATTACHMENT	DEPLETED	7	3	0	7	0	3	2	-1.55496901008	0.308538292342	1	-1.63935963108	-0.286972021592	1		NONE;d;s		NONE	WEAK	37
eey	REL_EXPLICIT_ATTACHMENT	DEPLETED	4	4	0	4	0	4	2	-1.55496901008	0.31173765247	1	-1.63935963108	-0.286972021592	1		NONE;ch		NONE	WEAK	38
yteo	REL_EXPLICIT_ATTACHMENT	DEPLETED	3	3	0	3	0	3	2	-1.55496901008	0.29874025195	1	-1.63935963108	-0.286972021592	1		NONE		NONE	WEAK	39
yky	REL_EXPLICIT_ATTACHMENT	DEPLETED	3	3	0	3	0	3	2	-1.54229815993	0.330933813237	1	-1.63935963108	-0.35805743702	1		NONE;ch		NONE	WEAK	40
al	REL_EXPLICIT_ATTACHMENT	DEPLETED	11	6	0	11	0	6	2	-1.53483110361	0.201359728054	1	-1.63935963108	-0.635119760907	1		NONE;d;s		NONE;aiin;ar	WEAK	41
al	STAR_OR_SKY	DEPLETED	11	6	5	6	4	3	4	-1.50850095063	0.192361527694	1	-1.8619406053	-0.00264195246153	1	NONE;d;s	NONE;d;s	NONE;aiin;ar	NONE	WEAK	42
aiin	REL_ENCLOSURE	DEPLETED	7	3	0	7	0	3	3	-1.47936266966	0.194361127774	1	-1.47936266966	-0.808026964566	1		NONE;d;s		NONE	NO_SIGNAL	43
arol	FIGURE	DEPLETED	4	4	1	3	1	3	2	-1.42082739496	0.28374325135	1	-3.87298334621	0.561951486949	0	d	NONE;d;s	NONE	NONE	NO_SIGNAL	44
olol	FIGURE	DEPLETED	3	3	1	2	1	2	2	-1.42082739496	0.296340731854	1	-1.77951304201	0.258198889747	0	d	NONE	NONE	NONE	NO_SIGNAL	45
ol	REL_ARRAY_OR_GROUP	DEPLETED	5	4	0	5	0	4	3	-1.42010946689	0.258348330334	1	-1.42010946689	-0.672042342327	1		NONE		NONE	NO_SIGNAL	46
okeo	REL_ENCLOSURE	ENRICHED	8	5	2	6	2	4	3	1.37040158597	0.206358728254	1	0.303390757996	1.68845739673	1	NONE	NONE	NONE	NONE	NO_SIGNAL	47
y	STAR_OR_SKY	ENRICHED	15	8	11	4	5	4	4	1.36470555566	0.257948410318	1	0.949848220448	1.36470555566	1	NONE;ch;d;sh	NONE;ch;d	NONE	NONE	NO_SIGNAL	48
o	REL_PROXIMITY	ENRICHED	10	6	7	3	4	3	5	1.33579316578	0.260147970406	1	0.838564265429	1.6095972881	1	NONE;ch;che;s;sh	NONE	NONE;aiin	NONE;ar	NO_SIGNAL	49
otoky	STAR_OR_SKY	DEPLETED	3	3	0	3	0	3	2	-1.30999945574	0.368926214757	1	-1.33333333333	-0.218217890236	1		NONE		NONE	NO_SIGNAL	50
arol	WATER_OR_APPARATUS	ENRICHED	4	4	2	2	2	2	1	1.29099444874	0.363127374525	1	1.29099444874	1.29099444874	1	d	NONE;s	NONE	NONE	NO_SIGNAL	51
okol	WATER_OR_APPARATUS	ENRICHED	6	5	1	5	1	4	1	1.29099444874	0.377724455109	1	1.29099444874	1.29099444874	1	NONE	NONE;q	NONE	NONE;ar	NO_SIGNAL	52
oky	REL_ARRAY_OR_GROUP	ENRICHED	8	5	1	7	1	5	2	1.2624782424	0.304339132174	1	-0.506351189059	3.00010957503	0	NONE	NONE;ch	NONE	NONE	NO_SIGNAL	53
ok	FIGURE	ENRICHED	19	11	12	7	6	5	3	1.23195077436	0.326734653069	1	0.893019329616	1.23195077436	1	NONE;d;q	NONE;ch	aiin;ain;al	aiin;ain;al;ar	NO_SIGNAL	54
oky	PLANT	ENRICHED	8	5	4	4	2	3	2	1.23116654664	0.466106778644	1	0.506351189059	1.23116654664	1	NONE;ch	NONE	NONE	NONE	NO_SIGNAL	55
okeey	REL_ENCLOSURE	ENRICHED	6	4	2	4	2	3	3	1.22989376881	0.242551489702	1	0.361433401798	1.95535417109	1	NONE	NONE	NONE	NONE	NO_SIGNAL	56
oiin	REL_PROXIMITY	DEPLETED	3	2	0	3	0	2	2	-1.21200076025	0.535092981404	1	-1.21200076025	-0.828078671211	1		NONE;d		NONE;ar	NO_SIGNAL	57
ch	REL_PROXIMITY	ENRICHED	5	4	5	0	4	0	1	1.20761472885	0.397320535893	1	1.20761472885	1.20761472885	1	NONE;d		NONE;ar		NO_SIGNAL	58
ykch	REL_PROXIMITY	ENRICHED	3	2	3	0	2	0	1	1.20761472885	0.402919416117	1	1.20761472885	1.20761472885	1	NONE;d		NONE;al		NO_SIGNAL	59
ol	REL_PROXIMITY	ENRICHED	5	4	5	0	4	0	2	1.20435368233	0.435312937413	1	0.333333333333	1.20761472885	1	NONE		NONE		NO_SIGNAL	60
e	PLANT	ENRICHED	9	6	2	7	2	4	1	1.20185042515	0.409918016397	1	1.20185042515	1.20185042515	1	NONE	NONE;d;q;sh	NONE;ar	NONE	NO_SIGNAL	61
e	STAR_OR_SKY	DEPLETED	9	6	1	8	1	5	1	-1.20185042515	0.409918016397	1	-1.20185042515	-1.20185042515	1	NONE	NONE;d;q;sh	NONE	NONE;ar	NO_SIGNAL	62
okeos	PLANT	ENRICHED	3	2	1	2	1	1	1	1.20185042515	0.419116176765	1	1.20185042515	1.20185042515	1	NONE	NONE	NONE	NONE	NO_SIGNAL	63
okeos	STAR_OR_SKY	DEPLETED	3	2	2	1	1	1	1	-1.20185042515	0.419116176765	1	-1.20185042515	-1.20185042515	1	NONE	NONE	NONE	NONE	NO_SIGNAL	64
a	STAR_OR_SKY	DEPLETED	8	7	4	4	4	4	3	-1.19609510675	0.556888622276	1	-2.00679564379	-0.33605292989	1	NONE	d;q;s	NONE	NONE	NO_SIGNAL	65
eo	REL_PROXIMITY	ENRICHED	5	5	2	3	2	3	3	1.19592704238	0.52949410118	1	0.354284362324	1.78264404601	1	NONE;sh	NONE	NONE	NONE;al	NO_SIGNAL	66
eey	STAR_OR_SKY	DEPLETED	4	4	2	2	2	2	2	-1.18152921106	0.381323735253	1	-1.33333333333	0.187317162316	0	NONE;ch	NONE	NONE	NONE	NO_SIGNAL	67
ok	PLANT	ENRICHED	19	11	4	15	4	8	5	1.16516109044	0.335332933413	1	0.149331997326	2.15837132648	1	NONE;ch	NONE;d;q	aiin;al;ar	aiin;ain;al	NO_SIGNAL	68
e	REL_ARRAY_OR_GROUP	DEPLETED	9	6	2	7	2	6	4	-1.16434395495	0.361327734453	1	-1.29093337314	-0.718791963754	1	NONE;d	NONE;q;sh	NONE	NONE;ar	NO_SIGNAL	69
y	FIGURE	ENRICHED	15	8	5	10	3	5	2	1.15484839399	0.568486302739	1	0.561951486949	1.15484839399	1	NONE;ch;d	NONE;ch;d;sh	NONE	NONE	NO_SIGNAL	70
or	FIGURE	DEPLETED	7	6	0	7	0	6	1	-1.15470053838	0.431313737253	1	-1.15470053838	-1.15470053838	1		NONE;ch;che;s		NONE;ain;al	NO_SIGNAL	71
e	FIGURE	DEPLETED	9	6	4	5	3	4	3	-1.15467448081	0.318136372725	1	-2.28126316471	0.422191824487	0	NONE;d;sh	NONE;q	NONE	NONE;ar	NO_SIGNAL	72
al	FIGURE	ENRICHED	11	6	5	6	3	3	2	1.14921473213	0.577484503099	1	0.81181210979	1.14921473213	1	NONE;d;s	NONE;d;s	NONE;aiin;ar	NONE;ar	NO_SIGNAL	73
ary	REL_EXPLICIT_ATTACHMENT	DEPLETED	10	7	1	9	1	7	5	-1.14015712747	0.329134173165	1	-2.16660508109	0.446876964897	0	NONE	NONE;d;s	NONE	NONE	NO_SIGNAL	74
yky	PLANT	ENRICHED	3	3	1	2	1	2	2	1.12911323262	0.427514497101	1	-0.13130643286	1.20185042515	0	ch	NONE	NONE	NONE	NO_SIGNAL	75
s	REL_EXPLICIT_ATTACHMENT	ENRICHED	6	4	1	5	1	3	2	1.12208170715	0.352529494101	1	-0.612372435696	2.79284800875	0	NONE	NONE;che	NONE	NONE	NO_SIGNAL	76
s	STAR_OR_SKY	ENRICHED	6	4	2	4	2	2	2	1.11929440428	0.530093981204	1	0.75	1.11929440428	1	NONE	NONE;che	NONE	NONE	NO_SIGNAL	77
or	REL_ARRAY_OR_GROUP	DEPLETED	7	6	0	7	0	6	4	-1.10659508993	0.553089382124	1	-1.10659508993	-0.712697121929	1		NONE;ch;che;s		NONE;ain;al	NO_SIGNAL	78
oiin	STAR_OR_SKY	ENRICHED	3	2	3	0	2	0	2	1.08349019074	0.530093981204	1	0.187317162316	1.08349019074	1	NONE;d		NONE;ar		NO_SIGNAL	79
or	STAR_OR_SKY	ENRICHED	7	6	3	4	2	4	2	1.08349019074	0.52649470106	1	0.187317162316	1.08349019074	1	NONE;s	NONE;ch;che;s	NONE	NONE;ain;al	NO_SIGNAL	80
ain	STAR_OR_SKY	ENRICHED	3	2	2	1	1	1	1	1.07165176247	0.524895020996	1	1.07165176247	1.07165176247	1	NONE;d	NONE	NONE	NONE	NO_SIGNAL	81
s	PLANT	ENRICHED	6	4	2	4	2	2	3	1.06645159331	0.485102979404	1	-0.255537696439	2.29183303446	0	NONE;che	NONE	NONE	NONE	NO_SIGNAL	82
or	REL_ENCLOSURE	DEPLETED	7	6	0	7	0	6	3	-1.05390961486	0.565686862627	1	-1.05390961486	-0.733516151473	1		NONE;ch;che;s		NONE;ain;al	NO_SIGNAL	83
eol	REL_PROXIMITY	DEPLETED	4	4	1	3	1	3	1	-1.04653623694	0.482903419316	1	-1.04653623694	-1.04653623694	1	NONE	NONE;sh	NONE	NONE;ar	NO_SIGNAL	84
ykey	REL_PROXIMITY	DEPLETED	3	2	0	3	0	2	1	-1.04653623694	0.472705458908	1	-1.04653623694	-1.04653623694	1		NONE		NONE	NO_SIGNAL	85
oiin	REL_ENCLOSURE	DEPLETED	3	2	0	3	0	2	2	-1.04070953412	0.565886822635	1	-1.04070953412	-0.716114874039	1		NONE;d		NONE;ar	NO_SIGNAL	86
eey	REL_PROXIMITY	DEPLETED	4	4	1	3	1	3	2	-1.03195247648	0.54149170166	1	-1.03195247648	-0.623609564462	1	NONE	NONE;ch	NONE	NONE	NO_SIGNAL	87
okeey	REL_PROXIMITY	DEPLETED	6	4	1	5	1	3	2	-1.03195247648	0.542891421716	1	-1.03195247648	-0.623609564462	1	NONE	NONE	NONE	NONE	NO_SIGNAL	88
yto	REL_ENCLOSURE	DEPLETED	5	3	0	5	0	3	2	-1.01437102128	0.582083583283	1	-1.01437102128	-0.387298334621	1		NONE		NONE;aiin;ar	NO_SIGNAL	89
e	REL_EXPLICIT_ATTACHMENT	ENRICHED	9	6	2	7	2	5	5	1.01388510115	0.583083383323	1	0.298628822327	1.25728902964	1	NONE;sh	NONE;d;q	NONE	NONE;ar	NO_SIGNAL	90
ykey	REL_ENCLOSURE	DEPLETED	3	2	0	3	0	2	1	-0.993183287958	0.543091381724	1	-0.993183287958	-0.993183287958	1		NONE		NONE	NO_SIGNAL	91
o	REL_ENCLOSURE	DEPLETED	10	6	0	10	0	6	4	-0.991203208371	0.582883423315	1	-0.991203208371	-0.694878523636	1		NONE;ch;che;s;sh		NONE;aiin;ar	NO_SIGNAL	92
oto	STAR_OR_SKY	ENRICHED	3	2	3	0	2	0	2	0.972841674231	0.553889222156	1	0.533760512684	0.972841674231	1	NONE		NONE		NO_SIGNAL	93
op	REL_ENCLOSURE	ENRICHED	3	3	1	2	1	2	2	0.971291797035	0.402919416117	1	-0.37267799625	1.44599761096	0	NONE	NONE	aiin	al;ar	NO_SIGNAL	94
ain	REL_ENCLOSURE	ENRICHED	3	2	1	2	1	2	1	0.965810246782	0.391921615677	1	0.965810246782	0.965810246782	1	d	NONE	NONE	NONE	NO_SIGNAL	95
yto	PLANT	DEPLETED	5	3	0	5	0	3	2	-0.963841736446	0.561687662468	1	-0.963841736446	-0.521507811811	1		NONE		NONE;aiin;ar	NO_SIGNAL	96
oko	PLANT	ENRICHED	5	3	3	2	2	2	2	0.960302772342	0.560287942412	1	0.242535625036	0.960302772342	1	NONE	NONE	NONE	NONE	NO_SIGNAL	97
os	STAR_OR_SKY	ENRICHED	4	3	2	2	2	2	2	0.958966075335	0.530093981204	1	-0.416753463182	4.58257569496	0	NONE;che	NONE;ch	NONE;ar	NONE;aiin	NO_SIGNAL	98
e	REL_PROXIMITY	ENRICHED	9	6	8	1	5	1	1	0.955533085906	1	1	0.955533085906	0.955533085906	1	NONE;d;q;sh	NONE	NONE;ar	NONE	NO_SIGNAL	99
okeos	REL_PROXIMITY	ENRICHED	3	2	1	2	1	1	1	0.955533085906	1	1	0.955533085906	0.955533085906	1	NONE	NONE	NONE	NONE	NO_SIGNAL	100
oky	REL_ENCLOSURE	DEPLETED	8	5	0	8	0	5	3	-0.948724470264	0.577884423115	1	-0.948724470264	-0.659451461264	1		NONE;ch		NONE	NO_SIGNAL	101
a	PLANT	ENRICHED	8	7	3	5	3	4	3	0.944633179259	0.470905818836	1	-0.0132233030674	1.1938714962	0	d;q	NONE;s	NONE	NONE	NO_SIGNAL	102
eo	REL_ENCLOSURE	DEPLETED	5	5	0	5	0	5	3	-0.943458102859	0.577884423115	1	-0.943458102859	-0.647756742138	1		NONE;sh		NONE;al	NO_SIGNAL	103
y	REL_ARRAY_OR_GROUP	ENRICHED	15	8	2	13	2	7	4	0.943369963716	0.479904019196	1	-0.225881067318	1.62744507833	0	NONE	NONE;ch;d;sh	NONE	NONE	NO_SIGNAL	104
ok	REL_ARRAY_OR_GROUP	ENRICHED	19	11	5	14	4	9	6	0.941743454121	0.456708658268	1	0.548044475449	1.27959111692	1	NONE;d;q	NONE;ch	ain;al	aiin;ain;al;ar	NO_SIGNAL	105
okeo	REL_EXPLICIT_ATTACHMENT	DEPLETED	8	5	0	8	0	5	4	-0.940426668203	0.611877624475	1	-0.940426668203	-0.693704820829	1		NONE		NONE	NO_SIGNAL	106
yky	REL_ENCLOSURE	ENRICHED	3	3	1	2	1	2	2	0.936758404013	0.416516696661	1	-0.37267799625	1.39642400438	0	NONE	NONE;ch	NONE	NONE	NO_SIGNAL	107
ol	WATER_OR_APPARATUS	ENRICHED	5	4	2	3	1	3	1	0.930949336251	0.560287942412	1	0.930949336251	0.930949336251	1	NONE	NONE	NONE	NONE	NO_SIGNAL	108
ary	REL_ENCLOSURE	ENRICHED	10	7	2	8	2	7	3	0.919774652416	0.580883823235	1	0.130425204626	1.30150757508	1	NONE;d	NONE;d;s	NONE	NONE	NO_SIGNAL	109
eo	PLANT	ENRICHED	5	5	1	4	1	4	2	0.909823545726	0.457708458308	1	-0.29488391231	1.20185042515	0	NONE	NONE;sh	NONE	NONE;al	NO_SIGNAL	110
l	REL_EXPLICIT_ATTACHMENT	ENRICHED	12	7	4	8	3	6	5	0.901203956819	0.418716256749	1	0.278654762961	1.2579816753	1	NONE;ch;sh	NONE;ch;s;t	NONE;ar	NONE;aiin	NO_SIGNAL	111
ar	REL_PROXIMITY	ENRICHED	24	9	10	14	5	7	5	0.895446088486	0.417516496701	1	-0.153039237786	1.31672627771	0	NONE;d;s	NONE;ch;d;s;t	NONE;al;ar	NONE;al;ar	NO_SIGNAL	112
ary	STAR_OR_SKY	DEPLETED	10	7	5	5	3	5	4	-0.888095692106	0.583283343331	1	-1.06215640052	-0.209405085427	1	NONE;d;s	NONE;d	NONE	NONE	NO_SIGNAL	113
yteo	REL_ENCLOSURE	DEPLETED	3	3	0	3	0	3	3	-0.88692410843	0.576684663067	1	-0.88692410843	-0.537477524128	1		NONE		NONE	NO_SIGNAL	114
okeoly	REL_ENCLOSURE	DEPLETED	4	4	0	4	0	4	3	-0.868858465563	0.608078384323	1	-0.868858465563	-0.537477524128	1		NONE;q		NONE	NO_SIGNAL	115
okol	REL_ARRAY_OR_GROUP	DEPLETED	6	5	0	6	0	5	2	-0.863814856221	0.602079584083	1	-0.863814856221	-0.542326144547	1		NONE;q		NONE;ar	NO_SIGNAL	116
a	FIGURE	DEPLETED	8	7	3	5	3	5	1	-0.854124426521	0.435312937413	1	-0.854124426521	-0.854124426521	1	NONE	NONE;d;q;s	NONE	NONE	NO_SIGNAL	117
oto	FIGURE	DEPLETED	3	2	1	2	1	2	1	-0.854124426521	0.440311937612	1	-0.854124426521	-0.854124426521	1	NONE	NONE	NONE	NONE	NO_SIGNAL	118
a	REL_PROXIMITY	ENRICHED	8	7	4	4	4	4	4	0.852926737971	0.599880023995	1	0.404131714955	1.30300958459	1	d;q;s	NONE	NONE	NONE	NO_SIGNAL	119
op	FIGURE	DEPLETED	3	3	2	1	2	1	2	-0.8521358406	0.428514297141	1	-1.76068168617	0.561951486949	0	NONE	NONE	aiin;al	ar	NO_SIGNAL	120
a	REL_ENCLOSURE	DEPLETED	8	7	0	8	0	7	3	-0.845757829911	0.621675664867	1	-0.845757829911	-0.656399674398	1		NONE;d;q;s		NONE	NO_SIGNAL	121
eol	PLANT	DEPLETED	4	4	1	3	1	3	1	-0.832050294338	1	1	-0.832050294338	-0.832050294338	1	NONE	NONE;sh	NONE	NONE;ar	NO_SIGNAL	122
eol	STAR_OR_SKY	ENRICHED	4	4	3	1	3	1	1	0.832050294338	1	1	0.832050294338	0.832050294338	1	NONE;sh	NONE	NONE;ar	NONE	NO_SIGNAL	123
ykey	STAR_OR_SKY	ENRICHED	3	2	3	0	2	0	1	0.832050294338	1	1	0.832050294338	0.832050294338	1	NONE		NONE		NO_SIGNAL	124
oto	PLANT	DEPLETED	3	2	0	3	0	2	1	-0.832050294338	1	1	-0.832050294338	-0.832050294338	1		NONE		NONE	NO_SIGNAL	125
ykey	PLANT	DEPLETED	3	2	0	3	0	2	1	-0.832050294338	1	1	-0.832050294338	-0.832050294338	1		NONE		NONE	NO_SIGNAL	126
oky	FIGURE	ENRICHED	8	5	4	4	3	2	1	0.813451834782	1	1	0.813451834782	0.813451834782	1	NONE	NONE;ch	NONE	NONE	NO_SIGNAL	127
oky	REL_EXPLICIT_ATTACHMENT	DEPLETED	8	5	0	8	0	5	4	-0.811195316243	0.648670265947	1	-0.811195316243	-0.554289234026	1		NONE;ch		NONE	NO_SIGNAL	128
ot	STAR_OR_SKY	DEPLETED	12	10	6	6	5	5	4	-0.806946844189	0.585882823435	1	-1.40071859158	0.707284194548	0	NONE	NONE;ch	aiin;ain;al	air;al;ar	NO_SIGNAL	129
okeod	REL_EXPLICIT_ATTACHMENT	DEPLETED	5	2	0	5	0	2	2	-0.804465230778	0.634873025395	1	-0.804465230778	-0.311085508419	1		NONE;ch		NONE;ar	NO_SIGNAL	130
ot	FIGURE	ENRICHED	12	10	6	6	5	5	2	0.798978028237	1	1	0.561951486949	0.798978028237	1	NONE	NONE;ch	aiin;ain;al	air;al;ar	NO_SIGNAL	131
oko	REL_EXPLICIT_ATTACHMENT	DEPLETED	5	3	0	5	0	3	2	-0.776756580494	0.658068386323	1	-0.776756580494	-0.4472135955	1		NONE		NONE	NO_SIGNAL	132
ain	REL_PROXIMITY	ENRICHED	3	2	2	1	2	1	2	0.775417651633	0.495300939812	1	0.333333333333	0.775417651633	1	NONE;d	NONE	NONE	NONE	NO_SIGNAL	133
l	WATER_OR_APPARATUS	DEPLETED	12	7	0	12	0	7	1	-0.774596669241	1	1	-0.774596669241	-0.774596669241	1		NONE;ch;s;sh;t		NONE;aiin;ar	NO_SIGNAL	134
olol	WATER_OR_APPARATUS	DEPLETED	3	3	1	2	1	2	1	-0.774596669241	1	1	-0.774596669241	-0.774596669241	1	NONE	NONE;d	NONE	NONE	NO_SIGNAL	135
os	REL_ENCLOSURE	DEPLETED	4	3	0	4	0	3	1	-0.758850908186	1	1	-0.758850908186	-0.758850908186	1		NONE;ch;che		NONE;aiin;ar	NO_SIGNAL	136
