page_host	register	right_family	occurrences	physical_folios	wrappers	example_token	example_locus	cell_state
yk	HERBAL_A	aiin	7	7	NONE;d;s	sykaiin	f16r.1	OBSERVED
yk	HERBAL_A	air	1	1	NONE	ykair	f52r.5	OBSERVED
yk	HERBAL_A	ain	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yk	HERBAL_A	ar	1	1	NONE	ykar	f18v.6	OBSERVED
yk	HERBAL_A	al	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yk	HERBAL_B	aiin	5	4	NONE	ykaiin	f39r.5	OBSERVED
yk	HERBAL_B	air	2	1	NONE	ykair	f55r.2	OBSERVED
yk	HERBAL_B	ain	2	1	NONE	ykain	f55v.5	OBSERVED
yk	HERBAL_B	ar	8	6	NONE	ykar	f34v.2	OBSERVED
yk	HERBAL_B	al	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yk	OTHER_A	aiin	2	2	NONE	ykaiin	f1r.3	OBSERVED
yk	OTHER_A	air	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yk	OTHER_A	ain	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yk	OTHER_A	ar	2	2	NONE	ykar	f58v.32	OBSERVED
yk	OTHER_A	al	1	1	NONE	ykal	f58r.17	OBSERVED
yk	OTHER_B	aiin	9	4	NONE;d;q	qykaiin	f77r.39	OBSERVED
yk	OTHER_B	air	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yk	OTHER_B	ain	1	1	NONE	ykain	f86v5.24	OBSERVED
yk	OTHER_B	ar	3	2	NONE	ykar	f76r.44	OBSERVED
yk	OTHER_B	al	2	2	NONE	ykal	f78v.11	OBSERVED
yk	STARS_RECIPE_B	aiin	4	4	NONE;che	ykaiin	f105v.1	OBSERVED
yk	STARS_RECIPE_B	air	1	1	NONE	ykair	f112r.1	OBSERVED
yk	STARS_RECIPE_B	ain	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yk	STARS_RECIPE_B	ar	2	2	NONE	ykar	f106r.46	OBSERVED
yk	STARS_RECIPE_B	al	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yt	HERBAL_A	aiin	7	7	NONE	ytaiin	f16r.9	OBSERVED
yt	HERBAL_A	air	1	1	NONE	ytair	f52r.1	OBSERVED
yt	HERBAL_A	ain	1	1	NONE	ytain	f35r.15	OBSERVED
yt	HERBAL_A	ar	1	1	NONE	ytar	f19v.13	OBSERVED
yt	HERBAL_A	al	3	3	NONE	ytal	f13v.9	OBSERVED
yt	HERBAL_B	aiin	2	2	NONE	ytaiin	f43v.7	OBSERVED
yt	HERBAL_B	air	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yt	HERBAL_B	ain	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yt	HERBAL_B	ar	1	1	NONE	ytar	f94v.9	OBSERVED
yt	HERBAL_B	al	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yt	OTHER_A	aiin	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yt	OTHER_A	air	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yt	OTHER_A	ain	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yt	OTHER_A	ar	2	1	NONE	ytar	f58r.13	OBSERVED
yt	OTHER_A	al	3	1	NONE;d	ytal	f58r.2	OBSERVED
yt	OTHER_B	aiin	8	2	NONE	ytaiin	f78v.24	OBSERVED
yt	OTHER_B	air	2	1	NONE	ytair	f86v5.35	OBSERVED
yt	OTHER_B	ain	6	4	NONE;d	ytain	f75r.7	OBSERVED
yt	OTHER_B	ar	3	2	NONE	ytar	f85r1.33	OBSERVED
yt	OTHER_B	al	5	3	NONE	ytal	f76r.28	OBSERVED
yt	STARS_RECIPE_B	aiin	5	5	NONE	ytaiin	f104v.18	OBSERVED
yt	STARS_RECIPE_B	air	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
yt	STARS_RECIPE_B	ain	2	2	NONE	ytain	f106v.10	OBSERVED
yt	STARS_RECIPE_B	ar	3	3	NONE	ytar	f106v.46	OBSERVED
yt	STARS_RECIPE_B	al	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
