base	target_air	target_other	control_air	control_other	total	target_air_folios	odds_ratio	fisher_p
x	0	1	0	0	1	0	INF	1
ychd	0	0	0	1	1	0	INF	1
ycheed	0	1	0	0	1	0	INF	1
ycheeytyd	0	0	0	1	1	0	INF	1
ycheod	0	1	0	0	1	0	INF	1
ycht	0	0	0	1	1	0	INF	1
yef	0	0	0	1	1	0	INF	1
yfod	0	0	0	1	1	0	INF	1
yh	0	1	0	0	1	0	INF	1
ykalk	0	0	0	1	1	0	INF	1
ykcheod	0	1	0	0	1	0	INF	1
ykd	0	0	1	0	1	0	INF	1
ykee	0	1	0	0	1	0	INF	1
ykeod	0	0	0	1	1	0	INF	1
yko	0	0	0	1	1	0	INF	1
yl	0	1	0	0	1	0	INF	1
yod	0	0	0	1	1	0	INF	1
ypch	0	0	0	1	1	0	INF	1
ys	0	0	0	1	1	0	INF	1
ysheo	0	0	0	1	1	0	INF	1
ytch	0	0	0	1	1	0	INF	1
ytched	0	1	0	0	1	0	INF	1
ytcheod	0	0	0	1	1	0	INF	1
ytchod	0	0	0	1	1	0	INF	1
yte	0	0	0	1	1	0	INF	1
yted	0	1	0	0	1	0	INF	1
yteed	0	0	0	1	1	0	INF	1
yteok	0	1	0	0	1	0	INF	1
ytod	0	0	0	1	1	0	INF	1
