operation	length	position	source_glyph	target_glyph	eligible_cells	base_families	sections	hands	retained_for_transfer	claim_state
L2:P1:l>r	2	1	l	r	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:l>t	2	1	l	t	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:l>y	2	1	l	y	5	2	B|S|T	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:o>y	2	1	o	y	15	4	B|C|H|S|T	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:p>t	2	1	p	t	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:r>t	2	1	r	t	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:a>e	2	2	a	e	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:a>y	2	2	a	y	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:d>e	2	2	d	e	4	1	B|C|H|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:d>k	2	2	d	k	3	2	B|H|S	1|2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:d>o	2	2	d	o	3	1	C|H|S	2|3|5	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:d>s	2	2	d	s	3	2	B|H|S	1|2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:d>t	2	2	d	t	2	2	H|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:d>y	2	2	d	y	2	1	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:e>k	2	2	e	k	3	1	B|H|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:e>o	2	2	e	o	7	2	C|H|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:e>s	2	2	e	s	3	1	B|H|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:e>t	2	2	e	t	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:e>y	2	2	e	y	10	2	B|H|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:f>k	2	2	f	k	3	1	H|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:f>l	2	2	f	l	2	1	H|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:f>p	2	2	f	p	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:f>r	2	2	f	r	3	1	H|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:f>s	2	2	f	s	2	1	H|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:f>t	2	2	f	t	3	1	H|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:i>k	2	2	i	k	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:i>l	2	2	i	l	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:i>n	2	2	i	n	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:i>r	2	2	i	r	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:k>l	2	2	k	l	8	3	B|H|P|S|T	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:k>n	2	2	k	n	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:k>o	2	2	k	o	4	2	B|H|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:k>p	2	2	k	p	5	2	B|S|T	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:k>r	2	2	k	r	13	3	B|C|H|P|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:k>s	2	2	k	s	11	4	B|H|P|S|T	1|2|3|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:k>t	2	2	k	t	19	4	B|C|H|P|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:k>y	2	2	k	y	4	2	B|H|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:l>n	2	2	l	n	2	1	H|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:l>o	2	2	l	o	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:l>p	2	2	l	p	3	1	B|S|T	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:l>r	2	2	l	r	18	3	B|C|H|P|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:l>s	2	2	l	s	5	1	H|P|S|T	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:l>t	2	2	l	t	7	2	B|H|P|S|T	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:n>r	2	2	n	r	2	1	H|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:o>r	2	2	o	r	2	1	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:o>s	2	2	o	s	5	2	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:o>t	2	2	o	t	4	2	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:o>y	2	2	o	y	10	4	B|H|P|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:p>r	2	2	p	r	3	1	B|S|T	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:p>s	2	2	p	s	2	1	S|T	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:p>t	2	2	p	t	5	2	B|S|T	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:r>s	2	2	r	s	7	2	B|H|P|S|T	1|2|3|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:r>t	2	2	r	t	12	2	B|C|H|P|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:r>y	2	2	r	y	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:s>t	2	2	s	t	10	4	B|H|P|S|T	1|2|3|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:s>y	2	2	s	y	6	2	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P2:t>y	2	2	t	y	3	2	B|H|S	1|2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:a>o	3	1	a	o	13	8	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:c>s	3	1	c	s	8	3	B|H|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:e>k	3	1	e	k	13	6	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:e>l	3	1	e	l	10	4	B|H|S|T	1|2|3|5	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:e>o	3	1	e	o	6	2	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:e>p	3	1	e	p	6	2	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:e>r	3	1	e	r	3	2	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:e>t	3	1	e	t	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:e>y	3	1	e	y	5	4	B|H	1|2	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:k>l	3	1	k	l	4	2	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:k>p	3	1	k	p	5	3	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:k>r	3	1	k	r	3	2	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:k>t	3	1	k	t	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:k>y	3	1	k	y	2	2	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:l>o	3	1	l	o	5	3	B|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:l>p	3	1	l	p	5	3	B|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:l>r	3	1	l	r	3	2	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:l>y	3	1	l	y	2	2	B|H	1|2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:o>y	3	1	o	y	2	2	B|H	1|2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:p>r	3	1	p	r	3	2	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:p>t	3	1	p	t	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P1:p>y	3	1	p	y	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:a>o	3	2	a	o	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:e>k	3	2	e	k	6	2	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:e>o	3	2	e	o	3	3	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:e>t	3	2	e	t	3	1	B|H|S	1|2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:k>l	3	2	k	l	8	3	B|H|P|S|T	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:k>o	3	2	k	o	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:k>p	3	2	k	p	4	3	H|S	1|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:k>r	3	2	k	r	5	3	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:k>t	3	2	k	t	10	5	B|H|S|T	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:l>p	3	2	l	p	3	2	H|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:l>r	3	2	l	r	10	6	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:l>t	3	2	l	t	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:p>r	3	2	p	r	2	2	H|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:p>t	3	2	p	t	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P2:r>t	3	2	r	t	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:a>d	3	3	a	d	2	2	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:a>e	3	3	a	e	3	1	B|H|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:a>k	3	3	a	k	2	2	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:a>l	3	3	a	l	2	1	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:a>o	3	3	a	o	2	2	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:a>r	3	3	a	r	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:a>s	3	3	a	s	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:a>y	3	3	a	y	8	6	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:d>e	3	3	d	e	3	2	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:d>k	3	3	d	k	4	4	H|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:d>l	3	3	d	l	2	1	P|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:d>o	3	3	d	o	4	3	H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:d>r	3	3	d	r	2	1	P|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:d>s	3	3	d	s	6	3	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:d>y	3	3	d	y	9	5	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:e>k	3	3	e	k	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:e>l	3	3	e	l	3	2	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:e>o	3	3	e	o	4	3	H|S|T	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:e>s	3	3	e	s	2	1	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:e>y	3	3	e	y	17	7	B|H|S|T	1|2|3|5	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:i>l	3	3	i	l	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:i>n	3	3	i	n	2	1	H|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:i>r	3	3	i	r	2	1	H|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:k>l	3	3	k	l	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:k>o	3	3	k	o	4	3	B|H|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:k>r	3	3	k	r	2	2	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:k>s	3	3	k	s	4	3	B|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:k>t	3	3	k	t	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:k>y	3	3	k	y	6	3	B|H|S|T	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:l>n	3	3	l	n	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:l>r	3	3	l	r	12	6	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:l>s	3	3	l	s	2	1	P|S	1|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:l>y	3	3	l	y	3	2	B|S	2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:n>r	3	3	n	r	7	1	B|C|H|P|S|T	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:o>s	3	3	o	s	4	2	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:o>t	3	3	o	t	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:o>y	3	3	o	y	17	9	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:r>s	3	3	r	s	4	3	H|P|S	1|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:r>y	3	3	r	y	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:s>t	3	3	s	t	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:s>y	3	3	s	y	7	2	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L3:P3:t>y	3	3	t	y	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
