page	locus	line_field_ordinal	line_field_count	field_group_count	source_tokens	page_hosts	compiler_cells	line_field_end	semantic_role
f80r	f80r.40	1	3	1	torolshsdy	orolshs	t:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.40	2	3	5	opchey|shepchy|qotain|shcthy|qokedy	opchey|epchy|ot|cthy|oke	NONE:NONE:0:NONE:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:ain:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.40	3	3	1	daly	aly	d:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.41	1	2	6	tolkain|otal|chedy|qokar|ol|shedy	olk|ot|y|ok|l|e	t:NONE:0:ain:0:0|NONE:NONE:0:al:0:0|che:NONE:1:NONE:0:0|q:NONE:0:ar:0:0|NONE:O:0:NONE:0:0|sh:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.41	2	2	1	checkhy	ckhy	che:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.42	1	1	1	qokain	ok	q:NONE:0:ain:0:0	LINE_END	UNASSIGNED
f80r	f80r.43	1	1	8	sor|sheckhy|qokar|checkhy|okain|sheckhy|qokeey|ly	or|eckhy|ok|ckhy|ok|eckhy|okeey|ly	s:NONE:0:NONE:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:ar:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.44	1	1	2	qokain|shckhy	ok|ckhy	q:NONE:0:ain:0:0|sh:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.45	1	2	2	okain|shedy	ok|e	NONE:NONE:0:ain:0:0|sh:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.45	2	2	6	qokan|chedy|qotain|cheky|lteey|lolom	okan|y|ot|ky|lteey|lolo	q:NONE:0:NONE:0:0|che:NONE:1:NONE:0:0|q:NONE:0:ain:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:1	LINE_END	UNASSIGNED
f80r	f80r.51	1	1	11	talkl|ol|s|al|cheoly|daiin|otaly|otain|chey|lkain|olom	alkl|l|s|al|oly|aiin|otaly|ot|y|lk|olo	t:NONE:0:NONE:0:0|NONE:O:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|che:NONE:0:NONE:0:0|d:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|NONE:NONE:0:NONE:0:1	LINE_END	UNASSIGNED
f80r	f80r.52	1	1	8	sol|tl|shey|qoklcheey|lkaiin|ol|olor|aiin	l|l|ey|oklcheey|lk|l|olor|aiin	s:O:0:NONE:0:0|t:NONE:0:NONE:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:aiin:0:0|NONE:O:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
