core	containing_source_groups	fixed_grid_source_groups	occupied_cells	complete_rectangles	fixed_grid_coverage_of_containing_groups	physical_folios	postselection_state	semantic_role	rank
oke	1117	836	6	0	0.748433303491	58	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	20
ych	133	41	6	0	0.308270676692	29	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	21
tee	55	29	6	0	0.527272727273	16	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	22
olk	264	109	5	0	0.412878787879	27	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	23
sho	103	23	5	0	0.223300970874	17	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	24
ysh	50	20	5	0	0.4	16	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	25
lol	71	43	4	1	0.605633802817	25	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	26
cho	437	48	4	0	0.109839816934	29	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	27
oko	181	28	4	0	0.154696132597	19	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	28
pol	52	22	4	0	0.423076923077	17	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	29
oky	179	161	3	0	0.899441340782	69	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	30
eol	313	94	3	0	0.300319488818	43	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	31
key	123	92	3	0	0.747967479675	34	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	32
kor	54	48	3	0	0.888888888889	33	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	33
eee	142	27	3	0	0.19014084507	19	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	34
oka	93	26	3	0	0.279569892473	22	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	35
oto	58	26	3	0	0.448275862069	20	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	36
ees	95	17	3	0	0.178947368421	15	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	37
aii	856	8	3	0	0.00934579439252	6	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	38
ain	192	186	2	0	0.96875	60	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	39
chy	339	103	2	0	0.30383480826	47	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	40
air	108	86	2	0	0.796296296296	40	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	41
tey	53	49	2	0	0.924528301887	29	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	42
ote	88	42	2	0	0.477272727273	25	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	43
iin	886	39	2	0	0.0440180586907	24	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	44
lor	60	39	2	0	0.65	23	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	45
eeo	204	26	2	0	0.127450980392	18	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	46
chd	57	4	2	0	0.0701754385965	4	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	47
ech	61	3	2	0	0.0491803278689	3	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	48
eey	735	173	1	0	0.23537414966	49	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	49
oly	80	44	1	0	0.55	27	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	50
eor	114	34	1	0	0.298245614035	23	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	51
aly	91	23	1	0	0.252747252747	16	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	52
eed	78	19	1	0	0.24358974359	15	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	53
shy	71	15	1	0	0.211267605634	14	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	54
eod	87	13	1	0	0.149425287356	13	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	55
ols	94	13	1	0	0.13829787234	12	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	56
eos	52	11	1	0	0.211538461538	9	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	57
olo	72	11	1	0	0.152777777778	9	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	58
alo	51	5	1	0	0.0980392156863	5	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	59
hed	92	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	60
hee	213	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	61
heo	252	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	62
hey	402	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	63
hod	56	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	64
hol	243	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	65
hor	202	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	66
iii	65	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	67
khe	108	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	68
khy	205	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	69
ock	78	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	70
oct	66	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	71
oii	85	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	72
okc	253	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	73
olc	119	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	74
opc	150	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	75
the	76	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	76
tho	112	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	77
thy	197	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	78
ytc	52	0	0	0	0	0	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	79
