page_host	origin_relation	visual_feature	host_pages	feature_positive_pages	host_feature_positive_pages	within_stratum_effect	standardized_effect_z	local_enrichment_p	max_48_p	endpoint_excluded_host_pages	endpoint_excluded_host_feature_positive_pages	endpoint_excluded_effect	endpoint_excluded_local_p	label	semantic_role
oko	MHI007	BROAD_CALYX	9	10	0	0	0	1	1	7	0	0	1	NO_SIGNAL	UNASSIGNED
oko	MHI007	DAISY_CUP	9	11	0	0	0	1	1	7	0	0	1	NO_SIGNAL	UNASSIGNED
oko	MHI007	FINGERED_OR_FRILLED_LEAVES	9	4	0	0	0	1	1	7	0	0	1	NO_SIGNAL	UNASSIGNED
oko	MHI007	FUSED_PARALLEL_LEAVES	9	13	0	0	0	1	1	7	0	0	1	NO_SIGNAL	UNASSIGNED
oko	MHI007	GRASS	9	8	0	0	0	1	1	7	0	0	1	NO_SIGNAL	UNASSIGNED
oko	MHI007	LEAVES_ONE_SIDE	9	5	0	0	0	1	1	7	0	0	1	NO_SIGNAL	UNASSIGNED
oko	MHI007	ROOT_PLATFORM	9	5	0	0	0	1	1	7	0	0	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	BROAD_CALYX	5	10	0	0	0	1	1	3	0	0	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	DAISY_CUP	5	11	0	0	0	1	1	3	0	0	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	FINGERED_OR_FRILLED_LEAVES	5	4	0	0	0	1	1	3	0	0	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	FUSED_PARALLEL_LEAVES	5	13	0	0	0	1	1	3	0	0	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	GRASS	5	8	0	0	0	1	1	3	0	0	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	LEAVES_ONE_SIDE	5	5	0	0	0	1	1	3	0	0	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	ROOT_PLATFORM	5	5	0	0	0	1	1	3	0	0	1	NO_SIGNAL	UNASSIGNED
olo	MHI006	BLUE_FLOWERS_OR_BUDS	7	37	2	-0.0357142857143	-0.0329601785999	0.66122	1	5	1	-0.471544715447	0.8401	NO_SIGNAL	UNASSIGNED
olo	MHI006	DAISY_CUP	7	11	1	-0.166666666667	-0.240632842666	0.83332	1	5	1	-0.166666666667	0.83242	NO_SIGNAL	UNASSIGNED
olo	MHI006	FINGERED_OR_FRILLED_LEAVES	7	4	0	-0.0833333333333	-0.302892901585	1	1	5	0	-0.0833333333333	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	BLUE_FLOWERS_OR_BUDS	8	37	2	-0.416666666667	-0.334582913565	0.76163	1	6	2	0.0975609756098	0.62656	NO_SIGNAL	UNASSIGNED
pch	MHI005	MULTIPLE_PLANTS	5	8	0	-0.107142857143	-0.336896299406	1	1	3	0	-0.0722891566265	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	LARGE_OR_EXTENSIVE_ROOT	5	7	0	-0.142857142857	-0.390847561921	1	1	3	0	-0.0963855421687	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	MULTIPLE_STEMS_OR_STALKS	8	13	0	-0.166666666667	-0.43035735201	1	1	6	0	-0.121951219512	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	MULTIPLE_PLANTS	8	8	0	-0.25	-0.530264132837	1	1	6	0	-0.182926829268	1	NO_SIGNAL	UNASSIGNED
oko	MHI007	MULTIPLE_PLANTS	9	8	0	-0.285714285714	-0.570155685163	1	1	7	0	-0.219512195122	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	MULTIPLE_STEMS_OR_STALKS	5	13	1	-0.271428571429	-0.571267560094	1	1	3	1	-0.0481927710843	1	NO_SIGNAL	UNASSIGNED
olo	MHI006	ROOT_PLATFORM	7	5	0	-0.333333333333	-0.705839023878	1	1	5	0	-0.333333333333	1	NO_SIGNAL	UNASSIGNED
olo	MHI006	LEAVES_ONE_SIDE	7	5	0	-0.416666666667	-0.84181180362	1	1	5	0	-0.416666666667	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	DAISY_CUP	8	11	0	-0.5	-0.998598095375	1	1	6	0	-0.5	1	NO_SIGNAL	UNASSIGNED
pch	MHI005	BULB_OR_TUBER_ROOT	5	14	0	-0.857142857143	-1.15123378255	1	1	3	0	-0.740963855422	1	NO_SIGNAL	UNASSIGNED
olo	MHI006	BROAD_CALYX	7	10	0	-0.583333333333	-1.18045786213	1	1	5	0	-0.583333333333	1	NO_SIGNAL	UNASSIGNED
