rank	candidate	external_axis	positive_example_loci	counterexample_loci	positive_hosts	counterexample_hosts	label
11	RATE:DY=1>=0.25	REL_PROXIMITY	f100r.19;f100r.3;f100v.12;f100v.7;f100v.8;f102v1.3	f67r1.16;f67r2.29;f69v.10;f69v.11;f69v.12;f69v.22	a;al;alo;aro;ch;cheo;e;ee;eo;kee;o;okch;okeo;okeod;oko;ol;olch;olche;olcheo;olkee;oto;t;ykch;yke;ytcho;yte;yteo;yto	aiin;cho;e;ee;eeo;eo;o;octho;oke;okeeo;okeo;oko;olsh;oto;y;ykee;ykeeo;ykeo;ytee;yteo;yto	UNSTABLE
12	RATE:DY=0>=0.75	REL_PROXIMITY	f100r.16;f100r.17;f100r.18;f100r.20;f100v.1;f100v.11	f67r1.13;f67r1.17;f67r1.18;f67r1.8;f67r2.14;f67r2.18	a;aiiny;ain;al;ala;alk;aly;an;ar;arol;ary;chy;cpheor;d;ed;eey;eol;kol;l;lchd;lchy;lol;ly;o;ockhey;ocphy;octhy;odchy;ok;oka;okaly;okary;okchol;okeeor;okeeos;okeey;okeod;okeoly;okeos;oko;okol;okoly;okshy;oky;ol;old;olda;olkchy;olky;olol;ols;oly;op;opchol;opchor;opchy;opol;opor;or;ora;orol;oror;ory;os;ot;otaly;otoly;r;s;y;ykchy;ykeey;ykeod;yky;yor;ypchol;ys;ytchol;ytod	a;aiin;aiir;air;al;ar;ary;ched;cheod;cheol;chol;chy;ckhhy;cthhy;d;eees;eeol;ees;eey;ek;eol;es;k;l;o;ockhy;octhey;octhy;odaiiin;oiin;ok;oka;okal;okaly;okary;okchor;okeeol;okeey;okeod;okeol;okeoly;okeos;okey;okl;okol;okoly;okshor;oky;olk;olol;olor;op;opchey;or;orol;ory;os;ot;otaly;otchd;oteod;oteoly;oteos;otey;s;shol;y;ycheo;ykeey;ykey;ykol;yp;yteol;ytor;yty	UNSTABLE
13	RATE:DY=0>=0.10	REL_PROXIMITY	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100r.3	f67r1.13;f67r1.16;f67r1.17;f67r1.18;f67r1.8;f67r2.14	a;aiiny;ain;al;ala;alk;alo;aly;an;ar;aro;arol;ary;ch;cheo;chy;cpheor;d;e;ed;eey;eo;eol;kol;l;lchd;lchy;lol;ly;o;ockhey;ocphy;octhy;odchy;ok;oka;okaly;okary;okch;okchol;okeeor;okeeos;okeey;okeo;okeod;okeoly;okeos;oko;okol;okoly;okshy;oky;ol;olch;olcheo;old;olda;olkchy;olky;olol;ols;oly;op;opchol;opchor;opchy;opol;opor;or;ora;orol;oror;ory;os;ot;otaly;oto;otoly;r;s;t;y;ykchy;ykeey;ykeod;yky;yor;ypchol;ys;ytchol;yteo;yto;ytod	a;aiin;aiir;air;al;ar;ary;ched;cheod;cheol;cho;chol;chy;ckhhy;cthhy;d;e;eees;eeo;eeol;ees;eey;ek;eo;eol;es;k;l;o;ockhy;octhey;octhy;odaiiin;oiin;ok;oka;okal;okaly;okary;okchor;okeeo;okeeol;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;oky;olk;olol;olor;op;opchey;or;orol;ory;os;ot;otaly;otchd;oteod;oteoly;oteos;otey;oto;s;shol;y;ycheo;ykeeo;ykeey;ykeo;ykey;ykol;yp;yteol;yto;ytor;yty	WEAK
14	RATE:DY=0>=0.25	REL_PROXIMITY	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100v.1	f67r1.13;f67r1.16;f67r1.17;f67r1.18;f67r1.8;f67r2.14	a;aiiny;ain;al;ala;alk;alo;aly;an;ar;aro;arol;ary;ch;cheo;chy;cpheor;d;e;ed;eey;eo;eol;kol;l;lchd;lchy;lol;ly;o;ockhey;ocphy;octhy;odchy;ok;oka;okaly;okary;okch;okchol;okeeor;okeeos;okeey;okeo;okeod;okeoly;okeos;oko;okol;okoly;okshy;oky;ol;olch;olcheo;old;olda;olkchy;olky;olol;ols;oly;op;opchol;opchor;opchy;opol;opor;or;ora;orol;oror;ory;os;ot;otaly;oto;otoly;r;s;t;y;ykchy;ykeey;ykeod;yky;yor;ypchol;ys;ytchol;yteo;yto;ytod	a;aiin;aiir;air;al;ar;ary;ched;cheod;cheol;cho;chol;chy;ckhhy;cthhy;d;eees;eeo;eeol;ees;eey;ek;eo;eol;es;k;l;o;ockhy;octhey;octhy;odaiiin;oiin;ok;oka;okal;okaly;okary;okchor;okeeo;okeeol;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;oky;olk;olol;olor;op;opchey;or;orol;ory;os;ot;otaly;otchd;oteod;oteoly;oteos;otey;oto;s;shol;y;ycheo;ykeeo;ykeey;ykeo;ykey;ykol;yp;yteol;yto;ytor;yty	WEAK
15	RATE:DY=0>=0.50	REL_PROXIMITY	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100v.1	f67r1.13;f67r1.17;f67r1.18;f67r1.8;f67r2.14;f67r2.18	a;aiiny;ain;al;ala;alk;alo;aly;an;ar;arol;ary;ch;cheo;chy;cpheor;d;e;ed;eey;eo;eol;kol;l;lchd;lchy;lol;ly;o;ockhey;ocphy;octhy;odchy;ok;oka;okaly;okary;okchol;okeeor;okeeos;okeey;okeo;okeod;okeoly;okeos;oko;okol;okoly;okshy;oky;ol;olch;olcheo;old;olda;olkchy;olky;olol;ols;oly;op;opchol;opchor;opchy;opol;opor;or;ora;orol;oror;ory;os;ot;otaly;otoly;r;s;t;y;ykchy;ykeey;ykeod;yky;yor;ypchol;ys;ytchol;yteo;ytod	a;aiin;aiir;air;al;ar;ary;ched;cheod;cheol;cho;chol;chy;ckhhy;cthhy;d;eees;eeol;ees;eey;ek;eol;es;k;l;o;ockhy;octhey;octhy;odaiiin;oiin;ok;oka;okal;okaly;okary;okchor;okeeo;okeeol;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;oky;olk;olol;olor;op;opchey;or;orol;ory;os;ot;otaly;otchd;oteod;oteoly;oteos;otey;s;shol;y;ycheo;ykeey;ykey;ykol;yp;yteol;yto;ytor;yty	WEAK
16	RATE:DY=1>=0.50	REL_PROXIMITY	f100r.19;f100r.3;f100v.12;f100v.7;f100v.8;f102v1.3	f67r1.16;f69v.10;f69v.12;f69v.22;f69v.29;f70v1.15	a;aro;ch;e;ee;kee;okch;okeo;olche;olcheo;olkee;oto;ykch;yke;ytcho;yte;yteo;yto	e;ee;eeo;eo;octho;oke;okeo;olsh;oto;ykee;ykeeo;ykeo;ytee;yteo;yto	WEAK
17	RATE:DY=1>=0.75	REL_PROXIMITY	f100r.3;f100v.12;f100v.7;f68r1.18;f68r1.29;f68r1.36	f69v.22;f71v.17;f72r3.31;f72v1.21;f72v1.28;f72v2.14	e;ee;kee;olche;olkee;ykch;yke;ytcho;yte	e;ee;octho;oke;olsh;ykee;ykeo;ytee;yteo	WEAK
18	RATE:R=NONE>=0.75	REL_ENCLOSURE	f67r1.13;f67r1.16;f67r1.17;f67r1.18;f68r1.5;f68r1.6	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100r.3	al;ar;ary;cheol;chol;eey;l;okaly;okchor;okeey;okeo;okeol;okeos;opol;orol;otaly;otey;oto;y;yke;ykeeo;yky	a;aiin;aiiny;aiir;ain;air;al;ala;alo;aly;ar;aro;arol;ary;cheo;cho;chol;chy;ckhhy;cpheor;cthhy;e;ee;eees;eeo;eeol;ees;eey;eo;eol;es;kee;kol;l;lchy;lol;ly;o;ockhey;ockhy;ocphy;octhey;octho;octhy;odaiiin;oiin;oka;okaly;okary;okchol;oke;okeeo;okeeol;okeeor;okeeos;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;okshy;oky;ol;olche;olcheo;olda;olkchy;olkee;olky;olol;olor;ols;olsh;oly;opchey;opchol;opchor;opchy;opor;or;ora;orol;oror;ory;os;otaly;oteoly;oteos;otey;oto;otoly;s;shol;y;yc	INTERESTING_EXPLORATORY
19	RATE:R=NONE>=0.25	REL_ENCLOSURE	f67r1.13;f67r1.16;f67r1.17;f67r1.18;f67r2.48;f68r1.5	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100r.3	ain;al;ar;ary;cheol;chol;d;eey;l;okaly;okchor;okeey;okeo;okeol;okeos;opol;orol;otaly;otey;oto;y;yke;ykeeo;yky	a;aiin;aiiny;aiir;ain;air;al;ala;alo;aly;an;ar;aro;arol;ary;ch;ched;cheo;cho;chol;chy;ckhhy;cpheor;cthhy;d;e;ee;eees;eeo;eeol;ees;eey;eo;eol;es;kee;kol;l;lchd;lchy;lol;ly;o;ockhey;ockhy;ocphy;octhey;octho;octhy;odaiiin;odchy;oiin;ok;oka;okaly;okary;okch;okchol;oke;okeeo;okeeol;okeeor;okeeos;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;okshy;oky;ol;olch;olche;olcheo;olda;olkchy;olkee;olky;olol;olor;ols;olsh;oly;op;opchey;opchol;opchor;opchy;opor;or;ora;orol;oror;ory;os;ot;ot	WEAK
20	RATE:PW=q>=0.25	REL_PROXIMITY	f100r.19;f100r.3;f100v.1;f100v.12;f100v.3;f100v.7	f70v1.13;f70v2.15;f70v2.18;f70v2.28;f72r1.15;f72r2.2	e;ee;l;lchd;lchy;ly;ocphy;okary;okeoly;okoly;okshy;olcheo;olkchy;olkee;olky;olol;opchor;opol;ory;otaly;ykch;yke;ys;ytcho	e;ee;okary;oke;okeoly;okeos;okl;okoly;ory;otaly;otchd;oteod;oteos	WEAK
21	RATE:F=O>=0.50	REL_ENCLOSURE	f68r2.11;f68r2.19;f68r2.25;f68r2.28;f68r2.9;f70r1.18	f69r.45;f69r.47;f72v1.10;f76r.22;f76r.7;f82r.44	d;l	d;l	UNSTABLE
22	RATE:R=aiin>=0.25	WATER_OR_APPARATUS	f75v.20;f75v.24;f75v.25;f75v.50;f77v.1;f82r.36	f67r1.8;f67r2.22;f67r2.55;f68r2.11;f68r2.24;f68r2.28	alk;ok;op;ot	cheod;d;ek;k;ok;old;olk;op;ot;r;ys;ytod	WEAK
23	RATE:R=ain>=0.25	WATER_OR_APPARATUS	f75v.20;f75v.24;f75v.25;f77v.1;f82r.36;f82v.41	f67r2.22;f70v1.5;f72r2.11;f72r2.27;f72r2.8;f72r2.9	alk;ok	ok;okal;olk	WEAK
24	RATE:R=NONE>=0.10	WATER_OR_APPARATUS	f75v.18;f75v.19;f75v.21;f75v.26;f75v.27;f75v.28	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100r.3	al;ar;arol;ary;ch;e;ed;ee;eey;lchy;lol;ly;okeey;okol;okshy;ol;olkchy;olol;ols;opor;or;ory;otoly;y;yke;yte	a;aiin;aiiny;aiir;ain;air;al;ala;alo;aly;an;ar;aro;arol;ary;ch;ched;cheo;cheod;cheol;cho;chol;chy;ckhhy;cpheor;cthhy;d;e;ed;ee;eees;eeo;eeol;ees;eey;ek;eo;eol;es;kee;kol;l;lchd;o;ockhey;ockhy;ocphy;octhey;octho;octhy;odaiiin;odchy;oiin;ok;oka;okaly;okary;okch;okchol;okchor;oke;okeeo;okeeol;okeeor;okeeos;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;oky;ol;olch;olche;olcheo;old;olda;olkee;olky;olol;olor;ols;olsh;oly;op;opchey;opchol;opchor;opchy;opol;or;ora;orol;oror;ory;os;o	WEAK
25	RATE:DY=1>=0.50	REL_ENCLOSURE	f67r1.16;f70r1.14;f70r1.15;f70r1.16;f73r.7	f100r.19;f100r.3;f100v.12;f100v.7;f100v.8;f102v1.3	okeo;oto;yke;ykeeo	a;aro;ch;e;ee;eeo;eo;kee;octho;okch;oke;okeo;olche;olcheo;olkee;olsh;oto;ykch;yke;ykee;ykeeo;ykeo;ytcho;yte;ytee;yteo;yto	WEAK
26	RATE:DY=0>=0.50	REL_ENCLOSURE	f67r1.13;f67r1.17;f67r1.18;f67r1.8;f67r2.48;f68r1.5	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100v.1	ain;al;ar;ary;cheod;cheol;chol;d;eey;ek;l;ok;okal;okaly;okchor;okeey;okeol;okeos;op;opol;orol;ot;otaly;otey;y;yky	a;aiin;aiiny;aiir;ain;air;al;ala;alk;alo;aly;an;ar;arol;ary;ch;ched;cheo;cho;chol;chy;ckhhy;cpheor;cthhy;d;e;ed;eees;eeol;ees;eey;eo;eol;es;k;kol;l;lchd;lchy;lol;ly;o;ockhey;ockhy;ocphy;octhey;octhy;odaiiin;odchy;oiin;ok;oka;okal;okaly;okary;okchol;okeeo;okeeol;okeeor;okeeos;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;okshy;oky;ol;olch;olcheo;old;olda;olk;olkchy;olky;olol;olor;ols;oly;op;opchey;opchol;opchor;opchy;opor;or;ora;orol;oror;ory;os;ot;otaly;otchd;oteod;oteoly;ot	WEAK
27	RATE:R=ain>=0.25	REL_ENCLOSURE	f72r2.11;f72r2.8;f72r2.9	f67r2.22;f70v1.5;f72r2.27;f72r3.22;f72v1.30;f72v2.26	ok;okal	alk;ok;okal;olk	LIKELY_PAGE_CONFOUND
28	RATE:R=aiin>=0.10	REL_ENCLOSURE	f67r1.8;f67r2.48;f68r2.11;f68r2.24;f68r2.25;f68r2.28	f100v.13;f100v.8;f67r2.22;f67r2.24;f67r2.39;f67r2.55	ain;cheod;d;ek;l;ok;op;ot;y	alk;an;ar;ary;ch;d;ed;k;o;odchy;ok;okl;old;olk;op;or;os;ot;otchd;oteod;r;t;y;ykchy;ys;ytod	WEAK
29	RATE:R=ain>=0.10	REL_ENCLOSURE	f67r1.8;f68r2.11;f68r2.24;f68r2.28;f68r2.9;f70r1.18	f100v.1;f67r2.22;f67v1.3;f68v2.14;f68v2.16;f69r.21	cheod;d;ek;ok;okal;ot	aiin;alk;an;ar;ary;ch;ched;d;ed;k;lchd;o;odchy;ok;okal;olch;old;olk;ot;otchd;t	WEAK
30	RATE:NDY=EOS>=0.10	REL_PROXIMITY	f100r.17;f100r.18;f100v.13;f100v.2;f100v.8;f102v1.3	f67r1.13;f67r1.17;f67r1.18;f67r1.8;f67r2.18;f67r2.21	a;aiiny;ain;al;ala;alk;alo;aly;an;ar;aro;ary;ch;chy;d;e;ed;kol;l;lchy;lol;ly;o;ockhey;octhy;ok;oka;okaly;okary;okeeor;okeey;okeo;okeoly;oko;okol;oky;olch;olche;old;olda;olkee;olky;olol;ols;oly;op;opchy;opol;opor;ora;orol;oror;ory;os;ot;otaly;oto;otoly;r;s;t;y;ykchy;yke;ykeey;yky;ys;yteo;yto	a;aiin;air;al;ar;ary;ched;chol;chy;ckhhy;cthhy;d;ee;eees;ees;eey;es;k;l;o;ockhy;octhey;octho;octhy;odaiiin;ok;oka;okaly;okary;okchor;okeeo;okeeol;okeey;okeo;okeol;okeoly;okey;oko;okol;oky;olk;olol;olor;olsh;opchey;or;orol;ory;os;ot;otaly;otchd;oteod;otey;oto;s;shol;y;ycheo;ykeo;yp;ytee;yteo;yto;yty	WEAK
31	RATE:PF=O>=0.25	REL_PROXIMITY	f100r.19;f100v.3;f67r2.55;f68r1.18;f68r1.31;f99r.10	f71v.17;f72v3.27	kee;ocphy;okary;olcheo;opchor;ytcho;ytod	okary;olsh	WEAK
32	RATE:W=sh>=0.25	REL_ARRAY_OR_GROUP	f75v.33;f75v.54;f77r.8	f100r.20;f100r.3;f68v2.18;f69r.46;f69v.16;f69v.22	e;ed	e;ed;ee;eeol;eey;ek;eo;eol;o;octhy;ol;ykeo	LIKELY_PAGE_CONFOUND
33	RATE:NDY=EOS>=0.75	REL_PROXIMITY	f68r1.6;f75v.26;f75v.30;f88r.13;f88r.14;f89r1.3	f69v.23;f72r2.25;f72v3.27;f99v.5	ary;ly;oka;okary;olda;ora	ary;oka;okary	LIKELY_PAGE_CONFOUND
34	RATE:P=4>=0.75	REL_PROXIMITY	f68r1.6;f75v.26;f75v.30;f88r.13;f88r.14;f89r1.3	f69v.23;f72v3.27;f99v.5	ary;ly;okary;olda;ora	ary;okary	LIKELY_PAGE_CONFOUND
35	RATE:DY=1>=0.75	REL_ENCLOSURE	f70r1.14	f100r.3;f100v.12;f100v.7;f68r1.18;f68r1.29;f68r1.36	yke	e;ee;kee;octho;oke;olche;olkee;olsh;ykch;yke;ykee;ykeo;ytcho;yte;ytee;yteo	WEAK
36	RATE:R=aiin>=0.10	STAR_OR_SKY	f67r1.8;f67r2.22;f67r2.24;f67r2.39;f67r2.48;f67r2.55	f100v.13;f100v.8;f67v1.3;f69r.21;f69r.30;f70r1.7	ain;ar;ch;cheod;d;ek;k;l;ok;okl;olk;op;or;os;ot;otchd;oteod;t;y;ytod	alk;an;ar;ary;ch;d;ed;k;o;odchy;ok;old;op;os;ot;r;ykchy;ys	WEAK
37	RATE:NW=sh>=0.10	WATER_OR_APPARATUS	f75v.18;f75v.19;f75v.20;f75v.21;f75v.24;f75v.25	f100r.16;f100r.18;f100r.20;f100v.1;f100v.2;f102v2.11	alk;ar;arol;e;ed;ok;okshy;ol;ols;opor;or;yke	aiin;aiir;ain;al;ar;aro;arol;ched;d;eeol;ek;eol;k;kee;kol;l;lchd;oiin;ok;okal;okeeol;okeeos;okeos;okl;okshor;ol;olch;olk;ols;olsh;opchol;opchy;or;orol;otaly;otchd;oteos;r;s;shol;yke;ykeeo;ykeey;ykey;yor;yteol;yto	WEAK
38	RATE:W=q>=0.25	WATER_OR_APPARATUS	f75v.18;f75v.20;f75v.25;f75v.50;f75v.51;f77r.5	f100r.16;f100r.17;f100v.3;f102v1.3;f102v2.10;f102v2.13	ee;lol;ok;okeey;okol;okshy;ol;op;opor;ot	a;an;ar;ary;cheo;cho;chy;cthhy;ee;eeo;eo;l;o;ockhey;ockhy;ocphy;odchy;ok;oka;okal;okaly;okch;okchol;okchor;oke;okeeo;okeeol;okeeor;okeeos;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;oky;ol;op;opchor;opchy;opol;ot;otaly;otchd;oteoly;oteos;otey;oto;y	WEAK
39	RATE:NDY=1>=0.10	REL_EXPLICIT_ATTACHMENT	f102v2.3;f68r1.13;f68r1.15;f68r1.25;f68r1.27;f68r1.28	f100r.20;f100r.3;f100v.12;f100v.7;f100v.8;f102v1.3	arol;ary;cheod;cheol;d;e;ed;eo;kol;l;o;ocphy;octhey;oiin;ok;okaly;okch;okeey;okl;okol;okshor;ol;olch;olche;olky;oror;ot;otchd;y;ykch	a;aiin;aiir;ain;al;alk;aly;ar;arol;ary;ch;ched;ckhhy;d;e;ed;ee;eeo;eeol;eey;ek;eo;eol;k;kee;l;lchy;lol;o;oiin;ok;okaly;okchol;oke;okeeo;okeeol;okeeor;okeey;okeo;okeol;okeos;okey;oko;okol;okoly;okshy;oky;ol;olk;olkee;op;or;ory;ot;oteod;otey;r;y;ykch;ykchy;yke;ykee;ykeeo;ykeo;ykeod;ykol;yte;ytee;yteo;yteol	WEAK
40	RATE:P=1>=0.25	REL_EXPLICIT_ATTACHMENT	f100r.17;f102v2.3;f68r1.10;f68r1.13;f68r1.18;f68r1.21	f100r.16;f100r.18;f100r.19;f100r.20;f100v.12;f100v.13	arol;cheo;eo;l;ockhey;ockhy;ocphy;octhey;ok;okaly;okch;okl;okol;ol;opor;orol;oror;ykch;ytcho	aiir;al;alk;ar;arol;ckhhy;cthhy;e;ed;ee;eees;eeol;ek;eo;eol;l;octho;ok;okaly;okchol;oke;okeeor;okeeos;okeey;okeo;okeoly;okeos;okey;okol;okoly;oky;ol;olcheo;olk;olsh;oly;opchey;opchor;opol;orol;os;otaly;oteod;oteoly;r;y;ykch;yke;ykee;yky;yor;yp	WEAK
