locus	page	physical_folio	group_index	previous_dy_token	target_token	target_family	record_state	anchor_models	anchor_features	primary_informative_stratum	claim_state
f104v.10	f104v	f104	7	oteedy	qotedor	DAQJBAC	ED_MEDIUM	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f104v.16	f104v	f104	10	qokchedy	olkchy	ABQKA	OL_STATE	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|F3:ABQ|H2:lk|H3:olk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f104v.25	f104v	f104	4	lchedy	qokedaiin	DAQJBAG	ED_MEDIUM	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f104v.8	f104v	f104	7	ykeedy	chotedy	KAQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f105r.15	f105r	f105	6	okeedy	olkeeody	ABQKABA	DY_RESOLUTION	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|F3:ABQ|H2:lk|H3:olk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f105r.15	f105r	f105	7	olkeeody	lkaiin	BQAG	OTHER	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|H2:lk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f105r.21	f105r	f105	5	qokedy	qokedal	DAQJBAB	AL_STATE	SOURCE_FAMILY	F3:QJB	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f105r.25	f105r	f105	2	deeedy	cheodkedy	KJABQJBA	DY_RESOLUTION	SOURCE_FAMILY	F2:BQ|F3:ABQ|F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f105r.8	f105r	f105	8	qokeedy	qokedy	DAQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f105v.3	f105v	f105	8	okoldy	qokedy	DAQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f106r.10	f106r	f106	7	lchedy	qokedy	DAQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f106r.10	f106r	f106	8	qokedy	otedy	AQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f106r.40	f106r	f106	8	shedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f106v.10	f106v	f106	7	ychdy	oltydy	ABQABA	DY_RESOLUTION	SOURCE_FAMILY	F3:ABQ	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f106v.28	f106v	f106	2	psheody	olkeedy	ABQKBA	DY_RESOLUTION	RESIDUAL_HOST|SOURCE_FAMILY	F3:ABQ|H3:olk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f106v.6	f106v	f106	5	sheody	olkaiin	ABQAG	OL_STATE	RESIDUAL_HOST	H3:olk	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f107r.10	f107r	f107	5	lchedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f107r.25	f107r	f107	8	qokchdy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f107r.5	f107r	f107	2	olkchedy	tedy	QJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f107v.11	f107v	f107	2	tshedy	okal	AQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f107v.12	f107v	f107	7	shedy	qokaly	DAQABA	AL_STATE	RESIDUAL_HOST	H3:kal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f107v.14	f107v	f107	10	okchdy	dlkal	BBQAB	AL_STATE	RESIDUAL_HOST	H3:kal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f107v.20	f107v	f107	9	qopchedy	pcholkal	PKABQAB	AL_STATE	RESIDUAL_HOST	H3:olk	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f108v.43	f108v	f108	4	shedy	rcheetey	CKKQJA	OTHER	RESIDUAL_HOST|SOURCE_FAMILY	F2:CK|H2:rc	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f108v.49	f108v	f108	11	checkhedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	HOST_EXACT:okal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f10r.1	f10r	f10	4	octhody	chorchy	KACKA	CARRIER_STATE	RESIDUAL_HOST|SOURCE_FAMILY	F2:CK|F3:ACK|H2:rc	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f112r.40	f112r	f112	6	okchedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	HOST_EXACT:okal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f113r.34	f113r	f113	9	qoteedy	rchedy	CKJBA	DY_RESOLUTION	RESIDUAL_HOST|SOURCE_FAMILY	F2:CK|H2:rc	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f113v.4	f113v	f113	4	oteedy	rchedy	CKJBA	DY_RESOLUTION	RESIDUAL_HOST|SOURCE_FAMILY	F2:CK|H2:rc	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f115v.30	f115v	f115	5	lkchedy	rchedar	CKJBAC	AR_REFERENCE	RESIDUAL_HOST|SOURCE_FAMILY	F2:CK|H2:rc	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f1v.10	f1v	f1	5	chody	schody	CKABA	DY_RESOLUTION	SOURCE_FAMILY	F2:CK	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f77v.34	f77v	f77	8	qokedy	rched	CKJB	ED_MEDIUM	RESIDUAL_HOST	H2:rc	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f82v.15	f82v	f82	7	tedy	rchedy	CKJBA	DY_RESOLUTION	RESIDUAL_HOST	H2:rc	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
