locus	page	physical_folio	register	hand	group_index	group_count	token	stripped_prefix	residual_host	base_host	record_state
f77v.40	f77v	f77	OB	2	3	9	chdor	ch	dor	or	CARRIER_STATE
f77v.41	f77v	f77	OB	2	7	11	chdain	ch	dain	ain	CARRIER_STATE
f78v.19	f78v	f78	OB	2	3	7	chedar	che	dar	ar	AR_REFERENCE
f81r.22	f81r	f81	OB	2	7	9	chedar	che	dar	ar	AR_REFERENCE
f82r.13	f82r	f82	OB	2	5	8	chedar	che	dar	ar	AR_REFERENCE
f82r.18	f82r	f82	OB	2	6	10	chedar	che	dar	ar	AR_REFERENCE
f83r.22	f83r	f83	OB	2	4	9	chedain	che	dain	ain	CARRIER_STATE
f83r.48	f83r	f83	OB	2	4	5	chdal	ch	dal	al	AL_STATE
f83r.6	f83r	f83	OB	2	2	9	chedchy	che	dchy	chy	CARRIER_STATE
f83v.5	f83v	f83	OB	2	5	10	chedol	che	dol	ol	OL_STATE
f85r1.1	f85r1	f85	OB	2	2	11	shdol	sh	dol	ol	OL_STATE
f85r1.11	f85r1	f85	OB	2	3	12	shdair	sh	dair	air	CARRIER_STATE
f85r1.11	f85r1	f85	OB	2	6	12	chdal	ch	dal	al	AL_STATE
f85r1.31	f85r1	f85	OB	2	2	10	shdar	sh	dar	ar	AR_REFERENCE
f85r1.8	f85r1	f85	OB	2	10	11	shdar	sh	dar	ar	AR_REFERENCE
f86v3.6	f86v3	f86	OB	2	6	8	chdar	ch	dar	ar	AR_REFERENCE
f86v5.7	f86v5	f86	OB	2	8	9	shdar	sh	dar	ar	AR_REFERENCE
f86v6.27	f86v6	f86	OB	2	5	12	shdar	sh	dar	ar	AR_REFERENCE
f86v6.3	f86v6	f86	OB	2	3	12	chdal	ch	dal	al	AL_STATE
f86v6.4	f86v6	f86	OB	2	7	12	shdal	sh	dal	al	AL_STATE
f86v6.4	f86v6	f86	OB	2	9	12	chdar	ch	dar	ar	AR_REFERENCE
