locus	page	physical_folio	section	hand	group_index	group_count	retained_group_count	retained_line_complete	physical_line_end	token	wrapper	core	wrapper_core	target_state	line_position	field_index	field_count	field_length	field_closed	field_position	field_role	previous_token	previous_core	previous_state	next_token	next_core	next_state	previous_field_states	previous_field_shape	current_field_states	masked_field_template	next_field_states	next_field_shape	micro_context	neighbor_field_context
f114r.6	f114r	f114	SB	3	9	11	10	0	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	8/10	5	5	4	0	FIELD_INTERNAL	OPEN|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	chedol	dol	OL_STATE	ykar	ykar	AR_REFERENCE	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	OL_STATE>CARRIER_STATE>AR_REFERENCE>AR_REFERENCE	OL_STATE>TARGET[CARRIER_STATE]>AR_REFERENCE>AR_REFERENCE>OPEN	EOL	EOL	OL_STATE>TARGET[CARRIER_STATE]>AR_REFERENCE	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||EOL
f114v.10	f114v	f114	SB	3	2	7	3	0	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	2/3	1	1	3	0	FIELD_INTERNAL	OPEN|LEN_3|FIELD_INTERNAL|CARRIER_STATE	olkees	olkees	OL_STATE	qotaiin	otaiin	Q_OUTER_STATE	BOL	BOL	OL_STATE>CARRIER_STATE>Q_OUTER_STATE	OL_STATE>TARGET[CARRIER_STATE]>Q_OUTER_STATE>OPEN	EOL	EOL	OL_STATE>TARGET[CARRIER_STATE]>Q_OUTER_STATE	BOL||EOL
f114v.16	f114v	f114	SB	3	7	12	12	1	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	7/12	2	2	11	0	FIELD_INTERNAL	OPEN|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	chedar	dar	AR_REFERENCE	chdal	dal	AL_STATE	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	O_OL_LOCAL>CARRIER_STATE>OL_STATE>OTHER>AR_REFERENCE>CARRIER_STATE>AL_STATE>Q_OUTER_STATE>CARRIER_STATE>OL_STATE>ENTRY_STATE	O_OL_LOCAL>CARRIER_STATE>OL_STATE>OTHER>AR_REFERENCE>TARGET[CARRIER_STATE]>AL_STATE>Q_OUTER_STATE>CARRIER_STATE>OL_STATE>ENTRY_STATE>OPEN	EOL	EOL	AR_REFERENCE>TARGET[CARRIER_STATE]>AL_STATE	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||EOL
f114v.21	f114v	f114	SB	3	4	10	10	1	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	4/10	1	3	5	1	PRECLOSE	CLOSED|LEN_4PLUS|PRECLOSE|CARRIER_STATE	chy	y	CARRIER_STATE	qokedy	oke	DY_RESOLUTION	BOL	BOL	ENTRY_STATE>CARRIER_STATE>CARRIER_STATE>CARRIER_STATE>DY_RESOLUTION	ENTRY_STATE>CARRIER_STATE>CARRIER_STATE>TARGET[CARRIER_STATE]>DY_RESOLUTION	OTHER>DY_RESOLUTION	CLOSED|LEN_2|OTHER>DY_RESOLUTION	CARRIER_STATE>TARGET[CARRIER_STATE]>DY_RESOLUTION	BOL||CLOSED|LEN_2|OTHER>DY_RESOLUTION
f114v.8	f114v	f114	SB	3	4	9	9	1	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	4/9	3	5	3	1	PRECLOSE	CLOSED|LEN_3|PRECLOSE|CARRIER_STATE	qokedain	okedain	ED_MEDIUM	qokedy	oke	DY_RESOLUTION	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	ED_MEDIUM>CARRIER_STATE>DY_RESOLUTION	ED_MEDIUM>TARGET[CARRIER_STATE]>DY_RESOLUTION	CARRIER_STATE>DY_RESOLUTION	CLOSED|LEN_2|CARRIER_STATE>DY_RESOLUTION	ED_MEDIUM>TARGET[CARRIER_STATE]>DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||CLOSED|LEN_2|CARRIER_STATE>DY_RESOLUTION
f115r.10	f115r	f115	SB	@	6	10	10	1	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	6/10	4	6	4	1	FIELD_INTERNAL	CLOSED|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	qokor	okor	Q_OUTER_STATE	dair	air	ENTRY_STATE	Q_OUTER_STATE>DY_RESOLUTION	CLOSED|LEN_2|Q_OUTER_STATE>DY_RESOLUTION	Q_OUTER_STATE>CARRIER_STATE>ENTRY_STATE>DY_RESOLUTION	Q_OUTER_STATE>TARGET[CARRIER_STATE]>ENTRY_STATE>DY_RESOLUTION	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	Q_OUTER_STATE>TARGET[CARRIER_STATE]>ENTRY_STATE	CLOSED|LEN_2|Q_OUTER_STATE>DY_RESOLUTION||CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION
f115v.9	f115v	f115	SB	3	2	10	10	1	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	2/10	1	3	4	1	FIELD_INTERNAL	CLOSED|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	ychees	ychees	OTHER	chotain	otain	CARRIER_STATE	BOL	BOL	OTHER>CARRIER_STATE>CARRIER_STATE>DY_RESOLUTION	OTHER>TARGET[CARRIER_STATE]>CARRIER_STATE>DY_RESOLUTION	Q_OUTER_STATE>DY_RESOLUTION	CLOSED|LEN_2|Q_OUTER_STATE>DY_RESOLUTION	OTHER>TARGET[CARRIER_STATE]>CARRIER_STATE	BOL||CLOSED|LEN_2|Q_OUTER_STATE>DY_RESOLUTION
f31r.12	f31r	f31	HB	2	5	6	6	1	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	5/6	2	2	3	0	FIELD_INTERNAL	OPEN|LEN_3|FIELD_INTERNAL|CARRIER_STATE	sheey	eey	CARRIER_STATE	dar	ar	AR_REFERENCE	Q_OUTER_STATE>OTHER>DY_RESOLUTION	CLOSED|LEN_3|Q_OUTER_STATE>DY_RESOLUTION	CARRIER_STATE>CARRIER_STATE>AR_REFERENCE	CARRIER_STATE>TARGET[CARRIER_STATE]>AR_REFERENCE>OPEN	EOL	EOL	CARRIER_STATE>TARGET[CARRIER_STATE]>AR_REFERENCE	CLOSED|LEN_3|Q_OUTER_STATE>DY_RESOLUTION||EOL
f34v.2	f34v	f34	HB	2	6	11	11	1	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	6/11	3	3	6	0	FIELD_START	OPEN|LEN_4PLUS|FIELD_START|CARRIER_STATE	chckhdy	ckh	DY_RESOLUTION	ckhy	ckhy	OTHER	OTHER>DY_RESOLUTION	CLOSED|LEN_2|OTHER>DY_RESOLUTION	CARRIER_STATE>OTHER>OTHER>AR_REFERENCE>OTHER>OL_STATE	TARGET[CARRIER_STATE]>OTHER>OTHER>AR_REFERENCE>OTHER>OL_STATE>OPEN	EOL	EOL	DY_RESOLUTION>TARGET[CARRIER_STATE]>OTHER	CLOSED|LEN_2|OTHER>DY_RESOLUTION||EOL
f34v.4	f34v	f34	HB	2	5	10	10	1	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	5/10	2	2	7	0	FIELD_INTERNAL	OPEN|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	qokedar	okedar	AR_REFERENCE	oldar	oldar	AR_REFERENCE	ENTRY_STATE>AL_STATE>DY_RESOLUTION	CLOSED|LEN_3|ENTRY_STATE>DY_RESOLUTION	AR_REFERENCE>CARRIER_STATE>AR_REFERENCE>AR_REFERENCE>CARRIER_STATE>ENTRY_STATE>OTHER	AR_REFERENCE>TARGET[CARRIER_STATE]>AR_REFERENCE>AR_REFERENCE>CARRIER_STATE>ENTRY_STATE>OTHER>OPEN	EOL	EOL	AR_REFERENCE>TARGET[CARRIER_STATE]>AR_REFERENCE	CLOSED|LEN_3|ENTRY_STATE>DY_RESOLUTION||EOL
f39r.9	f39r	f39	HB	2	5	5	5	1	1	shdaiin	sh	daiin	sh|daiin	CARRIER_STATE	5/5	2	2	4	0	OPEN_FIELD_END	OPEN|LEN_4PLUS|OPEN_FIELD_END|CARRIER_STATE	qokaiin	okaiin	Q_OUTER_STATE	EOS	EOS	EOS	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	OL_STATE>AL_STATE>Q_OUTER_STATE>CARRIER_STATE	OL_STATE>AL_STATE>Q_OUTER_STATE>TARGET[CARRIER_STATE]>OPEN	EOL	EOL	Q_OUTER_STATE>TARGET[CARRIER_STATE]>EOS	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||EOL
f95r1.7	f95r1	f95	HB	3	5	9	9	1	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	5/9	2	3	6	1	FIELD_INTERNAL	CLOSED|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	chdain	dain	CARRIER_STATE	okar	okar	AR_REFERENCE	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	CARRIER_STATE>AR_REFERENCE>CARRIER_STATE>CARRIER_STATE>AR_REFERENCE>DY_RESOLUTION	CARRIER_STATE>AR_REFERENCE>CARRIER_STATE>TARGET[CARRIER_STATE]>AR_REFERENCE>DY_RESOLUTION	CARRIER_STATE>CARRIER_STATE	OPEN|LEN_2|CARRIER_STATE>CARRIER_STATE	CARRIER_STATE>TARGET[CARRIER_STATE]>AR_REFERENCE	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||OPEN|LEN_2|CARRIER_STATE>CARRIER_STATE
f95r2.9	f95r2	f95	HB	3	6	7	5	0	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	4/5	2	2	2	0	FIELD_START	OPEN|LEN_2|FIELD_START|CARRIER_STATE	shsdy	s	DY_RESOLUTION	olky	olky	OL_STATE	OTHER>AR_REFERENCE>DY_RESOLUTION	CLOSED|LEN_3|OTHER>DY_RESOLUTION	CARRIER_STATE>OL_STATE	TARGET[CARRIER_STATE]>OL_STATE>OPEN	EOL	EOL	DY_RESOLUTION>TARGET[CARRIER_STATE]>OL_STATE	CLOSED|LEN_3|OTHER>DY_RESOLUTION||EOL
f106r.16	f106r	f106	SB	3	12	12	10	0	1	chdam	ch	dam	ch|dam	CARRIER_STATE	10/10	2	2	5	0	OPEN_FIELD_END	OPEN|LEN_4PLUS|OPEN_FIELD_END|CARRIER_STATE	otar	otar	OT_AR_LOCAL	EOS	EOS	EOS	OTHER>OTHER>OTHER>AR_REFERENCE>DY_RESOLUTION	CLOSED|LEN_4PLUS|OTHER>DY_RESOLUTION	ENTRY_STATE>AR_REFERENCE>OL_STATE>OT_AR_LOCAL>CARRIER_STATE	ENTRY_STATE>AR_REFERENCE>OL_STATE>OT_AR_LOCAL>TARGET[CARRIER_STATE]>OPEN	EOL	EOL	OT_AR_LOCAL>TARGET[CARRIER_STATE]>EOS	CLOSED|LEN_4PLUS|OTHER>DY_RESOLUTION||EOL
f106v.4	f106v	f106	SB	3	7	8	8	1	0	chdam	ch	dam	ch|dam	CARRIER_STATE	7/8	1	1	8	0	FIELD_INTERNAL	OPEN|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	chdal	dal	AL_STATE	charam	aram	AR_REFERENCE	BOL	BOL	OTHER>OTHER>OTHER>CARRIER_STATE>OTHER>AL_STATE>CARRIER_STATE>AR_REFERENCE	OTHER>OTHER>OTHER>CARRIER_STATE>OTHER>AL_STATE>TARGET[CARRIER_STATE]>AR_REFERENCE>OPEN	EOL	EOL	AL_STATE>TARGET[CARRIER_STATE]>AR_REFERENCE	BOL||EOL
f112r.26	f112r	f112	SB	3	3	3	3	1	1	chedam	che	dam	che|dam	CARRIER_STATE	3/3	1	1	3	0	OPEN_FIELD_END	OPEN|LEN_3|OPEN_FIELD_END|CARRIER_STATE	chedy	dy	CARRIER_STATE	EOS	EOS	EOS	BOL	BOL	ENTRY_STATE>CARRIER_STATE>CARRIER_STATE	ENTRY_STATE>CARRIER_STATE>TARGET[CARRIER_STATE]>OPEN	EOL	EOL	CARRIER_STATE>TARGET[CARRIER_STATE]>EOS	BOL||EOL
f112v.34	f112v	f112	SB	3	8	8	8	1	1	chdam	ch	dam	ch|dam	CARRIER_STATE	8/8	3	3	3	0	OPEN_FIELD_END	OPEN|LEN_3|OPEN_FIELD_END|CARRIER_STATE	checkhol	ckhol	OL_STATE	EOS	EOS	EOS	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	CARRIER_STATE>OL_STATE>CARRIER_STATE	CARRIER_STATE>OL_STATE>TARGET[CARRIER_STATE]>OPEN	EOL	EOL	OL_STATE>TARGET[CARRIER_STATE]>EOS	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||EOL
f39r.14	f39r	f39	HB	2	10	11	11	1	0	chdam	ch	dam	ch|dam	CARRIER_STATE	10/11	1	1	11	0	FIELD_INTERNAL	OPEN|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	otal	otal	OT_AL_LOCAL	qokam	okam	Q_OUTER_STATE	BOL	BOL	ENTRY_STATE>CARRIER_STATE>CARRIER_STATE>OL_STATE>ENTRY_STATE>CARRIER_STATE>OTHER>ENTRY_STATE>OT_AL_LOCAL>CARRIER_STATE>Q_OUTER_STATE	ENTRY_STATE>CARRIER_STATE>CARRIER_STATE>OL_STATE>ENTRY_STATE>CARRIER_STATE>OTHER>ENTRY_STATE>OT_AL_LOCAL>TARGET[CARRIER_STATE]>Q_OUTER_STATE>OPEN	EOL	EOL	OT_AL_LOCAL>TARGET[CARRIER_STATE]>Q_OUTER_STATE	BOL||EOL
f46v.12	f46v	f46	HB	2	3	5	5	1	0	chdam	ch	dam	ch|dam	CARRIER_STATE	3/5	1	1	5	0	FIELD_INTERNAL	OPEN|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	aly	aly	AL_STATE	chcthy	cthy	CARRIER_STATE	BOL	BOL	ENTRY_STATE>AL_STATE>CARRIER_STATE>CARRIER_STATE>CARRIER_STATE	ENTRY_STATE>AL_STATE>TARGET[CARRIER_STATE]>CARRIER_STATE>CARRIER_STATE>OPEN	EOL	EOL	AL_STATE>TARGET[CARRIER_STATE]>CARRIER_STATE	BOL||EOL
f46v.12	f46v	f46	HB	2	5	5	5	1	1	chdam	ch	dam	ch|dam	CARRIER_STATE	5/5	1	1	5	0	OPEN_FIELD_END	OPEN|LEN_4PLUS|OPEN_FIELD_END|CARRIER_STATE	chcthy	cthy	CARRIER_STATE	EOS	EOS	EOS	BOL	BOL	ENTRY_STATE>AL_STATE>CARRIER_STATE>CARRIER_STATE>CARRIER_STATE	ENTRY_STATE>AL_STATE>CARRIER_STATE>CARRIER_STATE>TARGET[CARRIER_STATE]>OPEN	EOL	EOL	CARRIER_STATE>TARGET[CARRIER_STATE]>EOS	BOL||EOL
f95v1.6	f95v1	f95	HB	3	10	10	8	0	1	chdam	ch	dam	ch|dam	CARRIER_STATE	8/8	4	4	3	0	OPEN_FIELD_END	OPEN|LEN_3|OPEN_FIELD_END|CARRIER_STATE	shedar	edar	AR_REFERENCE	EOS	EOS	EOS	AR_REFERENCE>DY_RESOLUTION	CLOSED|LEN_2|AR_REFERENCE>DY_RESOLUTION	OL_STATE>AR_REFERENCE>CARRIER_STATE	OL_STATE>AR_REFERENCE>TARGET[CARRIER_STATE]>OPEN	EOL	EOL	AR_REFERENCE>TARGET[CARRIER_STATE]>EOS	CLOSED|LEN_2|AR_REFERENCE>DY_RESOLUTION||EOL
f103r.10	f103r	f103	SB	3	6	14	10	0	0	okam	NONE	okam	NONE|okam	OTHER	4/10	1	3	6	1	FIELD_INTERNAL	CLOSED|LEN_4PLUS|FIELD_INTERNAL|OTHER	okeol	okeol	OL_STATE	chety	ty	CARRIER_STATE	BOL	BOL	ENTRY_STATE>OTHER>OL_STATE>OTHER>CARRIER_STATE>DY_RESOLUTION	ENTRY_STATE>OTHER>OL_STATE>TARGET[OTHER]>CARRIER_STATE>DY_RESOLUTION	OTHER>DY_RESOLUTION	CLOSED|LEN_2|OTHER>DY_RESOLUTION	OL_STATE>TARGET[OTHER]>CARRIER_STATE	BOL||CLOSED|LEN_2|OTHER>DY_RESOLUTION
f103v.6	f103v	f103	SB	3	11	11	10	0	1	qokam	q	okam	q|okam	Q_OUTER_STATE	10/10	3	3	3	0	OPEN_FIELD_END	OPEN|LEN_3|OPEN_FIELD_END|Q_OUTER_STATE	chedy	dy	CARRIER_STATE	EOS	EOS	EOS	OL_STATE>Q_OUTER_STATE>OTHER>Q_OUTER_STATE>DY_RESOLUTION	CLOSED|LEN_4PLUS|OL_STATE>DY_RESOLUTION	Q_OUTER_STATE>CARRIER_STATE>Q_OUTER_STATE	Q_OUTER_STATE>CARRIER_STATE>TARGET[Q_OUTER_STATE]>OPEN	EOL	EOL	CARRIER_STATE>TARGET[Q_OUTER_STATE]>EOS	CLOSED|LEN_4PLUS|OL_STATE>DY_RESOLUTION||EOL
f104r.44	f104r	f104	SB	3	10	10	9	0	1	okam	NONE	okam	NONE|okam	OTHER	9/9	1	1	9	0	OPEN_FIELD_END	OPEN|LEN_4PLUS|OPEN_FIELD_END|OTHER	otaiin	otaiin	OTHER	EOS	EOS	EOS	BOL	BOL	OTHER>CARRIER_STATE>ED_MEDIUM>Q_OUTER_STATE>AR_REFERENCE>OL_STATE>OL_STATE>OTHER>OTHER	OTHER>CARRIER_STATE>ED_MEDIUM>Q_OUTER_STATE>AR_REFERENCE>OL_STATE>OL_STATE>OTHER>TARGET[OTHER]>OPEN	EOL	EOL	OTHER>TARGET[OTHER]>EOS	BOL||EOL
f104v.2	f104v	f104	SB	3	6	10	6	0	0	qokamdy	q	okam	q|okam	DY_RESOLUTION	6/6	1	1	6	1	FIELD_CLOSE	CLOSED|LEN_4PLUS|FIELD_CLOSE|DY_RESOLUTION	ydaiin	ydaiin	OTHER	EOS	EOS	EOS	BOL	BOL	ED_MEDIUM>ED_MEDIUM>CARRIER_STATE>OTHER>OTHER>DY_RESOLUTION	ED_MEDIUM>ED_MEDIUM>CARRIER_STATE>OTHER>OTHER>TARGET[DY_RESOLUTION]	EOL	EOL	OTHER>TARGET[DY_RESOLUTION]>EOS	BOL||EOL
f106r.7	f106r	f106	SB	3	4	7	6	0	0	qokam	q	okam	q|okam	Q_OUTER_STATE	4/6	2	2	3	0	FIELD_START	OPEN|LEN_3|FIELD_START|Q_OUTER_STATE	ychedy	yche	DY_RESOLUTION	sheol	eol	OL_STATE	OL_STATE>Q_OUTER_STATE>DY_RESOLUTION	CLOSED|LEN_3|OL_STATE>DY_RESOLUTION	Q_OUTER_STATE>OL_STATE>CARRIER_STATE	TARGET[Q_OUTER_STATE]>OL_STATE>CARRIER_STATE>OPEN	EOL	EOL	DY_RESOLUTION>TARGET[Q_OUTER_STATE]>OL_STATE	CLOSED|LEN_3|OL_STATE>DY_RESOLUTION||EOL
