physical_page	page_model	clause_id	start_event	end_event	events	natural_process_summary_de
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C025	P912-E0493	P912-E0493	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× halten. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C026	P912-E0494	P912-E0503	10	An der gezeigten Bad- oder Arbeitsstation stehen 7 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× ansetzen, 2× umsetzen, 1× einstellen, 1× auswählen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Der Gang führt über weiterer Lauf. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C027	P912-E0504	P912-E0507	4	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× halten, 1× ansetzen, 1× spülen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Portion. Der Gang führt über Durchlass. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C028	P912-E0508	P912-E0508	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C029	P912-E0509	P912-E0509	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× umsetzen. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C030	P912-E0510	P912-E0512	3	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× entnehmen, 1× bereitstellen, 1× ausführen, 1× ansetzen. Der Gang führt über weiterer Lauf. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C031	P912-E0513	P912-E0516	4	An der gezeigten Bad- oder Arbeitsstation stehen 4 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× ansetzen, 1× entnehmen, 1× umsetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Der Gang führt über Durchlass. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C032	P912-E0517	P912-E0526	10	An der gezeigten Bad- oder Arbeitsstation stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× halten, 1× auswählen, 1× umsetzen, 1× ansetzen, 1× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C033	P912-E0527	P912-E0527	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× umsetzen. Der Gang führt über weiterer Lauf. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C034	P912-E0528	P912-E0528	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C035	P912-E0529	P912-E0531	3	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× ansetzen. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C036	P912-E0532	P912-E0535	4	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× ansetzen, 1× absetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Der Gang führt über Ziel- oder Anschlussstelle. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C037	P912-E0536	P912-E0547	12	An der gezeigten Bad- oder Arbeitsstation stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 5× halten, 1× behandeln, 1× auswählen, 1× ansetzen, 1× kennzeichnen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C038	P912-E0548	P912-E0549	2	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× einsetzen, 1× umsetzen. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C039	P912-E0550	P912-E0550	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× zugeben. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C040	P912-E0551	P912-E0551	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C041	P912-E0552	P912-E0552	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C042	P912-E0553	P912-E0553	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C043	P912-E0554	P912-E0554	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C044	P912-E0555	P912-E0556	2	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× halten. Als Einsatzgrößen erscheinen Portion. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C045	P912-E0557	P912-E0562	6	An der gezeigten Bad- oder Arbeitsstation stehen 4 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× halten, 1× auswählen, 1× zugeben, 1× ansetzen. Als Einsatzgrößen erscheinen Portion. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C046	P912-E0563	P912-E0575	13	An der gezeigten Bad- oder Arbeitsstation stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× ansetzen, 2× auswählen, 1× auffangen, 1× umsetzen, 1× absetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C047	P912-E0576	P912-E0576	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× umsetzen. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C048	P912-E0577	P912-E0578	2	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× halten. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C049	P912-E0579	P912-E0580	2	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× halten. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C050	P912-E0581	P912-E0584	4	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× halten, 2× ansetzen, 1× entnehmen. Als Einsatzgrößen erscheinen Portion. Der Gang führt über weiterer Lauf. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C051	P912-E0585	P912-E0594	10	An der gezeigten Bad- oder Arbeitsstation stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× halten, 2× umsetzen, 2× einsetzen, 1× ansetzen, 1× zugeben, 1× absetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Portion. Der Gang führt über Ziel- oder Anschlussstelle, weiterer Lauf. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C052	P912-E0595	P912-E0597	3	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× halten. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C053	P912-E0598	P912-E0599	2	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× absetzen. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C054	P912-E0600	P912-E0605	6	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× auswählen, 1× ansetzen, 1× halten. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Portion. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C055	P912-E0606	P912-E0655	50	An der gezeigten Bad- oder Arbeitsstation stehen 33 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 10× halten, 10× ansetzen, 4× auswählen, 3× ausführen, 3× umsetzen, 2× zugeben. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Der Gang führt über Ziel- oder Anschlussstelle, weiterer Lauf, Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C056	P912-E0656	P912-E0658	3	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C057	P912-E0659	P912-E0659	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× umsetzen. Der Gang führt über weiterer Lauf. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C058	P912-E0660	P912-E0673	14	An der gezeigten Bad- oder Arbeitsstation stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 4× halten, 2× einsetzen, 1× kennzeichnen, 1× einstellen, 1× absetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C059	P912-E0674	P912-E0674	1	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Der Gang führt über Ziel- oder Anschlussstelle. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C060	P912-E0675	P912-E0677	3	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ausführen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Danach wird der Arbeitsschritt geschlossen.
